#eighty|h ˈæ ʃ ˈeɪ ɾ i
#three|h ˈæ ʃ θ ɹ ˈiː
rogatus|ɹ ˈɑː ɡ æ ɾ ə s
rogbut|ɹ ˈɑː ɡ b ʌ t
roggi|ɹ ˈɑː ɡ i
roggi's|ɹ ˈɑː ɡ i z
roggvir's|ɹ ˈɑː ɡ v ɪɹ z
rogh|ɹ ˈɑː ɡ
rogmesh|ɹ ˈɑː ɡ m ɛ ʃ
rogue'll|ɹ ˈoʊ ɡ əl
rogue's|ɹ ˈoʊ ɡ z
rogueries|ɹ ˈoʊ ɡ ɚ ɹ i z
roguery|ɹ ˈoʊ ɡ ɚ ɹ i
rogues'|ɹ ˈoʊ ɡ z
roguish|ɹ ˈoʊ ɡ ɪ ʃ
roguishly|ɹ ˈoʊ ɡ ɪ ʃ l i
roguishness|ɹ ˈoʊ ɡ ɪ ʃ n ə s
rohssan|ɹ ˈoʊ s ə n
roils|ɹ ˈɔɪ l z
roistering|ɹ ˈɔɪ s t ɚ ɹ ɪ ŋ
rojan|ɹ ˈɑː dʒ ə n
rojare|ɹ ˈɑː dʒ ɛɹ
rok|ɹ ˈɑː k
rokeete|ɹ ˈoʊ k iː t
rokeetoce|ɹ ˈoʊ k ɪ t ˌoʊ s
rolaine|ɹ ˈɑː l eɪ n
rolandic|ɹ ə l ˈæ n d ɪ k
role's|ɹ ˈoʊ l z
rolff|ɹ ˈɑː l f
roliand|ɹ ˌoʊ l ɪ  ˈæ n d
rolis|ɹ ˈoʊ l i z
roll|ɹ ˈoʊ l
rolled|ɹ ˈoʊ l d
rolleth|ɹ ˈoʊ l ə θ
rollin'|ɹ ˈoʊ l ᵻ n
rolling|ɹ ˈoʊ l ɪ ŋ
rolls|ɹ ˈoʊ l z
rolovo|ɹ ə l ˈʌ v oʊ
rolt|ɹ ˈoʊ l t
romaa|ɹ ˈɑː m ɑː
romaane|ɹ ˈɑː m ɑː n
romagna|ɹ ˈɑː m æ ɡ n ə
romalen|ɹ ˈoʊ m eɪ l ə n
roman|ɹ ˈoʊ m ə n
romana|ɹ oʊ m ˈɑː n ə
romance|ɹ oʊ m ˈæ n s
romancer|ɹ oʊ m ˈæ n s ɚ
romancers|ɹ oʊ m ˈæ n s ɚ z
romanes|ɹ ˈoʊ m eɪ n z
romanes's|ɹ ˈoʊ m eɪ n z ᵻ z
romanist|ɹ ˈoʊ m ɐ n ˌɪ s t
romantic|ɹ oʊ m ˈæ n t ɪ k
romanticism|ɹ oʊ m ˈæ n t ɪ s ˌɪ z ə m
rome|ɹ ˈoʊ m
romeo|ɹ ˈoʊ m ɪ  ˌoʊ
romilly|ɹ ˈɑː m ɪ l i
romish|ɹ ˈɑː m ɪ ʃ
romlyn|ɹ ˈɑː m l ɪ n
romped|ɹ ˈɑː m p t
romps|ɹ ˈɑː m p s
ronaaledo|ɹ ˌɑː n ɑː l ˈiː d oʊ
ronit|ɹ ˈɑː n ɪ t
ronnie's|ɹ ˈɑː n i z
ronthil|ɹ ˈɔ n θ ɪ l
roo|ɹ ˈuː
roof|ɹ ˈuː f
roofed|ɹ ˈuː f t
roofless|ɹ ˈuː f l ə s
rook's|ɹ ˈʊ k s
rookeries|ɹ ˈʊ k ɚ ɹ i z
room|ɹ ˈuː m
roomed|ɹ ˈuː m d
roomfuls|ɹ ˈuː m f əl z
roominghouse|ɹ ˈuː m ɪ ŋ h ˌaʊ s
rooms|ɹ ˈuː m z
roooka|ɹ uː ˈoʊ k ə
rooooll|ɹ ˈuː uː l
roooooll|ɹ ˈuː uː ˌɑː l
rooss|ɹ ˈuː s
roost|ɹ ˈuː s t
roosts|ɹ ˈuː s t s
roote|ɹ ˈuː t
rooted|ɹ ˈuː ɾ ᵻ d
rootspire|ɹ ˈuː t s p aɪɚ
rope|ɹ ˈoʊ p
rope's|ɹ ˈoʊ p z
roquefort|ɹ ˈɑː k w ɪ f ˌɔːɹ t
rorik|ɹ ˈoː ɹ ɪ k
rorikstead|ɹ ˈoː ɹ ɪ k s t ˌɛ d
rorikstead's|ɹ ˈoː ɹ ɪ k s t ˌɛ d z
rorlund|ɹ ˈoːɹ l ʌ n d
rosa|ɹ ˈoʊ s ə
rosalinds|ɹ ˈoʊ z ɐ l ˌɪ n d z
rose|ɹ ˈoʊ z
rosebuds|ɹ ˈoʊ z b ʌ d z
roseneath|ɹ ˈoʊ z n iː θ
rosentia|ɹ oʊ z ˈɛ n ʃ ə
rosentia's|ɹ oʊ z ˈɛ n ʃ ə z
roses|ɹ ˈoʊ z ᵻ z
rosethorn|ɹ ˈoʊ z θ ɔːɹ n
rosinante|ɹ ˌɑː s ɪ n ˈɑː n t eɪ
rosiness|ɹ ˈoʊ z i n ə s
rostita|ɹ ə s t ˈiː ɾ ə
rosy|ɹ ˈoʊ z i
rot|ɹ ˈɑː t
rot'll|ɹ ˈɑː ɾ əl
rotation|ɹ oʊ t ˈeɪ ʃ ə n
rotfiend|ɹ ˈɑː t f iː n d
rotfiends|ɹ ˈɑː t f iː n d z
rotgut|ɹ ˈɑː t ɡ ʌ t
rothenburg|ɹ ˈɑː ð ə n b ˌɜː ɡ
rothschilds'|ɹ ˈɑː θ s k aɪ l d z
rotifers|ɹ ˈoʊ ɾ ɪ f ɚ z
rotmulaag|ɹ ˈɑː t m j ʊ l ˌɑː ɡ
rotmulaagge|ɹ ˈɑː t m j ʊ l ˌɑː ɡ
rotten|ɹ ˈɑː ʔ n̩
rottener|ɹ ˈɑː ʔ n̩ ɚ
rottenness|ɹ ˈɑː ʔ n̩ n ə s
rottin'|ɹ ˈɑː t ɪ n
rouge|ɹ ˈuː ʒ
rougemont|ɹ ˈuː ʒ m ɔ n t
rougfing|ɹ ˈaʊ ɡ f ɪ ŋ
rough|ɹ ˈʌ f
roughened|ɹ ˈʌ f ə n d
roughly|ɹ ˈʌ f l i
roughwater|ɹ ˈʌ f w ɔː ɾ ɚ
rouleaux|ɹ ˈuː l oʊ
round|ɹ ˈaʊ n d
roundabouts|ɹ ˈaʊ n d ɐ b ˌaʊ t s
rounded|ɹ ˈaʊ n d ᵻ d
roundest|ɹ ˈaʊ n d ɪ s t
roundin'|ɹ ˈaʊ n d ɪ n
roundness|ɹ ˈaʊ n d n ə s
rounds|ɹ ˈaʊ n d z
roupell|ɹ ˈuː p ɛ l
roupell's|ɹ ˈuː p ɛ l z
rouser|ɹ ˈaʊ s ɚ
rousers|ɹ ˈaʊ s ɚ z
rousing|ɹ ˈaʊ z ɪ ŋ
rousseau's|ɹ ˈaʊ s oʊ z
route|ɹ ˈaʊ t
route'll|ɹ ˈaʊ ɾ əl
route's|ɹ ˈaʊ t s
routs|ɹ ˈaʊ t s
roved|ɹ ˈoʊ v d
roves|ɹ ˈoʊ v z
roveth|ɹ ˈoʊ v ə θ
row|ɹ ˈoʊ
rowanberry|ɹ ˈoʊ ɐ n b ˌɛ ɹ i
rowdy's|ɹ ˈaʊ d i z
rowers|ɹ ˈoʊ ɚ z
rowing|ɹ ˈoʊ ɪ ŋ
rows|ɹ ˈoʊ z
roxby|ɹ ˈɑː k s b i
roxey|ɹ ˈɑː k s i
royal|ɹ ˈɔɪ əl
royalism|ɹ ˈɔɪ ə l ˌɪ z ə m
royalists|ɹ ˈɔɪ ə l ˌɪ s t s
royalty|ɹ ˈɔɪ əl ɾ i
royetare|ɹ ˈɔɪ ɪ t ˌɛɹ
royetarese|ɹ ˈɔɪ ɪ t ˌɛɹ s
rraa|ˈɑːɹ ɹ ˈɑː
rragh|ˈɑːɹ ɹ ˈɑː ɡ
rrarggh|ˈɑːɹ ɹ ˈɑːɹ ɡ
rrrraaaaaaggghhhh|ˌɑːɹ ɹ ˌɑːɹ ɹ ˈɑːɹ ɹ ˈææ ɐɐ ˌææ ɡ ɡ
rrrraaaaarrggghhhh|ˌɑːɹ ɹ ˌɑːɹ ɹ ˈɑːɹ ɹ ˈææ ɐɐ ˌæ ə ɡ ɡ
rrrrraaaaa|ˌɑːɹ ɹ ˌɑːɹ ɹ ˌɑːɹ ɹ ˈɑːɹ ɹ ˈææ ææ ə
rrrrrraaaaaaaaaaaaahhhhhhh|ˌɑːɹ ɹ ˌɑːɹ ɹ ˈɑːɹ ɹ ˌɑːɹ ɹ ˈɑːɹ ɹ ˈææ ɐɐ ˌææ ɐɐ ˌææ ɐɐ ˌɑː
rrrrrraaaaahhhhh|ˌɑːɹ ɹ ˌɑːɹ ɹ ˈɑːɹ ɹ ˌɑːɹ ɹ ˈɑːɹ ɹ ˈææ ɐɐ ˌɑː
ru'acawe|ɹ ˈʌ ɐ k ˌɔː
rubber|ɹ ˈʌ b ɚ
rubbeth|ɹ ˈʌ b ə θ
rubbish|ɹ ˈʌ b ɪ ʃ
rubeus|ɹ ˈuː b ɪ  ə s
rubicones|ɹ ˈuː b ɪ k ˌoʊ n z
rubicund|ɹ ˈuː b ɪ k ˌʌ n d
rubins|ɹ ˈuː b ɪ n z
ruby|ɹ ˈuː b i
rucelite|ɹ ˈuː s ɪ l ˌaɪ t
ruchaa|ɹ ˈʌ tʃ ɑː
ruchaawe|ɹ ˈʌ tʃ ɑː w
ruddiest|ɹ ˈʌ d ɪ  ɪ s t
ruddy|ɹ ˈʌ d i
rudely|ɹ ˈuː d l i
rudeness|ɹ ˈuː d n ə s
rudimental|ɹ ˌuː d ɪ m ˈɛ n t əl
rue|ɹ ˈuː
ruen|ɹ ˈuː n
ruffian|ɹ ˈʌ f iə n
ruffianism|ɹ ˈʌ f iə n ˌɪ z ə m
ruffians|ɹ ˈʌ f iə n z
ruffle|ɹ ˈʌ f əl
ruffles|ɹ ˈʌ f əl z
ruffs|ɹ ˈʌ f s
rufio|ɹ ˈuː f ɪ  ˌoʊ
rufrius|ɹ ˈʌ f ɹ ɪ  ə s
rug|ɹ ˈʌ ɡ
rugdumph|ɹ ˈʌ ɡ d ʌ m f
rugeley|ɹ ˈuː dʒ ɛ l i
rugged|ɹ ˈʌ ɡ ᵻ d
ruggedness|ɹ ˈʌ ɡ ᵻ d n ə s
rugs|ɹ ˈʌ ɡ z
ruin|ɹ ˈuː ɪ n
ruination|ɹ ˌuː ᵻ n ˈeɪ ʃ ə n
ruined|ɹ ˈuː ɪ n d
ruinest|ɹ ˈuː aɪ n ˌɪ s t
ruins|ɹ ˈuː ɪ n z
ruisseau|ɹ ˈuː ɪ s ˌoʊ
ruki|ɹ ˈuː k i
rul|ɹ ˈʌ l
rule|ɹ ˈuː l
ruled|ɹ ˈuː l d
ruler's|ɹ ˈuː l ɚ z
rulership|ɹ ˈuː l ɚ ʃ ˌɪ p
rules|ɹ ˈuː l z
rulf|ɹ ˈʌ l f
rulia|ɹ ˈuː l i  ə
rulindil|ɹ ˈuː l ɪ n d ˌɪ l
ruling|ɹ ˈuː l ɪ ŋ
rum|ɹ ˈʌ m
ruma|ɹ ˈuː m ə
rumaaneyaa|ɹ ˈuː m ɑː n ˌaɪ  ɑː
rumare|ɹ ˈuː m ɛɹ
rumble|ɹ ˈʌ m b əl
rumblin'|ɹ ˈʌ m b l ɪ n
rume|ɹ ˈuː m
ruminating|ɹ ˈuː m ᵻ n ˌeɪ ɾ ɪ ŋ
ruminatively|ɹ ˈuː m ɪ n ə t ˌɪ v l i
rumour|ɹ ˈuː m ɚ
rumoured|ɹ ˈuː m ɚ d
rumple|ɹ ˈʌ m p əl
rumpus|ɹ ˈʌ m p ə s
run|ɹ ˈʌ n
runa|ɹ ˈʌ n ə
runaway's|ɹ ˈʌ n ə w ˌeɪ z
runaways|ɹ ˈʌ n ə w ˌeɪ z
rundi|ɹ ˈʌ n d i
runecraft|ɹ ˈuː ŋ k ɹ æ f t
runestone|ɹ ˈuː n s t oʊ n
runestones|ɹ ˈuː n s t oʊ n z
runia|ɹ ˈuː n i  ə
runil|ɹ ˈuː n ɪ l
runnest|ɹ ˈʌ n ɪ s t
runneth|ɹ ˈʌ n ə θ
runniest|ɹ ˈʌ n ɪ  ɪ s t
runnin'|ɹ ˈʌ n ɪ n
running|ɹ ˈʌ n ɪ ŋ
runt|ɹ ˈʌ n t
runye|ɹ ˈʌ n aɪ
rupert|ɹ ˈuː p ɚ t
ruqe|ɹ ˈuː k
rusarmi|ɹ ˈuː s ɑːɹ m i
ruseyaa|ɹ ˈuː s aɪ  ˌɑː
rush|ɹ ˈʌ ʃ
rusheth|ɹ ˈʌ ʃ ə θ
rushy|ɹ ˈʌ ʃ i
rusia|ɹ ˈuː ʒ ə
rusiyaa|ɹ ˈuː s ɪ j ˌɑː
rusiyaawi|ɹ ˈuː s ɪ j ˌɑː w i
ruso|ɹ ˈuː s oʊ
russet|ɹ ˈʌ s ɛ t
russian|ɹ ˈʌ ʃ ə n
russias|ɹ ˈʌ ʃ ə z
rust|ɹ ˈʌ s t
rustic|ɹ ˈʌ s t ɪ k
rusticated|ɹ ˈʌ s t ᵻ k ˌeɪ ɾ ᵻ d
rusticity|ɹ ʌ s t ˈɪ s ᵻ ɾ i
rustiness|ɹ ˈʌ s t i n ə s
rustled|ɹ ˈʌ s əl d
rustleif|ɹ ˈʌ s l eɪ f
rustling|ɹ ˈʌ s əl ɪ ŋ
rustling's|ɹ ˈʌ s əl ɪ ŋ z
rusty|ɹ ˈʌ s t i
ruth|ɹ ˈuː θ
ruthe|ɹ ˈuː ð
ruthful|ɹ ˈuː θ f əl
ruthi|ɹ ˈuː θ aɪ
ruthwell's|ɹ ˈuː θ w ɛ l z
rutting|ɹ ˈʌ ɾ ɪ ŋ
rutty|ɹ ˈʌ ɾ i
ruunvald|ɹ ˈuː n v əl d
ruwaanedaa|ɹ ˈuː w ɑː n ˌɛ d ɑː
ruz|ɹ ˈʌ z
rwa|ɹ ʊ ˈɑː
rwacawe|ɹ ʊ ˈæ k ɔː
rwacawene|ɹ ʊ ˈæ k ɔː n
rwale|ɹ ʊ ˈeɪ l
rwane|ɹ ʊ ˈeɪ n
rwarwathu|ɹ ʊ ɔːɹ w ˈɑː t h uː
ry|ɹ ˈaɪ
rye|ɹ ˈaɪ
rythe|ɹ ˈaɪ ð
rythe's|ɹ ˈaɪ ð z
s|ˈɛ s
s'about|ˈɛ s ˈæ b aʊ t
s'all|ˈɛ s ˈɔː l
s'drassa|ˈɛ s d ɹ ˈæ s ə
s'got|ˈɛ s ɡ ˈɑː t
s'krivva|ˈɛ s k ɹ ˈɪ v ə
s'krivva's|ˈɛ s k ɹ ˈɪ v ə z
s'matter|ˈɛ s m ˈæ ɾ ɚ
s'okay|ˈɛ s ˈɑː k eɪ
s'pose|ˈɛ s p ˈoʊ z
s'posed|ˈɛ s p ˈoʊ z d
s'rathad|ˈɛ s ɹ ˈæ θ æ d
s'razirr|ˈɛ s ɹ ˈeɪ z ɜː
s'rendarr|ˈɛ s ɹ ˈɛ n d ɑːɹ
s'thasa|ˈɛ s θ ˈɑː s ə
s'times|ˈɛ s t ˈaɪ m z
s'what|ˈɛ s w ˈʌ t
s'wit|ˈɛ s w ˈɪ t
s'wits|ˈɛ s w ˈɪ t s
sa'ali|s æ ˈɑː l i
sa'ataate|s ˈæ ɐ t ˌɑː t
sa'ate|s ˈæ eɪ t
saa|s ˈɑː
saa'o|s ˈɑː oʊ
saa'opolo|s ɑː ˈɑː p ə l ˌoʊ
saa'udi|s ɑː j ˈuː d i
saabiyaa|s ˈɑː b ɪ j ˌɑː
saacawe|s ˈɑː k ɔː
saacawene|s ˈɑː k ɔː n
saadabe|s ˈɑː d eɪ b
saadade|s ˈɑː d eɪ d
saaderu|s ˈɑː d ɚ ɹ ˌuː
saadia|s ˈɑː d i  ə
saahele|s ˈɑː h ɛ l
saaho|s ˈɑː h oʊ
saalaa|s ˈɑː l ɑː
saalaamaanekaa|s ˈɑː l ɑː m ˌɑː n ɪ k ˌɑː
saalaase|s ˈɑː l ɑː s
saalace|s ˈɑː l ɪ s
saalane|s ˈɑː l eɪ n
saale|s ˈɑː l
saalefe|s ˈɑː l ɛ f
saalime|s ˈɑː l aɪ m
saalu|s ˈɑː l uː
saama|s ˈɑː m ə
saamenetaate|s ˈɑː m ə n ˌɛ ɾ ɑː t
saamenete|s ˈɑː m ə n ˌiː t
saamepaa|s ˈɑː m ɪ p ˌɑː
saamepedoriyaa|s ˈɑː m ɪ p ˌɛ d oː ɹ ˌɪ j ɑː
saamesone|s ˈɑː m ɪ s ˌoʊ n
saami|s ˈɑː m i
saamunaa|s ˈɑː m ə n ˌɑː
saane|s ˈɑː n
saanebaa|s ˈɑː n ɪ b ˌɑː
saanejo|s ɑː n ˈiː dʒ oʊ
saaneloreenezo|s ˌɑː n ɪ l ˌoː ɹ iː n ˈiː z oʊ
saanesiro|s ˌɑː n ɪ s ˈiə ɹ oʊ
saare|s ˈɑːɹ
saareenitaa|s ˈɑːɹ ɹ iː n ˌɪ ɾ ɑː
saarthal|s ˈɑːɹ θ əl
saasabaacawe|s ˈɑː s ɐ b ˌɑː k ɔː
saasebawe|s ˈɑː s ɪ b ˌɔː
saasebe|s ˈɑː s ɛ b
saatafe|s ˈɑː ɾ eɪ f
saatafu|s ɑː t ˈɑː f uː
saatalaayete|s ˈɑː ɾ ɐ l ˌɑː j iː t
saatawe|s ˈɑː ɾ ɔː
saate|s ˈɑː t
saawedi|s ɑː w ˈɛ d i
saawequ|s ˈɑː w ɛ k
saawi|s ˈɑː w i
saayaa|s ˈɑː j ɑː
saayaadaregu|s ˈɑː j ɑː d ˌɛɹ ɡ uː
saayaase|s ˈɑː j ɑː s
saayaasebu|s ˈɑː j ɑː s ˌɛ b uː
saaye|s ˈɑː aɪ
saayehone|s ˈɑː j ɪ h ˌoʊ n
saayenageru|s ˈɑː j ə n ˌæ dʒ ɚ ɹ ˌuː
saayenese|s ˌɑː j ə n ˈiː z
saayenetisetoce|s ˈɑː j ə n ˌɛ ɾ aɪ s t ˌoʊ s
saayeyaase|s ˈɑː j aɪ  ˌɑː s
saazenawe|s ˈɑː z ə n ˌɔː
saazene|s ˈɑː z iː n
sabaa|s ˈæ b ɑː
sabaabaru|s ˈæ b ɑː b ˌɑːɹ ɹ uː
sabaasabu|s ˌæ b ɑː s ˈɑː b uː
sabaasebu|s ˈæ b ɑː s ˌɛ b uː
sabaatanyaa|s ˈæ b ɑː t ˌæ n ɪ  ˌɑː
sabaatanyaawe|s ˈæ b ɑː t ˌæ n ɪ  ˌɑː w
sabaate|s ˈæ b ɑː t
sabaatu|s ˈæ b ɑː t ˌuː
sabaawocu|s ˈæ b ɑː w ˌɑː k uː
sababe|s ˈæ b eɪ b
sabasaba|s ˌæ b ɐ s ˈɑː b ə
sabasabu|s ˌæ b ɐ s ˈɑː b uː
sabbatarian|s ˌæ b ɐ t ˈɛ ɹ iə n
sabbath|s ˈæ b ə θ
sabe|s ˈeɪ b
sabe'awi|s eɪ b ˈɑː w i
sabeke|s ˈeɪ b k
sabesaabi|s ˈeɪ b s ɑː b ˌaɪ
sabesaabinate|s eɪ b s ˈɑː b ᵻ n ˌeɪ t
sabesaabiwocu|s ˌeɪ b s ɑː b ˈiː w ə k ˌuː
sabjorn's|s ˈæ b dʒ ɔːɹ n z
sable|s ˈeɪ b əl
sabr|s ˈæ b ɚ
sabre|s ˈeɪ b ɚ
sabrecat|s ˈæ b ɹ ɪ k ˌæ t
saburo|s æ b j ˈʊɹ ɹ oʊ
saburo's|s æ b j ˈʊɹ ɹ oʊ z
sabwa|s ˈæ b w ə
sacellum|s ˈeɪ s əl ə m
sache|s ˈæ ʃ
sack|s ˈæ k
sackcloth|s ˈæ k k l ɔ θ
sackless|s ˈæ k l ə s
sacredly|s ˈæ k ɹ ᵻ d l i
sacrifice|s ˈæ k ɹ ᵻ f ˌaɪ s
sacrificed|s ˈæ k ɹ ᵻ f ˌaɪ s t
sacrificer|s ˈæ k ɹ ᵻ f ˌaɪ s ɚ
sacrifices|s ˈæ k ɹ ᵻ f ˌaɪ s ᵻ z
sacrificing|s ˈæ k ɹ ᵻ f ˌaɪ s ɪ ŋ
sad|s ˈæ d
sadadawe|s ˈæ d ɐ d ˌɔː
sadadu|s æ d ˈɑː d uː
saddle|s ˈæ d əl
saddleback|s ˈæ d əl b ˌæ k
saddles|s ˈæ d əl z
saddling|s ˈæ d l ɪ ŋ
sade|s ˈeɪ d
sadedawaale|s ˈeɪ d d ɐ w ˌɑː l
sadedawe|s ˈeɪ d d ɔː
sadly|s ˈæ d l i
sadras|s ˈæ d ɹ ə z
sadri|s ˈæ d ɹ i
sadri's|s ˈæ d ɹ i z
sadsadsadsad|s ˈæ d s ɐ d s ˌæ d s æ d
saerlund|s ˈɛɹ l ʌ n d
saevherne|s ˈiː v h ɚ n
safa|s ˈɑː f ə
safaa|s ˈæ f ɑː
safaraacawe|s ˈæ f ɐ ɹ ˌɑː k ɔː
safare|s ˈæ f ɛɹ
safaroce|s ˈæ f ɐ ɹ ˌoʊ s
safaru|s ˈæ f ɑːɹ ɹ ˌuː
safe|s ˈeɪ f
safehouse's|s ˈeɪ f h aʊ s ᵻ z
safehouses|s ˈeɪ f h aʊ z ᵻ z
safely|s ˈeɪ f l i
safety|s ˈeɪ f t i
saffery|s ˈæ f ɚ ɹ i
saffron|s ˈæ f ɹ ə n
safi|s ˈæ f i
safia|s ˈæ f i  ə
safia's|s ˈæ f i  ə z
safiwe|s ˈæ f ɪ w
saft|s ˈæ f t
sagaa|s ˈæ ɡ ɑː
sagacious|s ə ɡ ˈeɪ ʃ ə s
sagacity|s ə ɡ ˈæ s ᵻ ɾ i
sagamores|s ˈæ ɡ ɐ m ˌoːɹ z
sage|s ˈeɪ dʒ
sagede|s ˈeɪ dʒ d
sagely|s ˈeɪ dʒ l i
sages've|s ˈeɪ dʒ ᵻ z ə v
sagu|s ˈɑː ɡ uː
sah|s ˈɑː
sahlo|s ˈɑː l oʊ
sahrot|s ˈɑː ɹ ɑː t
sahrotaar|s ˌɑː ɹ oʊ t ˈɑːɹ
said|s ˈɛ d
saidst|s ˈɛ d s t
sail|s ˈeɪ l
sail's|s ˈeɪ l z
sailed|s ˈeɪ l d
sailin'|s ˈeɪ l ɪ n
sailing|s ˈeɪ l ɪ ŋ
sailor|s ˈeɪ l ɚ
sailors|s ˈeɪ l ɚ z
sailors'|s ˈeɪ l ɚ z
sails|s ˈeɪ l z
sail…|s ˈeɪ l
saint|s ˈeɪ n t
saints'|s ˈeɪ n t s
saith|s ˈeɪ θ
saka's|s ˈɑː k ə z
sake|s ˈeɪ k
sakes|s ˈeɪ k s
salaamaawi|s ˈæ l ɑː m ˌɑː w i
salaame|s ˈæ l ɑː m
salaamu|s ˈæ l ɑː m ˌuː
salaasaa|s ˈæ l ɑː s ˌɑː
salaaye|s ˈæ l ɑː ˌaɪ
salaayoce|s ˈæ l ɑː j ˌoʊ s
salafa|s æ l ˈɑː f ə
salamandra|s ˈæ l ɐ m ˌæ n d ɹ ə
salarian|s æ l ˈɛ ɹ iə n
salarians|s æ l ˈɛ ɹ iə n z
salary|s ˈæ l ɚ ɹ i
salathanute|s ˈæ l ɐ θ ˌæ n uː t
salathe|s ˈæ l eɪ ð
salathene|s ˈæ l ɐ θ ˌiː n
sale|s ˈeɪ l
salebo|s æ l ˈiː b oʊ
salefanyocu|s ˈeɪ l f ɐ n ɪ  ˌɑː k uː
salefawe|s ˈeɪ l f ɔː
salefe|s ˈeɪ l f
salelawe|s ˈeɪ l l ɔː
salele|s ˈeɪ l əl
salelu|s ˈeɪ l l uː
salentum|s eɪ l ˈɛ n t ə m
saleslady|s ˈeɪ l s l eɪ d i
salethaanyoce|s ˈæ l ɪ θ ˌɑː n ɪ  ˌoʊ s
salethaanyocu|s ˈæ l ɪ θ ˌɑː n ɪ  ˌɑː k uː
salethenaa|s ˈæ l ɪ θ ˌɛ n ɑː
salethenane|s ˈæ l ɪ θ ˌɛ n eɪ n
saliente|s ˈeɪ l iə n t
saliith|s ˈæ l ɪ  ˌɪ θ
salivary|s ˈæ l ɪ v ˌɛ ɹ i
sallied|s ˈæ l i d
sallow|s ˈæ l oʊ
salma|s ˈæ l m ə
salman's|s ɐ l m ˈɑː n z
salmo|s ˈæ l m oʊ
salmo's|s ˈæ l m oʊ z
salonia|s æ l ˈoʊ n iə
saloon|s ɐ l ˈuː n
salsallat|s ˈæ l s ɐ l ˌæ t
salt|s ˈɔ l t
saltash|s ˈɔ l t æ ʃ
saltiness|s ˈɔ l t i n ə s
saltire|s ˈɔ l t aɪɚ
salts|s ˈɔ l t s
saltwater's|s ˈɔ l t w ɔː ɾ ɚ z
salubrious|s æ l ˈuː b ɹ iə s
salutation|s ˌæ l uː t ˈeɪ ʃ ə n
salutations|s ˌæ l uː t ˈeɪ ʃ ə n z
salvaress|s ˈæ l v ɛɹ s
salvation|s æ l v ˈeɪ ʃ ə n
salvation's|s æ l v ˈeɪ ʃ ə n z
salvationist|s æ l v ˈeɪ ʃ ə n ˌɪ s t
salvationists|s æ l v ˈeɪ ʃ ə n ˌɪ s t s
salver|s ˈæ l v ɚ
salvers|s ˈæ l v ɚ z
salving|s ˈæ l v ɪ ŋ
sam|s ˈæ m
sam's|s ˈæ m z
samaa|s ˈæ m ɑː
samaa'ete|s ˈæ m ɑː ˌiː t
samaacawe|s ˈæ m ɑː k ˌɔː
samaace|s ˈæ m ɑː s
samaacehu|s ˌæ m ɑː s ˈɛ h uː
samaahu|s æ m ˈɑː h uː
samaahute|s ˈæ m ɑː h j ˌuː t
samaako|s æ m ˈɑː k oʊ
samaane|s ˈæ m ɑː n
samaaneyaa|s ˈæ m ɑː n ˌaɪ  ɑː
samaaniyaa|s ˈæ m ɑː n ˌɪ j ɑː
samaanye|s ˈæ m ɑː n ˌaɪ
samaaru|s æ m ˈɑːɹ ɹ uː
samaawe|s ˈæ m ɑː w
samaayaate|s ˈæ m ɑː j ˌɑː t
samaaye|s ˈæ m ɑː ˌaɪ
samaritaine|s ɐ m ˈæ ɹ ɪ t ˌeɪ n
samas|s ˈɑː m ə z
sambo's|s ˈæ m b oʊ z
sambre|s ˈæ m b ɚ
same|s ˈeɪ m
samecee|s ˈeɪ m s iː
sameene|s ˈæ m iː n
sameta|s ˈæ m ɛ ɾ ə
sametanaale|s ˈæ m ɪ t ˌæ n ɑː l
sametawaale|s ˈæ m ɪ t ˌæ w ɑː l
sameto|s æ m ˈiː ɾ oʊ
samone|s ˈæ m ˌɑː n
samonu|s ˈæ m ˌɑː n uː
samovila|s ˌæ m uː v ˈɪ l ə
sample|s ˈæ m p əl
samples|s ˈæ m p əl z
samu|s ˈɑː m uː
san|s ˈæ n
sanaabate|s ˈæ n ɑː b ˌeɪ t
sanaafechee|s ˈæ n ɑː f ˌɛ tʃ iː
sanaaye|s ˈæ n ɑː ˌaɪ
sanade|s ˈæ n eɪ d
sanadoce|s ˈæ n ɐ d ˌoʊ s
sanadu|s æ n ˈɑː d uː
sanafe|s ˈæ n eɪ f
sanatorium|s ˌæ n ɐ t ˈoː ɹ iə m
sancre|s ˈæ ŋ k ɚ
sanctified|s ˈæ ŋ k t ᵻ f ˌaɪ d
sanctifies|s ˈæ ŋ k t ᵻ f ˌaɪ z
sanctimoniousness|s ˌæ ŋ k t ɪ m ˈoʊ n iə s n ə s
sanctities|s ˈæ ŋ k t ᵻ ɾ i z
sanctity|s ˈæ ŋ k t ᵻ ɾ i
sanctuary's|s ˈæ ŋ k t j uː ˌɛ ɹ i z
sand|s ˈæ n d
sandals|s ˈæ n d əl z
sandalwood|s ˈæ n d əl w ˌʊ d
sanderson's|s ˈæ n d ɚ s ə n z
sandow's|s ˈæ n d oʊ z
sandpiper|s ˈæ n d p ɪ p ɚ
sandringham|s ˈæ n d ɹ ɪ ŋ ˌæ m
sands|s ˈæ n d z
sandstones|s ˈæ n d s t oʊ n z
sandwich|s ˈæ n d w ɪ tʃ
sandy|s ˈæ n d i
