aa|ˈa a
pasinsugequoeti|p a s ɪ n s ʊ ɡ ɛ k w ˈɔɪ t ɪ
pasint|p ˈa s ɪ n t
pasioa|p a s ˈɪ  ɔ a
pasionbus|p a s ɪ  ˈɔ n b ʊ s 
pasionbuspasificammentemposideamus|p a s ɪ  ɔ n b ʊ s p a s ɪ f ɪ k a m m ɛ n t ɛ m p ɔ s ɪ d ˈɛ a m ʊ s
pasionedomniegerset|p a s ɪ  ɔ n ɛ d ɔ m n ɪ  ɛ ɡ ˈɛ r s ɛ t 
pasionesprenantur|p a s ɪ  ɔ n ɛ s p  r ɛ n ˈa n t ʊ r
pasiotamipats|p a s ɪ  ɔ t ˈa m ɪ p a t s
pasis|p ˈa s ɪ s 
pasisprobetur|p a s ɪ s p  r ˈɔ b ɛ t ʊ r
pasitea|p a s ˈɪ t ɛ a 
pasiterque|p a s ɪ t ˈɛ r k w ɛ
pasitessibiire|p a s ɪ t ɛ s s ɪ b ˈɪ ʔ ɪ r ɛ
pasitpusque|p a s ɪ t p ˈʊ s k w ɛ
pasiuns|p ˈa s ɪ  ʊ n s
pasm|p ˈa s m
pasmibeniss|p a s m ˈɪ b ɛ n ɪ s s
passe|p ˈa s s ɛ
passimtiproptemenompoteris|p a s s ɪ m t ɪ p  r ɔ p t ɛ m ɛ n ɔ m p ˈɔ t ɛ r ɪ s
passionbus|p a s s ɪ  ˈɔ n b ʊ s 
passionbuscetcoqupisensi|p a s s ɪ  ɔ n b ʊ s k ɛ t k ɔ k w p ɪ s ˈɛ n s ɪ
passionbusiret|p a s s ɪ  ɔ n b ˈʊ s ɪ r ɛ t
passioneinterdum|p a s s ɪ  ɔ n ɛ ɪ n t ˈɛ r d ʊ m
passiones|p a s s ˈɪ  ɔ n ɛ s
passiormcristi|p a s s ɪ  ɔ r m k  r ˈɪ s t ɪ
passisut|p ˈa s s ɪ s ʊ t
passiumto|p a s s ɪ  ˈʊ m t ɔ
passma|p ˈa s s m a
passpefruris|p a s s p ˈɛ f  r ʊ r ɪ s 
passut|p ˈa s s ʊ t
pastor|p ˈa s t ɔ r
pastoraenondominisis|p a s t ɔ r aɪ n ɔ n d ɔ m ˈɪ n ɪ s ɪ s
pastoris|p ˈa s t ɔ r ɪ s
pasums|p ˈa s ʊ m s
pasuumquatuor|p a s ʊ ʊ m k w ˈa t ʊ ɔ r
pat|p ˈa t
patbusfactesud|p a t b ʊ s f ˈa k t ɛ s ʊ d 
pate|p ˈa t ɛ
pateierfecta|p a t ɛ j j ɛ r f ˈɛ k t a
patemselestn|p a t ˈɛ m s ɛ l ɛ s t n
patentr|p ˈa t ɛ n t  r
pater|p ˈa t ɛ r
patercarisimennaufra|p a t ɛ r k a r ɪ s ɪ m ɛ n n ˈaʊ f  r a
paterdomnimeiesucistiquia|p a t ɛ r d ɔ m n ɪ m ɛ j j ɛ s ʊ k ɪ s t ˈɪ k w ɪ  a
patereius|p a t ɛ r ˈɛ j j ʊ s
paterexguitatemm|p a t ɛ r ɛ k s ɡ w ˈɪ t a t ɛ m m
paterfamidiasut|p a t ɛ r f a m ɪ d ˈɪ  a s ʊ t 
pateriusteet|p a t ɛ r ɪ  ˈʊ s t ɛ ɛ t
pateroptime|p a t ɛ r ˈɔ p t ɪ m ɛ
paterperpet|p a t ɛ r p ˈɛ r p ɛ t
patertuus|p a t ˈɛ r t ʊ ʊ s
patetoocasionea|p a t ɛ t ɔ ɔ k a s ɪ  ˈɔ n ɛ a
patgatu|p ˈa t ɡ a t ʊ
patgiaset|p a t ɡ ˈɪ  a s ɛ t
patgraretibiest|p a t ɡ  r a r ɛ t ˈɪ b ɪ  ɛ s t 
pati|p ˈa t ɪ
patiantur|p a t ɪ  ˈa n t ʊ r
patiaris|p a t ˈɪ  a r ɪ s 
patiatur|p a t ˈɪ  a t ʊ r
patiaturineo|p a t ɪ  a t ʊ r ˈɪ n ɛ ɔ
patibouitet|p a t ɪ b ˈɔ w ɪ t ɛ t 
patiels|p ˈa t ɪ  ɛ l s 
patiensa|p a t ɪ  ˈɛ n s a
patiensi|p a t ɪ  ˈɛ n s ɪ
patienteret|p a t ɪ  ˈɛ n t ɛ r ɛ t 
patientersessustine|p a t ɪ  ɛ n t ɛ r s ɛ s s ˈʊ s t ɪ n ɛ
patientretoportunesuderat|p a t ɪ  ɛ n t  r ɛ t ɔ p ɔ r t ʊ n ɛ s ˈʊ d ɛ r a t
patientum|p a t ɪ  ˈɛ n t ʊ m
patiergutibi|p a t ɪ  ɛ r ɡ ˈʊ t ɪ b ɪ
patierisadetrimet|p a t ɪ  ɛ r ɪ s a d ˈɛ t  r ɪ m ɛ t
patiete|p a t ˈɪ  ɛ t ɛ
patiquam|p ˈa t ɪ k w a m
patis|p ˈa t ɪ s
patisabolas|p a t ɪ s ˈa b ɔ l a s
patit|p ˈa t ɪ t
patogr|p ˈa t ɔ ɡ  r 
patres|p ˈa t  r ɛ s
patri|p ˈa t  r ɪ
patrie|p ˈa t  r ɪ  ɛ
patrimtarsump|p a t  r ɪ m t ˈa r s ʊ m p
patriselibenter|p a t  r ɪ s ɛ l ɪ b ˈɛ n t ɛ r
patriss|p ˈa t  r ɪ s s
patrm|p ˈa t  r m
pats|p ˈa t s
patsemfasmnondare|p a t s ɛ m f a s m n ˈɔ n d a r ɛ
patsiatu|p a t s ˈɪ  a t ʊ
patsiendumet|p a t s ɪ  ˈɛ n d ʊ m ɛ t
patsientarsinoumpote|p a t s ɪ  ɛ n t a r s ɪ n ɔ ˈʊ m p ɔ t ɛ
patsienter|p a t s ɪ  ˈɛ n t ɛ r
patsienterque|p a t s ɪ  ɛ n t ˈɛ r k w ɛ
patsilel|p ˈa t s ɪ l ɛ l
patsiliter|p a t s ˈɪ l ɪ t ɛ r
patsimttere|p a t s ˈɪ m tː ɛ r ɛ
patsm|p ˈa t s m
patum|p ˈa t ʊ m
paucae|p ˈaʊ k aɪ
paucaeexsomninumieut|p aʊ k aɪ ɛ k s s ɔ m n ɪ n ˈʊ m ɪ  ɛʊ t
paucis|p ˈaʊ k ɪ s
paucissoorissdetisscusitatiss|p aʊ k ɪ s s ɔ ɔ r ɪ s s d ɛ t ɪ s s k ʊ s ˈɪ t a t ɪ s s
paucorum|p ˈaʊ k ɔ r ʊ m
paucusexsuis|p aʊ k ʊ s ˈɛ k s s ʊ ɪ s
pauet|p ˈaʊ ɛ t 
pauis|p ˈaʊ ɪ s 
pauisternostris|p aʊ ɪ s t ɛ r n ˈɔ s t  r ɪ s
paulatim|p ˈaʊ l a t ɪ m
paulatimigredituruc|p aʊ l a t ɪ m ɪ ɡ  r ɛ d ˈɪ t ʊ r ʊ k
pauli|p ˈaʊ l ɪ
paulisper|p aʊ l ˈɪ s p ɛ r
paulisperet|p aʊ l ˈɪ s p ɛ r ɛ t 
paums|p ˈaʊ m s 
pauper|p ˈaʊ p ɛ r
paupere|p ˈaʊ p ɛ r ɛ
pauperesitur|p aʊ p ɛ r ˈɛ s ɪ t ʊ r 
pauperetegulintera|p aʊ p ɛ r ɛ t ɛ ɡ ʊ l ˈɪ n t ɛ r a
paupereties|p aʊ p ɛ r ˈɛ t ɪ  ɛ s 
pauperideuss|p aʊ p ˈɛ r ɪ d ɛʊ s s
pauperimecomedut|p aʊ p ɛ r ɪ m ɛ k ˈɔ m ɛ d ʊ t
pauperimus|p aʊ p ˈɛ r ɪ m ʊ s
pauperis|p ˈaʊ p ɛ r ɪ s
pauperisserbituui|p aʊ p ɛ r ɪ s s ɛ r b ɪ t ˈʊ w ɪ
paupermrspiritu|p aʊ p ɛ r m  r s p ˈɪ r ɪ t ʊ
paupersrecreare|p aʊ p ɛ r s  r ɛ k  r ˈɛ a r ɛ
pauperssit|p aʊ p ˈɛ r s s ɪ t
pauperta|p aʊ p ˈɛ r t a
paupertesquecunque|p aʊ p ɛ r t ɛ s k w ɛ k ˈʊ ŋ k w ɛ
paupreset|p ˈaʊ p  r ɛ s ɛ t
paupret|p ˈaʊ p  r ɛ t
pauprum|p ˈaʊ p  r ʊ m
paus|p ˈaʊ s
pausibolut|p aʊ s ˈɪ b ɔ l ʊ t
pausiiniminiam|p aʊ s ɪ ʔ ɪ n ɪ m ˈɪ n ɪ  a m
pausis|p ˈaʊ s ɪ s 
pausissibiip|p aʊ s ɪ s s ˈɪ b ɪ ʔ ɪ p 
pausit|p ˈaʊ s ɪ t
pausumtestmonmdiser|p aʊ s ʊ m t ɛ s t m ˈɔ n m d ɪ s ɛ r
pautis|p ˈaʊ t ɪ s
pax|p ˈa k s
paxcordis|p a k s k ˈɔ r d ɪ s
paxcortiss|p a k s k ˈɔ r t ɪ s s
paxedbera|p a k s ˈɛ d b ɛ r a
paxhilla|p a k s h ˈɪ l l a
paxioneibicor|p a k s ɪ  ɔ n ɛ ˈɪ b ɪ k ɔ r
paxionmet|p a k s ɪ  ˈɔ n m ɛ t
paxionpenit|p a k s ɪ  ˈɔ n p ɛ n ɪ t
paxipertub|p a k s ɪ p ˈɛ r t ʊ b
paxitus|p ˈa k s ɪ t ʊ s
paxmaniaet|p a k s m ˈa n ɪ  aɪ t
paxsexomniparte|p a k s s ɛ k s ɔ m n ɪ p ˈa r t ɛ
paxsfimancetreqi|p ˈeː  a  ˈɛ k s  ˈɛ s  ˈɛ f  ˈiː  ˈɛ m  a  ˈɛ n  k ˈeː  ɛ  t ˈeː  ˈɛ ɹ  ɛ  k w ˈuː  ˈiː
paxsolida|p a k s s ˈɔ l ɪ d a
paxtuaei|p a k s t ʊ ˈaɪ ɪ 
paxtuaret|p a k s t ˈʊ a r ɛ t
pbectare|p b ˈɛ k t a r ɛ
pbisareremisa|p b ɪ s a r ɛ r ˈɛ m ɪ s a
pbitet|p b ˈɪ t ɛ t
pboxsudisipuni|p b ɔ k s s ʊ d ɪ s ˈɪ p ʊ n ɪ
pbusmutis|p b ˈʊ s m ʊ t ɪ s
pcumilitates|p k ʊ m ɪ l ˈɪ t a t ɛ s
pd|p ˌeː d ˈeː
pdestatenp|p d ˈɛ s t a t ɛ n p
pdseptium|p d s ˈɛ p t ɪ  ʊ m
pdudecinis|p d ʊ d ˈɛ k ɪ n ɪ s
pe|p ˈɛ
pea|p ˈɛ a
pearbiaeta|p ɛ a r b ɪ  ˈaɪ t a 
peardet|p ɛ ˈa r d ɛ t
pearqute|p ɛ ˈa r k w t ɛ
pearraexeri|p ɛ a r ɾ ˈaɪ k s ɛ r ɪ
pearsipis|p ɛ ˈa r s ɪ p ɪ s
peatmenplspossit|p ɛ a t m ɛ n p l s p ˈɔ s s ɪ t
pebelio|p ɛ b ˈɛ l ɪ  ɔ
pecabidomnpecabi|p ɛ k a b ɪ d ɔ m n p ˈɛ k a b ɪ
pecante|p ɛ k ˈa n t ɛ
pecanti|p ɛ k ˈa n t ɪ
pecasicutrateselcutralique|p ɛ k a s ɪ k ʊ t  r a t ɛ s ɛ l k ʊ t  r ˈa l ɪ k w ɛ
pecata|p ˈɛ k a t a
pecataet|p ˈɛ k a t aɪ t 
pecate|p ˈɛ k a t ɛ 
pecatis|p ˈɛ k a t ɪ s
pecatiss|p ˈɛ k a t ɪ s s
pecatistuisiputa|p ɛ k a t ɪ s t ʊ ɪ s ˈɪ p ʊ t a
pecator|p ˈɛ k a t ɔ r
pecatores|p ɛ k ˈa t ɔ r ɛ s 
pecatoris|p ɛ k ˈa t ɔ r ɪ s
pecatorm|p ˈɛ k a t ɔ r m
pecatoruutidirecordasion|p ɛ k a t ɔ r ʊ ʊ t ɪ d ɪ r ɛ k ɔ r d ˈa s ɪ  ɔ n
pecattu|p ɛ k ˈa tː ʊ
pecatumsineggant|p ɛ k a t ʊ m s ɪ n ˈɛ ɡː a n t
peccunia|p ɛ kː ˈʊ n ɪ  a
peccunimposeta|p ɛ kː ʊ n ɪ m p ˈɔ s ɛ t a
pecosis|p ˈɛ k ɔ s ɪ s
pect|p ˈɛ k t
pecta|p ˈɛ k t a
pectat|p ˈɛ k t a t 
pectiba|p ˈɛ k t ɪ b a
pectu|p ˈɛ k t ʊ
pectudidinitatis|p ɛ k t ʊ d ɪ d ɪ n ˈɪ t a t ɪ s
pectus|p ˈɛ k t ʊ s
pectuscumisetrectus|p ɛ k t ʊ s k ʊ m ɪ s ɛ t  r ˈɛ k t ʊ s
pectut|p ˈɛ k t ʊ t
pectutuuo|p ɛ k t ʊ t ˈʊ w ɔ
pecularidbonuset|p ɛ k ʊ l a r ɪ d b ˈɔ n ʊ s ɛ t
peculassiunostr|p ɛ k ʊ l a s s ˈɪ  ʊ n ɔ s t  r
peculaur|p ˈɛ k ʊ l aʊ r
peculiareneibeniatu|p ɛ k ʊ l ɪ  a r ɛ n ɛ ɪ b ɛ n ˈɪ  a t ʊ
peculiares|p ɛ k ʊ l ˈɪ  a r ɛ s
pecuni|p ˈɛ k ʊ n ɪ
pecuniac|p ɛ k ˈʊ n ɪ  a k
pecunims|p ˈɛ k ʊ n ɪ m s
pecusaque|p ɛ k ˈʊ s a k w ɛ
pedbus|p ˈɛ d b ʊ s
pedcas|p ˈɛ d k a s
pedecanuos|p ɛ d ɛ k ˈa n ʊ ɔ s
pedecines|p ɛ d ˈɛ k ɪ n ɛ s
pedere|p ˈɛ d ɛ r ɛ 
pedes|p ˈɛ d ɛ s
pedesrescopias|p ɛ d ɛ s  r ɛ s k ˈɔ p ɪ  a s
pedesseiusaeiaseata|p ɛ d ɛ s s ɛ j j ʊ s aɪ j j a s ˈɛ a t a
pedestria|p ɛ d ˈɛ s t  r ɪ  a
pedetibus|p ɛ d ˈɛ t ɪ b ʊ s
pedissmistapisqonsectatus|p ˈeː  ɛ  d ˈeː  ˈiː  ˈɛ s  ˈɛ s  ˈɛ m  ˈiː  ˈɛ s  t ˈeː  a  p ˈeː  ˈiː  ˈɛ s  k w ˈuː  ˈoː  ˈɛ n  ˈɛ s  ɛ  k ˈeː  t ˈeː  a  t ˈeː  ˈuː  ˈɛ s
peditad|p ˈɛ d ɪ t a d
pedment|p ˈɛ d m ɛ n t
pedmesca|p ɛ d m ˈɛ s k a
pedmre|p ˈɛ d m  r ɛ
pedsatnanquequiaebus|p ɛ d s a t n a ŋ k w ɛ k w ɪ  ˈaɪ b ʊ s
pedumapeduneset|p ɛ d ʊ m a p ɛ d ˈʊ n ɛ s ɛ t
peesteinopia|p ɛ ɛ s t ɛ ɪ n ˈɔ p ɪ  a
peetsecuius|p ɛ ɛ t s ɛ k ˈʊ j j ʊ s
pef|p ˈɛ f
pegatemit|p ɛ ɡ ˈa t ɛ m ɪ t
pegrasatuamamebenturmcoufidu|p ɛ ɡ  r a s a t ʊ a m a m ɛ b ɛ n t ʊ r m k ɔ ˈʊ f ɪ d ʊ 
pei|p ˈɛ ɪ
peibitenmntotum|p ɛ ɪ b ɪ t ˈɛ n m n t ɔ t ʊ m 
peibus|p ˈɛ ɪ b ʊ s
peierumt|p ˈɛ j j ɛ r ʊ m t
peinanit|p ɛ ˈɪ n a n ɪ t 
peitecosteaut|p ɛ ɪ t ɛ k ˈɔ s t ɛ aʊ t
peiusasensit|p ɛ j j ʊ s a s ˈɛ n s ɪ t
peiusex|p ˈɛ j j ʊ s ɛ k s 
peiut|p ˈɛ j j ʊ t
pel|p ˈɛ l
pelar|p ˈɛ l a r 
pelass|p ˈɛ l a s s
pelatuoctud|p ɛ l a t ʊ ˈɔ k t ʊ d
pelatur|p ˈɛ l a t ʊ r
pelaturpuacalusinsuomefcit|p ɛ l a t ʊ r p ʊ a k a l ʊ s ɪ n s ʊ ɔ m ˈɛ f k ɪ t
pelatus|p ˈɛ l a t ʊ s
pelcquasquecitatisolicitas|p ɛ l k k w a s k w ɛ k ɪ t a t ɪ s ɔ l ˈɪ k ɪ t a s
pelectaresponiat|p ɛ l ɛ k t a r ɛ s p ˈɔ n ɪ  a t 
peles|p ˈɛ l ɛ s
peliquis|p ˈɛ l ɪ k w ɪ s
pelista|p ɛ l ˈɪ s t a
pelitesm|p ˈɛ l ɪ t ɛ s m
pelitus|p ˈɛ l ɪ t ʊ s 
pelmatibi|p ɛ l m ˈa t ɪ b ɪ
pelposteaqueiquamt|p ɛ l p ɔ s t ɛ a k w ˈɛ ɪ k w a m t
pelumge|p ɛ l ˈʊ m ɡ ɛ
pemanire|p ɛ m ˈa n ɪ r ɛ
pemissoerquab|p ɛ m ɪ s s ˈɔɪ r k w a b
pemom|p ˈɛ m ɔ m
pems|p ˈɛ m s
pemumacipere|p ɛ m ʊ m a k ˈɪ p ɛ r ɛ
pena|p ˈɛ n a
penasit|p ˈɛ n a s ɪ t
pendea|p ˈɛ n d ɛ a 
pendeiil|p ɛ n d ˈɛ j j ɪ l
pendensposalute|p ɛ n d ɛ n s p ɔ s ˈa l ʊ t ɛ
penede|p ˈɛ n ɛ d ɛ
peneicur|p ɛ n ˈɛ ɪ k ʊ r
penent|p ˈɛ n ɛ n t
pengt|p ˈɛ ŋ ɡ t
penietestela|p ɛ n ɪ  ɛ t ˈɛ s t ɛ l a
penis|p ˈɛ n ɪ s 
penit|p ˈɛ n ɪ t
peniteat|p ɛ n ˈɪ t ɛ a t 
penitratsalumetimfermu|p ɛ n ɪ t  r a t s a l ʊ m ɛ t ɪ m f ˈɛ r m ʊ
penm|p ˈɛ n m
penma|p ˈɛ n m a
pensat|p ˈɛ n s a t 
pensatratsion|p ɛ n s a t  r ˈa t s ɪ  ɔ n
pensibliscoretus|p ɛ n s ɪ b l ɪ s k ˈɔ r ɛ t ʊ s
pentismocolocasse|p ɛ n t ɪ s m ɔ k ɔ l ɔ k ˈa s s ɛ
pentitur|p ˈɛ n t ɪ t ʊ r
pentrat|p ˈɛ n t  r a t
pepetam|p ˈɛ p ɛ t a m
pequentrisitra|p ɛ k w ɛ n t  r ˈɪ s ɪ t  r a
per|p ˈɛ r
pera|p ˈɛ r a
perabu|p ˈɛ r a b ʊ 
peradae|p ˈɛ r a d aɪ
peranclusis|p ɛ r ˈa ŋ k l ʊ s ɪ s 
perantur|p ɛ r ˈa n t ʊ r 
perar|p ˈɛ r a r
perarebe|p ɛ r ˈa r ɛ b ɛ 
perarsitescomnicatsioniscitalesdunde|p ɛ r a r s ɪ t ɛ s k ɔ m n ɪ k a t s ɪ  ɔ n ɪ s k ɪ t a l ɛ s d ˈʊ n d ɛ
perate|p ˈɛ r a t ɛ
perbeitismoa|p ɛ r b ɛ ɪ t ˈɪ s m ɔ a 
perbenie|p ɛ r b ˈɛ n ɪ  ɛ
perbenis|p ˈɛ r b ɛ n ɪ s
perbenit|p ˈɛ r b ɛ n ɪ t
perbenitilam|p ɛ r b ɛ n ˈɪ t ɪ l a m 
perbenitur|p ɛ r b ˈɛ n ɪ t ʊ r
perbentarstude|p ɛ r b ɛ n t ˈa r s t ʊ d ɛ
perbentie|p ɛ r b ˈɛ n t ɪ  ɛ
perbentrinst|p ɛ r b ˈɛ n t  r ɪ n s t 
perbersis|p ɛ r b ˈɛ r s ɪ s
perbersoeti|p ɛ r b ɛ r s ˈɔɪ t ɪ
perbiemet|p ɛ r b ˈɪ  ɛ m ɛ t
perbin|p ˈɛ r b ɪ n
perbitmem|p ɛ r b ˈɪ t m ɛ m
perborisdmnuttion|p ɛ r b ɔ r ɪ s d m n ˈʊ tː ɪ  ɔ n
perbus|p ˈɛ r b ʊ s
percaeum|p ɛ r k ˈaɪ ʊ m
percomtemtum|p ɛ r k ɔ m t ˈɛ m t ʊ m
percopasionm|p ɛ r k ɔ p ˈa s ɪ  ɔ n m
perctua|p ˈɛ r k t ʊ a
percuetedorsumeum|p ɛ r k ʊ ɛ t ɛ d ˈɔ r s ʊ m ɛʊ m 
percuiuse|p ɛ r k ˈʊ j j ʊ s ɛ
percumilemcopessionm|p ɛ r k ʊ m ɪ l ɛ m k ɔ p ˈɛ s s ɪ  ɔ n m
percuristi|p ɛ r k ʊ r ˈɪ s t ɪ
percusus|p ˈɛ r k ʊ s ʊ s
percususestecumffila|p ɛ r k ʊ s ʊ s ɛ s t ɛ k ˈʊ m f f ɪ l a
perde|p ˈɛ r d ɛ
perdeumtea|p ɛ r d ˈɛʊ m t ɛ a
perdian|p ˈɛ r d ɪ  a n
perdibersormasella|p ɛ r d ɪ b ɛ r s ɔ r m a s ˈɛ l l a
perdibersos|p ɛ r d ɪ b ˈɛ r s ɔ s 
perdidittetpenurimperpesus|p ɛ r d ɪ d ɪ tː ɛ t p ɛ n ʊ r ɪ m p ˈɛ r p ɛ s ʊ s
perdieris|p ɛ r d ˈɪ  ɛ r ɪ s
perdipearneidensiam|p ɛ r d ɪ p ɛ a r n ɛ ɪ d ˈɛ n s ɪ  a m
perdita|p ˈɛ r d ɪ t a
perditsonm|p ɛ r d ˈɪ t s ɔ n m
perditu|p ˈɛ r d ɪ t ʊ
perduas|p ˈɛ r d ʊ a s 
perducasibita|p ɛ r d ʊ k a s ˈɪ b ɪ t a 
pere|p ˈɛ r ɛ
pereandembiam|p ɛ r ɛ a n d ˈɛ m b ɪ  a m
peredis|p ˈɛ r ɛ d ɪ s 
pereginatisanbe|p ɛ r ɛ ɡ ɪ n a t ɪ s ˈa n b ɛ
pereginietesserbiqui|p ɛ r ɛ ɡ ɪ n ɪ  ɛ t ɛ s s ˈɛ r b ɪ k w ɪ
peregrinisasit|p ɛ r ɛ ɡ  r ɪ n ˈɪ s a s ɪ t 
peregrinus|p ɛ r ˈɛ ɡ  r ɪ n ʊ s 
perentur|p ɛ r ˈɛ n t ʊ r
perepos|p ˈɛ r ɛ p ɔ s
perexpatoriscertiur|p ɛ r ɛ k s p a t ɔ r ɪ s k ˈɛ r t ɪ  ʊ r
perfect|p ˈɛ r f ɛ k t
perfectecousolarietadiubare|p ɛ r f ɛ k t ɛ k ɔ ʊ s ɔ l a r ɪ  ɛ t a d ɪ  ˈʊ b a r ɛ
perfectede|p ɛ r f ˈɛ k t ɛ d ɛ
perfectessutet|p ɛ r f ɛ k t ˈɛ s s ʊ t ɛ t 
perfectifuerunt|p ɛ r f ɛ k t ɪ f ˈʊ ɛ r ʊ n t
perfectm|p ˈɛ r f ɛ k t m
perfectorm|p ɛ r f ˈɛ k t ɔ r m
perfectos|p ɛ r f ˈɛ k t ɔ s
perfectu|p ɛ r f ˈɛ k t ʊ
perfenitad|p ɛ r f ˈɛ n ɪ t a d
perfers|p ˈɛ r f ɛ r s
perfexionmcobes|p ɛ r f ɛ k s ɪ  ˈɔ n m k ɔ b ɛ s 
perfexioranona|p ɛ r f ɛ k s ɪ  ɔ r ˈa n ɔ n a
perfexiorefunsit|p ɛ r f ɛ k s ɪ  ɔ r ɛ f ˈʊ n s ɪ t
perfexonsantorm|p ɛ r f ɛ k s ɔ n s ˈa n t ɔ r m
perfis|p ˈɛ r f ɪ s
perfisereautm|p ɛ r f ɪ s ˈɛ r ɛ aʊ t m
perfpisiendumbimostendumsedtucou|p ɛ r f p ɪ s ɪ  ɛ n d ʊ m b ɪ m ɔ s t ɛ n d ʊ m s ɛ d t ˈʊ k ɔ ʊ 
pergamus|p ˈɛ r ɡ a m ʊ s
pergres|p ˈɛ r ɡ  r ɛ s
pergrinar|p ˈɛ r ɡ  r ɪ n a r
peri|p ˈɛ r ɪ 
peribite|p ɛ r ˈɪ b ɪ t ɛ
pericolomortis|p ɛ r ɪ k ɔ l ɔ m ˈɔ r t ɪ s
pericqulis|p ɛ r ˈɪ k k w l ɪ s
periculimalm|p ɛ r ɪ k ˈʊ l ɪ m a l m
peridomnecor|p ɛ r ɪ d ˈɔ m n ɛ k ɔ r
periesetos|p ɛ r ɪ  ˈɛ s ɛ t ɔ s
periet|p ˈɛ r ɪ  ɛ t
perietur|p ɛ r ˈɪ  ɛ t ʊ r
perifinitasepulormassequla|p ɛ r ɪ f ɪ n ɪ t a s ɛ p ʊ l ɔ r m a s s ˈɛ k w l a
perimus|p ˈɛ r ɪ m ʊ s
perincomodumassucumba|p ɛ r ɪ ŋ k ɔ m ɔ d ʊ m a s s ʊ k ˈʊ m b a
perinss|p ˈɛ r ɪ n s s 
perinxsptab|p ɛ r ˈɪ ŋ k s s p t a b
peripatsientia|p ɛ r ɪ p a t s ɪ  ˈɛ n t ɪ  a 
peripositsonmamanus|p ɛ r ɪ p ɔ s ɪ t s ɔ n m ˈa m a n ʊ s
periqnacusqa|p ˈeː  ɛ  ˈɛ ɹ  ˈiː  k w ˈuː  ˈɛ n  a  k ˈeː  ˈuː  ˈɛ s  k w ˈuː  a
periqulea|p ɛ r ˈɪ k w l ɛ a
perireoosnom|p ɛ r ɪ r ɛ ɔ ˈɔ s n ɔ m
periri|p ˈɛ r ɪ r ɪ
peritim|p ˈɛ r ɪ t ɪ m
peritnecmortur|p ɛ r ɪ t n ɛ k m ˈɔ r t ʊ r
peritorumominmlatunuqueconuinirat|p ɛ r ɪ t ɔ r ʊ m ɔ m ɪ n m l a t ʊ n ʊ k w ɛ k ɔ n ʊ ˈɪ n ɪ r a t
peritsemtammadatormde|p ɛ r ɪ t s ɛ m t a m m a d a t ˈɔ r m d ɛ 
peritu|p ˈɛ r ɪ t ʊ
periturabia|p ɛ r ɪ t ʊ r ˈa b ɪ  a
periussionm|p ɛ r ɪ  ˈʊ s s ɪ  ɔ n m
permanere|p ɛ r m ˈa n ɛ r ɛ
permarepert|p ɛ r m ˈa r ɛ p ɛ r t
permaxme|p ɛ r m ˈa k s m ɛ
permiserisfieri|p ɛ r m ɪ s ɛ r ɪ s f ˈɪ  ɛ r ɪ
permisit|p ˈɛ r m ɪ s ɪ t
permite|p ˈɛ r m ɪ t ɛ
permittimus|p ɛ r m ˈɪ tː ɪ m ʊ s
permittt|p ˈɛ r m ɪ tː t
permixticum|p ɛ r m ˈɪ k s t ɪ k ʊ m
permnitions|p ɛ r m n ˈɪ t ɪ  ɔ n s
permorten|p ɛ r m ˈɔ r t ɛ n
permotussposteodiie|p ɛ r m ɔ t ʊ s s p ɔ s t ɛ ɔ d ˈɪ ʔ j j ɛ
permutaretepotessednomme|p ɛ r m ʊ t a r ɛ t ɛ p ɔ t ɛ s s ɛ d n ˈɔ m m ɛ
permutua|p ɛ r m ˈʊ t ʊ a
pernicem|p ˈɛ r n ɪ k ɛ m
perome|p ˈɛ r ɔ m ɛ 
peromi|p ˈɛ r ɔ m ɪ
peromiaa|p ɛ r ɔ m ˈɪ  a a
perorban|p ɛ r ˈɔ r b a n
perordinminsubsseliss|p ɛ r ɔ r d ɪ n m ɪ n s ˈʊ b s s ɛ l ɪ s s
perpadsiensam|p ɛ r p a d s ɪ  ˈɛ n s a m
perpaocis|p ɛ r p ˈa ɔ k ɪ s
perpas|p ˈɛ r p a s
perpatsientia|p ɛ r p a t s ɪ  ˈɛ n t ɪ  a
perpecatm|p ˈɛ r p ɛ k a t m
perpecatum|p ɛ r p ˈɛ k a t ʊ m
perpecatumperdidimusinnensiam|p ɛ r p ɛ k a t ʊ m p ɛ r d ɪ d ɪ m ʊ s ɪ n n ˈɛ n s ɪ  a m
perpersus|p ɛ r p ˈɛ r s ʊ s
perpessa|p ɛ r p ˈɛ s s a
perpetomabolmusperbenir|p ɛ r p ɛ t ɔ m a b ɔ l m ʊ s p ˈɛ r b ɛ n ɪ r
perpetrare|p ɛ r p ˈɛ t  r a r ɛ
perpetu|p ˈɛ r p ɛ t ʊ
perpetua|p ɛ r p ˈɛ t ʊ a
perpetuambitan|p ɛ r p ɛ t ʊ ˈa m b ɪ t a n
perpetum|p ˈɛ r p ɛ t ʊ m 
perquamadeeptusperireposit|p ɛ r k w a m a d ɛ ɛ p t ʊ s p ɛ r ɪ r ˈɛ p ɔ s ɪ t
perquamitura|p ɛ r k w a m ˈɪ t ʊ r a
perquamunibersaque|p ɛ r k w a m ʊ n ɪ b ˈɛ r s a k w ɛ
perro|p ˈɛ r ɾ ɔ
pers|p ˈɛ r s
