$|d ˈo l a
unavalia|ˌu n a v a l ˈi a
unavihitaji|ˌu n a v ˌi h i t ˈa ɟ i
unavipata|ˌu n a v i p ˈa t a
unavuma|ˌu n a v ˈu m a
unavuta|ˌu n a v ˈu t a
unavyo|u n ˈa v j o
unavyodhania|ˌu n a v j ˌo ð a n ˈi a
unavyofahamu|ˌu n a v j ˌo f a h ˈa m u
unavyofanya|ˌu n a v j o f ˈa ɲ a
unavyofikiria|ˌu n a v j ˌo f i k i r ˈi a
unavyofuliwa|ˌu n a v j ˌo f u l ˈi w a
unavyojua|ˌu n a v j o ɟ ˈu a
unavyokula|ˌu n a v j o k ˈu l a
unavyopanda|ˌu n a v j o p ˈa n d a
unavyotarajia|ˌu n a v j ˌo t a r a ɟ ˈi a
unavyotoka|ˌu n a v j o t ˈo k a
unawachukia|ˌu n a w ˌa tʃ u k ˈi a
unawadia|ˌu n a w a d ˈi a
unawapa|ˌu n a w ˈa p a
unawashurutisha|ˌu n a w ˌa ʃ u r u t ˈi ʃ a
unawavutia|ˌu n a w ˌa v u t ˈi a
unaweza|ˌu n a w ˈe z a
unawezaje|ˌu n a w e z ˈa ɟ e
unayakung'uta|ˌu n a j ˌa k u ŋ ˈu t a
unaye|u n ˈa j e
unayelenga|ˌu n a j e l ˈe ŋ ɡ a
unayemhukumu|ˌu n a j ˌe m h u k ˈu m u
unayemlilia|ˌu n a j ˌe m l i l ˈi a
unayemtumaini|ˌu n a j ˌe m t u m a ˈi n i
unayeyuka|ˌu n a j e j ˈu k a
unayo|u n ˈa j o
unayofaa|ˌu n a j o f ˈa a
unayoifanya|ˌu n a j ˌo i f ˈa ɲ a
unayoikaa|ˌu n a j ˌo i k ˈa a
unayoingia|ˌu n a j ˌo i ŋ ɡ ˈi a
unayoishabikia|ˌu n a j ˌo i ʃ ˌa b i k ˈi a
unayokutana|ˌu n a j ˌo k u t ˈa n a
unayopita|ˌu n a j o p ˈi t a
unayosikia|ˌu n a j ˌo s i k ˈi a
unayotenda|ˌu n a j o t ˈe n d a
unayotumia|ˌu n a j ˌo t u m ˈi a
unazidi|ˌu n a z ˈi d i
unaziingizia|ˌu n a z ˌi i ŋ ɡ i z ˈi a
unazilazimu|ˌu n a z ˌi l a z ˈi m u
unazimia|ˌu n a z i m ˈi a
unaziwezesha|ˌu n a z ˌi w e z ˈe ʃ a
unazoea|ˌu n a z o ˈe a
unazovuta|ˌu n a z o v ˈu t a
unazungumza|ˌu n a z u ŋ ɡ ˈu m z a
unazungushwa|ˌu n a z u ŋ ɡ ˈu ʃ w a
undan|ˈu n d a n
undani|u n d ˈa n i
undanröjs|u n d ˈa n  r o ɟ s
undantar|u n d ˈa n t a r
under|ˈu n d e r
underbar|u n d ˈe r b a r
underbara|ˌu n d e r b ˈa r a
underbare|ˌu n d e r b ˈa r e
undergräva|ˌu n d e r ɡ  r ˈa v a
underhållande|ˌu n d e r h a l l ˈa n d e
underhållning|ˌu n d e r h ˈa l l n i ŋ ɡ
underhållningsgeni|ˌu n d e r h ˌa l l n i ŋ ɡ s ɡ ˈe n i
underhållningsorkestern|ˌu n d e r h ˌa l l n i ŋ ɡ s o r  k ˈe s t e r n
underhållsavtal|ˌu n d e r h a l l s ˈa v t a l
underifrån|ˌu n d e r ˈi f  r a n
underlaget|ˌu n d e r l ˈa ɡ e t
underlagsmaterial|ˌu n d e r l ˌa ɡ s  m a t e r ˈi a l
underlivet|ˌu n d e r l ˈi v e t
underlätta|ˌu n d e r l ˈa t t a
underlåtenhet|ˌu n d e r l a t ˈe n h e t
undermåligt|ˌu n d e r  m ˈa l i ɡ t
underofficeren|ˌu n d e r ˌo f f i k ˈe r e n
underskatta|ˌu n d e r s  k ˈa t t a
underskotten|ˌu n d e r s  k ˈo t t e n
underskottet|ˌu n d e r s  k ˈo t t e t
underskrift|u n d ˈe r s k  r i f t
understiga|ˌu n d e r s t ˈi ɡ a
understreck|u n d ˈe r s t  r e k k
understyrning|u n d ˈe r s t j r n i ŋ ɡ
understödde|ˌu n d e r s t ˈo d d e
undersåtar|ˌu n d e r s ˈa t a r
undersöka|ˌu n d e r s ˈo k a
undersöker|ˌu n d e r s ˈo k e r
undersökning|ˌu n d e r s ˈo k n i ŋ ɡ
undersökningen|ˌu n d e r s o k n ˈi ŋ ɡ e n
undersökningsdomaren|ˌu n d e r s ˌo k n i ŋ ɡ s d o m ˈa r e n
undertecknad|ˌu n d e r t ˈe k k n a d
undertecknat|ˌu n d e r t ˈe k k n a t
undervisningen|ˌu n d e r v i s n ˈi ŋ ɡ e n
undflyende|u n d f l j ˈe n d e
undgå|ˈu n d ɡ a
undra|ˈu n d  r a
undrade|u n d  r ˈa d e
undrar|ˈu n d  r a r
undrat|ˈu n d  r a t
undvika|u n d v ˈi k a
undviker|u n d v ˈi k e r
unenao|ˌu n e n ˈa o
unene|u n ˈe n e
unesco|u n ˈe s k o
ung|ˈu ŋ ɡ
ung'aao|ˌu ŋ a ˈa o
ung'ong'o|u ŋ ˈo ŋ o
unga|ˈu ŋ ɡ a
ungali|u ŋ ɡ ˈa l i
ungalijua|ˌu ŋ ɡ a l i ɟ ˈu a
ungalikuja|ˌu ŋ ɡ a l i k ˈu ɟ a
ungalisikiliza|ˌu ŋ ɡ a l ˌi s i k i l ˈi z a
ungana|u ŋ ɡ ˈa n a
unganisha|ˌu ŋ ɡ a n ˈi ʃ a
ungano|u ŋ ɡ ˈa n o
ungar|ˈu ŋ ɡ a r
ungdom|ˈu ŋ ɡ d o m
ungdomar|u ŋ ɡ d ˈo m a r
ungdomarna|ˌu ŋ ɡ d o m ˈa r n a
unge|ˈu ŋ ɡ e
ungedhani|ˌu ŋ ɡ e ð ˈa n i
ungeenda|ˌu ŋ ɡ e ˈe n d a
ungefanya|ˌu ŋ ɡ e f ˈa ɲ a
ungefär|u ŋ ɡ ˈe f a r
ungeipenda|ˌu ŋ ɡ e i p ˈe n d a
ungekamilika|ˌu ŋ ɡ e k ˌa m i l ˈi k a
ungekuwa|ˌu ŋ ɡ e k ˈu w a
ungelijua|ˌu ŋ ɡ e l i ɟ ˈu a
ungelikosekana|ˌu ŋ ɡ e l ˌi k o s e k ˈa n a
ungemuuliza|ˌu ŋ ɡ e m ˌu u l ˈi z a
ungemwambia|ˌu ŋ ɡ e m w a m b ˈi a
ungeniambia|ˌu ŋ ɡ e n ˌi a m b ˈi a
ungenifanyia|ˌu ŋ ɡ e n ˌi f a ɲ ˈi a
ungenisaidia|ˌu ŋ ɡ e n ˌi s a i d ˈi a
ungeongozwa|ˌu ŋ ɡ e o ŋ ɡ ˈo z w a
ungepasua|ˌu ŋ ɡ e p a s ˈu a
ungepatikana|ˌu ŋ ɡ e p ˌa t i k ˈa n a
ungepeleke|ˌu ŋ ɡ e p e l ˈe k e
ungependa|ˌu ŋ ɡ e p ˈe n d a
ungesema|ˌu ŋ ɡ e s ˈe m a
ungetaka|ˌu ŋ ɡ e t ˈa k a
ungetuhifadhia|ˌu ŋ ɡ e t ˌu h i f a ð ˈi a
ungetusaidia|ˌu ŋ ɡ e t ˌu s a i d ˈi a
ungewa|u ŋ ɡ ˈe w a
ungewatii|ˌu ŋ ɡ e w a t ˈi i
ungeweza|ˌu ŋ ɡ e w ˈe z a
ungeziba|ˌu ŋ ɡ e z ˈi b a
ungezingatia|ˌu ŋ ɡ e z ˌi ŋ ɡ a t ˈi a
ungo|ˈu ŋ ɡ o
unguja|u ŋ ɡ ˈu ɟ a
unguu|u ŋ ɡ ˈu u
ungwana|u ŋ ɡ w ˈa n a
uni|ˈu n i
uniambie|ˌu n i a m b ˈi e
uniapie|ˌu n i a p ˈi e
unibashirie|ˌu n i b ˌa ʃ i r ˈi e
unichome|ˌu n i tʃ ˈo m e
unifafanulie|ˌu n i f ˌa f a n u l ˈi e
unifanyie|ˌu n i f a ɲ ˈi e
uniform|u n ˈi f o r m
uniformer|ˌu n i f ˈo r m e r
unifuate|ˌu n i f u ˈa t e
uniheshimu|ˌu n i h e ʃ ˈi m u
unijulishe|ˌu n i ɟ u l ˈi ʃ e
unik|ˈu n i k
unika|u n ˈi k a
unikt|ˈu n i k t
unikumbushe|ˌu n i k u m b ˈu ʃ e
uniletee|ˌu n i l e t ˈe e
unilishe|ˌu n i l ˈi ʃ e
uniokoe|ˌu n i o k ˈo e
union|u n ˈi o n
uniondolee|ˌu n i ˌo n d o l ˈe e
unionen|ˌu n i ˈo n e n
unipa|u n ˈi p a
unipasao|ˌu n i p a s ˈa o
unipatie|ˌu n i p a t ˈi e
unipe|u n ˈi p e
uniponye|ˌu n i p ˈo ɲ e
unirehemu|ˌu n i r e h ˈe m u
unirudie|ˌu n i r u d ˈi e
uniruhusu|ˌu n i r u h ˈu s u
unisaidia|ˌu n i s ˌa i d ˈi a
unisamehe|ˌu n i s a m ˈe h e
unite|u n ˈi t e
united|u n ˈi t e d
unitendee|ˌu n i t e n d ˈe e
unitie|ˌu n i t ˈi e
unitumikie|ˌu n i t ˌu m i k ˈi e
uniue|ˌu n i ˈu e
universalaffär|ˌu n i v ˌe r s a l ˈa f f a r
universitet|ˌu n i v e r s ˈi t e t
universiteten|ˌu n i v ˌe r s i t ˈe t e n
universitetet|ˌu n i v ˌe r s i t ˈe t e t
universitetsmänniskan|ˌu n i v ˌe r s i t ˌe t s  m a n n ˈi s k a n
universitetssjukhus|ˌu n i v ˌe r s i t e t s s ɟ ˈu x u s
universitetsvärlden|ˌu n i v ˌe r s i t e t s v ˈa r l d e n
university|ˌu n i v ˈe r s i t j
universum|ˌu n i v ˈe r s u m
uniwie|ˌu n i w ˈi e
unix|ˈu n i k s
unixmaskiner|ˌu n i k s  m a s  k ˈi n e r
unixsystem|u n ˈi k s s j s t e m
unixsäljare|ˌu n i k s s a l ɟ ˈa r e
unixware|ˌu n i k s w ˈa r e
unmik|ˈu n m i k
unnar|ˈu n n a r
unono|u n ˈo n o
unubini|ˌu n u b ˈi n i
unyago|u ɲ ˈa ɡ o
unyagoni|ˌu ɲ a ɡ ˈo n i
unyama|u ɲ ˈa m a
unyambwa|u ɲ ˈa m b w a
unyamwezi|ˌu ɲ a m w ˈe z i
unyang'anyi|ˌu ɲ a ŋ ˈa ɲ i
unyanganyi|ˌu ɲ a ŋ ɡ ˈa ɲ i
unyanjoka|ˌu ɲ a ɲ ɟ ˈo k a
unyanyapaa|ˌu ɲ a ɲ a p ˈa a
unyanyasaji|ˌu ɲ a ɲ a s ˈa ɟ i
unyasi|u ɲ ˈa s i
unyenyekevu|ˌu ɲ e ɲ e k ˈe v u
unyenyekevuyeye|ˌu ɲ e ɲ ˌe k e v u j ˈe j e
unyevu|u ɲ ˈe v u
unyevunyevu|ˌu ɲ e v u ɲ ˈe v u
unyofu|u ɲ ˈo f u
unyofuuendapo|ˌu ɲ o f ˌu u e n d ˈa p o
unyogovu|ˌu ɲ o ɡ ˈo v u
unyolewa|ˌu ɲ o l ˈe w a
unyonge|u ɲ ˈo ŋ ɡ e
unyumbufu|ˌu ɲ u m b ˈu f u
unywaji|ˌu ɲ u ˈa ɟ i
uo|ˈu o
uoga|u ˈo ɡ a
uogope|ˌu o ɡ ˈo p e
uogopi|ˌu o ɡ ˈo p i
uokoaji|ˌu o k o ˈa ɟ i
uombaji|ˌu o m b ˈa ɟ i
uonavyo|ˌu o n ˈa v j o
uonaye|ˌu o n ˈa j e
uonayo|ˌu o n ˈa j o
uondoavyo|ˌu o n d o ˈa v j o
uondoke|ˌu o n d ˈo k e
uone|u ˈo n e
uonekane|ˌu o n e k ˈa n e
uongeze|ˌu o ŋ ɡ ˈe z e
uongezekaji|ˌu o ŋ ɡ ˌe z e k ˈa ɟ i
uongezwe|ˌu o ŋ ɡ ˈe z w e
uongo|u ˈo ŋ ɡ o
uongozi|ˌu o ŋ ɡ ˈo z i
uoto|u ˈo t o
uovu|u ˈo v u
uovuhukumu|ˌu o v ˌu h u k ˈu m u
uovuitakuwa|ˌu o v ˌu i t a k ˈu w a
upaa|u p ˈa a
upadri|u p ˈa d  r i
upadrisho|ˌu p a d  r ˈi ʃ o
upambanaji|ˌu p a m b a n ˈa ɟ i
upambane|ˌu p a m b ˈa n e
upana|u p ˈa n a
upande|u p ˈa n d e
upanga|u p ˈa ŋ ɡ a
upanuzi|ˌu p a n ˈu z i
upapa|u p ˈa p a
upare|u p ˈa r e
upareni|ˌu p a r ˈe n i
upasuaji|ˌu p a s u ˈa ɟ i
upatanisho|ˌu p a t a n ˈi ʃ o
upate|u p ˈa t e
upatikanaji|ˌu p a t ˌi k a n ˈa ɟ i
upatikane|ˌu p a t i k ˈa n e
upe|ˈu p e
upekee|ˌu p e k ˈe e
upekuzi|ˌu p e k ˈu z i
upele|u p ˈe l e
upelelezi|ˌu p e l e l ˈe z i
upembezoni|ˌu p e m b e z ˈo n i
upembuzi|ˌu p e m b ˈu z i
upendapo|ˌu p e n d ˈa p o
upendaye|ˌu p e n d ˈa j e
upendeleo|ˌu p e n d e l ˈe o
upendezwi|ˌu p e n d ˈe z w i
upendo|u p ˈe n d o
upeno|u p ˈe n o
upenyo|u p ˈe ɲ o
upeperushwao|ˌu p e p ˌe r u ʃ w ˈa o
upepo|u p ˈe p o
upesi|u p ˈe s i
upewe|u p ˈe w e
upgrade|u p ɡ  r ˈa d e
upi|ˈu p i
upigaji|ˌu p i ɡ ˈa ɟ i
upiganaji|ˌu p i ɡ a n ˈa ɟ i
upigane|ˌu p i ɡ ˈa n e
upige|u p ˈi ɡ e
upigie|ˌu p i ɡ ˈi e
upili|u p ˈi l i
upimaji|ˌu p i m ˈa ɟ i
upinde|u p ˈi n d e
upindo|u p ˈi n d o
upingamizi|ˌu p i ŋ ɡ a m ˈi z i
upingi|u p ˈi ŋ ɡ i
upinzani|ˌu p i n z ˈa n i
upishi|u p ˈi ʃ i
upitapo|ˌu p i t ˈa p o
upo|ˈu p o
upoe|u p ˈo e
upofu|u p ˈo f u
upole|u p ˈo l e
uponyaji|ˌu p o ɲ ˈa ɟ i
uporaji|ˌu p o r ˈa ɟ i
upotevu|ˌu p o t ˈe v u
upotoe|ˌu p o t ˈo e
upotofu|ˌu p o t ˈo f u
upp|ˈu p p
uppblåsbar|u p p b l ˈa s b a r
uppbrotten|u p p b  r ˈo t t e n
uppdelad|u p p d ˈe l a d
uppdelning|u p p d ˈe l n i ŋ ɡ
uppdrag|ˈu p p d  r a ɡ
uppdraget|u p p d  r ˈa ɡ e t
uppe|ˈu p p e
uppehåll|u p p ˈe h a l l
uppehållit|ˌu p p e h ˈa l l i t
uppemot|u p p ˈe m o t
uppenbar|u p p ˈe n b a r
uppenbara|ˌu p p e n b ˈa r a
uppenbarelse|ˌu p p e n b a r ˈe l s e
uppenbarligen|ˌu p p e n b a r l ˈi ɡ e n
uppenbart|u p p ˈe n b a r t
uppfann|ˈu p p f a n n
uppfattar|u p p f ˈa t t a r
uppfattning|u p p f ˈa t t n i ŋ ɡ
uppfattningar|ˌu p p f a t t n ˈi ŋ ɡ a r
uppfattningen|ˌu p p f a t t n ˈi ŋ ɡ e n
uppfinning|u p p f ˈi n n i ŋ ɡ
uppfinningens|ˌu p p f i n n ˈi ŋ ɡ e n s
uppfinningsrikedom|ˌu p p f i n n ˌi ŋ ɡ s  r i k ˈe d o m
uppfordrande|ˌu p p f o r d  r ˈa n d e
uppfostrar|u p p f ˈo s t  r a r
uppfylla|ˈu p p f j l l a
uppfyllelse|u p p f j l l ˈe l s e
uppfälld|ˈu p p f a l l d
uppför|ˈu p p f o r
uppförs|ˈu p p f o r s
uppförsbacke|ˌu p p f o r s b ˈa k k e
uppfört|ˈu p p f o r t
uppgav|ˈu p p ɡ a v
uppgavs|ˈu p p ɡ a v s
uppge|ˈu p p ɡ e
uppgift|ˈu p p ɡ i f t
uppgiften|u p p ɡ ˈi f t e n
uppgifter|u p p ɡ ˈi f t e r
uppgifterna|ˌu p p ɡ i f t ˈe r n a
uppgraderade|ˌu p p ɡ  r a d e r ˈa d e
uppgång|ˈu p p ɡ a ŋ ɡ
uppgörelsen|ˌu p p ɡ o r ˈe l s e n
upphandlas|u p p h ˈa n d l a s
upphandlingen|ˌu p p h a n d l ˈi ŋ ɡ e n
upphaussat|ˌu p p h a ˈu s s a t
upphetsad|u p p h ˈe t s a d
upphetsning|u p p h ˈe t s n i ŋ ɡ
upphov|ˈu p p h o v
upphovsrätten|ˌu p p h o v s  r ˈa t t e n
upphävs|ˈu p p h a v s
upphöjt|ˈu p p h o ɟ t
upphör|ˈu p p h o r
upphörde|u p p h ˈo r d e
uppifrån|u p p ˈi f  r a n
uppknäppt|ˈu p p k n a p p t
uppköp|ˈu p p k o p
uppköpen|u p p  k ˈo p e n
uppköpstrenden|ˌu p p  k o p s t  r ˈe n d e n
upplands|ˈu p p l a n d s
uppleva|u p p l ˈe v a
upplevelser|ˌu p p l e v ˈe l s e r
upplever|u p p l ˈe v e r
upplevs|ˈu p p l e v s
upplevt|ˈu p p l e v t
upplysningstiden|ˌu p p l j s n i ŋ ɡ s t ˈi d e n
upplysningsverksamhet|ˌu p p l j s n i ŋ ɡ s v e r  k s ˈa m h e t
uppläggningsavgift|ˌu p p l a ɡ ɡ n i ŋ ɡ s ˈa v ɡ i f t
uppläst|ˈu p p l a s t
upplösning|u p p l ˈo s n i ŋ ɡ
uppmanar|u p p  m ˈa n a r
uppmanat|u p p  m ˈa n a t
uppmaning|u p p  m ˈa n i ŋ ɡ
uppmuntrande|ˌu p p  m u n t  r ˈa n d e
uppmärksamhet|ˌu p p  m a r  k s ˈa m h e t
uppmärksamheten|ˌu p p  m a r  k s a m h ˈe t e n
uppmärksammades|ˌu p p  m a r  k s a m  m ˈa d e s
uppmärksammas|ˌu p p  m a r  k s ˈa m m a s
uppmärksammat|ˌu p p  m a r  k s ˈa m m a t
uppmärksammats|ˌu p p  m a r  k s ˈa m m a t s
uppnå|ˈu p p n a
uppnåbara|ˌu p p n a b ˈa r a
uppnås|ˈu p p n a s
uppoffra_sig|u p p ˈo f f  r a s ˈi ɡ
upprepa|u p p  r ˈe p a
upprepade|ˌu p p  r e p ˈa d e
upprepades|ˌu p p  r e p ˈa d e s
upprepats|u p p  r ˈe p a t s
uppriktigt|u p p  r ˈi k t i ɡ t
upprorsmöten|ˌu p p  r o r s  m ˈo t e n
upprätthålla|ˌu p p  r a t θ ˈa l l a
upprätthållit|ˌu p p  r a t θ ˈa l l i t
upprörd|ˈu p p  r o r d
upprörda|u p p  r ˈo r d a
upprördhet|u p p  r ˈo r ð e t
upprördheten|ˌu p p  r o r ð ˈe t e n
upprört|ˈu p p  r o r t
uppseendeväckande|ˌu p p s e ˌe n d e v a k  k ˈa n d e
uppsjö|ˈu p p s ɟ o
uppskatta|u p p s  k ˈa t t a
uppskattar|u p p s  k ˈa t t a r
uppskattning|u p p s  k ˈa t t n i ŋ ɡ
uppskattningen|ˌu p p s  k a t t n ˈi ŋ ɡ e n
uppskjuten|u p p s  k ɟ ˈu t e n
uppskov|ˈu p p s k o v
uppslagsboken|ˌu p p s l a ɡ s b ˈo k e n
uppslutningens|ˌu p p s l u t n ˈi ŋ ɡ e n s
uppsnurrning|u p p s n ˈu r r n i ŋ ɡ
uppstigna|u p p s t ˈi ɡ n a
uppstod|ˈu p p s t o d
uppställda|u p p s t ˈa l l d a
uppståndelse|ˌu p p s t a n d ˈe l s e
uppstår|ˈu p p s t a r
uppstått|ˈu p p s t a t t
uppsyn|ˈu p p s j n
upptagen|u p p t ˈa ɡ e n
upptaget|u p p t ˈa ɡ e t
upptagna|u p p t ˈa ɡ n a
upptaxering|ˌu p p t a k s ˈe r i ŋ ɡ
upptog|ˈu p p t o ɡ
uppträda|u p p t  r ˈa d a
uppträdande|ˌu p p t  r a d ˈa n d e
upptäcker|u p p t ˈa k k e r
upptäcks|ˈu p p t a k k s
upptäckt|ˈu p p t a k k t
upptäckte|u p p t ˈa k k t e
uppväxtmässig|ˌu p p v a k s t  m ˈa s s i ɡ
uppå|ˈu p p a
uppåt|ˈu p p a t
upumbavu|ˌu p u m b ˈa v u
upumbavumacho|ˌu p u m b ˌa v u m ˈa tʃ o
upumbavumjumbe|ˌu p u m b ˌa v u m ɟ ˈu m b e
upumbavumoyo|ˌu p u m b ˌa v u m ˈo j o
upumuaji|ˌu p u m u ˈa ɟ i
upumuwaji|ˌu p u m u w ˈa ɟ i
upungufu|ˌu p u ŋ ɡ ˈu f u
upunguzaji|ˌu p u ŋ ɡ u z ˈa ɟ i
upuse|u p ˈu s e
upuuzi|ˌu p u ˈu z i
upuzi|u p ˈu z i
upwa|ˈu p w a
upya|ˈu p j a
upyaa|u p j ˈa a
ur|ˈu r
urafik|u r ˈa f i k
urafiki|ˌu r a f ˈi k i
urahisi|ˌu r a h ˈi s i
uraibu|ˌu r a ˈi b u
urais|u r ˈa i s
uraisi|ˌu r a ˈi s i
urambo|u r ˈa m b o
uran|ˈu r a n
urasimi|ˌu r a s ˈi m i
urasimu|ˌu r a s ˈi m u
urassa|u r ˈa s s a
uratibishaji|ˌu r a t ˌi b i ʃ ˈa ɟ i
urazini|ˌu r a z ˈi n i
urbano|u r b ˈa n o
urberget|u r b ˈe r ɡ e t
urblåsta|u r b l ˈa s t a
urdrucken|u r d  r ˈu k k e n
urdruckna|u r d  r ˈu k k n a
ureda|u r ˈe d a
urefu|u r ˈe f u
urekebishaji|ˌu r e k ˌe b i ʃ ˈa ɟ i
urembe|u r ˈe m b e
urembesho|ˌu r e m b ˈe ʃ o
urembo|u r ˈe m b o
ureno|u r ˈe n o
urethra|u r ˈe θ  r a
urholkades|ˌu r h o l  k ˈa d e s
uria|u r ˈi a
urimu|u r ˈi m u
urithi|u r ˈi θ i
uro|ˈu r o
urojo|u r ˈo ɟ o
urojorojo|ˌu r o ɟ o r ˈo ɟ o
uropa|u r ˈo p a
urskog|ˈu r s k o ɡ
ursprungligen|ˌu r s p  r u ŋ ɡ l ˈi ɡ e n
ursäkt|ˈu r s a k t
ursäkta|u r s ˈa k t a
ursäkter|u r s ˈa k t e r
uru|ˈu r u
urudi|u r ˈu d i
urudiaji|ˌu r u d i ˈa ɟ i
urudishwe|ˌu r u d ˈi ʃ w e
uruguay|ˌu r u ɡ ˈu a j
urujuani|ˌu r u ɟ u ˈa n i
urusi|u r ˈu s i
urval|ˈu r v a l
urvalsmetoderna|ˌu r v a l s  m ˌe t o d ˈe r n a
us|ˈu s
usa|ˈu s a
usafi|u s ˈa f i
usafiri|ˌu s a f ˈi r i
usafirishaji|ˌu s a f ˌi r i ʃ ˈa ɟ i
usafwa|u s ˈa f w a
usagara|ˌu s a ɡ ˈa r a
usage|u s ˈa ɡ e
usahihi|ˌu s a h ˈi h i
usaidiwe|ˌu s a i d ˈi w e
usaidizi|ˌu s a i d ˈi z i
usaili|ˌu s a ˈi l i
usajili|ˌu s a ɟ ˈi l i
usajiri|ˌu s a ɟ ˈi r i
usakataji|ˌu s a k a t ˈa ɟ i
usalama|ˌu s a l ˈa m a
usambaa|ˌu s a m b ˈa a
usambaaji|ˌu s a m b a ˈa ɟ i
usambara|ˌu s a m b ˈa r a
usambazaji|ˌu s a m b a z ˈa ɟ i
usamehevu|ˌu s a m e h ˈe v u
usangi|u s ˈa ŋ ɡ i
usangu|u s ˈa ŋ ɡ u
usanifu|ˌu s a n ˈi f u
usanii|ˌu s a n ˈi i
usas|ˈu s a s
usawa|u s ˈa w a
usch|ˈu s tʃ
use|ˈu s e
useamao|ˌu s e a m ˈa o
used|ˈu s e d
useja|u s ˈe ɟ a
usemalo|ˌu s e m ˈa l o
usemao|ˌu s e m ˈa o
usemavyo|ˌu s e m ˈa v j o
usemaye|ˌu s e m ˈa j e
usemi|u s ˈe m i
usemwe|u s ˈe m w e
ushabiki|ˌu ʃ a b ˈi k i
ushahidi|ˌu ʃ a h ˈi d i
ushaidi|ˌu ʃ a ˈi d i
ushairi|ˌu ʃ a ˈi r i
ushamba|u ʃ ˈa m b a
ushambuliaji|ˌu ʃ a m b ˌu l i ˈa ɟ i
ushanga|u ʃ ˈa ŋ ɡ a
ushangao|ˌu ʃ a ŋ ɡ ˈa o
ushangilie|ˌu ʃ a ŋ ɡ i l ˈi e
ushapanda|ˌu ʃ a p ˈa n d a
ushashi|u ʃ ˈa ʃ i
ushibe|u ʃ ˈi b e
ushinda|u ʃ ˈi n d a
ushindani|ˌu ʃ i n d ˈa n i
ushinde|u ʃ ˈi n d e
ushindi|u ʃ ˈi n d i
ushiri|u ʃ ˈi r i
ushirika|ˌu ʃ i r ˈi k a
ushiriki|ˌu ʃ i r ˈi k i
ushirikiano|ˌu ʃ i r ˌi k i ˈa n o
ushirikina|ˌu ʃ i r i k ˈi n a
ushuhuda|ˌu ʃ u h ˈu d a
ushujaa|ˌu ʃ u ɟ ˈa a
ushukavyo|ˌu ʃ u k ˈa v j o
ushuke|u ʃ ˈu k e
ushupavu|ˌu ʃ u p ˈa v u
ushuru|u ʃ ˈu r u
usi|ˈu s i
usiache|ˌu s i ˈa tʃ e
usiambie|ˌu s i a m b ˈi e
usiamini|ˌu s i a m ˈi n i
usiangusha|ˌu s i a ŋ ɡ ˈu ʃ a
usibete|ˌu s i b ˈe t e
usibishane|ˌu s i b i ʃ ˈa n e
usichague|ˌu s i tʃ a ɡ ˈu e
usichelewe|ˌu s i tʃ e l ˈe w e
usichezee|ˌu s i tʃ e z ˈe e
usichimbe|ˌu s i tʃ ˈi m b e
usichopanda|ˌu s i tʃ o p ˈa n d a
usichotaka|ˌu s i tʃ o t ˈa k a
usichoweka|ˌu s i tʃ o w ˈe k a
usidanganye|ˌu s i d a ŋ ɡ ˈa ɲ e
usidharau|ˌu s i ð a r ˈa u
usiende|ˌu s i ˈe n d e
usiendelee|ˌu s i ˌe n d e l ˈe e
usifadhaike|ˌu s i f ˌa ð a ˈi k e
usifanye|ˌu s i f ˈa ɲ e
usifanyike|ˌu s i f a ɲ ˈi k e
usife|u s ˈi f e
usifikirie|ˌu s i f ˌi k i r ˈi e
usifurahi|ˌu s i f u r ˈa h i
usifute|ˌu s i f ˈu t e
usigeuke|ˌu s i ɡ e ˈu k e
usihalifu|ˌu s i h a l ˈi f u
usiiache|ˌu s i i ˈa tʃ e
usiibe|ˌu s i ˈi b e
usiichague|ˌu s i ˌi tʃ a ɡ ˈu e
usiifunue|ˌu s i ˌi f u n ˈu e
usiiharibu|ˌu s i ˌi h a r ˈi b u
usiikaze|ˌu s i i k ˈa z e
usiingie|ˌu s i i ŋ ɡ ˈi e
usiiondoe|ˌu s i ˌi o n d ˈo e
usiisahau|ˌu s i ˌi s a h ˈa u
usiitazame|ˌu s i ˌi t a z ˈa m e
usiiuze|ˌu s i i ˈu z e
usijali|ˌu s i ɟ ˈa l i
usijaribu|ˌu s i ɟ a r ˈi b u
usije|u s ˈi ɟ e
usijifiche|ˌu s i ɟ i f ˈi tʃ e
usijikazie|ˌu s i ɟ ˌi k a z ˈi e
usijilipize|ˌu s i ɟ ˌi l i p ˈi z e
usijinyime|ˌu s i ɟ i ɲ ˈi m e
usijiongezee|ˌu s i ɟ ˌi o ŋ ɡ e z ˈe e
usijishughulishe|ˌu s i ɟ ˌi ʃ u ɣ u l ˈi ʃ e
usijisifu|ˌu s i ɟ i s ˈi f u
usijisumbue|ˌu s i ɟ ˌi s u m b ˈu e
usijitaabishe|ˌu s i ɟ ˌi t a a b ˈi ʃ e
usijitukuze|ˌu s i ɟ ˌi t u k ˈu z e
usijiudhi|ˌu s i ɟ i ˈu ð i
usijivune|ˌu s i ɟ i v ˈu n e
usijue|ˌu s i ɟ ˈu e
usikae|ˌu s i k ˈa e
usikasirike|ˌu s i k ˌa s i r ˈi k e
usikawie|ˌu s i k a w ˈi e
usiketi|ˌu s i k ˈe t i
usikhofu|ˌu s i x ˈo f u
