aachen|AA K EH0 N
svartpeppar|S V AE T P EH P AE R
svartsenap|S V AE T S EH0 N AE P
svartsnäppa|S V AE RRR T S N EH P AE
svarttärna|S V AE RRR T T UH1 RRR N AE
svarv|S V AE RRR V
svavel|S V AA V EH L
sveg|S V EH0 G
svek|S V EH0 K
sven|S V EH N
svensk|S V EH N S K
svenska|S V EH N S K AE
svenskjävel|S V EH N S K Y EH V EH L
sverige|S V EH RRR Y EH
svika|S V IY K AE
svit|S V IY T
svor|S V UW RRR
svärd|S V AE RRR D
svärta|S V EH T AE
svåger|S V OW0 G AH0 RRR
svår|S V OW0 RRR
svårt|S V OW0 T
swisha|S W IH SH AE
syd|S Y UW1 D
sydafrikansk|S D AE F RRR IY K AE N S K
sydkorea|S Y UW1 D K UH RRR EH0 AE
sydsamiska|S Y UW1 D S AA M IH S K AE
syl|S Y UW1 L
syll|S L
sylt|S L T
sylta|S L T AE
sylvass|S Y UW1 L V AE S
symfoni|S M F UH N IY
symfoniorkester|S M F UH N IY AO RRR K EH S T EH RRR
syntes|S N T EH0 S
syra|S Y UW1 RRR AE
syrak|S Y UW1 RRR AE K
syre|S Y UW1 RRR EH
syrra|S RRR AE
syssling|S S L IH NG
syssna|S S N AE
systemet|S S T EH0 M EH T
syster|S S T EH RRR
sädesfrö|S EH D EH S F RRR OE
sädgås|S EH D G OW0 S
säga|S EH Y AE
säl|S EH L
sälarna|S AE L AE N AE
sälg|S EH L Y
sälja|S EH L Y AE
säljare|S EH L Y AE RRR EH0
säll|S EH L
säng|S EH NG
sängram|S EH NG RRR AA M
säpo|S EH P UH
särbo|S EH RRR B UW
särskild|S EH RRR IH L D
särskrivning|S EH RRR S K RRR IY V N IH NG
sätt|S EH T
sävsångare|S EH V S AO NG AE RRR EH
så|S OW0
såg|S OW0 G
sågverk|S OW0 G V EH RRR K
sån|S AO N
sång|S AO NG
sångsvan|S AO NG S V AA N
sånär|S AO N EH RRR
sår|S OW0 RRR
sås|S OW0 S
söder|S OE D AH0 RRR
södermanland|S ER RRR M L AE N D
södertälje|S ER D EH T EH L Y EH
sökbar|S OE K B AA RRR
söm|S ER M
sömn|S ER M N
söndag|S ER N D AA G
söt|S OE T
sötebröd|S OE T EH B RRR OE D
sötebrödsdagar|S OE T EH B RRR OE D S D AA G AE RRR
sött|S ER T
söul|S OE UW L
t|T EH0
ta|T AA
tabbe|T AE B EH
tack|T AE K
tag|T AA G
taggstjärtseglare|T AE G EH T S EH0 G L AE R EH
taiwanmes|T AE Y W AE N M EH0 S
tajgasädgås|T AE Y G AE G OW0 S
tajgasångare|T AE Y G AE S AO NG AE RRR EH
tak|T AA K
tala|T AA L AE
talang|T AE L AE NG
talko|T AE L K AO
tall|T AE L
tallbit|T AE L B IY T
tallgråmes|T AE L G R OW0 M EH0 S
talong|T AE L AO NG
tambur|T AE M B UW RRR
tand|T AE N D
tango|T AE NG G UH
tanig|T AA N IH G
tanke|T AE NG K EH
tankesmedja|T AE NG K EH S M EH0 D Y AE
tant|T AE N T
tarzan|T AE SH AE N
tasse|T AE S EH
tassemark|T AE S EH M AE RRR K
tatarfalk|T AE T AA RRR F AE L K
tatta|T AE T AE
tattare|T AE T AE RRR EH0
tatuera|T AE T UH EH0 RRR AE
te|T EH0
team|T IY M
teg|T EH0 G
telefon|T EH L EH F UW N
television|T EH L EH V IH UW N
teoretiker|T EH UH RRR EH0 T IH K EH RRR
teoretisk|T EH UH RRR EH0 T IH S K
teori|T EH UH RRR IY
tepumla|T EH0 P UH M L AE
terapeut|T AE RRR AE P EH V T
terapeutisk|T EH0 RRR AE P EH0 F T IH S K
terbium|T EH RRR B IH UH M
tereksnäppa|T EH RRR EH K S N EH P AE
teve|T EH0 V EH
therese|T EH RRR EH0 S
thunberg|T UW N B AE RRR Y
tid|T IY D
tiden|T IY N
tidning|T IY N IH NG
tiger|T IY G EH RRR
tik|T IY K
tikar|T IY K AE RRR
tiken|T IY K EH N
till|T IH L
tillbaka|T IH L B AA K AE
tillförordnad|T IH L F ER RRR OW0 RRR D N AE D
tillhandahålla|T IH L HH AE N D AE HH AO L AE
tills|T IH S
tillsammans|T IH L S AE M AE N S
tillverkare|T IH L V EH RRR K AE RRR EH
timmar|T IH M AE RRR
tina|T IY N AE
tio|T IY UH
tionde|T IY AO N D EH
tisdag|T IY S D AA G
titan|T IH T AA N
titel|T IH T EH L
tivoli|T IH V UH L IY
tja|SH AE
tjabba|SH AE B AE
tjalla|SH AE L AE
tjeck|SH EH K
tjej|SH EH Y
tjena|SH EH0 N AE
tjenare|SH EH0 N AE RRR EH
tjenixen|SH EH0 N IH K S EH N
tji|SH IY
tjock|SH AO K
tjockfot|AO K F UW T
tjog|SH OW0 G
tjorre|SH AO RRR EH
tjuga|SH UW G AE
tjugo|SH UH
tjugonde|SH UW G AO N D EH
tjugotredje|SH UW G UH T RRR EH0 D Y EH0
tjur|SH UW RRR
tjuring|SH UW RRR IH NG
tjusa|SH UW S AE
tjuta|SH UW T AE
tjuv|SH UW V
tjuvsena|SH UW V S EH0 N AE
tjänare|EH N SH EH0 N AE RRR EH
tjänixen|SH EH N IH K S EH N
tjära|SH EH RRR AE
tjärn|SH EH RRR N
tjôta|SH ER T AE
tjöta|SH ER T AE
toa|T UW AE
toalett|T UW AE L EH T
tobak|T UW B AE K
tobisgrissla|T UW B IH S G RRR IH S L AE
toffelhjälte|T AO F EH L Y EH L T EH
tofflor|T AO F L UH R
tofslunne|T AO F S L UH N EH
tofsvipa|T AO F S V IY P AE
tog|T UW G
tok|T UW K
tolfte|T AO L F T EH
tolv|T AO L V
tom|T UW M
tomte|T AO M T EH0
tomten|T AO M T EH N
ton|T AO N
tonartshöjning|T UW N AE RRR T S HH ER Y N IH NG
toppskarv|T AO P S K AE RRR V
tor|T UW RRR
torg|T AO RRR Y
torium|T UW RRR IH UH M
tornedalen|T OW0 RRR N EH D AA L EH N
tornedalsfinska|T OW0 RRR N EH D AA L S F IH N S K AE
tornseglare|T UW NG S EH0 G L AE R EH
torsdag|T UW RRR S D AA G
toscakaka|T AO S K AE K AA K AE
total|T UH T AA L
tragedi|T RRR AE EH D IY
trapp|T R AE P
trast|T RRR AE S T
trastsångare|T RRR AE S T S AO NG AE RRR EH
tre|T RRR EH0
tredje|T RRR EH0 D Y EH
tremänning|T RRR EH0 M EH N IH NG
tretal|T RRR EH0 T AA L
trettio|T RRR EH T IH UH
tretton|T RRR EH T AO N
triljard|T RRR IH L Y AA RRR D
triljon|T RRR IH L Y UW N
trivas|T RRR IY V AE S
trivsel|T RRR IH V S EH0 L
tro|T RRR UW
troca|T RRR AO K AE
troll|T RRR AO L
trolla|T RRR AO L AE
tromsø|T RRR UH M S ER
tron|T RRR UW N
trona|T RRR N AE
tror|T RRR UW RRR
trosa|T RRR UW S AE
truga|T RRR UW G AE
trumpet|T RRR UH M P EH0 T
trä|T RRR EH
träd|T RRR EH D
trädgård|T RRR EH G AO RRR D
trädmås|T RRR EH D M OW0 S
trädpiplärka|T RRR EH D P IY P L EH RRR K AE
träl|T RRR EH L
träldom|T RRR EH L D UH M
träna|T RRR EH N AE
tränga|T RRR EH NG AE
tråd|T RRR OW0 D
tråg|T RRR OW0 G
tröska|SH EH RRR T UH1 RRR N AE
tsar|T S AA RRR
tsunami|T S UW N AA M IH
tuff|T UH F
tukan|T UH K AA N
tundrasnäppa|T UH N D RRR AE S N EH P AE
tundravarg|T UH N D RRR AE V AE RRR Y
tung|T UH NG
tunga|T UH NG AE
tungel|T UH NG EH L
tunnbröd|T UH N B RRR ER D
tunnbrödsrulle|T UH N B RRR ER D S RRR UH L EH
tunnel|T UH N EH L
tunnelbana|T UH N EH L B AA N AE
turban|T UH RRR B AA N
turkestantörnskata|T UH RRR K EH S T AA N T OE RRR N S K AA T AE
tusen|T UW S EH N
tuvsnäppa|T UW V S N EH P AE
tv|T EH0 V EH
tvedräkt|T V EH0 D RRR EH K T
tveeggad|T V EH0 EH G AE D
tvegifte|T V EH0 Y IH F T EH
tvehågsen|T V EH0 HH OW0 G S EH N
tvehövdad|T V EH0 HH ER V D AE D
tvesovla|T V EH0 S OW0 V L AE
tvestjärt|T V EH0 EH RRR T
tvivla|T V IY V L AE
tvärtom|T V EH T AO M
tvättbjörn|T V EH T B Y OE N
tvätterska|T V EH T EH SH K AE
tvättmedel|T V EH T M EH0 D EH L
två|T V OW0
tvång|T V AO NG
tvångssvenska|T V AO NG S S V EH N S K AE
ty|T Y UW1
tycka|T K AE
tyda|T Y UW1 D AE
tyg|T Y UW1 G
tygelmes|T Y UW1 G EH L M EH0 S
tygeltärna|T Y UW1 G EH L T UH1 RRR N AE
tykobrahedag|T K UH B RRR AA EH D AA G
tyngst|T NG S T
tysk|T S K
tyska|T S K AE
tyskland|T S K L AE N D
tyst|T S T
tzatziki|T S AE T S IY K IH
täcke|T EH K EH
täckt|T EH K T
täkt|T EH K T
tända|T EH N D AE
tänkte|T EH NG K T EH
tärnmås|T EH RRR N M OW0 S
tå|T OW0
tåg|T OW0 G
tår|T OW0 RRR
tö|T OE
töras|T OE RRR AE S
törnekrona|T OE RRR N EH K RRR UW N AE
törnskata|T OE RRR N S K AA T AE
u|UW
uefa|UH EH0 F AE
uer|UW EH RRR
ugn|UH NG N
ukulele|UH K UH L EH0 L EH
ull|UH L
ulla|UH L AE
ulrika|UH L RRR IY K AE
ulv|UH L V
umeå|UW M EH AO
under|UH N D EH RRR
ung|UH NG
ungefär|UH NG EH F AE RRR
universitet|UH N IH V EH SH IH T EH0 T
upp|UH P
uppehålla|UH P EH HH AO L AE
upprätt|UH P RRR EH T
upprätthålla|UH P RRR EH T HH AO L AE
uppsala|UH P S AA L AE
uppsaliensisk|UH P S AE L IH EH N S IH S K
uppstyrdhet|UH P S T Y UW1 RRR D HH EH0 T
uppträda|UH P T RRR EH D AE
uppträdande|UH P T RRR EH D AE N D EH0
uppvisning|UH P V IY S N IH NG
uppå|UH P OW0
ur|UW RRR
uran|UH RRR AA N
uranus|UH RRR AA N UH S
urgammal|UH RRR G AE M AE L
ursäkta|UW SH EH K T AE
usa|UW EH S AA
usch|UH
usel|UW S EH L
ut|UW T
utan|UW T AE N
utanför|UW T AE N F ER RRR
utbrott|UW T B RRR AO T
utge|UW T Y EH0
utgång|UW T G AO NG
utom|UW T AO M
utropa|UW T RRR UW P AE
utslag|UW T S L AA G
uttryck|UW T T RRR K
uv|UW V
uzbek|UH S B EH0 K
va|V AA
vabba|V AE B AE
vaccin|V AE K S IY N
vacker|V AE K EH RRR
vad|V AA D
vadstena|V AE S T EH0 N AE
vagnmakare|V AE NG N M AA K AE RRR EH
vaj|V AE Y
vaja|V AE Y AE
vajsing|V AE Y S IH NG
vakna|V AA K N AE
vakta|V AE K T AE
val|V AA L
valack|V AE L AE K
valacka|V AE L AE K AE
valfläsk|V AA L F L EH S K
valk|V AE L K
valka|V AE L K AE
valkning|V AE L K N IH NG
valsverk|V AE L S V EH RRR K
vampyr|V AE M P Y UW1 RRR
van|V AA N
vandrare|V AE N D RRR AE RRR EH
vandringsord|V AE N D RRR IH NG S UW RRR D
vann|V AE N
vapen|V AA P EH N
var|V AA R
vara|V AA RRR AE
varandra|V AE RRR AE N D RRR AE
varann|V AE RRR AE N
varest|V AA RRR EH S T
varfågel|V AA RRR F OW0 G EH L
varför|V AA RRR F ER RRR
varg|V AE RRR Y
vargatid|V AE RRR Y AE T IY D
vargavinter|V AE RRR Y AE V IH N T EH RRR
vargaväder|V AE RRR Y AE V EH D EH RRR
vargbiten|V AE RRR Y B IY T EH N
vargflock|V AE RRR Y F L AO K
varggrin|V AE RRR Y G RRR IY N
varggrop|V AE RRR Y G RRR UW P
varghagel|V AE RRR Y HH AA G EH L
varghund|V AE RRR Y HH UH N D
varginna|V AE RRR Y IH N AE
vargjakt|V AE RRR Y Y AE K T
vargpar|V AE RRR Y P AA RRR
vargpäls|V AE RRR Y P EH L S
vargrevir|V AE RRR Y RRR EH V IY RRR
vargskinn|V AE RRR Y IH N
vargspår|V AE RRR Y S P OW0 RRR
vargstam|V AE RRR Y S T AE M
vargtimma|V AE RRR Y T IH M AE
vargtimme|V AE RRR Y T IH M EH0
vargtjut|V AE RRR Y SH UW T
vargton|V AE RRR Y T UW N
vargunge|V AE RRR Y UH NG EH
vargvalp|V AE RRR Y V AE L P
varit|V AA T
varken|V AE RRR K EH N
varm|V AE RRR M
varmt|V AE RRR M T
vars|V AA RRR S
varse|V AA SH EH
varsågod|V AA RRR S AO G UW D
vart|V AA RRR T
varv|V AE RRR V
vas|V AA S
vasa|V AE S AA
vass|V AE S
vatten|V T EH N
vattenrall|V AE T EH N R AE L
vattensångare|V AE T EH N S AO NG AE RRR EH
vattentorn|V AE T EH N T UH N
vattnen|V AE T N EH N
vattnet|V AE T N EH T
ve|V EH0
vecka|V EH K AE
vek|V EH0 K
velociped|V EH L UH S IH P EH0 D
venus|V EH0 N UH S
verk|V AE RRR K
verka|V EH RRR K AE
verklighetsflykt|V EH RRR K L IH G HH EH0 T S F L K T
verkstad|V EH0 RRR K S T AE
vessla|V EH S L AE
veta|V EH0 T AE
vete|V EH0 T EH
veteran|V EH T EH RRR AA N
vetja|V EH T Y AE
vi|V IY
vid|V IY D
vidareutbilda|V IY D AE RRR EH UW T B IH L D AE
vidareutbildning|V IY D AE RRR EH UW T B IH L D N IH NG
videsångare|V IY D EH S AO NG AE RRR EH
vidskepelse|V IY D EH0 P EH L S EH
vidskeplig|V IY D EH0 P L IH G
vigsel|V IH K S EH0 L
vikt|V IY K T
vilja|V IH L Y AE
vill|V IH L
ville|V IH L EH
vin|V IY N
vind|V IH N D
vindtunnel|V IH N D T UH N EH L
viner|V IY N EH RRR
vinge|V IH NG EH
vinter|V IH N T EH RRR
vintertid|V IH N T EH RRR T IY D
vintras|V IH N T RRR AE S
viol|V IH UW L
viola|V IH UW L AE
violinist|V IH UH L IH N IH S T
vipa|V IY P AE
virre|V IH RRR EH
vischan|V IH AE N
vision|V IH UW N
vismut|V IH S M UH T
vit|V IY T
vitgumpseglare|V IY T G UH M P S EH0 G L AE R EH
vitgumpsnäppa|V IY T G UH M P S N EH P AE
vitrysk|V IY T RRR S K
vitryska|V IY T RRR S K AE
vitsenap|V IY T S EH0 N AE P
vittrut|V IY T T RRR UW T
viv|V IY V
vodka|V AO D K AE
volfram|V AO L F RRR AE M
volvo|V AO L V UH
vore|V UW RRR EH
voss|V AO S
vred|V RRR EH0 D
vredesdom|V RRR EH0 D EH S D UH M
vresig|V RRR EH0 S IH G
vuxen|V UH K S EH N
vy|V Y UW1
väcka|V EH K AE
väderprognos|V EH D EH RRR P RRR AO G N OW0 S
väg|V EH G
vägg|V EH G
vägra|V EH G RRR AE
väl|V EH L
välbehag|V EH L B EH HH AA G
välja|V EH L Y AE
välkommen|V EH L K AO M EH N
vän|V EH N
vänlig|V EH N L IH G
vänta|V EH N T AE
väntan|V EH N T AE N
värd|V EH D
värde|V EH RRR D EH
värdeavi|V EH RRR D EH AE V IY
värden|V AE D EH N
värdera|V EH RRR D EH0 RRR AE
värdighet|V EH RRR D IH G HH EH0 T
värld|V EH RRR D
världen|V AE D EH N
världens|V AE D EH N S
värmlandskorv|V EH RRR M L AE N D S K AO RRR V
värnpliktig|V EH RRR N P L IH K T IH G
värpa|V AE RRR P AE
värva|V AE RRR V AE
väster|V EH S T AH0 RRR
västerås|V EH S T EH RRR OW0 S
västgöte|V EH ER T EH
västgötska|V EH ER T S K AE
västkustskt|V EH S T K UH S T S K T
väte|V EH T EH
väteperoxid|V EH T EH P EH RRR AO K S IY D
växellåda|V EH K S EH L L OW0 D AE
växjö|V EH K OE
växthus|V EH K S T HH UW S
våda|V OW0 D AE
vådlig|V OW0 D L IH G
våg|V OW0 G
vågform|V OW0 G F AO R M
vålnad|V OW0 L N AE D
vång|V AO NG
vår|V OW0 RRR
våradonis|V OW0 RRR AE D UW N IH S
våras|V OW0 RRR AE S
vård|V OW0 D
vårdslös|V OW0 RRR D S L OE S
vårting|V OW0 RRR T IH NG
vårtsvin|V OW0 T S V IY N
våt|V OW0 T
w|W
warszawa|V AE RRR AA V AE
weekend|W IY K EH N D
wiccan|W IH K AE N
wien|V IY N
wiki|W IH K IH
wilsonsimsnäppa|W IH L S AO N S IH M S N EH P AE
xantippa|K S AE N T IH P AE
yngla|NG L AE
yr|Y UW1 RRR
ystad|S T AE D
yttrium|T RRR IH UH M
yvas|Y UW1 V AE S
z|S EH T AE
ziggis|S IH G IH S
zink|S IH N K
zloty|S L AO T
zombie|S AO M B IH
zon|S UW N
zoo|S UW
à|AE
ä|EH
äckelgubbe|EH K EH L G UH B EH
äcklig|EH K L IH G
äga|EH G AE
ägg|EH G
äggakaka|EH G AE K AA K AE
äggtoddy|EH G T AO D
äggula|EH G UW L AE
ägretthäger|EH G RRR EH T HH EH G EH RRR
äldre|EH L D RRR EH
äldst|EH L S T
älg|EH L Y
älgar|EH L Y AE RRR
älling|EH L IH NG
älska|EH L S K AE
älta|EH L T AE
älv|EH L V
älva|EH L V AE
än|EH N
ända|EH N D AE
ändelse|EH N D EH L S EH
ändå|EH N D OW0
äng|EH NG
ängshök|EH NG S HH OE K
ängspiplärka|EH NG S P IY P L EH RRR K AE
änkestöt|EH NG K EH0 S T OE T
ännu|EH N UW
äntligen|EH NG K L IH G EH N
äppeljuice|AE P EH L Y UW S
äppelknyckarbyxa|EH P EH L K N K AE RRR B K S AE
äpple|EH P L EH
äpplen|EH P L EH N
är|EH RRR
ära|AE RRR AE
ärla|EH RRR L AE
ärlig|AE L IH G
ärt|AE T
ät|EH T
äta|EH T AE
äter|EH T RRR
ätt|EH T
äventyrlig|EH V EH N T Y UW1 RRR L IH G
å|AO
åboensisk|OW0 B UH EH N S IH S K
åda|OW0 D AE
åke|OW0 K EH
ål|OW0 L
ålagille|OW0 L AE Y IH L EH
åland|OW0 L AA N D
ångmaskin|AO NG M AE IY N
ångström|AO NG S T RRR ER M
ånyo|AO N Y UW1 UH
år|OW0 RRR
åra|OW0 RRR AE
åren|OW0 RRR EH N
årlig|OW0 L IH G
årta|OW0 R T AE
ås|OW0 S
åsikt|OW0 S IH K T
åskblå|AO S K B L OW0
åstadkomma|OW0 S T AE K AO M AE
åt|OW0 T
åtta|AO T AE
åttio|AO T IH UH
åttonde|AO T AO N D EH
é|EH0
ö|ER
ödem|OE D EH0 M
ödmjukhet|OE D M Y UW K HH EH0 T
öga|OE G AE
ökenlöpare|ER K EH N L OE P AE RRR EH
ökenpipare|OE K EH N P IY P AE R EH
öknamn|ER K N AE M N
öl|OE L
öm|ER M
ömtålig|ER M T OW0 L IH G
ön|OE N
öppen|ER P EH N
öppenhjärtig|ER P EH N Y EH RRR T IH G
öppenhjärtlig|ER P EH N Y EH RRR T L IH G
öra|OE RRR AE
örhänge|OE RRR HH EH NG EH
örn|ER RRR N
örnvinge|OE RRR N V IH NG EH
örnvråk|OE RRR N V RRR OW0 K
öronsäl|OE RRR AO N S EH L
ös|OE S
ösregn|OE S RRR EH NG N
öster|ER S T AH0 RRR
östersjön|OE S T EH RRR OE N
östersund|ER S T EH RRR S UH N D
östgöte|ER ER T EH
östgötska|ER ER T S K AE
över|OE V AE RRR
överflöd|OE V EH RRR F L OE D
ā|EH
ō|ER
