afia|AE F IY0 AE
umesusuwaa|UW0 M EH0 S UW0 S UW0 W AE AE
umeta|UW0 M EH0 T AE
umetahiriwa|UW0 M EH0 T AE HH IY0 R IY0 W AE
umetayarish|UW0 M EH0 T AE Y AE R IY0 SH
umetimia|UW0 M EH0 T IY0 M IY0 AE
umetimiza|UW0 M EH0 T IY0 M IY0 Z AE
umetoka|UW0 M EH0 T OW0 K AE
umetonesha|UW0 M EH0 T OW0 N EH0 SH AE
umetoweka|UW0 M EH0 T OW0 W EH0 K AE
umetuacha|UW0 M EH0 T UW0 AE T SH AE
umetufanya|UW0 M EH0 T UW0 F AE N IY0 AE
umetufanyia|UW0 M EH0 T UW0 F AE N IY0 IY0 AE
umetuleta|UW0 M EH0 T UW0 L EH0 T AE
umetumia|UW0 M EH0 T UW0 M IY0 AE
umetumiwa|UW0 M EH0 T UW0 M IY0 W AE
umetunasa|UW0 M EH0 T UW0 N AE S AE
umetunywesh|UW0 M EH0 T UW0 N IY0 W EH0 SH
umetupa|UW0 M EH0 T UW0 P AE
umetupatia|UW0 M EH0 T UW0 P AE T IY0 AE
umetutawany|UW0 M EH0 T UW0 T AE W AE N IY0
umetutupa|UW0 M EH0 T UW0 T UW0 P AE
umeua|UW0 M EH0 UW0 AE
umeutayarish|UW0 M EH0 UW0 T AE Y AE R IY0 SH
umewaacha|UW0 M EH0 W AE AE T SH AE
umewafanya|UW0 M EH0 W AE F AE N IY0 AE
umewaficha|UW0 M EH0 W AE F IY0 T SH AE
umewafurahi|UW0 M EH0 W AE F UW0 R AE HH IY0
umewafutili|UW0 M EH0 W AE F UW0 T IY0 L IY0
umewahi|UW0 M EH0 W AE HH IY0
umewaka|UW0 M EH0 W AE K AE
umewapa|UW0 M EH0 W AE P AE
umewapima|UW0 M EH0 W AE P IY0 M AE
umewasamehe|UW0 M EH0 W AE S AE M EH0 HH EH0
umewashwa|UW0 M EH0 W AE SH W AE
umewauza|UW0 M EH0 W AE UW0 Z AE
umewavuta|UW0 M EH0 W AE V UW0 T AE
umewawekea|UW0 M EH0 W AE W EH0 K EH0 AE
umeweka|UW0 M EH0 W EH0 K AE
umewekwa|UW0 M EH0 W EH0 K W AE
umeyafanya|UW0 M EH0 Y AE F AE N IY0 AE
umeyafuata|UW0 M EH0 Y AE F UW0 AE T AE
umeyakemea|UW0 M EH0 Y AE K EH0 M EH0 AE
umeyaonyesh|UW0 M EH0 Y AE OW0 N IY0 EH0 SH
umeyaweka|UW0 M EH0 Y AE W EH0 K AE
umezifanya|UW0 M EH0 Z IY0 F AE N IY0 AE
umezifuta|UW0 M EH0 Z IY0 F UW0 T AE
umezishika|UW0 M EH0 Z IY0 SH IY0 K AE
umezuia|UW0 M EH0 Z UW0 IY0 AE
umfanyiaye|UW0 M F AE N IY0 IY0 AE Y EH0
umfikie|UW0 M F IY0 K IY0 EH0
umfikirie|UW0 M F IY0 K IY0 R IY0 EH0
umhukumu|UW0 M HH UW0 K UW0 M UW0
umia|UW0 M IY0 AE
umika|UW0 M IY0 K AE
umilele|UW0 M IY0 L EH0 L EH0
umilisi|UW0 M IY0 L IY0 S IY0
umio|UW0 M IY0 OW0
umito|UW0 M IY0 T OW0
umivu|UW0 M IY0 V UW0
umiza|UW0 M IY0 Z AE
umizana|UW0 M IY0 Z AE N AE
umka|UW0 M K AE
umkana|UW0 M K AE N AE
umleavyo|UW0 M L EH0 AE V Y OW0
umma|UW0 M M AE
umo|UW0 M OW0
umpe|UW0 M P EH0
umpeleke|UW0 M P EH0 L EH0 K EH0
umri|UW0 M R IY0
umshike|UW0 M SH IY0 K EH0
umsifu|UW0 M S IY0 F UW0
umtake|UW0 M T AE K EH0
umtii|UW0 M T IY0 IY0
umtimizie|UW0 M T IY0 M IY0 Z IY0 EH0
umtumainie|UW0 M T UW0 M AE IY0 N IY0 EH0
umtume|UW0 M T UW0 M EH0
umua|UW0 M UW0 AE
umueleze|UW0 M UW0 EH0 L EH0 Z EH0
umuhimu|UW0 M UW0 HH IY0 M UW0
umuka|UW0 M UW0 K AE
umwa|UW0 M W AE
umweke|UW0 M W EH0 K EH0
umwekee|UW0 M W EH0 K EH0 EH0
umwimarishe|UW0 M W IY0 M AE R IY0 SH EH0
umwinyi|UW0 M W IY0 N IY0 IY0
umwone|UW0 M W OW0 N EH0
umyweleo|UW0 M Y W EH0 L EH0 OW0
una|UW0 N AE
unaa|UW0 N AE AE
unaachia|UW0 N AE AE T SH IY0 AE
unaamini|UW0 N AE AE M IY0 N IY0
unacheza|UW0 N AE T SH EH0 Z AE
unachoamini|UW0 N AE T SH OW0 AE M IY0 N IY0
unachokitaka|UW0 N AE T SH OW0 K IY0 T AE K AE
unachokula|UW0 N AE T SH OW0 K UW0 L AE
unachompa|UW0 N AE T SH OW0 M P AE
unachopaswa|UW0 N AE T SH OW0 P AE S W AE
unachosema|UW0 N AE T SH OW0 S EH0 M AE
unachotaka|UW0 N AE T SH OW0 T AE K AE
unachotaman|UW0 N AE T SH OW0 T AE M AE N
unachowapa|UW0 N AE T SH OW0 W AE P AE
unachukia|UW0 N AE T SH UW0 K IY0 AE
unachukua|UW0 N AE T SH UW0 K UW0 AE
unachukuliw|UW0 N AE T SH UW0 K UW0 L IY0 W
unaelekea|UW0 N AE EH0 L EH0 K EH0 AE
unaelewa|UW0 N AE EH0 L EH0 W AE
unafaa|UW0 N AE F AE AE
unafanana|UW0 N AE F AE N AE N AE
unafanya|UW0 N AE F AE N IY0 AE
unafifia|UW0 N AE F IY0 F IY0 AE
unafiki|UW0 N AE F IY0 K IY0
unafikiri|UW0 N AE F IY0 K IY0 R IY0
unahusiana|UW0 N AE HH UW0 S IY0 AE N AE
unahusika|UW0 N AE HH UW0 S IY0 K AE
unahusishwa|UW0 N AE HH UW0 S IY0 SH W AE
unai|UW0 N AE IY0
unaishi|UW0 N AE IY0 SH IY0
unaitumaini|UW0 N AE IY0 T UW0 M AE IY0 N IY0
unakaa|UW0 N AE K AE AE
unakamilika|UW0 N AE K AE M IY0 L IY0 K AE
unakawia|UW0 N AE K AE W IY0 AE
unakoelekea|UW0 N AE K OW0 EH0 L EH0 K EH0 AE
unakoishi|UW0 N AE K OW0 IY0 SH IY0
unakotoka|UW0 N AE K OW0 T OW0 K AE
unakufuru|UW0 N AE K UW0 F UW0 R UW0
unakukosesh|UW0 N AE K UW0 K OW0 S EH0 SH
unakula|UW0 N AE K UW0 L AE
unakwaruza|UW0 N AE K W AE R UW0 Z AE
unakwisha|UW0 N AE K W IY0 SH AE
unalaaniwa|UW0 N AE L AE AE N IY0 W AE
unaleta|UW0 N AE L EH0 T AE
unalia|UW0 N AE L IY0 AE
unalishwa|UW0 N AE L IY0 SH W AE
unalo|UW0 N AE L OW0
unalolitaka|UW0 N AE L OW0 L IY0 T AE K AE
unalostahili|UW0 N AE L OW0 S T AE HH IY0 L IY0
unalotaka|UW0 N AE L OW0 T AE K AE
unamfahamu|UW0 N AE M F AE HH AE M UW0
unamfalia|UW0 N AE M F AE L IY0 AE
unamfanya|UW0 N AE M F AE N IY0 AE
unamfuata|UW0 N AE M F UW0 AE T AE
unamlilia|UW0 N AE M L IY0 L IY0 AE
unampwita|UW0 N AE M P W IY0 T AE
unamsaliti|UW0 N AE M S AE L IY0 T IY0
unamsifu|UW0 N AE M S IY0 F UW0
unamtafuta|UW0 N AE M T AE F UW0 T AE
unamtesa|UW0 N AE M T EH0 S AE
unamtoka|UW0 N AE M T OW0 K AE
unamtukana|UW0 N AE M T UW0 K AE N AE
unamuzi|UW0 N AE M UW0 Z IY0
unamwamini|UW0 N AE M W AE M IY0 N IY0
unamwona|UW0 N AE M W OW0 N AE
unamwonyesha|UW0 N AE M W OW0 N IY0 EH0 SH AE
unane|UW0 N AE N EH0
unang|aa UW0 N AE NG AE AE
unaniita|UW0 N AE N IY0 IY0 T AE
unanimaliza|UW0 N AE N IY0 M AE L IY0 Z AE
unanipa|UW0 N AE N IY0 P AE
unanisemea|UW0 N AE N IY0 S EH0 M EH0 AE
unanisikiliz|UW0 N AE N IY0 S IY0 K IY0 L IY0 Z
unanitatiza|UW0 N AE N IY0 T AE T IY0 Z AE
unanitesa|UW0 N AE N IY0 T EH0 S AE
unaniuliza|UW0 N AE N IY0 UW0 L IY0 Z AE
unaniuma|UW0 N AE N IY0 UW0 M AE
unanyooshwa|UW0 N AE N IY0 OW0 OW0 SH W AE
unao|UW0 N AE OW0
unaoaminiwa|UW0 N AE OW0 AE M IY0 N IY0 W AE
unaoanisha|UW0 N AE OW0 AE N IY0 SH AE
unaochemuza|UW0 N AE OW0 T SH EH0 M UW0 Z AE
unaochezwa|UW0 N AE OW0 T SH EH0 Z W AE
unaochomekw|UW0 N AE OW0 T SH OW0 M EH0 K W
unaochomwa|UW0 N AE OW0 T SH OW0 M W AE
unaochorwa|UW0 N AE OW0 T SH OW0 R W AE
unaochukua|UW0 N AE OW0 T SH UW0 K UW0 AE
unaoelekea|UW0 N AE OW0 EH0 L EH0 K EH0 AE
unaoeleza|UW0 N AE OW0 EH0 L EH0 Z AE
unaoelezea|UW0 N AE OW0 EH0 L EH0 Z EH0 AE
unaofaa|UW0 N AE OW0 F AE AE
unaofanana|UW0 N AE OW0 F AE N AE N AE
unaofanya|UW0 N AE OW0 F AE N IY0 AE
unaofanywa|UW0 N AE OW0 F AE N IY0 W AE
unaofuata|UW0 N AE OW0 F UW0 AE T AE
unaofuatwa|UW0 N AE OW0 F UW0 AE T W AE
unaoheshimu|UW0 N AE OW0 HH EH0 SH IY0 M UW0
unaohusika|UW0 N AE OW0 HH UW0 S IY0 K AE
unaohusu|UW0 N AE OW0 HH UW0 S UW0
unaokaa|UW0 N AE OW0 K AE AE
unaokauka|UW0 N AE OW0 K AE UW0 K AE
unaokausha|UW0 N AE OW0 K AE UW0 SH AE
unaokua|UW0 N AE OW0 K UW0 AE
unaokuchwia|UW0 N AE OW0 K UW0 T SH W IY0 AE
unaokuwa|UW0 N AE OW0 K UW0 W AE
unaokuwako|UW0 N AE OW0 K UW0 W AE K OW0
unaokuweko|UW0 N AE OW0 K UW0 W EH0 K OW0
unaokuzwa|UW0 N AE OW0 K UW0 Z W AE
unaokwea|UW0 N AE OW0 K W EH0 AE
unaolazwa|UW0 N AE OW0 L AE Z W AE
unaoleta|UW0 N AE OW0 L EH0 T AE
unaoletwa|UW0 N AE OW0 L EH0 T W AE
unaoliwa|UW0 N AE OW0 L IY0 W AE
unaomalizikia|UW0 N AE OW0 M AE L IY0 Z IY0 K IY0 AE
unaomea|UW0 N AE OW0 M EH0 AE
unaometamet|UW0 N AE OW0 M EH0 T AE M EH0 T
unaomfanya|UW0 N AE OW0 M F AE N IY0 AE
unaompata|UW0 N AE OW0 M P AE T AE
unaomshika|UW0 N AE OW0 M SH IY0 K AE
unaomwezesha|UW0 N AE OW0 M W EH0 Z EH0 SH AE
unaona|UW0 N AE OW0 N AE
unaonata|UW0 N AE OW0 N AE T AE
unaonekana|UW0 N AE OW0 N EH0 K AE N AE
unaonesa|UW0 N AE OW0 N EH0 S AE
unaong|aa UW0 N AE OW0 NG AE AE
unaonipelek|UW0 N AE OW0 N IY0 P EH0 L EH0 K
unaonukia|UW0 N AE OW0 N UW0 K IY0 AE
unaonyesha|UW0 N AE OW0 N IY0 EH0 SH AE
unaookwa|UW0 N AE OW0 OW0 K W AE
unaoonekana|UW0 N AE OW0 OW0 N EH0 K AE N AE
unaoonyesha|UW0 N AE OW0 OW0 N IY0 EH0 SH AE
unaoonyeshw|UW0 N AE OW0 OW0 N IY0 EH0 SH W
unaoota|UW0 N AE OW0 OW0 T AE
unaopasuliwa|UW0 N AE OW0 P AE S UW0 L IY0 W AE
unaopatikan|UW0 N AE OW0 P AE T IY0 K AE N
unaopeleka|UW0 N AE OW0 P EH0 L EH0 K AE
unaopikwa|UW0 N AE OW0 P IY0 K W AE
unaopitishwa|UW0 N AE OW0 P IY0 T IY0 SH W AE
unaoripuka|UW0 N AE OW0 R IY0 P UW0 K AE
unaosemekana|UW0 N AE OW0 S EH0 M EH0 K AE N AE
unaoshika|UW0 N AE OW0 SH IY0 K AE
unaoshikamanis|UW0 N AE OW0 SH IY0 K AE M AE N IY0 S
unaoshikana|UW0 N AE OW0 SH IY0 K AE N AE
unaoshikiliwa|UW0 N AE OW0 SH IY0 K IY0 L IY0 W AE
unaosimama|UW0 N AE OW0 S IY0 M AE M AE
unaosimamis|UW0 N AE OW0 S IY0 M AE M IY0 S
unaositawi|UW0 N AE OW0 S IY0 T AE W IY0
unaosokotwa|UW0 N AE OW0 S OW0 K OW0 T W AE
unaostahiki|UW0 N AE OW0 S T AE HH IY0 K IY0
unaosukwa|UW0 N AE OW0 S UW0 K W AE
unaotakiwa|UW0 N AE OW0 T AE K IY0 W AE
unaotekelez|UW0 N AE OW0 T EH0 K EH0 L EH0 Z
unaoteketez|UW0 N AE OW0 T EH0 K EH0 T EH0 Z
unaoteremshiwa|UW0 N AE OW0 T EH0 R EH0 M SH IY0 W AE
unaotikiswa|UW0 N AE OW0 T IY0 K IY0 S W AE
unaotiliwa|UW0 N AE OW0 T IY0 L IY0 W AE
unaotimiza|UW0 N AE OW0 T IY0 M IY0 Z AE
unaotisha|UW0 N AE OW0 T IY0 SH AE
unaotiwa|UW0 N AE OW0 T IY0 W AE
unaotoa|UW0 N AE OW0 T OW0 AE
unaotoka|UW0 N AE OW0 T OW0 K AE
unaotokana|UW0 N AE OW0 T OW0 K AE N AE
unaotokea|UW0 N AE OW0 T OW0 K EH0 AE
unaotoketea|UW0 N AE OW0 T OW0 K EH0 T EH0 AE
unaotokeza|UW0 N AE OW0 T OW0 K EH0 Z AE
unaotolewa|UW0 N AE OW0 T OW0 L EH0 W AE
unaotumika|UW0 N AE OW0 T UW0 M IY0 K AE
unaotumiwa|UW0 N AE OW0 T UW0 M IY0 W AE
unaovaliwa|UW0 N AE OW0 V AE L IY0 W AE
unaovuma|UW0 N AE OW0 V UW0 M AE
unaowaita|UW0 N AE OW0 W AE IY0 T AE
unaowaka|UW0 N AE OW0 W AE K AE
unaowalevya|UW0 N AE OW0 W AE L EH0 V Y AE
unaowaokoa|UW0 N AE OW0 W AE OW0 K OW0 AE
unaowapata|UW0 N AE OW0 W AE P AE T AE
unaowashika|UW0 N AE OW0 W AE SH IY0 K AE
unaowatawal|UW0 N AE OW0 W AE T AE W AE L
unaowatesa|UW0 N AE OW0 W AE T EH0 S AE
unaowekwa|UW0 N AE OW0 W EH0 K W AE
unaoweza|UW0 N AE OW0 W EH0 Z AE
unaowezesha|UW0 N AE OW0 W EH0 Z EH0 SH AE
unaozaa|UW0 N AE OW0 Z AE AE
unaozuia|UW0 N AE OW0 Z UW0 IY0 AE
unapaswa|UW0 N AE P AE S W AE
unapita|UW0 N AE P IY0 T AE
unapoelekea|UW0 N AE P OW0 EH0 L EH0 K EH0 AE
unapofanya|UW0 N AE P OW0 F AE N IY0 AE
unapofufuli|UW0 N AE P OW0 F UW0 F UW0 L IY0
unapoheshim|UW0 N AE P OW0 HH EH0 SH IY0 M
unapoishi|UW0 N AE P OW0 IY0 SH IY0
unapokaa|UW0 N AE P OW0 K AE AE
unapokunywa|UW0 N AE P OW0 K UW0 N IY0 W AE
unapomnyamazi|UW0 N AE P OW0 M N IY0 AE M AE Z IY0
unapomtumia|UW0 N AE P OW0 M T UW0 M IY0 AE
unapong|aa UW0 N AE P OW0 NG AE AE
unaponihuku|UW0 N AE P OW0 N IY0 HH UW0 K UW0
unapoona|UW0 N AE P OW0 OW0 N AE
unapopata|UW0 N AE P OW0 P AE T AE
unapopumzik|UW0 N AE P OW0 P UW0 M Z IY0 K
unaposali|UW0 N AE P OW0 S AE L IY0
unaposema|UW0 N AE P OW0 S EH0 M AE
unaposimama|UW0 N AE P OW0 S IY0 M AE M AE
unapotikisw|UW0 N AE P OW0 T IY0 K IY0 S W
unapoulizwa|UW0 N AE P OW0 UW0 L IY0 Z W AE
unapowaokoa|UW0 N AE P OW0 W AE OW0 K OW0 AE
unapozikwa|UW0 N AE P OW0 Z IY0 K W AE
unaruhusiwa|UW0 N AE R UW0 HH UW0 S IY0 W AE
unasema|UW0 N AE S EH0 M AE
unasemasema|UW0 N AE S EH0 M AE S EH0 M AE
unashika|UW0 N AE SH IY0 K AE
unashikilia|UW0 N AE SH IY0 K IY0 L IY0 AE
unashirikia|UW0 N AE SH IY0 R IY0 K IY0 AE
unasi|UW0 N AE S IY0
unasimama|UW0 N AE S IY0 M AE M AE
unastahili|UW0 N AE S T AE HH IY0 L IY0
unataka|UW0 N AE T AE K AE
unatakiwa|UW0 N AE T AE K IY0 W AE
unatawaliwa|UW0 N AE T AE W AE L IY0 W AE
unateswa|UW0 N AE T EH0 S W AE
unatilisha|UW0 N AE T IY0 L IY0 SH AE
unatoka|UW0 N AE T OW0 K AE
unatokana|UW0 N AE T OW0 K AE N AE
unatokezatoke|UW0 N AE T OW0 K EH0 Z AE T OW0 K EH0
unatolea|UW0 N AE T OW0 L EH0 AE
unatoweka|UW0 N AE T OW0 W EH0 K AE
unatukashif|UW0 N AE T UW0 K AE SH IY0 F
unatukuzwa|UW0 N AE T UW0 K UW0 Z W AE
unatulia|UW0 N AE T UW0 L IY0 AE
unatumika|UW0 N AE T UW0 M IY0 K AE
unatutia|UW0 N AE T UW0 T IY0 AE
unaua|UW0 N AE UW0 AE
unavuma|UW0 N AE V UW0 M AE
unavutwa|UW0 N AE V UW0 T W AE
unavyopeper|UW0 N AE V Y OW0 P EH0 P EH0 R
unavyotaka|UW0 N AE V Y OW0 T AE K AE
unavyotekele|UW0 N AE V Y OW0 T EH0 K EH0 L EH0
unavyoteket|UW0 N AE V Y OW0 T EH0 K EH0 T
unavyotokea|UW0 N AE V Y OW0 T OW0 K EH0 AE
unavyowalin|UW0 N AE V Y OW0 W AE L IY0 N
unavyowawez|UW0 N AE V Y OW0 W AE W EH0 Z
unawachukia|UW0 N AE W AE T SH UW0 K IY0 AE
unawachukien|UW0 N AE W AE T SH UW0 K IY0 EH0 N
unawahukumu|UW0 N AE W AE HH UW0 K UW0 M UW0
unawahusu|UW0 N AE W AE HH UW0 S UW0
unawakataa|UW0 N AE W AE K AE T AE AE
unawanawisha|UW0 N AE W AE N AE W IY0 SH AE
unawapuuza|UW0 N AE W AE P UW0 UW0 Z AE
unawatetea|UW0 N AE W AE T EH0 T EH0 AE
unawaua|UW0 N AE W AE UW0 AE
unawaza|UW0 N AE W AE Z AE
unaweza|UW0 N AE W EH0 Z AE
unayachukia|UW0 N AE Y AE T SH UW0 K IY0 AE
unayafahamu|UW0 N AE Y AE F AE HH AE M UW0
unayafanya|UW0 N AE Y AE F AE N IY0 AE
unayaona|UW0 N AE Y AE OW0 N AE
unayeishi|UW0 N AE Y EH0 IY0 SH IY0
unayekaa|UW0 N AE Y EH0 K AE AE
unayemfanya|UW0 N AE Y EH0 M F AE N IY0 AE
unayempa|UW0 N AE Y EH0 M P AE
unayeniokoa|UW0 N AE Y EH0 N IY0 OW0 K OW0 AE
unayesema|UW0 N AE Y EH0 S EH0 M AE
unayesifiwa|UW0 N AE Y EH0 S IY0 F IY0 W AE
unayewahuku|UW0 N AE Y EH0 W AE HH UW0 K UW0
unayo|UW0 N AE Y OW0
unayofanya|UW0 N AE Y OW0 F AE N IY0 AE
unayohukumu|UW0 N AE Y OW0 HH UW0 K UW0 M UW0
unayosema|UW0 N AE Y OW0 S EH0 M AE
unayoshirik|UW0 N AE Y OW0 SH IY0 R IY0 K
unayosoma|UW0 N AE Y OW0 S OW0 M AE
unayotaka|UW0 N AE Y OW0 T AE K AE
unayotamani|UW0 N AE Y OW0 T AE M AE N IY0
unayowapa|UW0 N AE Y OW0 W AE P AE
unayoyaona|UW0 N AE Y OW0 Y AE OW0 N AE
unayoyatamani|UW0 N AE Y OW0 Y AE T AE M AE N IY0
unazaa|UW0 N AE Z AE AE
unazini|UW0 N AE Z IY0 N IY0
unazofanya|UW0 N AE Z OW0 F AE N IY0 AE
unazopewa|UW0 N AE Z OW0 P EH0 W AE
unazua|UW0 N AE Z UW0 AE
uneemevu|UW0 N EH0 EH0 M EH0 V UW0
unene|UW0 N EH0 N EH0
uneni|UW0 N EH0 N IY0
unenyekevu|UW0 N EH0 N IY0 EH0 K EH0 V UW0
ung|ae UW0 NG AE EH0
ung|aro UW0 NG AE R OW0
ung|oya UW0 NG OW0 Y AE
uniachilie|UW0 N IY0 AE T SH IY0 L IY0 EH0
unieleweshe|UW0 N IY0 EH0 L EH0 W EH0 SH EH0
uniepushe|UW0 N IY0 EH0 P UW0 SH EH0
unifanye|UW0 N IY0 F AE N IY0 EH0
unifiche|UW0 N IY0 F IY0 T SH EH0
unifuate|UW0 N IY0 F UW0 AE T EH0
unifurahish|UW0 N IY0 F UW0 R AE HH IY0 SH
unifwate|UW0 N IY0 F W AE T EH0
unihukumu|UW0 N IY0 HH UW0 K UW0 M UW0
unihurumie|UW0 N IY0 HH UW0 R UW0 M IY0 EH0
uniimarishi|UW0 N IY0 IY0 M AE R IY0 SH IY0
uniinue|UW0 N IY0 IY0 N UW0 EH0
uniite|UW0 N IY0 IY0 T EH0
unikome|UW0 N IY0 K OW0 M EH0
uninyanyue|UW0 N IY0 N IY0 AE N IY0 UW0 EH0
uniokoaye|UW0 N IY0 OW0 K OW0 AE Y EH0
uniokoe|UW0 N IY0 OW0 K OW0 EH0
unione|UW0 N IY0 OW0 N EH0
unionee|UW0 N IY0 OW0 N EH0 EH0
unionyeshe|UW0 N IY0 OW0 N IY0 EH0 SH EH0
uniopoe|UW0 N IY0 OW0 P OW0 EH0
unioshe|UW0 N IY0 OW0 SH EH0
unipe|UW0 N IY0 P EH0
unipime|UW0 N IY0 P IY0 M EH0
uniponye|UW0 N IY0 P OW0 N IY0 EH0
unirehemu|UW0 N IY0 R EH0 HH EH0 M UW0
uniruhusu|UW0 N IY0 R UW0 HH UW0 S UW0
unisafishe|UW0 N IY0 S AE F IY0 SH EH0
unisalimish|UW0 N IY0 S AE L IY0 M IY0 SH
unisamehe|UW0 N IY0 S AE M EH0 HH EH0
unisikilize|UW0 N IY0 S IY0 K IY0 L IY0 Z EH0
unisikize|UW0 N IY0 S IY0 K IY0 Z EH0
unitetee|UW0 N IY0 T EH0 T EH0 EH0
unitimizie|UW0 N IY0 T IY0 M IY0 Z IY0 EH0
unitoe|UW0 N IY0 T OW0 EH0
uniweke|UW0 N IY0 W EH0 K EH0
uniwie|UW0 N IY0 W IY0 EH0
unong|onezi UW0 N OW0 NG OW0 N EH0 Z IY0
unong|ono UW0 N OW0 NG OW0 N OW0
unono|UW0 N OW0 N OW0
ununu|UW0 N UW0 N UW0
ununue|UW0 N UW0 N UW0 EH0
ununuzi|UW0 N UW0 N UW0 Z IY0
unusu|UW0 N UW0 S UW0
unyaa|UW0 N IY0 AE AE
unyakuzi|UW0 N IY0 AE K UW0 Z IY0
unyama|UW0 N IY0 AE M AE
unyamavu|UW0 N IY0 AE M AE V UW0
unyang|anyi UW0 N IY0 AE NG AE N IY0 IY0
unyanya|UW0 N IY0 AE N IY0 AE
unyarafu|UW0 N IY0 AE R AE F UW0
unyasi|UW0 N IY0 AE S IY0
unyaufu|UW0 N IY0 AE UW0 F UW0
unyayo|UW0 N IY0 AE Y OW0
unyeleo|UW0 N IY0 EH0 L EH0 OW0
unyeme|UW0 N IY0 EH0 M EH0
unyenyefu|UW0 N IY0 EH0 N IY0 EH0 F UW0
unyenyekeo|UW0 N IY0 EH0 N IY0 EH0 K EH0 OW0
unyenyekevu|UW0 N IY0 EH0 N IY0 EH0 K EH0 V UW0
unyenyevu|UW0 N IY0 EH0 N IY0 EH0 V UW0
unyenyezi|UW0 N IY0 EH0 N IY0 EH0 Z IY0
unyeo|UW0 N IY0 EH0 OW0
unyesi|UW0 N IY0 EH0 S IY0
unyeti|UW0 N IY0 EH0 T IY0
unyevu|UW0 N IY0 EH0 V UW0
unyevunyevu|UW0 N IY0 EH0 V UW0 N IY0 EH0 V UW0
unyofu|UW0 N IY0 OW0 F UW0
unyong|onye UW0 N IY0 OW0 NG OW0 N IY0 EH0
unyong|onyo UW0 N IY0 OW0 NG OW0 N IY0 OW0
unyosha|UW0 N IY0 OW0 SH AE
unyoshe|UW0 N IY0 OW0 SH EH0
unyounyo|UW0 N IY0 OW0 UW0 N IY0 OW0
unyoya|UW0 N IY0 OW0 Y AE
unyushi|UW0 N IY0 UW0 SH IY0
unyusi|UW0 N IY0 UW0 S IY0
unywanywa|UW0 N IY0 W AE N IY0 W AE
unywe|UW0 N IY0 W EH0
unywele|UW0 N IY0 W EH0 L EH0
unyweleo|UW0 N IY0 W EH0 L EH0 OW0
uo|UW0 OW0
uoanishi|UW0 OW0 AE N IY0 SH IY0
uokoaye|UW0 OW0 K OW0 AE Y EH0
uokovu|UW0 OW0 K OW0 V UW0
uone|UW0 OW0 N EH0
uonekanao|UW0 OW0 N EH0 K AE N AE OW0
uonevu|UW0 OW0 N EH0 V UW0
uoni|UW0 OW0 N IY0
uonyeshao|UW0 OW0 N IY0 EH0 SH AE OW0
uonyeshe|UW0 OW0 N IY0 EH0 SH EH0
uonyesho|UW0 OW0 N IY0 EH0 SH OW0
uonyo|UW0 OW0 N IY0 OW0
uotao|UW0 OW0 T AE OW0
uovu|UW0 OW0 V UW0
uowevu|UW0 OW0 W EH0 V UW0
uoza|UW0 OW0 Z AE
uozi|UW0 OW0 Z IY0
uozo|UW0 OW0 Z OW0
upaa|UW0 P AE AE
upakizi|UW0 P AE K IY0 Z IY0
upakuzi|UW0 P AE K UW0 Z IY0
upana|UW0 P AE N AE
upanuzi|UW0 P AE N UW0 Z IY0
upapasa|UW0 P AE P AE S AE
upapatike|UW0 P AE P AE T IY0 K EH0
upapi|UW0 P AE P IY0
upara|UW0 P AE R AE
uparara|UW0 P AE R AE R AE
upasao|UW0 P AE S AE OW0
upasi|UW0 P AE S IY0
upatacho|UW0 P AE T AE T SH OW0
upatanisho|UW0 P AE T AE N IY0 SH OW0
upatanishwe|UW0 P AE T AE N IY0 SH W EH0
upatano|UW0 P AE T AE N OW0
upatao|UW0 P AE T AE OW0
upate|UW0 P AE T EH0
upati|UW0 P AE T IY0
upatiara|UW0 P AE T IY0 AE R AE
upatikanao|UW0 P AE T IY0 K AE N AE OW0
upatilivu|UW0 P AE T IY0 L IY0 V UW0
upatilize|UW0 P AE T IY0 L IY0 Z EH0
upatilizo|UW0 P AE T IY0 L IY0 Z OW0
upatu|UW0 P AE T UW0
upau|UW0 P AE UW0
upawa|UW0 P AE W AE
upekecho|UW0 P EH0 K EH0 T SH OW0
upekepeke|UW0 P EH0 K EH0 P EH0 K EH0
upeketevu|UW0 P EH0 K EH0 T EH0 V UW0
upekuzi|UW0 P EH0 K UW0 Z IY0
upele|UW0 P EH0 L EH0
upeleke|UW0 P EH0 L EH0 K EH0
upelekwa|UW0 P EH0 L EH0 K W AE
upelelezi|UW0 P EH0 L EH0 L EH0 Z IY0
upenu|UW0 P EH0 N UW0
upenyenye|UW0 P EH0 N IY0 EH0 N IY0 EH0
upenyezi|UW0 P EH0 N IY0 EH0 Z IY0
upenyo|UW0 P EH0 N IY0 OW0
upenyu|UW0 P EH0 N IY0 UW0
upeo|UW0 P EH0 OW0
upepe|UW0 P EH0 P EH0
upepea|UW0 P EH0 P EH0 AE
upepeo|UW0 P EH0 P EH0 OW0
upepezi|UW0 P EH0 P EH0 Z IY0
upepo|UW0 P EH0 P OW0
upera|UW0 P EH0 R AE
upesi|UW0 P EH0 S IY0
upesiupesi|UW0 P EH0 S IY0 UW0 P EH0 S IY0
upeto|UW0 P EH0 T OW0
upevu|UW0 P EH0 V UW0
upishi|UW0 P IY0 SH IY0
upitao|UW0 P IY0 T AE OW0
upo|UW0 P OW0
