a|AE
viscōsus|UW IY S K OW0 S UW S
visellius|UW IY S EH0 L L IY UW S
vispelliō|UW IY S P EH0 L L IY OW0
vispillō|UW IY S P IY L L OW0
visucius|UW IY S UW K IY UW S
visurgis|UW IY S UW RRR G IY S
vitellia|UW IY T EH0 L L IY AE
vitellius|UW IY T EH0 L L IY UW S
vitellus|UW IY T EH0 L L UW S
vitellīnus|UW IY T EH0 L L IY N UW S
vitium|UW IY T IY UW M
vitiēnsis|UW IY T IY EH0 N S IY S
vitiō|UW IY T IY OW0
vitiōsitās|UW IY T IY OW0 S IY T AE S
vitiōsus|UW IY T IY OW0 S UW S
vitodūrum|UW IY T OW0 D UW RRR UW M
vitrasius|UW IY T RRR AE S IY UW S
vitreus|UW IY T RRR EH0 UW S
vitripennis|UW IY T RRR IY P EH0 N N IY S
vitrum|UW IY T RRR UW M
vitrūvius|UW IY T RRR UW UW IY UW S
vitta|UW IY T T AE
vittea|UW IY T T EH0 AE
vitticollis|UW IY T T IY K OW0 L L IY S
vittātus|UW IY T T AE T UW S
vitula|UW IY T UW L AE
vitulus|UW IY T UW L UW S
vitumnus|UW IY T UW M N UW S
vituperābilis|UW IY T UW P EH0 RRR AE B IY L IY S
vituperātiō|UW IY T UW P EH0 RRR AE T IY OW0
vituperātor|UW IY T UW P EH0 RRR AE T OW0 RRR
vituperō|UW IY T UW P EH0 RRR OW0
vitus|UW IY T UW S
viverra|UW IY UW EH0 RRR RRR AE
viverrīnus|UW IY UW EH0 RRR RRR IY N UW S
vix|UW IY K S
viāre|UW IY AE RRR EH0
viārum|UW IY AE RRR UW M
viās|UW IY AE S
viāticum|UW IY AE T IY K UW M
viāticus|UW IY AE T IY K UW S
viāticī|UW IY AE T IY K IY
viātor|UW IY AE T OW0 RRR
viātrīce|UW IY AE T RRR IY K EH0
viātrīcibus|UW IY AE T RRR IY K IY B UW S
viātrīcēs|UW IY AE T RRR IY K EH0 S
viātrīx|UW IY AE T RRR IY K S
viātōrī|UW IY AE T OW0 RRR IY
viētus|UW IY EH0 T UW S
viētūrus|UW IY EH0 T UW RRR UW S
viīs|UW IY IY S
viō|UW IY OW0
vocitus|UW OW0 K IY T UW S
vocitō|UW OW0 K IY T OW0
vocābulum|UW OW0 K AE B UW L UW M
vocāmen|UW OW0 K AE M EH0 N
vocātis|UW OW0 K AE T IY S
vocātīs|UW OW0 K AE T IY S
vocātīvus|UW OW0 K AE T IY UW UW S
vocāverimus|UW OW0 K AE UW EH0 RRR IY M UW S
vocāveris|UW OW0 K AE UW EH0 RRR IY S
vocāveritis|UW OW0 K AE UW EH0 RRR IY T IY S
vocīvus|UW OW0 K IY UW UW S
vocō|UW OW0 K OW0
vocōnius|UW OW0 K OW0 N IY UW S
vola|UW OW0 L AE
volaemum|UW OW0 L AE EH0 M UW M
volantēs|UW OW0 L AE N T EH0 S
volcae|UW OW0 L K AE EH0
volcārum|UW OW0 L K AE RRR UW M
volcās|UW OW0 L K AE S
volcātius|UW OW0 L K AE T IY UW S
volcīs|UW OW0 L K IY S
volerō|UW OW0 L EH0 RRR OW0
volgō|UW OW0 L G OW0
volitō|UW OW0 L IY T OW0
volnerō|UW OW0 L N EH0 RRR OW0
volnius|UW OW0 L N IY UW S
volpēs|UW OW0 L P EH0 S
volscius|UW OW0 L S K IY UW S
volscē|UW OW0 L S K EH0
volscī|UW OW0 L S K IY
volsiniī|UW OW0 L S IY N IY IY
voltis|UW OW0 L T IY S
voltum|UW UW L T UW M
voltur|UW OW0 L T UW RRR
volturcius|UW OW0 L T UW RRR K IY UW S
volturius|UW OW0 L T UW RRR IY UW S
voltus|UW UW L T UW S
volubilis|UW OW0 L UW B IY L IY S
volucer|UW OW0 L UW K EH0 RRR
volucripēs|UW OW0 L UW K RRR IY P EH0 S
volumnius|UW OW0 L UW M N IY UW S
volumnus|UW OW0 L UW M N UW S
voluntābundus|UW OW0 L UW N T AE B UW N D UW S
voluntārius|UW OW0 L UW N T AE RRR IY UW S
voluntās|UW OW0 L UW N T AE S
volup|UW OW0 L UW P
voluptificus|UW OW0 L UW P T IY F IY K UW S
voluptuārius|UW OW0 L UW P T UW AE RRR IY UW S
voluptuōsus|UW OW0 L UW P T UW OW0 S UW S
voluptuōsē|UW OW0 L UW P T UW OW0 S EH0
voluptābilis|UW OW0 L UW P T AE B IY L IY S
voluptārius|UW OW0 L UW P T AE RRR IY UW S
voluptāriē|UW OW0 L UW P T AE RRR IY EH0
voluptās|UW OW0 L UW P T AE S
voluptātīvus|UW OW0 L UW P T AE T IY UW UW S
volusius|UW OW0 L UW S IY UW S
volusus|UW OW0 L UW S UW S
volusēnus|UW OW0 L UW S EH0 N UW S
volux|UW OW0 L UW K S
voluī|UW OW0 L UW IY
volvam|UW OW0 L UW AE M
volve|UW OW0 L UW EH0
volvendō|UW OW0 L UW EH0 N D OW0
volveram|UW OW0 L UW EH0 RRR AE M
volverem|UW OW0 L UW EH0 RRR EH0 M
volverimus|UW OW0 L UW EH0 RRR IY M UW S
volveris|UW OW0 L UW EH0 RRR IY S
volveritis|UW OW0 L UW EH0 RRR IY T IY S
volverās|UW OW0 L UW EH0 RRR AE S
volverēs|UW OW0 L UW EH0 RRR EH0 S
volvās|UW OW0 L UW AE S
volvēs|UW OW0 L UW EH0 S
volvī|UW OW0 L UW IY
volvō|UW OW0 L UW OW0
volāns|UW OW0 L AE N S
volānē|UW OW0 L AE N EH0
volāterrae|UW OW0 L AE T EH0 RRR RRR AE EH0
volāticus|UW OW0 L AE T IY K UW S
volātile|UW OW0 L AE T IY L EH0
volātilis|UW OW0 L AE T IY L IY S
volēns|UW OW0 L EH0 N S
volūbilis|UW OW0 L UW B IY L IY S
volūcra|UW OW0 L UW K RRR AE
volūmen|UW OW0 L UW M EH0 N
volūtābrum|UW OW0 L UW T AE B RRR UW M
volūtō|UW OW0 L UW T OW0
vomere|UW OW0 M EH0 RRR EH0
vomica|UW OW0 M IY K AE
vomicus|UW OW0 M IY K UW S
vomitum|UW OW0 M IY T UW M
vomitus|UW OW0 M IY T UW S
vomitō|UW OW0 M IY T OW0
vomitōrium|UW OW0 M IY T OW0 RRR IY UW M
vomitōrius|UW OW0 M IY T OW0 RRR IY UW S
vomānus|UW OW0 M AE N UW S
vomāx|UW OW0 M AE K S
vomō|UW OW0 M OW0
vonōnēs|UW OW0 N OW0 N EH0 S
vopiscus|UW OW0 P IY S K UW S
voreda|UW OW0 RRR EH0 D AE
vorganium|UW OW0 RRR G AE N IY UW M
vormatia|UW OW0 RRR M AE T IY AE
vorogium|UW OW0 RRR OW0 G IY UW M
vorsipellis|UW OW0 RRR S IY P EH0 L L IY S
vorsum|UW OW0 RRR S UW M
vortex|UW OW0 RRR T EH0 K S
vorticēs|UW OW0 RRR T IY K EH0 S
vorācitās|UW OW0 RRR AE K IY T AE S
vorāginōsa|UW OW0 RRR AE G IY N OW0 S AE
vorāginōse|UW OW0 RRR AE G IY N OW0 S EH0
vorāginōsus|UW OW0 RRR AE G IY N OW0 S UW S
vorāginōsās|UW OW0 RRR AE G IY N OW0 S AE S
vorāginōsī|UW OW0 RRR AE G IY N OW0 S IY
vorāginōsō|UW OW0 RRR AE G IY N OW0 S OW0
vorāginōsōs|UW OW0 RRR AE G IY N OW0 S OW0 S
vorāgō|UW OW0 RRR AE G OW0
vorāta|UW OW0 RRR AE T AE
vorātrīna|UW OW0 RRR AE T RRR IY N AE
vorātrīnā|UW OW0 RRR AE T RRR IY N AE
vorātrīx|UW OW0 RRR AE T RRR IY K S
vorāx|UW OW0 RRR AE K S
vorō|UW OW0 RRR OW0
voster|UW OW0 S T EH0 RRR
votūrī|UW OW0 T UW RRR IY
voveō|UW OW0 UW EH0 OW0
vulcānus|UW UW L K AE N UW S
vulcānālia|UW UW L K AE N AE L IY AE
vulgientēs|UW UW L G IY EH0 N T EH0 S
vulgivagus|UW UW L G IY UW AE G UW S
vulgus|UW UW L G UW S
vulgāris|UW UW L G AE RRR IY S
vulgāriter|UW UW L G AE RRR IY T EH0 RRR
vulgārēs|UW UW L G AE RRR EH0 S
vulgāta|UW UW L G AE T AE
vulgātus|UW UW L G AE T UW S
vulgō|UW UW L G OW0
vulnerābilis|UW UW L N EH0 RRR AE B IY L IY S
vulnerō|UW UW L N EH0 RRR OW0
vulnificus|UW UW L N IY F IY K UW S
vulnus|UW UW L N UW S
vulpinor|UW UW L P IY N OW0 RRR
vulpis|UW UW L P IY S
vulpiō|UW UW L P IY OW0
vulpēcula|UW UW L P EH0 K UW L AE
vulpēs|UW UW L P EH0 S
vulpīnus|UW UW L P IY N UW S
vulsō|UW UW L S OW0
vult|UW UW L T
vultis|UW UW L T IY S
vultum|UW UW L T UW M
vultur|UW UW L T UW RRR
vulturius|UW UW L T UW RRR IY UW S
vulturnus|UW UW L T UW RRR N UW S
vulturīnus|UW UW L T UW RRR IY N UW S
vyomina|UW Y UW1 OW0 M IY N AE
vādās|UW AE D AE S
vādō|UW AE D OW0
vāgiō|UW AE G IY OW0
vāgor|UW AE G OW0 RRR
vāgīna|UW AE G IY N AE
vāgīnae|UW AE G IY N AE EH0
vāgīnālis|UW AE G IY N AE L IY S
vāgītus|UW AE G IY T UW S
vāllīs|UW AE L L IY S
vāna|UW AE N AE
vāne|UW AE N EH0
vāniloquentia|UW AE N IY L OW0 K EH0 N T IY AE
vāniloquus|UW AE N IY L OW0 K UW S
vānitās|UW AE N IY T AE S
vānus|UW AE N UW S
vānās|UW AE N AE S
vānēscō|UW AE N EH0 S K OW0
vānī|UW AE N IY
vānō|UW AE N OW0
vānōs|UW AE N OW0 S
vāpulāte|UW AE P UW L AE T EH0
vāpulō|UW AE P UW L OW0
vāre|UW AE RRR EH0
vāricus|UW AE RRR IY K UW S
vārus|UW AE RRR UW S
vārēnus|UW AE RRR EH0 N UW S
vārō|UW AE RRR OW0
vārōnis|UW AE RRR OW0 N IY S
vārōnēs|UW AE RRR OW0 N EH0 S
vās|UW AE S
vāsa|UW AE S AE
vāsculum|UW AE S K UW L UW M
vāsculōsus|UW AE S K UW L OW0 S UW S
vāsta|UW AE S T AE
vāste|UW AE S T EH0
vāstus|UW AE S T UW S
vāstābundus|UW AE S T AE B UW N D UW S
vāstās|UW AE S T AE S
vāstātōrius|UW AE S T AE T OW0 RRR IY UW S
vāstēs|UW AE S T EH0 S
vāstī|UW AE S T IY
vāstō|UW AE S T OW0
vāstōs|UW AE S T OW0 S
vāticinius|UW AE T IY K IY N IY UW S
vāticinor|UW AE T IY K IY N OW0 RRR
vātrāx|UW AE T RRR AE K S
vātēs|UW AE T EH0 S
vātī̆cānus|UW AE T IY K AE N UW S
vēcors|UW EH0 K OW0 RRR S
vēctis|UW EH0 K T IY S
vēdiovis|UW EH0 D IY OW0 UW IY S
vēdius|UW EH0 D IY UW S
vēdīus|UW EH0 D IY UW S
vēgrandis|UW EH0 G RRR AE N D IY S
vēla|UW EH0 L AE
vēles|UW EH0 L EH0 S
vēlifer|UW EH0 L IY F EH0 RRR
vēlificor|UW EH0 L IY F IY K OW0 RRR
vēliger|UW EH0 L IY G EH0 RRR
vēlitor|UW EH0 L IY T OW0 RRR
vēlitātus|UW EH0 L IY T AE T UW S
vēlitātūrus|UW EH0 L IY T AE T UW RRR UW S
vēlius|UW EH0 L IY UW S
vēlā|UW EH0 L AE
vēlāmen|UW EH0 L AE M EH0 N
vēlārium|UW EH0 L AE RRR IY UW M
vēlās|UW EH0 L AE S
vēlī|UW EH0 L IY
vēlīs|UW EH0 L IY S
vēlō|UW EH0 L OW0
vēlōciter|UW EH0 L OW0 K IY T EH0 RRR
vēlōcitās|UW EH0 L OW0 K IY T AE S
vēlōcius|UW EH0 L OW0 K IY UW S
vēlōx|UW EH0 L OW0 K S
vēmēns|UW EH0 M EH0 N S
vēnae|UW EH0 N AE EH0
vēndibilis|UW EH0 N D IY B IY L IY S
vēnditiō|UW EH0 N D IY T IY OW0
vēnditō|UW EH0 N D IY T OW0
vēndō|UW EH0 N D OW0
vēnerat|UW EH0 N EH0 RRR AE T
vēnerimus|UW EH0 N EH0 RRR IY M UW S
vēneris|UW EH0 N EH0 RRR IY S
vēneritis|UW EH0 N EH0 RRR IY T IY S
vēnerō|UW EH0 N EH0 RRR OW0
vēneō|UW EH0 N EH0 OW0
vēnitūrus|UW EH0 N IY T UW RRR UW S
vēnor|UW EH0 N OW0 RRR
vēnum|UW EH0 N UW M
vēnābulum|UW EH0 N AE B UW L UW M
vēnālis|UW EH0 N AE L IY S
vēnālitās|UW EH0 N AE L IY T AE S
vēnālīcius|UW EH0 N AE L IY K IY UW S
vēnāticus|UW EH0 N AE T IY K UW S
vēnātilis|UW EH0 N AE T IY L IY S
vēnātiō|UW EH0 N AE T IY OW0
vēnātor|UW EH0 N AE T OW0 RRR
vēnātrīx|UW EH0 N AE T RRR IY K S
vēnōsa|UW EH0 N OW0 S AE
vēnōse|UW EH0 N OW0 S EH0
vēnōsus|UW EH0 N OW0 S UW S
vēnōsās|UW EH0 N OW0 S AE S
vēnōsī|UW EH0 N OW0 S IY
vēnōsō|UW EH0 N OW0 S OW0
vēnōsōs|UW EH0 N OW0 S OW0 S
vēpallidus|UW EH0 P AE L L IY D UW S
vēr|UW EH0 RRR
vēra|UW EH0 RRR AE
vēre|UW EH0 RRR EH0
vērificō|UW EH0 RRR IY F IY K OW0
vēriloquium|UW EH0 RRR IY L OW0 K IY UW M
vērior|UW EH0 RRR IY OW0 RRR
vērisimilitūdō|UW EH0 RRR IY S IY M IY L IY T UW D OW0
vēritās|UW EH0 RRR IY T AE S
vērumtamen|UW EH0 RRR UW N T AE M EH0 N
vērānius|UW EH0 RRR AE N IY UW S
vērātrum|UW EH0 RRR AE T RRR UW M
vērāx|UW EH0 RRR AE K S
vērē|UW EH0 RRR EH0
vērī|UW EH0 RRR IY
vērōna|UW EH0 RRR OW0 N AE
vērōnae|UW EH0 RRR OW0 N AE EH0
vērōnam|UW EH0 RRR OW0 N AE M
vēscor|UW EH0 S K OW0 RRR
vēscus|UW EH0 S K UW S
vēsānia|UW EH0 S AE N IY AE
vēsāniēns|UW EH0 S AE N IY EH0 N S
vēsāniō|UW EH0 S AE N IY OW0
vēsānus|UW EH0 S AE N UW S
vēsīca|UW EH0 S IY K AE
vēsīcula|UW EH0 S IY K UW L AE
vēsīculōsus|UW EH0 S IY K UW L OW0 S UW S
vēsīcārius|UW EH0 S IY K AE RRR IY UW S
vēsīcō|UW EH0 S IY K OW0
vēxillum|UW EH0 K S IY L L UW M
vē̆rnus|UW EH0 RRR N UW S
vē̆rnālis|UW EH0 RRR N AE L IY S
vībex|UW IY B EH0 K S
vībius|UW IY B IY UW S
vībrissae|UW IY B RRR IY S S AE EH0
vībullius|UW IY B UW L L IY UW S
vībulēnus|UW IY B UW L EH0 N UW S
vīburnum|UW IY B UW RRR N UW M
vīcentia|UW IY K EH0 N T IY AE
vīcentiēnsis|UW IY K EH0 N T IY EH0 N S IY S
vīcentīne|UW IY K EH0 N T IY N EH0
vīcentīnus|UW IY K EH0 N T IY N UW S
vīctus|UW IY K T UW S
vīctuālis|UW IY K T UW AE L IY S
vīculus|UW IY K UW L UW S
vīcus|UW IY K UW S
vīcānus|UW IY K AE N UW S
vīcātim|UW IY K AE T IY M
vīcēsimus|UW IY K EH0 S IY M UW S
vīcētia|UW IY K EH0 T IY AE
vīcētiēnsis|UW IY K EH0 T IY EH0 N S IY S
vīcētīnus|UW IY K EH0 T IY N UW S
vīcīna|UW IY K IY N AE
vīcīne|UW IY K IY N EH0
vīcīnia|UW IY K IY N IY AE
vīcīnitās|UW IY K IY N IY T AE S
vīcīnor|UW IY K IY N OW0 RRR
vīcīnus|UW IY K IY N UW S
vīcīnālis|UW IY K IY N AE L IY S
vīcīnāta|UW IY K IY N AE T AE
vīcīnē|UW IY K IY N EH0
vīcīs|UW IY K IY S
vīcō|UW IY K OW0
vīdulus|UW IY D UW L UW S
vīgintisexvir|UW IY G IY N T IY S EH0 K S UW IY RRR
vīgintisexvirātus|UW IY G IY N T IY S EH0 K S UW IY RRR AE T UW S
vīgintisēvir|UW IY G IY N T IY S EH0 UW IY RRR
vīgintisēvirātus|UW IY G IY N T IY S EH0 UW IY RRR AE T UW S
vīgintivir|UW IY G IY N T IY UW IY RRR
vīgintivirālis|UW IY G IY N T IY UW IY RRR AE L IY S
vīgintivirātus|UW IY G IY N T IY UW IY RRR AE T UW S
vīgintī|UW IY G IY N T IY
vīgēsimus|UW IY G EH0 S IY M UW S
vīlia|UW IY L IY AE
vīlificō|UW IY L IY F IY K OW0
vīlis|UW IY L IY S
vīlitās|UW IY L IY T AE S
vīllānus|UW IY L L AE N UW S
vīllāris|UW IY L L AE RRR IY S
vīllāticus|UW IY L L AE T IY K UW S
vīlī|UW IY L IY
vīmen|UW IY M EH0 N
vīmineus|UW IY M IY N EH0 UW S
vīminālis|UW IY M IY N AE L IY S
vīminētum|UW IY M IY N EH0 T UW M
vīn|UW IY N
vīnctiō|UW IY N K T IY OW0
vīnctor|UW IY N K T OW0 RRR
vīnctūra|UW IY N K T UW RRR AE
vīnea|UW IY N EH0 AE
vīneus|UW IY N EH0 UW S
vīneālis|UW IY N EH0 AE L IY S
vīneārius|UW IY N EH0 AE RRR IY UW S
vīneāticus|UW IY N EH0 AE T IY K UW S
vīnibua|UW IY N IY B UW AE
vīnicius|UW IY N IY K IY UW S
vīnicolor|UW IY N IY K OW0 L OW0 RRR
vīnifer|UW IY N IY F EH0 RRR
vīnitōrius|UW IY N IY T OW0 RRR IY UW S
vīnolentus|UW IY N OW0 L EH0 N T UW S
vīnulentus|UW IY N UW L EH0 N T UW S
vīnum|UW IY N UW M
vīnāceus|UW IY N AE K EH0 UW S
vīnālis|UW IY N AE L IY S
vīnārius|UW IY N AE RRR IY UW S
vīnētum|UW IY N EH0 T UW M
vīnō|UW IY N OW0
vīnōsus|UW IY N OW0 S UW S
vīpera|UW IY P EH0 RRR AE
vīperea|UW IY P EH0 RRR EH0 AE
vīperee|UW IY P EH0 RRR EH0 EH0
vīpereī|UW IY P EH0 RRR EH0 IY
vīpereō|UW IY P EH0 RRR EH0 OW0
vīra|UW IY RRR AE
vīrulenta|UW IY RRR UW L EH0 N T AE
vīrulentus|UW IY RRR UW L EH0 N T UW S
vīrulentās|UW IY RRR UW L EH0 N T AE S
vīrulentī|UW IY RRR UW L EH0 N T IY
vīrulentō|UW IY RRR UW L EH0 N T OW0
vīrulentōs|UW IY RRR UW L EH0 N T OW0 S
vīrus|UW IY RRR UW S
vīrēs|UW IY RRR EH0 S
vīrī|UW IY RRR IY
vīrōsīs|UW IY RRR OW0 S IY S
vīsa|UW IY S AE
vīscus|UW IY S K UW S
vīsibilis|UW IY S IY B IY L IY S
vīsibiliter|UW IY S IY B IY L IY T EH0 RRR
vīsibilitās|UW IY S IY B IY L IY T AE S
vīsificus|UW IY S IY F IY K UW S
vīsitātis|UW IY S IY T AE T IY S
vīsitātīs|UW IY S IY T AE T IY S
vīsitāverimus|UW IY S IY T AE UW EH0 RRR IY M UW S
vīsitāveris|UW IY S IY T AE UW EH0 RRR IY S
vīsitāveritis|UW IY S IY T AE UW EH0 RRR IY T IY S
vīsitō|UW IY S IY T OW0
vīsiō|UW IY S IY OW0
vīsor|UW IY S OW0 RRR
vīsum|UW IY S UW M
vīsuālis|UW IY S UW AE L IY S
vīsuālitās|UW IY S UW AE L IY T AE S
vīsīvus|UW IY S IY UW UW S
vīsō|UW IY S OW0
vīsōre|UW IY S OW0 RRR EH0
vīsōrem|UW IY S OW0 RRR EH0 M
vīsōribus|UW IY S OW0 RRR IY B UW S
vīsōris|UW IY S OW0 RRR IY S
vīsōrum|UW IY S OW0 RRR UW M
vīsōrēs|UW IY S OW0 RRR EH0 S
vīsōrī|UW IY S OW0 RRR IY
vīta|UW IY T AE
vītae|UW IY T AE EH0
vīteus|UW IY T EH0 UW S
vītex|UW IY T EH0 K S
vītiparra|UW IY T IY P AE RRR RRR AE
vītis|UW IY T IY S
vītulāmen|UW IY T UW L AE M EH0 N
vītus|UW IY T UW S
vītābundus|UW IY T AE B UW N D UW S
vītālis|UW IY T AE L IY S
vītāre|UW IY T AE RRR EH0
vītīs|UW IY T IY S
vīva|UW IY UW AE
vīvendō|UW IY UW EH0 N D OW0
vīvent|UW IY UW EH0 N T
vīventēs|UW IY UW EH0 N T EH0 S
vīverēs|UW IY UW EH0 RRR EH0 S
vīvida|UW IY UW IY D AE
vīvidus|UW IY UW IY D UW S
vīvidō|UW IY UW IY D OW0
vīvificō|UW IY UW IY F IY K OW0
vīviparus|UW IY UW IY P AE RRR UW S
vīvit|UW IY UW IY T
vīvum|UW IY UW UW M
vīvus|UW IY UW UW S
vīvāciter|UW IY UW AE K IY T EH0 RRR
vīvācitās|UW IY UW AE K IY T AE S
vīvārium|UW IY UW AE RRR IY UW M
vīvātus|UW IY UW AE T UW S
vīvāx|UW IY UW AE K S
vīvēs|UW IY UW EH0 S
vīvī|UW IY UW IY
vīvō|UW IY UW OW0
vōbīs|UW OW0 B IY S
vōbīscum|UW OW0 B IY S K UW M
vōbīsmet|UW OW0 B IY S M EH0 T
vōciferor|UW OW0 K IY F EH0 RRR OW0 RRR
vōciferātiō|UW OW0 K IY F EH0 RRR AE T IY OW0
vōcificō|UW OW0 K IY F IY K OW0
vōcula|UW OW0 K UW L AE
vōculātiō|UW OW0 K UW L AE T IY OW0
vōcāliter|UW OW0 K AE L IY T EH0 RRR
vōcālitās|UW OW0 K AE L IY T AE S
vōdanus|UW OW0 D AE N UW S
vōmer|UW OW0 M EH0 RRR
vōs|UW OW0 S
vōsmet|UW OW0 S M EH0 T
vōta|UW OW0 T AE
vōtam|UW OW0 T AE M
vōte|UW OW0 T EH0
vōtiger|UW OW0 T IY G EH0 RRR
vōtiēnus|UW OW0 T IY EH0 N UW S
vōtus|UW OW0 T UW S
vōtās|UW OW0 T AE S
vōtī|UW OW0 T IY
vōtīs|UW OW0 T IY S
vōtīva|UW OW0 T IY UW AE
vōtīve|UW OW0 T IY UW EH0
vōtīvus|UW OW0 T IY UW UW S
vōtīvās|UW OW0 T IY UW AE S
vōtīvī|UW OW0 T IY UW IY
vōtīvō|UW OW0 T IY UW OW0
vōtīvōs|UW OW0 T IY UW OW0 S
vōtō|UW OW0 T OW0
vōtōs|UW OW0 T OW0 S
vōx|UW OW0 K S
wacta|UW AE K T AE
wadium|UW AE D IY UW M
wallicus|UW AE L L IY K UW S
wantus|UW AE N T UW S
warda|UW AE RRR D AE
wargus|UW AE RRR G UW S
wastina|UW AE S T IY N AE
werpiō|UW EH0 RRR P IY OW0
westmonastēriēnsis|UW EH0 S T M OW0 N AE S T EH0 RRR IY EH0 N S IY S
widmānstadius|UW IY D M AE N S T AE D IY UW S
wilielmus|UW IY L IY EH0 L M UW S
wolframium|UW OW0 L F RRR AE M IY UW M
wīta|UW IY T AE
wītam|UW IY T AE M
xanthelasmoīdeus|K S AE N T EH0 L AE S M OW0 IY D EH0 UW S
xanthippus|K S AE N T IY P P UW S
xanthippē|K S AE N T IY P P EH0
xanthogaster|K S AE N T OW0 G AE S T EH0 RRR
xanthopterus|K S AE N T OW0 P T EH0 RRR UW S
xanthosternus|K S AE N T OW0 S T EH0 RRR N UW S
xanthus|K S AE N T UW S
xenium|K S EH0 N IY UW M
xenon|K S EH0 N OW0 N
xiphiās|K S IY P IY AE S
xois|K S OW0 IY S
xylanolyticus|K S Y UW1 L AE N OW0 L Y UW1 T IY K UW S
xylobalsamum|K S Y UW1 L OW0 B AE L S AE M UW M
xylopolis|K S Y UW1 L OW0 P OW0 L IY S
xypetē|K S Y UW1 P EH0 T EH0
xystra|K S Y UW1 S T RRR AE
xystus|K S Y UW1 S T UW S
xēranticus|K S EH0 RRR AE N T IY K UW S
xērophilus|K S EH0 RRR OW0 P IY L UW S
xȳniae|K S Y UW1 N IY AE EH0
ytterbium|Y UW1 T T EH0 RRR B IY UW M
ytterbiōrum|Y UW1 T T EH0 RRR B IY OW0 RRR UW M
yttrium|Y UW1 T T RRR IY UW M
z|Z
zabulus|Z AE B UW L UW S
zabūlōn|Z AE B UW L OW0 N
zachaliās|Z AE K AE L IY AE S
zacynthus|Z AE K Y UW1 N T UW S
zacōnus|Z AE K OW0 N UW S
zaeta|Z AE EH0 T AE
zagatis|Z AE G AE T IY S
zagrabia|Z AE G RRR AE B IY AE
zagōrus|Z AE G OW0 RRR UW S
zalacus|Z AE L AE K UW S
zambia|Z AE M B IY AE
zamorēnsis|Z AE M OW0 RRR EH0 N S IY S
zanca|Z AE N K AE
zancha|Z AE N K AE
zanthenēs|Z AE N T EH0 N EH0 S
zaplūtus|Z AE P L UW T UW S
zarangae|Z AE RRR AE N G AE EH0
zarax|Z AE RRR AE K S
zariadrēs|Z AE RRR IY AE D RRR EH0 S
zariasta|Z AE RRR IY AE S T AE
zarotis|Z AE RRR OW0 T IY S
zebedaeus|Z EH0 B EH0 D AE EH0 UW S
zedoārium|Z EH0 D OW0 AE RRR IY UW M
zelīa|Z EH0 L IY AE
zema|Z EH0 M AE
zephira|Z EH0 P IY RRR AE
zephyre|Z EH0 P Y UW1 RRR EH0
zephyrium|Z EH0 P Y UW1 RRR IY UW M
zephyrius|Z EH0 P Y UW1 RRR IY UW S
zephyrum|Z EH0 P Y UW1 RRR UW M
zephyrus|Z EH0 P Y UW1 RRR UW S
zephyrī|Z EH0 P Y UW1 RRR IY
zephyrīs|Z EH0 P Y UW1 RRR IY S
zephyrō|Z EH0 P Y UW1 RRR OW0
zephyrōrum|Z EH0 P Y UW1 RRR OW0 RRR UW M
zephyrōs|Z EH0 P Y UW1 RRR OW0 S
zerbis|Z EH0 RRR B IY S
zeros|Z EH0 RRR OW0 S
zerum|Z EH0 RRR UW M
zetis|Z EH0 T IY S
zeugma|Z EH0 UW G M AE
zeugītēs|Z EH0 UW G IY T EH0 S
ziboetēs|Z IY B OW0 EH0 T EH0 S
zicchī|Z IY K K IY
zigae|Z IY G AE EH0
zilia|Z IY L IY AE
zimara|Z IY M AE RRR AE
zimbabua|Z IY M B AE B UW AE
zimpiberi|Z IY M P IY B EH0 RRR IY
zincum|Z IY N K UW M
zingiber|Z IY N G IY B EH0 RRR
zingiberi|Z IY N G IY B EH0 RRR IY
zinzala|Z IY N Z AE L AE
zinzilulō|Z IY N Z IY L UW L OW0
zinziāre|Z IY N Z IY AE RRR EH0
zirbus|Z IY RRR B UW S
zircōnium|Z IY RRR K OW0 N IY UW M
zircōniōrum|Z IY RRR K OW0 N IY OW0 RRR UW M
zizā̆nia|Z IY Z Z AE N IY AE
zmaragdinus|Z M AE RRR AE G D IY N UW S
zmintha|Z M IY N T AE
zonus|Z OW0 N UW S
zoranisceos|Z OW0 RRR AE N IY S K EH0 OW0 S
zoroanda|Z OW0 RRR OW0 AE N D AE
zothalēs|Z OW0 T AE L EH0 S
zoēlae|Z OW0 EH0 L AE EH0
zuccarum|Z UW K K AE RRR UW M
zuma|Z UW M AE
zura|Z UW RRR AE
zurazī|Z UW RRR AE Z Z IY
zygapophyseālis|Z Y UW1 G AE P OW0 P Y UW1 S EH0 AE L IY S
zygerē|Z Y UW1 G EH0 RRR EH0
zygia|Z Y UW1 G IY AE
zygostatēs|Z Y UW1 G OW0 S T AE T EH0 S
zygōmaticus|Z Y UW1 G OW0 M AE T IY K UW S
zygōmaticī|Z Y UW1 G OW0 M AE T IY K IY
zyrās|Z Y UW1 RRR AE S
zāconus|Z AE K OW0 N UW S
zācōn|Z AE K OW0 N
zāmia|Z AE M IY AE
zēa|Z EH0 AE
zēbra|Z EH0 B RRR AE
zēbrātus|Z EH0 B RRR AE T UW S
zēlanter|Z EH0 L AE N T EH0 RRR
zēlivira|Z EH0 L IY UW IY RRR AE
