а|AA
спис|S P IH S
список|S P IH S AO K
спитати|S P EH0 T AA T EH0
спланувати|S P L AA N UH V AA T EH0
сплатити|S P L AA T IH T EH0
сплачувати|S P L AA T UH V AA T EH0
сповільнити|S P AO V IY L N EH0 T EH0
сповільнювати|S P AO V IY L N UH V AA T EH0
сповістити|S P AO V IY S T IH T EH0
сповіщати|S P AO V IY SH T AA T EH0
сповіщення|S P AO V IY SH T EH0 N AA
спогад|S P AO AA D
сподіватися|S P AO D IY V AA T EH0 S AA
споживання|S P AO ZH EH0 V AA N AA
споживати|S P AO ZH EH0 V AA T EH0
споживач|S P AO ZH EH0 V AA T
споживача|S P AO ZH EH0 V AA T AA
споживачка|S P AO ZH EH0 V AA T K AA
споживачі|S P AO ZH EH0 V AA T IY
споживачів|S P AO ZH EH0 V AA T IY UW
споживчий|S P AO ZH IH UW T EH0 IY
спожити|S P AO ZH IH T EH0
спокуса|S P OW0 K UW S AA
спокій|S P AO K IY IY
спокійний|S P OW0 K IY IY N EH0 IY
сполучати|S P AO L UH T AA T EH0
сполучений|S P OW0 L UW T EH0 N EH0 IY
сполучення|S P OW0 L UW T EH0 N AA
сполучити|S P AO L UH T IH T EH0
сполучник|S P OW0 L UW T N EH0 K
спонукати|S P AO N UH K AA T EH0
спора|S P AO RRR AA
спорожнити|S P AO RRR AO ZH N IH T EH0
спорожнювати|S P AO RRR AO ZH N UH V AA T EH0
спорожняти|S P AO RRR AO ZH N AA T EH0
спорт|S P AO RRR T
спортивний|S P AO RRR T IH UW N EH0 IY
спортсмен|S P AO RRR T M EH N
спортсменка|S P AO RRR T M EH N K AA
споруда|S P OW0 RRR UW D AA
споряджати|S P AO RRR AA D AA T EH0
спорядити|S P AO RRR AA D IH T EH0
спостерегти|S P AO S T EH0 RRR EH0 T IH
спостереження|S P AO S T EH0 RRR EH ZH EH0 N AA
спостерігати|S P AO S T EH0 RRR IY AA T EH0
спостерігач|S P AO S T EH0 RRR IY AA T
спостерігачка|S P AO S T EH0 RRR IY AA T K AA
спосіб|S P AO S IY B
спочатку|S P AO T AA T K UH
справ|S P RRR AA UW
справа|S P RRR AA V AA
справам|S P RRR AA V AA M
справами|S P RRR AA V AA M EH0
справах|S P RRR AA V AA HH
справді|S P RRR AA UW D IY
справедливий|S P RRR AA V EH0 D L IH V EH0 IY
справедливість|S P RRR AA V EH0 D L IH V IY S T
справжнє|S P RRR AA UW ZH N EH0
справжній|S P RRR AA UW ZH N IY IY
справи|S P RRR AA V EH0
справо|S P RRR AA W AO
справою|S P RRR AA W AO Y UH
справу|S P RRR AA W UH
справі|S P RRR AA V IY
спрага|S P RRR AA AA
спраглий|S P RRR AA L EH0 IY
сприймати|S P RRR EH0 IY M AA T EH0
сприйняти|S P RRR EH0 IY N AA T EH0
сприйняття|S P RRR EH0 IY N AA T AA
спричинити|S P RRR EH0 T EH0 N IH T EH0
спричинювати|S P RRR EH0 T IH N UH V AA T EH0
спричиняти|S P RRR EH0 T EH0 N AA T EH0
сприятливий|S P RRR EH0 Y AA T L EH0 V EH0 IY
спроба|S P RRR AO B AA
спробувати|S P RRR AO B UH V AA T EH0
спровокувати|S P RRR AO W AO K UH V AA T EH0
спрогнозувати|S P RRR AO N AO Z UH V AA T EH0
спроможний|S P RRR AO M AO ZH N EH0 IY
спроможність|S P RRR AO M AO ZH N IY S T
спростити|S P RRR AO S T IH T EH0
спростовувати|S P RRR AO S T AO W UH V AA T EH0
спростувати|S P RRR AO S T UH V AA T EH0
спрощувати|S P RRR AO SH T UH V AA T EH0
спрямовувати|S P RRR AA M AO W UH V AA T EH0
спрямувати|S P RRR AA M UH V AA T EH0
співавтор|S P IY V AA UW T AO RRR
співавторство|S P IY V AA UW T AO RRR S T W AO
співак|S P IY V AA K
співати|S P IY V AA T EH0
співачка|S P IY V AA T K AA
співбесіда|S P IY UW B EH S IY D AA
співбесідник|S P IY UW B EH S IY D N EH0 K
співбесідниця|S P IY UW B EH S IY D N EH0 T AA
співвітчизник|S P IY V IY T IH Z N EH0 K
співгромадянин|S P IY UW RRR AO M AA D AA N EH0 N
співгромадянка|S P IY UW RRR AO M AA D AA N K AA
співзасновник|S P IY UW Z AA S N AO UW N EH0 K
співзасновниця|S P IY UW Z AA S N AO UW N EH0 T AA
співорганізатор|S P IY W AO RRR AA N IY Z AA T AO RRR
співорганізаторка|S P IY W AO RRR AA N IY Z AA T AO RRR K AA
співпереживання|S P IY UW P EH0 RRR EH0 ZH EH0 V AA N AA
співпереживати|S P IY UW P EH0 RRR EH0 ZH EH0 V AA T EH0
співпрацювати|S P IY UW P RRR AA T UH V AA T EH0
співпраця|S P IY UW P RRR AA T AA
співробітник|S P IY UW RRR OW0 B IY T N EH0 K
співробітництво|S P IY UW RRR OW0 B IY T N EH0 T T W AO
співробітниця|S P IY UW RRR OW0 B IY T N EH0 T AA
співрозмовник|S P IY UW RRR AO Z M AO UW N EH0 K
співрозмовниця|S P IY UW RRR AO Z M AO UW N EH0 T AA
співучасник|S P IY W UH T AA S N EH0 K
співучасть|S P IY W UW T AA S T
співчутливий|S P IY UW T UH T L IH V EH0 IY
співчуття|S P IY UW T UH T AA
співіснування|S P IY V IY S N UH V AA N AA
співіснувати|S P IY V IY S N UH V AA T EH0
спіднице|S P IY D N IH T EH0
спідницею|S P IY D N IH T EH0 Y UH
спідниць|S P IY D N IH T
спідницю|S P IY D N IH T UH
спідниця|S P IY D N IH T AA
спідницям|S P IY D N IH T AA M
спідницями|S P IY D N IH T AA M EH0
спідницях|S P IY D N IH T AA HH
спідниці|S P IY D N IH T IY
спізнитися|S P IY Z N IH T EH0 S AA
спізнюватися|S P IY Z N UH V AA T EH0 S AA
спілкування|S P IY L K UH V AA N AA
спілкуватися|S P IY L K UH V AA T EH0 S AA
спільний|S P IY L N EH0 IY
спір|S P IY RRR
спірний|S P IY RRR N EH0 IY
спішити|S P IY SH IH T EH0
спішний|S P IY SH N EH0 IY
срака|S RRR AA K AA
срібло|S RRR IY B L AO
срібний|S RRR IY B N EH0 IY
ссавець|S AA V EH T
ссавці|S AA UW T IY
ссати|S AA T EH0
стабільний|S T AA B IY L N EH0 IY
стабільність|S T AA B IY L N IY S T
стабілізація|S T AA B IY L IY Z AA T IY Y AA
стабілізувати|S T AA B IY L IY Z UH V AA T EH0
ставати|S T AA V AA T EH0
ставатися|S T AA V AA T EH0 S AA
ставити|S T AA V EH0 T EH0
ставлення|S T AA UW L EH0 N AA
стадіон|S T AA D IY AO N
стайня|S T AA IY N AA
стакан|S T AA K AA N
сталевий|S T AA L EH V EH0 IY
сталь|S T AA L
стан|S T AA N
стандарт|S T AA N D AA RRR T
стандартам|S T AA N D AA RRR T AA M
стандартами|S T AA N D AA RRR T AA M EH0
стандартах|S T AA N D AA RRR T AA HH
стандарти|S T AA N D AA RRR T EH0
стандартизація|S T AA N D AA RRR T EH0 Z AA T IY Y AA
стандартизувати|S T AA N D AA RRR T EH0 Z UH V AA T EH0
стандартний|S T AA N D AA RRR T N EH0 IY
стандартові|S T AA N D AA RRR T AO V IY
стандартом|S T AA N D AA RRR T AO M
стандарту|S T AA N D AA RRR T UH
стандарті|S T AA N D AA RRR T IY
стандартів|S T AA N D AA RRR T IY UW
становище|S T AA N AO V EH0 SH T EH0
станцій|S T AA N T IY IY
станцію|S T AA N T IY Y UH
станція|S T AA N T IY Y AA
станціям|S T AA N T IY Y AA M
станціями|S T AA N T IY Y AA M EH0
станціях|S T AA N T IY Y AA HH
станціє|S T AA N T IY Y EH0
станцією|S T AA N T IY Y EH0 Y UH
станції|S T AA N T IY Y IY
станіслав|S T AA N IY S L AA UW
стар|S T AA RRR
старанний|S T AA RRR AA N EH0 IY
старання|S T AA RRR AA N AA
старатися|S T AA RRR AA T EH0 S AA
старий|S T AA RRR IH IY
старик|S T AA RRR IH K
стародавній|S T AA RRR AO D AA UW N IY IY
старомодний|S T AA RRR AO M AO D N EH0 IY
старіти|S T AA RRR IY T EH0
статевий|S T AA T EH V EH0 IY
стати|S T AA T EH0
статистика|S T AA T IH S T EH0 K AA
статистичний|S T AA T EH0 S T IH T N EH0 IY
стаття|S T AA T AA
статус|S T AA T UH S
статут|S T AA T UW T
стать|S T AA T
ствол|S T W AO L
створення|S T W AO RRR EH0 N AA
створити|S T W AO RRR IH T EH0
створювати|S T W AO RRR UH V AA T EH0
стегно|S T EH0 N AO
стежити|S T EH ZH EH0 T EH0
стезя|S T EH0 Z AA
стеля|S T EH L AA
степ|S T EH P
стереотип|S T EH0 RRR EH0 AO T IH P
стерня|S T EH0 RRR N AA
стероїд|S T EH0 RRR AO Y IY D
стефанія|S T EH0 F AA N IY Y AA
стехіометрія|S T EH0 HH IY AO M EH T RRR IY Y AA
стигматизація|S T EH0 M AA T EH0 Z AA T IY Y AA
стиль|S T IH L
стильний|S T IH L N EH0 IY
стилістика|S T EH0 L IY S T EH0 K AA
стилістичний|S T EH0 L IY S T IH T N EH0 IY
стимул|S T IH M UH L
стимулювати|S T EH0 M UH L UH V AA T EH0
сто|S T AO
стовбур|S T AO UW B UH RRR
стовп|S T AO UW P
столиця|S T AO L IH T AA
столична|S T AO L IH T N AA
столичний|S T AO L IH T N EH0 IY
століттю|S T OW0 L IY T UH
століття|S T OW0 L IY T AA
століттям|S T OW0 L IY T AA M
століттями|S T OW0 L IY T AA M EH0
століттях|S T OW0 L IY T AA HH
столітті|S T OW0 L IY T IY
століть|S T OW0 L IY T
стоматолог|S T AO M AA T AO L AO
стоматологія|S T AO M AA T AO L AO IY Y AA
стомити|S T AO M IH T EH0
стомлений|S T AO M L EH0 N EH0 IY
стомлювати|S T AO M L UH V AA T EH0
стопа|S T AO P AA
сторож|S T AO RRR AO ZH
сторона|S T AO RRR AO N AA
сторінка|S T OW0 RRR IY N K AA
стосовно|S T AO S AO UW N AO
стояти|S T AO Y AA T EH0
страва|S T RRR AA V AA
страж|S T RRR AA ZH
страждання|S T RRR AA ZH D AA N AA
страждати|S T RRR AA ZH D AA T EH0
страйк|S T RRR AA IY K
страта|S T RRR AA T AA
стратегічний|S T RRR AA T EH0 IY T N EH0 IY
стратегія|S T RRR AA T EH IY Y AA
страх|S T RRR AA HH
страховий|S T RRR AA HH AO V IH IY
страхування|S T RRR AA HH UH V AA N AA
страхувань|S T RRR AA HH UH V AA N
страхувати|S T RRR AA HH UH V AA T EH0
страхіття|S T RRR AA HH IY T AA
страшенно|S T RRR AA SH EH N AO
страшидло|S T RRR AA SH IH D L AO
страшило|S T RRR AA SH IH L AO
страшний|S T RRR AA SH N IH IY
стремено|S T RRR EH0 M EH N AO
стрибати|S T RRR EH0 B AA T EH0
стрибнути|S T RRR EH0 B N UW T EH0
стригти|S T RRR IH T EH0
стримати|S T RRR IH M AA T EH0
стримувати|S T RRR IH M UH V AA T EH0
строїти|S T RRR AO Y IY T EH0
структура|S T RRR UH K T UW RRR AA
структурний|S T RRR UH K T UW RRR N EH0 IY
структурувати|S T RRR UH K T UH RRR UH V AA T EH0
струм|S T RRR UW M
стрункий|S T RRR UH N K IH IY
стріла|S T RRR IY L AA
стрілка|S T RRR IY L K AA
стріляти|S T RRR IY L AA T EH0
стрічка|S T RRR IY T K AA
стрічки|S T RRR IY T K IH
студенець|S T UH D EH0 N EH T
студент|S T UH D EH N T
студентка|S T UH D EH N T K AA
ступати|S T UH P AA T EH0
ступити|S T UH P IH T EH0
ступінь|S T UW P IY N
стюардеса|S T UH AA RRR D EH S AA
стяг|S T AA
стіг|S T IY
стіл|S T IY L
стілець|S T IY L EH T
стільниковий|S T IY L N EH0 K AO V EH0 IY
стіна|S T IY N AA
суб'єкт|S UH B Y EH K T
суб'єктивний|S UH B Y EH0 K T IH UW N EH0 IY
субота|S UH B AO T AA
суботи|S UH B AO T EH0
суботній|S UH B AO T N IY IY
субсидія|S UH B S IH D IY Y AA
субстрат|S UH B S T RRR AA T
субтитр|S UH B T IH T RRR
субтитри|S UH B T IH T RRR EH0
суверенний|S UH V EH0 RRR EH N EH0 IY
суверенітет|S UH V EH0 RRR EH0 N IY T EH T
суглоб|S UH L AO B
суд|S UW D
судак|S UH D AA K
суддя|S UH D AA
судина|S UH D IH N AA
судинний|S UH D IH N EH0 IY
судити|S UH D IH T EH0
судно|S UH D N AO
суднобудування|S UH D N AO B UH D UH V AA N AA
суднобудівна|S UH D N AO B UH D IY UW N AA
суднобудівний|S UH D N AO B UH D IY UW N IH IY
суднобудівник|S UH D N AO B UH D IY UW N IH K
судноплавство|S UH D N AO P L AA UW S T W AO
сузір'я|S UH Z IY RRR Y AA
сукало|S UH K AA L AO
сукне|S UW K N EH0
сукнею|S UW K N EH0 Y UH
сукню|S UW K N UH
сукня|S UW K N AA
сукням|S UW K N AA M
сукнями|S UW K N AA M EH0
сукнях|S UW K N AA HH
сукні|S UW K N IY
суконь|S UW K AO N
суми|S UH M IH
сумка|S UW M K AA
сумління|S UH M L IY N AA
сумнів|S UW M N IY UW
сумніватися|S UH M N IY V AA T EH0 S AA
сумочка|S UW M AO T K AA
суміжний|S UH M IY ZH N EH0 IY
сумісний|S UH M IY S N EH0 IY
сумісність|S UH M IY S N IY S T
суниця|S UH N IH T AA
суп|S UW P
суперечити|S UH P EH0 RRR EH T EH0 T EH0
суперечка|S UH P EH0 RRR EH T K AA
суперник|S UH P EH RRR N EH0 K
суперництво|S UH P EH RRR N EH0 T T W AO
суперниця|S UH P EH RRR N EH0 T AA
супроводжувати|S UH P RRR AO W AO D UH V AA T EH0
супроводити|S UH P RRR AO W AO D EH0 T EH0
супруг|S UH P RRR UW
супруга|S UH P RRR UW AA
супругам|S UH P RRR UW AA M
супругами|S UH P RRR UW AA M EH0
супругах|S UH P RRR UW AA HH
супруги|S UH P RRR UW EH0
супруго|S UH P RRR UW AO
супругою|S UH P RRR UW AO Y UH
супругу|S UH P RRR UW UH
супрузі|S UH P RRR UW Z IY
супутник|S UH P UW T N EH0 K
супутниковий|S UH P UW T N EH0 K AO V EH0 IY
сура|S UW RRR AA
суржик|S UW RRR ZH EH0 K
суровий|S UH RRR AO V EH0 IY
сусанна|S UH S AA N AA
суспільний|S UH S P IY L N EH0 IY
суспільство|S UH S P IY L S T W AO
сусід|S UH S IY D
сусідка|S UH S IY D K AA
сусідній|S UH S IY D N IY IY
сусідство|S UH S IY D S T W AO
сусідський|S UH S IY D S K EH0 IY
сусідів|S UH S IY D IY UW
суттєвий|S UH T EH V EH0 IY
суть|S UW T
суті|S UW T IY
сутінки|S UW T IY N K EH0
суфікс|S UW F IY K S
сухий|S UH HH IH IY
сухожилля|S UH HH AO ZH IH L AA
суцвіття|S UH T V IY T AA
суцільний|S UH T IY L N EH0 IY
сучасний|S UH T AA S N EH0 IY
сучасник|S UH T AA S N EH0 K
сучасниця|S UH T AA S N EH0 T AA
сушарка|S UH SH AA RRR K AA
сфальсифікувати|S F AA L S EH0 F IY K UH V AA T EH0
сфер|S F EH RRR
сфера|S F EH RRR AA
сформулювати|S F AO RRR M UH L UH V AA T EH0
схвалити|S HH V AA L IH T EH0
схвальний|S HH V AA L N EH0 IY
схвалювати|S HH V AA L UH V AA T EH0
схвилювати|S HH V EH0 L UH V AA T EH0
схема|S HH EH M AA
схематизація|S HH EH0 M AA T EH0 Z AA T IY Y AA
схематизувати|S HH EH0 M AA T EH0 Z UH V AA T EH0
схематичний|S HH EH0 M AA T IH T N EH0 IY
схильний|S HH IH L N EH0 IY
схильність|S HH IH L N IY S T
сховати|S HH AO V AA T EH0
сховище|S HH AO V EH0 SH T EH0
схожий|S HH AO ZH EH0 IY
схожість|S HH AO ZH IY S T
схуднути|S HH UW D N UH T EH0
схід|S HH IY D
східний|S HH IY D N EH0 IY
східнослов'янський|S HH IY D N AO S L AO V Y AA N S K EH0 IY
східноєвропейський|S HH IY D N AO Y EH0 UW RRR AO P EH IY S K EH0 IY
сцена|S T EH N AA
сценарій|S T EH0 N AA RRR IY IY
сьогодні|S AO AO D N IY
сьогоднішній|S AO AO D N IY SH N IY IY
сьодні|S AO D N IY
сьомий|S AO M EH0 IY
сюди|S UH D IH
сюрприз|S UH RRR P RRR IH Z
сяти|S AA T EH0
сяяти|S AA Y AA T EH0
сідати|S IY D AA T EH0
сіднице|S IY D N IH T EH0
сідницею|S IY D N IH T EH0 Y UH
сідниць|S IY D N IH T
сідницю|S IY D N IH T UH
сідниця|S IY D N IH T AA
сідницям|S IY D N IH T AA M
сідницями|S IY D N IH T AA M EH0
сідницях|S IY D N IH T AA HH
сідниці|S IY D N IH T IY
сік|S IY K
сіль|S IY L
сільський|S IY L S K IH IY
сільськогосподарський|S IY L S K AO AO S P AO D AA RRR S K EH0 IY
сім|S IY M
сім'я|S IY M Y AA
сімдесят|S IY M D EH0 S AA T
сімдесятий|S IY M D EH0 S AA T EH0 IY
сімейний|S IY M EH IY N EH0 IY
сімнадцятий|S IY M N AA D T AA T EH0 IY
сімнадцять|S IY M N AA D T AA T
сімсот|S IY M S AO T
сімферополь|S IY M F EH0 RRR AO P AO L
сінаж|S IY N AA ZH
сінгапур|S IY N AA P UW RRR
сіни|S IY N EH0
сіно|S IY N AO
сірий|S IY RRR EH0 IY
сірка|S IY RRR K AA
сірник|S IY RRR N IH K
сісти|S IY S T EH0
січень|S IY T EH0 N
та|T AA
таблиця|T AA B L IH T AA
табличка|T AA B L IH T K AA
табір|T AA B IY RRR
таджикистан|T AA D EH0 K EH0 S T AA N
тайський|T AA IY S K EH0 IY
так|T AA K
така|T AA K AA
таке|T AA K EH
такий|T AA K IH IY
також|T AA K AO ZH
таксі|T AA K S IY
тактика|T AA K T EH0 K AA
тактичний|T AA K T IH T N EH0 IY
тактовний|T AA K T AO UW N EH0 IY
тактовність|T AA K T AO UW N IY S T
такі|T AA K IY
талановитий|T AA L AA N AO V IH T EH0 IY
талант|T AA L AA N T
талій|T AA L IY IY
талію|T AA L IY Y UH
талія|T AA L IY Y AA
таліям|T AA L IY Y AA M
таліями|T AA L IY Y AA M EH0
таліях|T AA L IY Y AA HH
таліє|T AA L IY Y EH0
талією|T AA L IY Y EH0 Y UH
талії|T AA L IY Y IY
там|T AA M
тамада|T AA M AA D AA
танець|T AA N EH0 T
танк|T AA N K
танки|T AA N K EH0
танковий|T AA N K AO V EH0 IY
танцювати|T AA N T UH V AA T EH0
танцюрист|T AA N T UH RRR IH S T
танцюриста|T AA N T UH RRR IH S T AA
танцюристи|T AA N T UH RRR IH S T EH0
танцюристка|T AA N T UH RRR IH S T K AA
танцюристки|T AA N T UH RRR IH S T K EH0
танцюристок|T AA N T UH RRR IH S T AO K
танцюристів|T AA N T UH RRR IH S T IY UW
тарас|T AA RRR AA S
тарган|T AA RRR AA N
тарілка|T AA RRR IY L K AA
татко|T AA T K AO
тато|T AA T AO
татусь|T AA T UW S
таце|T AA T EH0
тацею|T AA T EH0 Y UH
таць|T AA T
тацю|T AA T UH
таця|T AA T AA
тацям|T AA T AA M
тацями|T AA T AA M EH0
тацях|T AA T AA HH
таці|T AA T IY
таємнице|T AA Y EH0 M N IH T EH0
таємницею|T AA Y EH0 M N IH T EH0 Y UH
таємниць|T AA Y EH0 M N IH T
таємницю|T AA Y EH0 M N IH T UH
таємниця|T AA Y EH0 M N IH T AA
таємницям|T AA Y EH0 M N IH T AA M
таємницями|T AA Y EH0 M N IH T AA M EH0
таємницях|T AA Y EH0 M N IH T AA HH
таємниці|T AA Y EH0 M N IH T IY
таїланд|T AA Y IY L AA N D
таїландець|T AA Y IY L AA N D EH0 T
таїландка|T AA Y IY L AA N D K AA
таїландський|T AA Y IY L AA N D S K EH0 IY
таїсія|T AA Y IY S IY Y AA
твар|T V AA RRR
тварина|T V AA RRR IH N AA
твердий|T V EH0 RRR D IH IY
тверезий|T V EH0 RRR EH Z EH0 IY
творити|T W AO RRR IH T EH0
твоя|T W AO Y AA
твоє|T W AO Y EH
твої|T W AO Y IY
твій|T V IY IY
твір|T V IY RRR
твітнути|T V IY T N UH T EH0
те|T EH
театр|T EH0 AA T RRR
тебе|T EH0 B EH
теж|T EH ZH
тезис|T EH Z EH0 S
текст|T EH K S T
текстовий|T EH K S T AO V EH0 IY
текти|T EH0 K T IH
телебачення|T EH0 L EH0 B AA T EH0 N AA
телеведуча|T EH0 L EH0 V EH0 D UW T AA
телеведучий|T EH0 L EH0 V EH0 D UW T EH0 IY
телевізор|T EH0 L EH0 V IY Z AO RRR
телевізійний|T EH0 L EH0 V IY Z IY IY N EH0 IY
телеглядач|T EH0 L EH0 L AA D AA T
телеглядачка|T EH0 L EH0 L AA D AA T K AA
телеканал|T EH0 L EH0 K AA N AA L
телескоп|T EH0 L EH0 S K AO P
телефон|T EH0 L EH0 F AO N
телефонувати|T EH0 L EH0 F AO N UH V AA T EH0
телугу|T EH L UH UH
теля|T EH0 L AA
тем|T EH M
тема|T EH M AA
тематичний|T EH0 M AA T IH T N EH0 IY
темний|T EH M N EH0 IY
темниця|T EH0 M N IH T AA
температура|T EH0 M P EH0 RRR AA T UW RRR AA
темрява|T EH M RRR AA V AA
тенденція|T EH0 N D EH N T IY Y AA
теніс|T EH N IY S
теолог|T EH0 AO L AO
теологічний|T EH0 AO L OW0 IY T N EH0 IY
теологія|T EH0 AO L AO IY Y AA
теоретичний|T EH0 AO RRR EH0 T IH T N EH0 IY
теорій|T EH0 AO RRR IY IY
теорію|T EH0 AO RRR IY Y UH
теорія|T EH0 AO RRR IY Y AA
теоріям|T EH0 AO RRR IY Y AA M
теоріями|T EH0 AO RRR IY Y AA M EH0
теоріях|T EH0 AO RRR IY Y AA HH
теоріє|T EH0 AO RRR IY Y EH0
теорією|T EH0 AO RRR IY Y EH0 Y UH
теорії|T EH0 AO RRR IY Y IY
тепер|T EH0 P EH RRR
теперішній|T EH0 P EH RRR IY SH N IY IY
теплий|T EH P L EH0 IY
теплиця|T EH0 P L IH T AA
тепло|T EH P L AO
тепловий|T EH0 P L AO V IH IY
теплота|T EH0 P L AO T AA
терапевтичний|T EH0 RRR AA P EH0 UW T IH T N EH0 IY
терапія|T EH0 RRR AA P IY Y AA
теребейчук|T EH0 RRR EH0 B EH0 IY T UW K
терем|T EH RRR EH0 M
терен|T EH RRR EH0 N
територіальна|T EH0 RRR EH0 T AO RRR IY AA L N AA
територіальний|T EH0 RRR EH0 T AO RRR IY AA L N EH0 IY
територія|T EH0 RRR EH0 T AO RRR IY Y AA
території|T EH0 RRR EH0 T AO RRR IY Y IY
термодинаміка|T EH0 RRR M AO D EH0 N AA M IY K AA
термодинамічний|T EH0 RRR M AO D EH0 N AA M IY T N EH0 IY
термометр|T EH0 RRR M AO M EH0 T RRR
термометричний|T EH0 RRR M AO M EH0 T RRR IH T N EH0 IY
термометрія|T EH0 RRR M AO M EH T RRR IY Y AA
термін|T EH RRR M IY N
терміновий|T EH0 RRR M IY N AO V EH0 IY
термінологічний|T EH0 RRR M IY N AO L OW0 IY T N EH0 IY
термінологія|T EH0 RRR M IY N AO L AO IY Y AA
терміт|T EH0 RRR M IY T
термітник|T EH0 RRR M IY T N EH0 K
тернопіль|T EH0 RRR N AO P IY L
тероризм|T EH0 RRR AO RRR IH Z M
терпеливий|T EH0 RRR P EH0 L IH V EH0 IY
терпеливість|T EH0 RRR P EH0 L IH V IY S T
терплячий|T EH0 RRR P L AA T EH0 IY
терплячість|T EH0 RRR P L AA T IY S T
терпіння|T EH0 RRR P IY N AA
терпіти|T EH0 RRR P IY T EH0
терти|T EH RRR T EH0
тесля|T EH S L AA
тестування|T EH0 S T UH V AA N AA
тестувати|T EH0 S T UH V AA T EH0
тесть|T EH S T
тетеря|T EH0 T EH RRR AA
тетяна|T EH0 T AA N AA
технократичний|T EH0 HH N AO K RRR AA T IH T N EH0 IY
технократія|T EH0 HH N AO K RRR AA T IY Y AA
технологічний|T EH0 HH N AO L OW0 IY T N EH0 IY
технологія|T EH0 HH N AO L AO IY Y AA
технічний|T EH0 HH N IY T N EH0 IY
течія|T EH0 T IY Y AA
теща|T EH SH T AA
ти|T IH
тигр|T IH RRR
тиждень|T IH ZH D EH0 N
тижня|T IH ZH N AA
тим|T IH M
тими|T IH M EH0
тимошенко|T EH0 M AO SH EH N K AO
тимчасовий|T EH0 M T AA S AO V EH0 IY
тип|T IH P
типовий|T EH0 P AO V IH IY
тирана|T EH0 RRR AA N AA
тис|T IH S
тиск|T IH S K
тисяч|T IH S AA T
тисяча|T IH S AA T AA
тисячний|T IH S AA T N EH0 IY
тисячоліттю|T EH0 S AA T OW0 L IY T UH
тисячоліття|T EH0 S AA T OW0 L IY T AA
тисячоліттям|T EH0 S AA T OW0 L IY T AA M
тисячоліттями|T EH0 S AA T OW0 L IY T AA M EH0
тисячоліттях|T EH0 S AA T OW0 L IY T AA HH
тисячолітті|T EH0 S AA T OW0 L IY T IY
тисячоліть|T EH0 S AA T OW0 L IY T
титар|T IH T AA RRR
тих|T IH HH
тихий|T IH HH EH0 IY
тиша|T IH SH AA
тишина|T EH0 SH EH0 N AA
ткаля|T K AA L AA
ткати|T K AA T EH0
тло|T L AO
тлумач|T L UH M AA T
тлумачити|T L UH M AA T EH0 T EH0
тлустий|T L UW S T EH0 IY
тля|T L AA
тобою|T AO B AO Y UH
тобто|T AO B T AO
тобі|T OW0 B IY
товар|T AO V AA RRR
товариство|T AO V AA RRR IH S T W AO
товариш|T AO V AA RRR EH0 SH
товаришка|T AO V AA RRR EH0 SH K AA
товмач|T AO UW M AA T
товстий|T AO UW S T IH IY
того|T AO AO
тоді|T OW0 D IY
тодішній|T OW0 D IY SH N IY IY
тож|T AO ZH
той|T AO IY
токар|T AO K AA RRR
токсикологічний|T AO K S EH0 K AO L OW0 IY T N EH0 IY
токсикологія|T AO K S EH0 K AO L AO IY Y AA
токсичний|T AO K S IH T N EH0 IY
токіо|T AO K IY AO
толерантний|T AO L EH0 RRR AA N T N EH0 IY
толерантність|T AO L EH0 RRR AA N T N IY S T
том|T AO M
тому|T AO M UH
тонкий|T AO N K IH IY
тонна|T AO N AA
топографічний|T AO P AO RRR AA F IY T N EH0 IY
топографія|T AO P AO RRR AA F IY Y AA
тополею|T AO P AO L EH0 Y UH
тополь|T AO P AO L
тополю|T AO P AO L UH
тополя|T AO P AO L AA
тополям|T AO P AO L AA M
тополями|T AO P AO L AA M EH0
тополях|T AO P AO L AA HH
тополі|T AO P AO L IY
топір|T OW0 P IY RRR
торба|T AO RRR B AA
торговий|T AO RRR AO V EH0 IY
торгівля|T OW0 RRR IY UW L AA
торкати|T AO RRR K AA T EH0
торкатися|T AO RRR K AA T EH0 S AA
торкнути|T OW0 RRR K N UW T EH0
торкнутися|T OW0 RRR K N UW T EH0 S AA
торпеда|T AO RRR P EH D AA
торт|T AO RRR T
торік|T OW0 RRR IY K
тотальний|T AO T AA L N EH0 IY
тоталітаризм|T AO T AA L IY T AA RRR IH Z M
тоталітарний|T AO T AA L IY T AA RRR N EH0 IY
точка|T AO T K AA
точний|T AO T N EH0 IY
точно|T AO T N AO
тошо|T AO SH AO
тощо|T AO SH T AO
тою|T AO Y UH
тої|T AO Y IY
трав'яний|T RRR AA V Y AA N IH IY
трав'янистий|T RRR AA V Y AA N IH S T EH0 IY
трава|T RRR AA V AA
травень|T RRR AA V EH0 N
травлення|T RRR AA UW L EH0 N AA
травмувати|T RRR AA UW M UH V AA T EH0
травоїдний|T RRR AA W AO Y IY D N EH0 IY
трагедій|T RRR AA EH D IY IY
трагедію|T RRR AA EH D IY Y UH
трагедія|T RRR AA EH D IY Y AA
трагедіям|T RRR AA EH D IY Y AA M
трагедіями|T RRR AA EH D IY Y AA M EH0
трагедіях|T RRR AA EH D IY Y AA HH
трагедіє|T RRR AA EH D IY Y EH0
трагедією|T RRR AA EH D IY Y EH0 Y UH
трагедії|T RRR AA EH D IY Y IY
трагічний|T RRR AA IY T N EH0 IY
