a|AE
socjalliberalizm|S AO T Y AE L L IY B EH RRR AE L IY Z M
socjalny|S AO T Y AE L N IH0
socjeta|S AO T Y EH T AE
socjolingwistyka|S AO T Y AO L IY NG G V IY S T IH0 K AE
socjolog|S AO T Y AO L AO K
socjologia|S AO T Y AO L AO G Y AE
socjologicznie|S AO T Y AO L AO G IY T N IY0 EH
socjologiczny|S AO T Y AO L AO G IY T N IH0
socjolożka|S AO T Y AO L AO SH K AE
socjopata|S AO T Y AO P AE T AE
socjopatia|S AO T Y AO P AE T Y AE
socjopatka|S AO T Y AO P AE T K AE
socjopatycznie|S AO T Y AO P AE T IH0 T N IY0 EH
socjopatyczny|S AO T Y AO P AE T IH0 T N IH0
socyn|S AO T IH0 N
socynianin|S AO T IH0 N IY0 AE N IY0 IY N
socyniański|S AO T IH0 N IY0 AE N IY0 S K IY
socyniańskiego|S AO T IH0 N IY0 AE N IY0 S K Y EH G AO
soczek|S AO T EH K
soczewica|S AO T EH V IY T AE
soczewka|S AO T EH F K AE
soczysty|S AO T IH0 S T IH0
soczyście|S AO T IH0 SH T EH
soda|S AO D AE
sodem|S AO D EH M
sodomita|S AO D AO M IY T AE
sodowi|S AO D AO V IY
sodowy|S AO D AO V IH0
sodu|S AO D UW
sodzie|S AO D EH
sofa|S AO F AE
sofia|S AO F Y AE
sofijski|S AO F IY Y S K IY
sofka|S AO F K AE
soiński|S AO IY N IY0 S K IY
soja|S AO Y AE
sojka|S AO Y K AE
sojusz|S AO Y UW SH
sojuszniczka|S AO Y UW SH N IY0 IY T K AE
sojuszniczy|S AO Y UW SH N IY0 IY T IH0
sojusznik|S AO Y UW SH N IY0 IY K
sok|S AO K
sokach|S AO K AE HH
sokal|S AO K AE L
sokami|S AO K AE M IY
soki|S AO K IY
sokiem|S AO K Y EH M
sokista|S AO K IY S T AE
sokola|S AO K AO L AE
sokole|S AO K AO L EH
sokolego|S AO K AO L EH G AO
sokolej|S AO K AO L EH Y
sokolemu|S AO K AO L EH M UW
sokolewicz|S AO K AO L EH V IY T
sokoli|S AO K AO L IY
sokolich|S AO K AO L IY HH
sokolik|S AO K AO L IY K
sokolim|S AO K AO L IY M
sokolimi|S AO K AO L IY M IY
sokolnik|S AO K AO L N IY0 IY K
sokolą|S AO K AO L AO W
sokolątko|S AO K AO L AO N T K AO
sokolę|S AO K AO L EH
sokom|S AO K AO M
sokowi|S AO K AO V IY
sokowicz|S AO K AO V IY T
sokowirówka|S AO K AO V IY RRR UW F K AE
sokownik|S AO K AO V N IY0 IY K
sokoła|S AO K AO W AE
sokołach|S AO K AO W AE HH
sokołami|S AO K AO W AE M IY
sokołem|S AO K AO W EH M
sokołom|S AO K AO W AO M
sokołowi|S AO K AO W AO V IY
sokołowicz|S AO K AO W AO V IY T
sokoły|S AO K AO W IH0
sokołów|S AO K AO W UW F
sokrates|S AO K RRR AE T EH S
soku|S AO K UW
soków|S AO K UW F
sokół|S AO K UW W
sola|S AO L AE
solanka|S AO L AE NG K AE
solarczyk|S AO L AE RRR T IH0 K
solarewicz|S AO L AE RRR EH V IY T
solarium|S AO L AE RRR Y UW M
solarny|S AO L AE RRR N IH0
solarz|S AO L AE SH
sole|S AO L EH
solecka|S AO L EH T K AE
solecki|S AO L EH T K IY
soleni|S AO L EH N IY0 IY
soleniec|S AO L EH N IY0 EH T
solenizant|S AO L EH N IY0 IY Z AE N T
solenizantka|S AO L EH N IY0 IY Z AE N T K AE
solenny|S AO L EH N N IH0
solfeż|S AO L F EH SH
solfeżowy|S AO L F EH AO V IH0
soli|S AO L IY
solich|S AO L IY HH
solidarnie|S AO L IY D AE RRR N IY0 EH
solidarność|S AO L IY D AE RRR N AO SH T
solidarny|S AO L IY D AE RRR N IH0
solidaryca|S AO L IY D AE RRR IH0 T AE
solidaryzować|S AO L IY D AE RRR IH0 Z AO V AE T
solidnie|S AO L IY D N IY0 EH
solidniej|S AO L IY D N IY0 EH Y
solidniejszego|S AO L IY D N IY0 EH Y SH EH G AO
solidniejszy|S AO L IY D N IY0 EH Y SH IH0
solidność|S AO L IY D N AO SH T
solidny|S AO L IY D N IH0
solilokwium|S AO L IY L AO K F Y UW M
solipsyzm|S AO L IY P S IH0 Z M
soliwoda|S AO L IY V AO D AE
solić|S AO L IY T
soliła|S AO L IY W AE
solna|S AO L N AE
solne|S AO L N EH
solni|S AO L N IY0 IY
solniczka|S AO L N IY0 IY T K AE
solnisko|S AO L N IY0 IY S K AO
solny|S AO L N IH0
solną|S AO L N AO W
solo|S AO L AO
soloch|S AO L AO HH
solona|S AO L AO N AE
solone|S AO L AO N EH
solono|S AO L AO N AO
solony|S AO L AO N IH0
soloną|S AO L AO N AO W
solorz|S AO L AO SH
soluch|S AO L UW HH
solówka|S AO L UW F K AE
solą|S AO L AO W
solące|S AO L AO N T EH
solący|S AO L AO N T IH0
solę|S AO L EH
somalia|S AO M AE L Y AE
somalijczyk|S AO M AE L IY Y T IH0 K
somalijka|S AO M AE L IY Y K AE
somalijski|S AO M AE L IY Y S K IY
somalijskiego|S AO M AE L IY Y S K Y EH G AO
sombrero|S AO M B RRR EH RRR AO
somnambuliczka|S AO M N AE M B UW L IY T K AE
somnambulicznie|S AO M N AE M B UW L IY T N IY0 EH
somnambuliczny|S AO M N AE M B UW L IY T N IH0
somnambulik|S AO M N AE M B UW L IY K
somnambulizm|S AO M N AE M B UW L IY Z M
sonata|S AO N AE T AE
sonatina|S AO N AE T IY N AE
sonatowy|S AO N AE T AO V IH0
sonda|S AO N D AE
sondaż|S AO N D AE SH
sondażach|S AO N D AE AE HH
sondażami|S AO N D AE AE M IY
sondaże|S AO N D AE EH
sondażem|S AO N D AE EH M
sondażom|S AO N D AE AO M
sondażowi|S AO N D AE AO V IY
sondażowy|S AO N D AE AO V IH0
sondażu|S AO N D AE UW
sondaży|S AO N D AE IH0
sondażów|S AO N D AE UW F
sondej|S AO N D EH Y
sonet|S AO N EH T
sonoluminescencja|S AO N AO L UW M IY N EH S T EH N T Y AE
sonsala|S AO N S AE L AE
sonsała|S AO N S AE W AE
sopata|S AO P AE T AE
sopel|S AO P EH L
sopelek|S AO P EH L EH K
sopla|S AO P L AE
soplach|S AO P L AE HH
soplami|S AO P L AE M IY
sople|S AO P L EH
soplem|S AO P L EH M
sopleniec|S AO P L EH N IY0 EH T
sopli|S AO P L IY
soplom|S AO P L AO M
soplowi|S AO P L AO V IY
soplu|S AO P L UW
sopocie|S AO P AO T EH
sopot|S AO P AO T
soprych|S AO P RRR IH0 HH
sopuch|S AO P UW HH
sopyła|S AO P IH0 W AE
sorabizm|S AO RRR AE B IY Z M
sorbal|S AO RRR B AE L
sorbet|S AO RRR B EH T
sorbetowa|S AO RRR B EH T AO V AE
sorbetowy|S AO RRR B EH T AO V IH0
sorbian|S AO RRR B Y AE N
sorbjan|S AO RRR B Y AE N
sordoń|S AO RRR D AO N IY0
sordyl|S AO RRR D IH0 L
sorek|S AO RRR EH K
soremba|S AO RRR EH M B AE
sorgo|S AO RRR G AO
sorki|S AO RRR K IY
sorkonos|S AO RRR K AO N AO S
sorkołaz|S AO RRR K AO W AE S
sornat|S AO RRR N AE T
soroka|S AO RRR AO K AE
soroko|S AO RRR AO K AO
soroń|S AO RRR AO N IY0
sorry|S AO RRR IH0
sort|S AO RRR T
sortowanie|S AO RRR T AO V AE N IY0 EH
sortować|S AO RRR T AO V AE T
sos|S AO S
sosen|S AO S EH N
sosenka|S AO S EH NG K AE
sosna|S AO S N AE
sosnach|S AO S N AE HH
sosnal|S AO S N AE L
sosnami|S AO S N AE M IY
sosno|S AO S N AO
sosnom|S AO S N AO M
sosnowce|S AO S N AO F T EH
sosnowe|S AO S N AO V EH
sosnowicz|S AO S N AO V IY T
sosnowiec|S AO S N AO V Y EH T
sosnowiecki|S AO S N AO V Y EH T K IY
sosnowska|S AO S N AO F S K AE
sosnowski|S AO S N AO F S K IY
sosnowy|S AO S N AO V IH0
sosny|S AO S N IH0
sosną|S AO S N AO W
sosnę|S AO S N EH
sosur|S AO S UW RRR
sosze|S AO SH EH
soszka|S AO SH K AE
sot|S AO T
sotkiewicz|S AO T K Y EH V IY T
sotor|S AO T AO RRR
sotwin|S AO T F IY N
sotyjczyk|S AO T IH0 Y T IH0 K
sotyjka|S AO T IH0 Y K AE
sotyjski|S AO T IH0 Y S K IY
soul|S AO W L
sowa|S AO V AE
sowach|S AO V AE HH
sowala|S AO V AE L AE
sowami|S AO V AE M IY
sowała|S AO V AE W AE
sowchoz|S AO F HH AO S
sowi|S AO V IY
sowia|S AO V Y AE
sowich|S AO V IY HH
sowici|S AO V IY T IY
sowie|S AO V Y EH
sowieccy|S AO V Y EH T T IH0
sowiecki|S AO V Y EH T K IY
sowieckiego|S AO V Y EH T K Y EH G AO
sowiego|S AO V Y EH G AO
sowiemu|S AO V Y EH M UW
sowiet|S AO V Y EH T
sowietka|S AO V Y EH T K AE
sowietolog|S AO V Y EH T AO L AO K
sowietologia|S AO V Y EH T AO L AO G Y AE
sowietologiczny|S AO V Y EH T AO L AO G IY T N IH0
sowietyzacja|S AO V Y EH T IH0 Z AE T Y AE
sowim|S AO V IY M
sowimi|S AO V IY M IY
sowiooki|S AO V Y AO AO K IY
sowisło|S AO V IY S W AO
sowita|S AO V IY T AE
sowite|S AO V IY T EH
sowitego|S AO V IY T EH G AO
sowitej|S AO V IY T EH Y
sowitemu|S AO V IY T EH M UW
sowity|S AO V IY T IH0
sowitych|S AO V IY T IH0 HH
sowitym|S AO V IY T IH0 M
sowitymi|S AO V IY T IH0 M IY
sowitą|S AO V IY T AO W
sowizdrzał|S AO V IY Z D AE W
sowią|S AO V Y AO W
sowię|S AO V Y EH
sowiński|S AO V IY N IY0 S K IY
sowiźrał|S AO V IY ZH RRR AE W
sowo|S AO V AO
sowom|S AO V AO M
sowul|S AO V UW L
sowy|S AO V IH0
sową|S AO V AO W
sowę|S AO V EH
sołdat|S AO W D AE T
sołectwo|S AO W EH T T F AO
sołkiewicz|S AO W K Y EH V IY T
sołoducha|S AO W AO D UW HH AE
sołoduszkiewicz|S AO W AO D UW SH K Y EH V IY T
sołoniewicz|S AO W AO N IY0 EH V IY T
sołowiej|S AO W AO V Y EH Y
sołowij|S AO W AO V IY Y
sołtykiewicz|S AO W T IH0 K Y EH V IY T
sołtys|S AO W T IH0 S
sołęga|S AO W EH NG G AE
sośnicki|S AO SH N IY0 IY T K IY
sośnie|S AO SH N IY0 EH
sośnierz|S AO SH N IY0 EH SH
sośnina|S AO SH N IY0 IY N AE
spacer|S P AE T EH RRR
spacerek|S P AE T EH RRR EH K
spacerniak|S P AE T EH RRR N IY0 AE K
spacerować|S P AE T EH RRR AO V AE T
spacerówka|S P AE T EH RRR UW F K AE
spachacz|S P AE HH AE T
spacja|S P AE T Y AE
spacyfikować|S P AE T IH0 F IY K AO V AE T
spad|S P AE T
spada|S P AE D AE
spadacie|S P AE D AE T EH
spadaj|S P AE D AE Y
spadajcie|S P AE D AE Y T EH
spadajmy|S P AE D AE Y M IH0
spadają|S P AE D AE Y AO W
spadając|S P AE D AE Y AO N T
spadająca|S P AE D AE Y AO N T AE
spadające|S P AE D AE Y AO N T EH
spadający|S P AE D AE Y AO N T IH0
spadali|S P AE D AE L IY
spadam|S P AE D AE M
spadamy|S P AE D AE M IH0
spadanie|S P AE D AE N IY0 EH
spadano|S P AE D AE N AO
spadasz|S P AE D AE SH
spadać|S P AE D AE T
spadał|S P AE D AE W
spadała|S P AE D AE W AE
spadałam|S P AE D AE W AE M
spadałaś|S P AE D AE W AE SH
spadało|S P AE D AE W AO
spadały|S P AE D AE W IH0
spadek|S P AE D EH K
spadkobierca|S P AE T K AO B Y EH RRR T AE
spadkobierczyni|S P AE T K AO B Y EH RRR T IH0 N IY0 IY
spadkodawca|S P AE T K AO D AE F T AE
spadkodawczyni|S P AE T K AO D AE F T IH0 N IY0 IY
spadkowy|S P AE T K AO V IH0
spadnie|S P AE D N IY0 EH
spadniecie|S P AE D N IY0 EH T EH
spadniemy|S P AE D N IY0 EH M IH0
spadniesz|S P AE D N IY0 EH SH
spadnij|S P AE D N IY0 IY Y
spadnięcie|S P AE D N IY0 EH N IY0 T EH
spadną|S P AE D N AO W
spadnę|S P AE D N EH
spadochron|S P AE D AO HH RRR AO N
spadochroniarz|S P AE D AO HH RRR AO N IY0 AE SH
spadziowy|S P AE D AO V IH0
spadł|S P AE D W
spadź|S P AE T
spaghetti|S P AE G EH T T IY
spaja|S P AE Y AE
spajam|S P AE Y AE M
spajanie|S P AE Y AE N IY0 EH
spajany|S P AE Y AE N IH0
spajasz|S P AE Y AE SH
spajać|S P AE Y AE T
spakować|S P AE K AO V AE T
spal|S P AE L
spala|S P AE L AE
spalacja|S P AE L AE T Y AE
spalaj|S P AE L AE Y
spalam|S P AE L AE M
spalanie|S P AE L AE N IY0 EH
spalano|S P AE L AE N AO
spalać|S P AE L AE T
spaleni|S P AE L EH N IY0 IY
spalenie|S P AE L EH N IY0 EH
spalenizna|S P AE L EH N IY0 IY Z N AE
spali|S P AE L IY
spaliby|S P AE L IY B IH0
spalibyście|S P AE L IY B IH0 SH T EH
spalibyśmy|S P AE L IY B IH0 SH M IH0
spaliny|S P AE L IY N IH0
spalić|S P AE L IY T
spaliście|S P AE L IY SH T EH
spaliśmy|S P AE L IY SH M IH0
spalona|S P AE L AO N AE
spalone|S P AE L AO N EH
spalono|S P AE L AO N AO
spalony|S P AE L AO N IH0
spaloną|S P AE L AO N AO W
spalą|S P AE L AO W
spalę|S P AE L EH
spam|S P AE M
spamer|S P AE M EH RRR
spamować|S P AE M AO V AE T
spanie|S P AE N IY0 EH
spanikować|S P AE N IY0 IY K AO V AE T
spano|S P AE N AO
sparafrazować|S P AE RRR AE F RRR AE Z AO V AE T
sparaliżować|S P AE RRR AE L IY AO V AE T
sparceta|S P AE RRR T EH T AE
sparcieć|S P AE RRR T EH T
spardek|S P AE RRR D EH K
sparing|S P AE RRR IY NG K
sparli|S P AE RRR L IY
sparodiować|S P AE RRR AO D Y AO V AE T
sparszeć|S P AE RRR SH EH T
sparta|S P AE RRR T AE
spartaczyć|S P AE RRR T AE T IH0 T
spartolić|S P AE RRR T AO L IY T
sparty|S P AE RRR T IH0
spartą|S P AE RRR T AO W
sparzyć|S P AE IH0 T
spasanie|S P AE S AE N IY0 EH
spasać|S P AE S AE T
spasienie|S P AE SH EH N IY0 EH
spasiony|S P AE SH AO N IH0
spastyczność|S P AE S T IH0 T N AO SH T
spastyczny|S P AE S T IH0 T N IH0
spaw|S P AE F
spawa|S P AE V AE
spawacz|S P AE V AE T
spawam|S P AE V AE M
spawanie|S P AE V AE N IY0 EH
spawany|S P AE V AE N IH0
spawarka|S P AE V AE RRR K AE
spawasz|S P AE V AE SH
spawać|S P AE V AE T
spawęk|S P AE V EH NG K
spazm|S P AE Z M
spać|S P AE T
spaćkać|S P AE T K AE T
spał|S P AE W
spała|S P AE W AE
spałaby|S P AE W AE B IH0
spałabym|S P AE W AE B IH0 M
spałabyś|S P AE W AE B IH0 SH
spałam|S P AE W AE M
spałaszować|S P AE W AE SH AO V AE T
spałaś|S P AE W AE SH
spałby|S P AE W B IH0
spałbym|S P AE W B IH0 M
spałbyś|S P AE W B IH0 SH
spałem|S P AE W EH M
spałeś|S P AE W EH SH
spało|S P AE W AO
spałoby|S P AE W AO B IH0
spały|S P AE W IH0
spaślak|S P AE SH L AE K
spaść|S P AE SH T
spec|S P EH T
specjacja|S P EH T Y AE T Y AE
specjalista|S P EH T Y AE L IY S T AE
specjalistka|S P EH T Y AE L IY S T K AE
specjalistyczny|S P EH T Y AE L IY S T IH0 T N IH0
specjalizacja|S P EH T Y AE L IY Z AE T Y AE
specjalizować|S P EH T Y AE L IY Z AO V AE T
specjalna|S P EH T Y AE L N AE
specjalne|S P EH T Y AE L N EH
specjalnie|S P EH T Y AE L N IY0 EH
specjalny|S P EH T Y AE L N IH0
specjał|S P EH T Y AE W
specustawa|S P EH T UW S T AE V AE
specyficznie|S P EH T IH0 F IY T N IY0 EH
specyficzny|S P EH T IH0 F IY T N IH0
specyfik|S P EH T IH0 F IY K
specyfika|S P EH T IH0 F IY K AE
specyfikacja|S P EH T IH0 F IY K AE T Y AE
spektakl|S P EH K T AE K L
spektakularnie|S P EH K T AE K UW L AE RRR N IY0 EH
spektakularność|S P EH K T AE K UW L AE RRR N AO SH T
spektakularny|S P EH K T AE K UW L AE RRR N IH0
spektrometr|S P EH K T RRR AO M EH T RRR
spektroskop|S P EH K T RRR AO S K AO P
spektrum|S P EH K T RRR UW M
spekulant|S P EH K UW L AE N T
spekulować|S P EH K UW L AO V AE T
speleologia|S P EH L EH AO L AO G Y AE
speluna|S P EH L UW N AE
spelunka|S P EH L UW NG K AE
spencer|S P EH N T EH RRR
spenetrować|S P EH N EH T RRR AO V AE T
sperma|S P EH RRR M AE
spermacet|S P EH RRR M AE T EH T
spermiarz|S P EH RRR M Y AE SH
spersonifikować|S P EH RRR S AO N IY0 IY F IY K AO V AE T
speszenie|S P EH SH EH N IY0 EH
speszony|S P EH SH AO N IH0
speszyć|S P EH SH IH0 T
spetryfikować|S P EH T RRR IH0 F IY K AO V AE T
spełniać|S P EH W N IY0 AE T
spełnić|S P EH W N IY0 IY T
spich|S P IY HH
spichlerz|S P IY HH L EH SH
spici|S P IY T IY
spicie|S P IY T EH
spiczasty|S P IY T AE S T IH0
spiechowicz|S P Y EH HH AO V IY T
spieczenie|S P Y EH T EH N IY0 EH
spiek|S P Y EH K
spiekanie|S P Y EH K AE N IY0 EH
spiekota|S P Y EH K AO T AE
spieniacz|S P Y EH N IY0 AE T
spieniać|S P Y EH N IY0 AE T
spienić|S P Y EH N IY0 IY T
spieniężać|S P Y EH N IY0 EH W AE T
spieniężyć|S P Y EH N IY0 EH W IH0 T
spieprzanie|S P Y EH P SH AE N IY0 EH
spieprzać|S P Y EH P SH AE T
spieprzenie|S P Y EH P SH EH N IY0 EH
spieprzyć|S P Y EH P SH IH0 T
spiera|S P Y EH RRR AE
spieram|S P Y EH RRR AE M
spieranie|S P Y EH RRR AE N IY0 EH
spierać|S P Y EH RRR AE T
spierdalaj|S P Y EH RRR D AE L AE Y
spierdalanie|S P Y EH RRR D AE L AE N IY0 EH
spierdalać|S P Y EH RRR D AE L AE T
spierdolenie|S P Y EH RRR D AO L EH N IY0 EH
spierdolina|S P Y EH RRR D AO L IY N AE
spierdolić|S P Y EH RRR D AO L IY T
spierdon|S P Y EH RRR D AO N
spierniczać|S P Y EH RRR N IY0 IY T AE T
spierniczyć|S P Y EH RRR N IY0 IY T IH0 T
spierz|S P Y EH SH
spierze|S P Y EH EH
spieszenie|S P Y EH SH EH N IY0 EH
spiesznie|S P Y EH SH N IY0 EH
spieszno|S P Y EH SH N AO
spieszny|S P Y EH SH N IH0
spieszyć|S P Y EH SH IH0 T
spij|S P IY Y
spijanie|S P IY Y AE N IY0 EH
spijać|S P IY Y AE T
spiker|S P IY K EH RRR
spiknąć|S P IY K N AO N IY0 T
spin|S P IY N
spina|S P IY N AE
spinach|S P IY N AE HH
spinacz|S P IY N AE T
spinaj|S P IY N AE Y
spinali|S P IY N AE L IY
spinam|S P IY N AE M
spinami|S P IY N AE M IY
spinany|S P IY N AE N IH0
spinać|S P IY N AE T
spinał|S P IY N AE W
spineczka|S P IY N EH T K AE
spinie|S P IY N IY0 EH
spinka|S P IY NG K AE
spinning|S P IY N IY0 IY NG K
spino|S P IY N AO
spinom|S P IY N AO M
spinowy|S P IY N AO V IH0
spinu|S P IY N UW
spiny|S P IY N IH0
spiną|S P IY N AO W
spinę|S P IY N EH
spiorą|S P Y AO RRR AO W
spiorę|S P Y AO RRR EH
spiracić|S P IY RRR AE T IY T
spirala|S P IY RRR AE L AE
spiralny|S P IY RRR AE L N IH0
spirodela|S P IY RRR AO D EH L AE
spirometr|S P IY RRR AO M EH T RRR
spirydowicz|S P IY RRR IH0 D AO V IY T
spirytus|S P IY RRR IH0 T UW S
spirytusowy|S P IY RRR IH0 T UW S AO V IH0
spirytysta|S P IY RRR IH0 T IH0 S T AE
spirytystka|S P IY RRR IH0 T IH0 S T K AE
spirytystyczny|S P IY RRR IH0 T IH0 S T IH0 T N IH0
spirytyzm|S P IY RRR IH0 T IH0 Z M
spis|S P IY S
spisać|S P IY S AE T
spiseg|S P IY S EH K
spisek|S P IY S EH K
spiskować|S P IY S K AO V AE T
spiskowiec|S P IY S K AO V Y EH T
spisywać|S P IY S IH0 V AE T
spisz|S P IY SH
spita|S P IY T AE
spite|S P IY T EH
spito|S P IY T AO
spity|S P IY T IH0
spitą|S P IY T AO W
spiąć|S P Y AO N IY0 T
spiął|S P Y AO W
spiąłem|S P Y AO W EH M
spiąłeś|S P Y AO W EH SH
spić|S P IY T
spięci|S P Y EH N IY0 T IY
spięcie|S P Y EH N IY0 T EH
spięli|S P Y EH L IY
spięta|S P Y EH N T AE
spięte|S P Y EH N T EH
spięty|S P Y EH N T IH0
spiętą|S P Y EH N T AO W
spięła|S P Y EH W AE
spięłam|S P Y EH W AE M
spięłaś|S P Y EH W AE SH
spięło|S P Y EH W AO
spięły|S P Y EH W IH0
spiła|S P IY W AE
spiż|S P IY SH
spiżarnia|S P IY AE RRR N IY0 AE
spiżowo|S P IY AO V AO
spiżowy|S P IY AO V IH0
splam|S P L AE M
splamić|S P L AE M IY T
splata|S P L AE T AE
splatam|S P L AE T AE M
splatanie|S P L AE T AE N IY0 EH
splatać|S P L AE T AE T
splecenie|S P L EH T EH N IY0 EH
splecie|S P L EH T EH
spleciesz|S P L EH T EH SH
splendor|S P L EH N D AO RRR
spletli|S P L EH T L IY
spleć|S P L EH T
spleśniały|S P L EH SH N IY0 AE W IH0
spleśnieć|S P L EH SH N IY0 EH T
spleść|S P L EH SH T
splocie|S P L AO T EH
splocik|S P L AO T IY K
splot|S P L AO T
splotą|S P L AO T AO W
splotę|S P L AO T EH
splotła|S P L AO T W AE
splotło|S P L AO T W AO
splotły|S P L AO T W IH0
splunąć|S P L UW N AO N IY0 T
spluwa|S P L UW V AE
spluwaczka|S P L UW V AE T K AE
spluwać|S P L UW V AE T
spluń|S P L UW N IY0
splótł|S P L UW T W
splądrować|S P L AO N D RRR AO V AE T
splątanie|S P L AO N T AE N IY0 EH
splątać|S P L AO N T AE T
splątek|S P L AO N T EH K
splątywać|S P L AO N T IH0 V AE T
spocenie|S P AO T EH N IY0 EH
spochmurnieć|S P AO HH M UW RRR N IY0 EH T
spoci|S P AO T IY
spocić|S P AO T IY T
spocony|S P AO T AO N IH0
spoczywanie|S P AO T IH0 V AE N IY0 EH
spoczywać|S P AO T IH0 V AE T
spocząć|S P AO T AO N IY0 T
spoczęcie|S P AO T EH N IY0 T EH
spocą|S P AO T AO W
spocę|S P AO T EH
spod|S P AO T
spodeczek|S P AO D EH T EH K
spodek|S P AO D EH K
spodenki|S P AO D EH NG K IY
spodlić|S P AO D L IY T
spodni|S P AO D N IY0 IY
spodnia|S P AO D N IY0 AE
spodnie|S P AO D N IY0 EH
spodnią|S P AO D N IY0 AO W
spodoba|S P AO D AO B AE
spodobać|S P AO D AO B AE T
spodziectwo|S P AO D EH T T F AO
spodzieja|S P AO D EH Y AE
spodziewające|S P AO D EH V AE Y AO N T EH
spodziewający|S P AO D EH V AE Y AO N T IH0
spodziewanie|S P AO D EH V AE N IY0 EH
spodziewany|S P AO D EH V AE N IH0
spodziewać|S P AO D EH V AE T
spoglądać|S P AO G L AO N D AE T
spoi|S P AO IY
spoili|S P AO IY L IY
spoina|S P AO IY N AE
spoiwo|S P AO IY V AO
spoić|S P AO IY T
spoił|S P AO IY W
spoiła|S P AO IY W AE
spoiłam|S P AO IY W AE M
spoiłaś|S P AO IY W AE SH
spoiłem|S P AO IY W EH M
spoiłeś|S P AO IY W EH SH
spoiło|S P AO IY W AO
spoiły|S P AO IY W IH0
spojenie|S P AO Y EH N IY0 EH
spojeń|S P AO Y EH N IY0
spojony|S P AO Y AO N IH0
spojrzał|S P AO Y AE W
spojrzenie|S P AO Y EH N IY0 EH
spojrzeć|S P AO Y EH T
spojrzę|S P AO Y EH
spojówka|S P AO Y UW F K AE
spoją|S P AO Y AO W
spoję|S P AO Y EH
spoko|S P AO K AO
spokojnie|S P AO K AO Y N IY0 EH
spokojniejszego|S P AO K AO Y N IY0 EH Y SH EH G AO
spokojniejszy|S P AO K AO Y N IY0 EH Y SH IH0
spokojny|S P AO K AO Y N IH0
spokoju|S P AO K AO Y UW
spokornieć|S P AO K AO RRR N IY0 EH T
spokrewniony|S P AO K RRR EH V N IY0 AO N IH0
spokój|S P AO K UW Y
spolankiewicz|S P AO L AE NG K Y EH V IY T
spolaryzować|S P AO L AE RRR IH0 Z AO V AE T
spolegliwość|S P AO L EH G L IY V AO SH T
spolegliwy|S P AO L EH G L IY V IH0
spoliczkować|S P AO L IY T K AO V AE T
spolonizować|S P AO L AO N IY0 IY Z AO V AE T
spolszczanie|S P AO L SH T AE N IY0 EH
spolszczać|S P AO L SH T AE T
spolszczenie|S P AO L SH T EH N IY0 EH
spolszczyć|S P AO L SH T IH0 T
spomiędzy|S P AO M Y EH N D IH0
sponad|S P AO N AE T
sponiewierać|S P AO N IY0 EH V Y EH RRR AE T
sponsor|S P AO N S AO RRR
spontanicznie|S P AO N T AE N IY0 IY T N IY0 EH
spontaniczność|S P AO N T AE N IY0 IY T N AO SH T
spontaniczny|S P AO N T AE N IY0 IY T N IH0
spopielać|S P AO P Y EH L AE T
spopieleć|S P AO P Y EH L EH T
spopielić|S P AO P Y EH L IY T
spopularyzować|S P AO P UW L AE RRR IH0 Z AO V AE T
spor|S P AO RRR
spora|S P AO RRR AE
sporach|S P AO RRR AE HH
sporadycznie|S P AO RRR AE D IH0 T N IY0 EH
sporadyczny|S P AO RRR AE D IH0 T N IH0
sporami|S P AO RRR AE M IY
sporcie|S P AO RRR T EH
spore|S P AO RRR EH
sporego|S P AO RRR EH G AO
sporej|S P AO RRR EH Y
sporem|S P AO RRR EH M
sporemu|S P AO RRR EH M UW
sporna|S P AO RRR N AE
sporne|S P AO RRR N EH
sporni|S P AO RRR N IY0 IY
sporny|S P AO RRR N IH0
sporną|S P AO RRR N AO W
sporo|S P AO RRR AO
sporom|S P AO RRR AO M
sporowi|S P AO RRR AO V IY
sport|S P AO RRR T
sportach|S P AO RRR T AE HH
sportami|S P AO RRR T AE M IY
sportem|S P AO RRR T EH M
sportom|S P AO RRR T AO M
sportowi|S P AO RRR T AO V IY
sportowiec|S P AO RRR T AO V Y EH T
sportowy|S P AO RRR T AO V IH0
sportsmen|S P AO RRR T S M EH N
sportsmenka|S P AO RRR T S M EH NG K AE
sportu|S P AO RRR T UW
sporty|S P AO RRR T IH0
sportów|S P AO RRR T UW F
sporu|S P AO RRR UW
spory|S P AO RRR IH0
sporych|S P AO RRR IH0 HH
sporym|S P AO RRR IH0 M
sporymi|S P AO RRR IH0 M IY
sporysz|S P AO RRR IH0 SH
sporze|S P AO EH
sporzy|S P AO IH0
sporzyć|S P AO IH0 T
sporzą|S P AO AO W
sporządzać|S P AO AO N D AE T
sporządzenie|S P AO AO N D EH N IY0 EH
sporządzić|S P AO AO N IY0 D IY T
sporzę|S P AO EH
sporów|S P AO RRR UW F
sporą|S P AO RRR AO W
sporę|S P AO RRR EH
sposobem|S P AO S AO B EH M
sposobić|S P AO S AO B IY T
sposobność|S P AO S AO B N AO SH T
sposobny|S P AO S AO B N IH0
sposobu|S P AO S AO B UW
spostponować|S P AO S T P AO N AO V AE T
spostrzec|S P AO S T SH EH T
spostrzegawczo|S P AO S T SH EH G AE F T AO
spostrzegawczość|S P AO S T SH EH G AE F T AO SH T
spostrzegawczy|S P AO S T SH EH G AE F T IH0
