'k|AH0 K
volksvertegenwoordiging|V AO L K S F AH0 RRR T EH0 HH AH0 N V OW0 RRR D AH0 HH IH NG
volksvijand|V AO L K S F EH IY AA N T
volksvijandig|V AO L K S F EH IY AA N D AH0 HH
volkswil|V AO L K S V IH L
volladen|V AO L L AE D AH0 N
vollenhove|V AO L AH0 N OW0 V AH0 N
voller|V AO L AH0 RRR
vollig|V AO L AH0 HH
volmacht|V AO L M AA HH T
volmaken|V AO L M AE K AH0 N
volschenken|V AO L S HH EH NG K AH0 N
volschieten|V AO L S HH IY T AH0 N
volstrekken|V AO L S T RRR EH K AH0 N
voltallig|V AO L T AA L AH0 HH
voltige|V AO L T IY ZH AH0
voltijds|V AO L T EH IY T S
voltreffer|V AO L T RRR EH F AH0 RRR
voltrekken|V AO L T RRR EH K AH0 N
volume|V OW0 L Y UW1 M AH0
volvoeren|V AO L V UW RRR AH0 N
volwassen|V AO L V AA S AH0 N
volwassendoop|V AO L V AA S AH0 N D OW0 P
volzin|V AO L Z IH N
volzuigen|V AO L Z ER Y UW1 HH AH0 N
vond|V AO N T
vondelingschap|V AO N D AH0 L IH NG S HH AA P
vondst|V AO N T S T
vonk|V AO NG K
vonkelwijn|V AO NG K AH0 L V EH IY N
vont|V AO N T
voogdij|V OW0 HH D EH IY
vooi|V OW0 IY
voois|V OW0 IY S
voor|V OW0 RRR
vooral|V OW0 RRR AA L
voorarrest|V OW0 RRR AA RRR EH S T
vooravond|V OW0 RRR AE V AO N T
voorbaat|V OW0 RRR B AE T
voorbeeld|V OW0 RRR B EH0 L T
voorbeeldzin|V OW0 RRR B EH0 L T S IH N
voorbehoedsmiddel|V OW0 RRR B AH0 UW T S M IH D AH0 L
voorbehouden|V OW0 RRR B AH0 AA UW D AH0 N
voorbereiden|V OW0 RRR B AH0 RRR EH IY D AH0 N
voorbeschikking|V OW0 RRR B AH0 S HH IH K IH NG
voorbij|V OW0 RRR B EH IY
voorbijgaan|V OW0 RRR B EH IY HH AE N
voorbijkomen|V OW0 RRR B EH IY K OW0 M AH0 N
voorbillen|V OW0 RRR B IH L AH0 N
voorbinddildo|V OW0 RRR B IH N T D IH L D OW0
voorbinden|V OW0 RRR B IH N D AH0 N
voorbips|V OW0 RRR B IH P S
voorbode|V OW0 RRR B OW0 D AH0
voorburg|V OW0 RRR B RRR HH
voordeel|V OW0 RRR D EH0 L
voordeur|V OW0 RRR D OE RRR
voordoen|V OW0 RRR D UW N
voordragen|V OW0 RRR D RRR AE HH AH0 N
voordringen|V OW0 RRR D RRR IH NG AH0 N
voordringer|V OW0 RRR D RRR IH NG AH0 RRR
vooreergisteren|V OW0 RRR EH0 RRR HH IH S T AH0 RRR AH0 N
voorfase|V OW0 RRR F AE Z AH0
voorgaan|V OW0 RRR HH AE N
voorgebergte|V OW0 RRR HH AH0 B EH RRR HH T AH0
voorgerecht|V OW0 RRR HH AH0 RRR EH HH T
voorgeschiedenis|V OW0 RRR HH AH0 S HH IY D AH0 N IH S
voorgeslacht|V OW0 RRR HH AH0 S L AA HH T
voorgeven|V OW0 RRR HH EH0 V AH0 N
voorhamer|V OW0 RRR AE M AH0 RRR
voorhang|V OW0 RRR AA NG
voorhangen|V OW0 RRR AA NG AH0 N
voorhoede|V OW0 RRR UW D AH0
voorhoofd|V OW0 RRR OW0 F T
voorhuid|V OW0 RRR ER T
voorhuis|V OW0 RRR ER Y UW1 S
voorjaarsoffensief|V OW0 RRR Y AE RRR S AO F EH N S IY F
voorkennis|V OW0 RRR K EH N IH S
voorkomen|V OW0 RRR K OW0 M AH0 N
voorkomend|V OW0 RRR K OW0 M AH0 N T
voorkomende|V OW0 RRR K OW0 M AH0 N D AH0
voorkomst|V OW0 RRR K AO M S T
voorkoop|V OW0 RRR K OW0 P
voorlaadgeweer|V OW0 RRR L AE T HH AH0 V EH0 RRR
voorlader|V OW0 RRR L AE D AH0 RRR
voorleden|V OW0 RRR L EH0 D AH0 N
voorlezen|V OW0 RRR L EH0 Z AH0 N
voorlichten|V OW0 RRR L IH HH T AH0 N
voorlichter|V OW0 RRR L IH HH T AH0 RRR
voorlichting|V OW0 RRR L IH HH T IH NG
voorlid|V OW0 RRR L IH T
voorliefde|V OW0 RRR L IY F D AH0
voorliegen|V OW0 RRR L IY HH AH0 N
voorman|V OW0 RRR M AA N
voormiddag|V OW0 RRR M IH D AA HH
voorn|V OW0 RRR N
voornaam|V OW0 RRR N AE M
voornaamwoord|V OW0 RRR N AE M V OW0 RRR T
voornemen|V OW0 RRR N EH0 M AH0 N
vooroordeel|V OW0 RRR OW0 RRR D EH0 L
vooroorlogs|V OW0 RRR OW0 RRR L AO HH S
voorouder|V OW0 RRR AA UW D AH0 RRR
voorouderaltaar|V OW0 RRR AA UW D AH0 RRR AA L T AE RRR
voorpoot|V OW0 RRR P OW0 T
voorpret|V OW0 RRR P RRR EH T
voorprogramma|V OW0 RRR P RRR OW0 HH RRR AA M AE
voorraad|V OW0 RRR AE T
voorraaddoos|V OW0 RRR AE T D OW0 S
voorraadschip|V OW0 RRR AE T S HH IH P
voorradig|V OW0 RRR AE D AH0 HH
voorrang|V OW0 RRR AA NG
voorschieten|V OW0 RRR S HH IY T AH0 N
voorschrift|V OW0 RRR S HH RRR IH F T
voorschriften|V OW0 RRR S HH RRR IH F T AH0 N
voorschriftje|V OW0 RRR S HH RRR IH F T Y AH0
voorschrijven|V OW0 RRR S HH RRR EH IY V AH0 N
voorspelbaar|V OW0 RRR S P EH L B AE RRR
voorspoed|V OW0 RRR S P UW T
voorspoedig|V OW0 RRR S P UW D AH0 HH
voorspook|V OW0 RRR S P OW0 K
voorsprong|V OW0 RRR S P RRR AO NG
voorstaan|V OW0 RRR S T AE N
voorstad|V OW0 RRR S T AA T
voorste|V OW0 RRR S T AH0
voorstedelijk|V OW0 RRR S T EH0 D AH0 L AH0 K
voorstel|V OW0 RRR S T EH L
voorstellen|V OW0 RRR S T EH L AH0 N
voorstelling|V OW0 RRR S T EH L IH NG
voorsten|V OW0 RRR S T AH0 N
voort|V OW0 RRR T
voortaan|V OW0 RRR T AE N
voortand|V OW0 RRR T AA N T
voortbrengsel|V OW0 RRR T B RRR EH NG S AH0 L
voortgang|V OW0 RRR T HH AA NG
voorthelpen|V OW0 RRR T EH L P AH0 N
voortijdig|V OW0 RRR T EH IY D IH HH
voortijds|V OW0 RRR T EH IY T S
voortouw|V OW0 RRR T AA UW
voortplanting|V OW0 RRR T P L AA N T IH NG
voortrekken|V OW0 RRR T RRR EH K AH0 N
voortslepen|V OW0 RRR T S L EH0 P AH0 N
voortuin|V OW0 RRR T ER Y UW1 N
voortvluchtig|V OW0 RRR T F L HH T AH0 HH
voortvluchtige|V OW0 RRR T F L HH T AH0 HH AH0
vooruit|V OW0 RRR ER Y UW1 T
vooruitgang|V OW0 RRR ER Y UW1 T HH AA NG
vooruithelpen|V OW0 RRR ER Y UW1 T EH L P AH0 N
vooruitzicht|V OW0 RRR ER Y UW1 T S IH HH T
voorvader|V OW0 RRR V AE D AH0 RRR
voorvaderlijk|V OW0 RRR V AE D AH0 RRR L AH0 K
voorval|V OW0 RRR V AA L
voorverwarmen|V OW0 RRR V EH RRR V AA RRR M AH0 N
voorvocht|V OW0 RRR V AO HH T
voorvoelen|V OW0 RRR V UW L AH0 N
voorvork|V OW0 RRR V AO RRR K
voorwaar|V OW0 RRR V AE RRR
voorwaarde|V OW0 RRR V AE RRR D AH0
voorwaardelijk|V OW0 RRR V AE RRR D AH0 L AH0 K
voorwaarts|V OW0 RRR V AE RRR T S
voorwenden|V OW0 RRR V EH N D AH0 N
voorwendsel|V OW0 RRR V EH N T S AH0 L
voorwerp|V OW0 RRR V EH RRR P
voorwoord|V OW0 RRR V OW0 RRR T
voorzeggen|V OW0 RRR Z EH HH AH0 N
voorzet|V OW0 RRR Z EH T
voorzetsel|V OW0 RRR Z EH T S AH0 L
voorzetten|V OW0 RRR Z EH T AH0 N
voorzichtig|V OW0 RRR Z IH HH T AH0 HH
voorzienig|V OW0 RRR Z IY N AH0 HH
voorzijn|V OW0 RRR Z EH IY N
voorzitster|V OW0 RRR Z IH T S T AH0 RRR
voorzitten|V OW0 RRR Z IH T AH0 N
voorzitting|V OW0 RRR Z IH T IH NG
voorzorg|V OW0 RRR Z AO RRR HH
voorzorgsbeginsel|V OW0 RRR Z AO RRR HH S B AH0 HH IH N S AH0 L
voorzorgsmaatregel|V OW0 RRR Z AO RRR HH S M AE T RRR EH0 HH AH0 L
voos|V OW0 S
vorderen|V AO RRR D AH0 RRR AH0 N
vore|V OW0 RRR AH0
voren|V OW0 RRR AH0 N
vork|V AO RRR K
vorm|V AO RRR M
vormen|V AO RRR M AH0 N
vormenleer|V AO RRR M AH0 N L EH0 RRR
vormingsroman|V AO RRR M IH NG S RRR OW0 M AA N
vormleer|V AO RRR M L EH0 RRR
vormsel|V AO RRR M S AH0 L
vors|V AO RRR S
vorsen|V AO RRR S AH0 N
vorst|V AO RRR S T
vorstelijk|V AO RRR S T AH0 L AH0 K
vorstendom|V AO RRR S T AH0 N D AO M
vorstenhuis|V AO RRR S T AH0 N ER Y UW1 S
vorstin|V AO RRR S T IH N
vorstreus|V AO RRR S T RRR OE S
vos|V AO S
vosch|V AO S
voshaai|V AO S AE IY
vosrekel|V AO S RRR EH0 K AH0 L
vosruin|V AO S RRR ER Y UW1 N
vossem|V AO S AH0 M
vossen|V AO S AH0 N
vossin|V AO S IH N
vot|V AO T
vouwen|V AA UW AH0 N
vouwfiets|V AA UW F IY T S
vouwstoel|V AA UW S T UW L
vraag|V RRR AE HH
vraagal|V RRR AE HH AA L
vraagelasticiteit|V RRR AE HH EH0 L AA S T IY S IY T EH IY T
vraagelastisch|V RRR AE HH EH0 L AA S T IY S
vraagprijs|V RRR AE HH P RRR EH IY S
vraagstuk|V RRR AE HH S T K
vraagt|V RRR AE HH T
vraagteken|V RRR AE HH T EH0 K AH0 N
vrachtschip|V RRR AA HH T S HH IH P
vrachtwagen|V RRR AA HH T V AE HH AH0 N
vrachtwagenchauffeur|V RRR AA HH T V AE HH AH0 N SH AA UW F OE RRR
vrage|V RRR AE HH AH0
vragen|V RRR AE HH AH0 N
vragenuur|V RRR AE HH AH0 N Y UW1 RRR
vrat|V RRR AA T
vrede|V RRR EH0 D AH0
vreden|V RRR EH0 D AH0 N
vrederechter|V RRR EH0 D AH0 RRR EH HH T AH0 RRR
vrederijk|V RRR EH0 D AH0 RRR EH IY K
vredesbespreking|V RRR EH0 D AH0 S B AH0 S P RRR EH0 K IH NG
vredesduif|V RRR EH0 D AH0 S D ER Y UW1 F
vredesmacht|V RRR EH0 D AH0 S M AA HH T
vredesmissie|V RRR EH0 D AH0 S M IH S IY
vredesonderhandeling|V RRR EH0 D AH0 S AO N D AH0 RRR AA N D AH0 L IH NG
vredespolitiek|V RRR EH0 D AH0 S P OW0 L IY T IY K
vredesverdrag|V RRR EH0 D AH0 S F EH RRR D RRR AA HH
vredeswerk|V RRR EH0 D AH0 S V EH RRR K
vredig|V RRR EH0 D AH0 HH
vredigen|V RRR EH0 D AH0 HH AH0 N
vreemd|V RRR EH0 M T
vreemdeling|V RRR EH0 M D AH0 L IH NG
vreemdelinge|V RRR EH0 M D AH0 L IH NG AH0
vreemdelingenhaat|V RRR EH0 M D AH0 L IH NG AH0 N AE T
vreemdelingenverkeer|V RRR EH0 M D AH0 L IH NG AH0 N V EH RRR K EH0 RRR
vreemden|V RRR EH0 M D AH0 N
vreemdgaan|V RRR EH0 M T HH AE N
vrees|V RRR EH0 S
vrek|V RRR EH K
vreten|V RRR EH0 T AH0 N
vreugd|V RRR OE HH T
vreugde|V RRR OE HH D AH0
vreugdedans|V RRR OE HH D AH0 D AA N S
vrezen|V RRR EH0 Z AH0 N
vriend|V RRR IY N T
vriendelijk|V RRR IY N D AH0 L AH0 K
vriendelijkheid|V RRR IY N D AH0 L AH0 K EH IY T
vrienden|V RRR IY N D AH0 N
vriendin|V RRR IY N D IH N
vriendjespolitiek|V RRR IY N T Y AH0 S P OW0 L IY T IY K
vriendschap|V RRR IY N T S HH AA P
vrieskast|V RRR IY S K AA S T
vrieskist|V RRR IY S K IH S T
vrieskou|V RRR IY S K AA UW
vrieskoude|V RRR IY S K AA UW D AH0
vriesvak|V RRR IY S F AA K
vriesweer|V RRR IY S V EH0 RRR
vriezen|V RRR IY Z AH0 N
vrij|V RRR EH IY
vrijage|V RRR EH IY AE ZH AH0
vrijbuiter|V RRR EH IY B ER Y UW1 T AH0 RRR
vrijdag|V RRR EH IY D AA HH
vrijdenker|V RRR EH IY D EH NG K AH0 RRR
vrijdenkerij|V RRR EH IY D EH NG K AH0 RRR EH IY
vrijduiken|V RRR EH IY D ER Y UW1 K AH0 N
vrijemarktkapitalisme|V RRR EH IY AH0 M AA RRR K T K AA P IY T AE L IH S M AH0
vrijen|V RRR EH IY AH0 N
vrijer|V RRR EH IY AH0 RRR
vrijgeest|V RRR EH IY HH EH0 S T
vrijgeleide|V RRR EH IY HH AH0 L EH IY D AH0
vrijgevig|V RRR EH IY HH EH0 V AH0 HH
vrijgevigheid|V RRR EH IY HH EH0 V AH0 HH EH IY T
vrijgezel|V RRR EH IY HH AH0 Z EH L
vrijgezellenfeest|V RRR EH IY HH AH0 Z EH L AH0 N F EH0 S T
vrijgezellin|V RRR EH IY HH AH0 Z EH L IH N
vrijgraafschap|V RRR EH IY HH RRR AE F S HH AA P
vrijhandel|V RRR EH IY AA N D AH0 L
vrijhaven|V RRR EH IY AE V AH0 N
vrijheid|V RRR EH IY EH IY T
vrijheidsbeeld|V RRR EH IY EH IY T S B EH0 L T
vrijheidsstraf|V RRR EH IY EH IY T S T RRR AA F
vrijkorps|V RRR EH IY K AO RRR P S
vrijlaat|V RRR EH IY L AE T
vrijlaten|V RRR EH IY L AE T AH0 N
vrijlating|V RRR EH IY L AE T IH NG
vrijmarkt|V RRR EH IY M AA RRR K T
vrijmibo|V RRR EH IY M IY B OW0
vrijpion|V RRR EH IY P IY AO N
vrijplaats|V RRR EH IY P L AE T S
vrijspraak|V RRR EH IY S P RRR AE K
vrijstaat|V RRR EH IY S T AE T
vrijstad|V RRR EH IY S T AA T
vrijster|V RRR EH IY S T AH0 RRR
vrijwel|V RRR EH IY V EH L
vrijwillig|V RRR EH IY V IH L AH0 HH
vrijwilliger|V RRR EH IY V IH L AH0 HH AH0 RRR
vrijwilligerstoerisme|V RRR EH IY V IH L AH0 HH AH0 RRR S T UW RRR IH S M AH0
vrijwilligerswerk|V RRR EH IY V IH L AH0 HH AH0 RRR S V EH RRR K
vrille|V RRR IY Y AH0
vroed|V RRR UW T
vroeden|V RRR UW D AH0 N
vroedkunde|V RRR UW T K N D AH0
vroedmeester|V RRR UW T M EH0 S T AH0 RRR
vroedmeesterpad|V RRR UW T M EH0 S T AH0 RRR P AA T
vroeg|V RRR UW HH
vroeger|V RRR UW HH AH0 RRR
vroeggeboorte|V RRR UW HH AH0 B OW0 RRR T AH0
vroegmodern|V RRR UW HH M OW0 D EH RRR N
vroegnieuwengels|V RRR UW HH N IY UW EH NG AH0 L S
vroegnieuwhoogduits|V RRR UW HH N IY UW OW0 HH D ER Y UW1 T S
vroegnieuwnederlands|V RRR UW HH N IY UW N EH0 D AH0 RRR L AA N T S
vroegpredicatie|V RRR UW HH P RRR EH0 D IY K AE T S IY
vroegpreek|V RRR UW HH P RRR EH0 K
vrolijk|V RRR OW0 L AH0 K
vroom|V RRR OW0 M
vroomheid|V RRR OW0 M EH IY T
vrouw|V RRR AA UW
vrouwelijk|V RRR AA UW AH0 L AH0 K
vrouwelijkheid|V RRR AA UW AH0 L AH0 K EH IY T
vrouwen|V RRR AA UW AH0 N
vrouwenarts|V RRR AA UW AH0 N AA RRR T S
vrouwengeneeskunde|V RRR AA UW AH0 N HH AH0 N EH0 S K N D AH0
vrouwenhater|V RRR AA UW AH0 N AE T AH0 RRR
vrouwenkiesrecht|V RRR AA UW AH0 N K IY S RRR EH HH T
vrouwenquotum|V RRR AA UW AH0 N K V OW0 T M
vrouwenring|V RRR AA UW AH0 N RRR IH NG
vrouwenversierder|V RRR AA UW AH0 N V EH RRR S IY RRR D AH0 RRR
vrouwenvoetbal|V RRR AA UW AH0 N V UW T B AA L
vrouwmens|V RRR AA UW M EH N S
vrouwonvriendelijk|V RRR AA UW AO N V RRR IY N D AH0 L AH0 K
vrucht|V RRR HH T
vruchtbaarheidsgodin|V RRR HH T B AE RRR EH IY T S HH OW0 D IH N
vruchtenpers|V RRR HH T AH0 N P EH RRR S
vruchtentaart|V RRR HH T AH0 N T AE RRR T
vruchtenwijn|V RRR HH T AH0 N V EH IY N
vruchtvlees|V RRR HH T F L EH0 S
vruchtwater|V RRR HH T V AE T AH0 RRR
vsa|V EH0 EH S AE
vught|V HH T
vuidig|V ER Y UW1 D AH0 HH
vuig|V ER Y UW1 HH
vuil|V ER Y UW1 L
vuile|V ER Y UW1 L AH0
vuilnis|V ER Y UW1 L N IH S
vuilnisbak|V ER Y UW1 L N IH S B AA K
vuilnisbakkenras|V ER Y UW1 L N IH S B AA K AH0 N RRR AA S
vuilnisemmer|V ER Y UW1 L N IH S EH M AH0 RRR
vuilniskar|V ER Y UW1 L N IH S K AA RRR
vuilnisman|V ER Y UW1 L N IH S M AA N
vuilniswagen|V ER Y UW1 L N IH S V AE HH AH0 N
vuilniszak|V ER Y UW1 L N IH S AA K
vuist|V ER Y UW1 S T
vuistbijl|V ER Y UW1 S T B EH IY L
vuistdiep|V ER Y UW1 S D IY P
vuiste|V ER Y UW1 S T AH0
vuisten|V ER Y UW1 S T AH0 N
vuistregel|V ER Y UW1 S T RRR EH0 HH AH0 L
vulgaat|V L HH AE T
vulgair|V L HH EH RRR
vulkaan|V L K AE N
vulkaanuitbarsting|V L K AE N ER Y UW1 T B AA RRR S T IH NG
vulkanisch|V L K AE N IY S
vulkanisme|V L K AE N IH S M AH0
vullen|V L AH0 N
vullis|V L AH0 S
vulpen|V L P EH N
vulpotlood|V L P AO T L OW0 T
vulslurf|V L S L RRR F
vulva|V L V AE
vuren|V Y UW1 RRR AH0 N
vuur|V Y UW1 RRR
vuurbaak|V Y UW1 RRR B AE K
vuurbaken|V Y UW1 RRR B AE K AH0 N
vuurbal|V Y UW1 RRR B AA L
vuurblusser|V Y UW1 RRR B L S AH0 RRR
vuurdoop|V Y UW1 RRR D OW0 P
vuurduivel|V Y UW1 RRR D ER Y UW1 V AH0 L
vuurkorf|V Y UW1 RRR K AO RRR F
vuurkracht|V Y UW1 RRR K RRR AA HH T
vuurlinie|V Y UW1 RRR L IY N IY
vuurmier|V Y UW1 RRR M IY RRR
vuurmond|V Y UW1 RRR M AO N T
vuurpeloton|V Y UW1 RRR P EH0 L OW0 T AO N
vuurpijl|V Y UW1 RRR P EH IY L
vuurproef|V Y UW1 RRR P RRR UW F
vuurroer|V Y UW1 RRR RRR UW RRR
vuurrood|V Y UW1 RRR OW0 T
vuurschip|V Y UW1 RRR S HH IH P
vuursein|V Y UW1 RRR S EH IY N
vuursignaal|V Y UW1 RRR S IH N Y AE L
vuurstaking|V Y UW1 RRR S T AE K IH NG
vuursteen|V Y UW1 RRR S T EH0 N
vuursteengeweer|V Y UW1 RRR S T EH0 N HH AH0 V EH0 RRR
vuursteenpistool|V Y UW1 RRR S T EH0 N P IY S T OW0 L
vuursteenslot|V Y UW1 RRR S T EH0 N S L AO T
vuurstenen|V Y UW1 RRR S T EH0 N AH0 N
vuurtoren|V Y UW1 RRR T OW0 RRR AH0 N
vuurtorenwachter|V Y UW1 RRR T OW0 RRR AH0 N V AA HH T AH0 RRR
vuurvast|V Y UW1 RRR V AA S T
vuurvlieg|V Y UW1 RRR V L IY HH
vuurvlinder|V Y UW1 RRR V L IH N D AH0 RRR
vuurvogel|V Y UW1 RRR V OW0 HH AH0 L
vuurvreter|V Y UW1 RRR V RRR EH0 T AH0 RRR
vuurwapen|V Y UW1 RRR V AE P AH0 N
vuurwapenbezit|V Y UW1 RRR V AE P AH0 N B AH0 Z IH T
vuurwapengevaarlijk|V Y UW1 RRR V AE P AH0 N HH AH0 V AE RRR L AH0 K
vuurwerk|V Y UW1 RRR V EH RRR K
vuurwerkbom|V Y UW1 RRR V EH RRR K B AO M
vuurwerker|V Y UW1 RRR V EH RRR K AH0 RRR
vuurwerkletsel|V Y UW1 RRR V EH RRR K L EH T S AH0 L
vuurwerkslachtoffer|V Y UW1 RRR V EH RRR K S L AA HH T AO F AH0 RRR
vuurwerkverbod|V Y UW1 RRR V EH RRR K F EH RRR B AO T
vuurzee|V Y UW1 RRR Z EH0
vuurzuil|V Y UW1 RRR Z ER Y UW1 L
vuvuzela|V UW V UW Z EH0 L AE
vwo|V EH0 V EH0 OW0
w|V EH0
waag|V AE HH
waaghals|V AE HH AA L S
waagschaal|V AE HH S HH AE L
waagstuk|V AE HH S T K
waaien|V AE IY AH0 N
waakhond|V AE K AO N T
waakvlam|V AE K F L AA M
waal|V AE L
waals|V AE L S
waalwijk|V AE L V EH IY K
waanzin|V AE N Z IH N
waanzinnig|V AE N Z IH N AH0 HH
waar|V AE RRR
waaraan|V AE RRR AE N
waarachtig|V AE RRR AA HH T AH0 HH
waard|V AE RRR T
waarde|V AE RRR D AH0
waardecheque|V AE RRR D AH0 SH EH K
waardeoordeel|V AE RRR D AH0 OW0 RRR D EH0 L
waarderationaliteit|V AE RRR D AH0 RRR AE T SH OW0 N AE L IY T EH IY T
waarderationeel|V AE RRR D AH0 RRR AE T SH OW0 N EH0 L
waarderen|V AE RRR D EH0 RRR AH0 N
waardering|V AE RRR D EH0 RRR IH NG
waardgeld|V AE RRR T HH EH L T
waardgelder|V AE RRR T HH EH L D AH0 RRR
waardigheid|V AE RRR D AH0 HH EH IY T
waardin|V AE RRR D IH N
waardplant|V AE RRR T P L AA N T
waardvogel|V AE RRR T F OW0 HH AH0 L
waargebeurd|V AE RRR HH AH0 B OE RRR T
waarheen|V AE RRR EH0 N
waarheid|V AE RRR EH IY T
waarheidsgetrouw|V AE RRR EH IY T S HH AH0 T RRR AA UW
waarin|V AE RRR IH N
waarnaartoe|V AE RRR N AE RRR T UW
waarnemen|V AE RRR N EH0 M AH0 N
waarom|V AE RRR AO M
waarschijnlijk|V AE RRR S HH EH IY N L AH0 K
waarschijnlijkheid|V AE RRR S HH EH IY N L AH0 K EH IY T
waarschuwen|V AE RRR S HH Y UW1 UW AH0 N
waarschuwing|V AE RRR S HH Y UW1 UW IH NG
waarschuwingsschot|V AE RRR S HH Y UW1 UW IH NG S HH AO T
waarsman|V AE RRR S M AA N
waas|V AE S
wacht|V AA HH T
wachten|V AA HH T AH0 N
wachter|V AA HH T AH0 RRR
wachthuis|V AA HH T ER Y UW1 S
wachtkamer|V AA HH T K AE M AH0 RRR
wachtlijst|V AA HH T L EH IY S T
wachtpost|V AA HH T P AO S T
wachtrij|V AA HH T RRR EH IY
wachttijd|V AA HH T EH IY T
wachttoren|V AA HH T OW0 RRR AH0 N
wachtvolk|V AA HH T F AO L K
wachtwoord|V AA HH T V OW0 RRR T
wachtzaal|V AA HH T Z AE L
wad|V AA T
waddenzee|V AA D AH0 N Z EH0
waddinxveen|V AA D IH NG K S F EH0 N
wade|V AE D AH0
wadlopen|V AA T L OW0 P AH0 N
wafel|V AE F AH0 L
wafelbak|V AE F AH0 L B AA K
wagen|V AE HH AH0 N
wagenburcht|V AE HH AH0 N B RRR HH T
wagenburg|V AE HH AH0 N B RRR HH
wagenpark|V AE HH AH0 N P AA RRR K
wagenziekte|V AE HH AH0 N Z IY K T AH0
waggie|V AA HH IY
wagon|V AE HH AO N
wak|V AA K
wake|V AE K AH0
waken|V AE K AH0 N
wakker|V AA K AH0 RRR
wakvlakte|V AA K F L AA K T AH0
wal|V AA L
walcheren|V AA L HH AH0 RRR AH0 N
wales|V EH0 L S
walgeld|V AA L HH EH L T
walgelijk|V AA L HH AH0 L AH0 K
walgen|V AA L HH AH0 N
walgewelf|V AA L HH AH0 V EH L F
walging|V AA L HH IH NG
walgvogel|V AA L HH F OW0 HH AH0 L
wallonië|V AA L OW0 N IY Y AH0
walnoot|V AA L N OW0 T
walnotenboom|V AA L N OW0 T AH0 M B OW0 M
walrus|V AA L RRR S
wals|V AA L S
walschot|V AA L S HH AO T
walvis|V AA L V IH S
walvisachtige|V AA L V IH S AA HH T AH0 HH AH0
walviskalf|V AA L V IH S K AA L F
walvistraan|V AA L V IH S T RRR AE N
walvisvaart|V AA L V IH S F AE RRR T
wam|V AA M
wanbeleid|V AA N B AH0 L EH IY T
wanbof|V AA N B AO F
wanboffer|V AA N B AO F AH0 RRR
wand|V AA N T
wandaad|V AA N D AE T
wandarmatuur|V AA N T AA RRR M AE T Y UW1 RRR
wandcontactdoos|V AA N T K AO N T AA K T D OW0 S
wandelpad|V AA N D AH0 L P AA T
wandelpas|V AA N D AH0 L P AA S
wandelstok|V AA N D AH0 L S T AO K
wandeltempo|V AA N D AH0 L T EH M P OW0
wandeltocht|V AA N D AH0 L T AO HH T
wandkaart|V AA N T K AE RRR T
wandrocht|V AA N D RRR AO HH T
wandrochtig|V AA N D RRR AO HH T AH0 HH
wandtapijt|V AA N T T AE P EH IY T
wane|V AE N AH0
wang|V AA NG
wangedrocht|V AA N HH AH0 D RRR AO HH T
wangeloof|V AA N HH AH0 L OW0 F
wangeloven|V AA N HH AH0 L OW0 V AH0 N
wangelovig|V AA N HH AH0 L OW0 V AH0 HH
wangestalte|V AA N HH AH0 S T AA L T AH0
wangzak|V AA NG Z AA K
wanhoop|V AA N OW0 P
wanhopen|V AA N OW0 P AH0 N
wanhopig|V AA N OW0 P AH0 HH
wankelmoed|V AA NG K AH0 L M UW T
wanneer|V AA N EH0 RRR
wannen|V AA N AH0 N
wanorde|V AA N AO RRR D AH0
wanordelijk|V AA N AO RRR D AH0 L AH0 K
wanprestatie|V AA N P RRR EH S T AE T S IY
wansmaak|V AA N S M AE K
want|V AA N T
wantaal|V AA N T AE L
wantoestand|V AA N T UW S T AA N T
wantrouwig|V AA N T RRR AA UW AH0 HH
wants|V AA N T S
wao|V EH0 Y AE OW0
wapen|V AE P AH0 N
wapenbezit|V AE P AH0 N B AH0 Z IH T
wapenbroeder|V AE P AH0 N B RRR UW D AH0 RRR
wapendepot|V AE P AH0 N D EH0 P OW0
wapenen|V AE P AH0 N AH0 N
wapenfeit|V AE P AH0 N F EH IY T
wapenhandel|V AE P AH0 N AA N D AH0 L
wapenhandelaar|V AE P AH0 N AA N D AH0 L AE RRR
wapenindustrie|V AE P AH0 N IH N D S T RRR IY
wapenknecht|V AE P AH0 N K N EH HH T
wapenkoning|V AE P AH0 N K OW0 N IH NG
wapenkunde|V AE P AH0 N K N D AH0
wapenmagazijn|V AE P AH0 N M AE HH AE Z EH IY N
wapenrok|V AE P AH0 N RRR AO K
wapenschild|V AE P AH0 N S HH IH L T
wapensmid|V AE P AH0 N S M IH T
wapensmokkel|V AE P AH0 N S M AO K AH0 L
wapenstilstand|V AE P AH0 N S T IH L S T AA N T
wapenstok|V AE P AH0 N S T AO K
wapenstuk|V AE P AH0 N S T K
wapensysteem|V AE P AH0 N S IY S T EH0 M
wapenteken|V AE P AH0 N T EH0 K AH0 N
wapentuig|V AE P AH0 N T ER Y UW1 HH
wapenveld|V AE P AH0 N V EH L T
wapenwedloop|V AE P AH0 N V EH T L OW0 P
wapperen|V AA P AH0 RRR AH0 N
wappie|V AA P IY
war|V AA RRR
ware|V AE RRR AH0
waren|V AE RRR AH0 N
warenfetisjisme|V AE RRR AH0 N F EH0 T IY SH IH S M AH0
warenhuis|V AE RRR AH0 N ER Y UW1 S
warholiaans|V AA RRR OW0 L IY AE N S
warhoofd|V AA RRR OW0 F T
