a|AO
születésének|S Y UW1 L EH T EH0 SH EH0 N EH K
születésű|S Y UW1 L EH T EH0 SH Y UW1
szülhet|S Y UW1 L EH T
szüli|S Y UW1 L IY
szülj|S Y UW1 Y
szült|S Y UW1 L T
szülés|S Y UW1 L EH0 SH
szülések|S Y UW1 L EH0 SH EH K
szülési|S Y UW1 L EH0 SH IY
szülész|S Y UW1 L EH0 S
szülészek|S Y UW1 L EH0 S EH K
szülésznő|S Y UW1 L EH0 S N OE
szülésznők|S Y UW1 L EH0 S N OE K
szülött|S Y UW1 L OE T
szülő|S Y UW1 L OE
szülőfalu|S Y UW1 L OE F AO L UW
szülőföld|S Y UW1 L OE F OE L D
szülőföldek|S Y UW1 L OE F OE L D EH K
szülői|S Y UW1 L OE Y IY
szülők|S Y UW1 L OE K
szülőváros|S Y UW1 L OE V AE RRR OW0 SH
szünet|S Y UW1 N EH T
szünetben|S Y UW1 N EH D B EH N
szünetek|S Y UW1 N EH T EH K
szünetet|S Y UW1 N EH T EH T
szüntelen|S Y UW1 N T EH L EH N
szüntelenül|S Y UW1 N T EH L EH N Y UW1 L
szüntet|S Y UW1 N T EH T
szürcsöl|S Y UW1 RRR T OE L
szürke|S Y UW1 RRR K EH
szürkeség|S Y UW1 RRR K EH SH EH0 G
szürkeségek|S Y UW1 RRR K EH SH EH0 G EH K
szürkeállomány|S Y UW1 RRR K EH AE L OW0 M AE N IY0
szürkeállományok|S Y UW1 RRR K EH AE L OW0 M AE N IY0 OW0 K
szürkeárnyalatos|S Y UW1 RRR K EH AE RRR N IY0 AO L AO T OW0 SH
szürkéllik|S Y UW1 RRR K EH0 L IY K
szürkület|S Y UW1 RRR K Y UW1 L EH T
szürrealista|S Y UW1 RRR EH AO L IY SH T AO
szürrealistább|S Y UW1 RRR EH AO L IY SH T AE B
szürrealisták|S Y UW1 RRR EH AO L IY SH T AE K
szüzesség|S Y UW1 Z EH SH EH0 G
szüzességek|S Y UW1 Z EH SH EH0 G EH K
sző|S OE
sződd|S OE D
szőhet|S OE EH T
szőj|S OE Y
szőke|S OE K EH
szőkés|S OE K EH0 SH
szőkít|S OE K IY T
szőlő|S OE L OE
szőlők|S OE L OE K
szőlőszem|S OE L OE S EH M
szőlőzsír|S OE L OE ZH IY RRR
szőlőzsírok|S OE L OE ZH IY RRR OW0 K
szőnyeg|S OE N IY0 EH G
szőnyegek|S OE N IY0 EH G EH K
szőnyegen|S OE N IY0 EH G EH N
szőnyegporoló|S OE N IY0 EH K P OW0 RRR OW0 L OW0
szőnyegporolók|S OE N IY0 EH K P OW0 RRR OW0 L OW0 K
szőr|S OE RRR
szőre|S OE RRR EH
szőrme|S OE RRR M EH
szőrmék|S OE RRR M EH0 K
szőrtelen|S OE RRR T EH L EH N
szőrén|S OE RRR EH0 N
szőrös|S OE RRR OE SH
szőrösek|S OE RRR OE SH EH K
szőrű|S OE RRR Y UW1
szősz|S OE S
szőttek|S OE T EH K
szőttem|S OE T EH M
szőttetek|S OE T EH T EH K
szőtték|S OE T EH0 K
szőttél|S OE T EH0 L
szőttétek|S OE T EH0 T EH K
szőttük|S OE T Y UW1 K
szőttünk|S OE T Y UW1 NG K
szűcs|S Y UW1 T
szűk|S Y UW1 K
szűkebb|S Y UW1 K EH B
szűkmarkú|S Y UW1 K M AO RRR K UW
szűkszavú|S Y UW1 K S AO V UW
szűkít|S Y UW1 K IY T
szűkített|S Y UW1 K IY T EH T
szűkítettebb|S Y UW1 K IY T EH T EH B
szűkös|S Y UW1 K OE SH
szűnik|S Y UW1 N IY K
szűnsz|S Y UW1 N S
szűr|S Y UW1 RRR
szűretlen|S Y UW1 RRR EH T L EH N
szűrhet|S Y UW1 RRR EH T
szűrj|S Y UW1 RRR IY
szűrnek|S Y UW1 RRR N EH K
szűrnél|S Y UW1 RRR N EH0 L
szűrt|S Y UW1 RRR T
szűröd|S Y UW1 RRR OE D
szűrök|S Y UW1 RRR OE K
szűröm|S Y UW1 RRR OE M
szűrünk|S Y UW1 RRR Y UW1 NG K
szűrő|S Y UW1 RRR OE
szűrők|S Y UW1 RRR OE K
szűz|S Y UW1 Z
szűzhártya|S Y UW1 S HH AE RRR K HH AO
sábát|SH AE B AE T
sáfrány|SH AE F RRR AE N IY0
sáfránysárga|SH AE F RRR AE N IY0 SH AE RRR G AO
sáfár|SH AE F AE RRR
sáfárkodik|SH AE F AE RRR K OW0 D IY K
sál|SH AE L
sálak|SH AE L AO K
sámli|SH AE M L IY
sámuel|SH AE M UW EH L
sámán|SH AE M AE N
sámánizmus|SH AE M AE N IY Z M UW SH
sánc|SH AE N T
sáncárok|SH AE N T AE RRR OW0 K
sándor|SH AE N D OW0 RRR
sánta|SH AE N T AO
sántikál|SH AE N T IY K AE L
sántább|SH AE N T AE B
sápad|SH AE P AO D
sápadt|SH AE P AO T
sápadtság|SH AE P AO T T AE G
sápadtságok|SH AE P AO T T AE G OW0 K
sápatag|SH AE P AO T AO G
sápatagabb|SH AE P AO T AO G AO B
sár|SH AE RRR
sára|SH AE RRR AO
sárga|SH AE RRR G AO
sárgabarack|SH AE RRR G AO B AO RRR AO T K
sárgabarackfa|SH AE RRR G AO B AO RRR AO T K F AO
sárgabarackfák|SH AE RRR G AO B AO RRR AO T K F AE K
sárgabarackok|SH AE RRR G AO B AO RRR AO T K OW0 K
sárgadinnye|SH AE RRR G AO D IY N IY0 EH
sárgadinnyék|SH AE RRR G AO D IY N IY0 EH0 K
sárgaláz|SH AE RRR G AO L AE Z
sárgarépa|SH AE RRR G AO RRR EH0 P AO
sárgarépák|SH AE RRR G AO RRR EH0 P AE K
sárgaréz|SH AE RRR G AO RRR EH0 Z
sárgaság|SH AE RRR G AO SH AE G
sárgul|SH AE RRR G UW L
sárgább|SH AE RRR G AE B
sárgája|SH AE RRR G AE Y AO
sárgák|SH AE RRR G AE K
sárgállik|SH AE RRR G AE L IY K
sárgás|SH AE RRR G AE SH
sárgásabb|SH AE RRR G AE SH AO B
sárgít|SH AE RRR G IY T
sárkány|SH AE RRR K AE N IY0
sárkánygyökér|SH AE RRR K AE N IY0 G OE K EH0 RRR
sárkányhajó|SH AE RRR K AE N IY0 AO Y OW0
sárkányok|SH AE RRR K AE N IY0 OW0 K
sárkányt|SH AE RRR K AE N IY0 T
sármány|SH AE RRR M AE N IY0
sáros|SH AE RRR OW0 SH
sárosi|SH AE RRR OW0 SH IY
sárvédő|SH AE RRR V EH0 D OE
sárvédők|SH AE RRR V EH0 D OE K
sás|SH AE SH
sáska|SH AE SH K AO
sáskák|SH AE SH K AE K
sások|SH AE SH OW0 K
sátor|SH AE T OW0 RRR
sátorfa|SH AE T OW0 RRR F AO
sátorfája|SH AE T OW0 RRR F AE Y AO
sátorfáját|SH AE T OW0 RRR F AE Y AE T
sátorlap|SH AE T OW0 RRR L AO P
sátoroz|SH AE T OW0 RRR OW0 Z
sátorozik|SH AE T OW0 RRR OW0 Z IY K
sátra|SH AE T RRR AO
sátrak|SH AE T RRR AO K
sátrat|SH AE T RRR AO T
sátrát|SH AE T RRR AE T
sátán|SH AE T AE N
sátánista|SH AE T AE N IY SH T AO
sáv|SH AE V
sávok|SH AE V OW0 K
sávoly|SH AE V OW0 Y
sávolyok|SH AE V OW0 Y OW0 K
sávos|SH AE V OW0 SH
sávszélesség|SH AE F S EH0 L EH SH EH0 G
sávszélességek|SH AE F S EH0 L EH SH EH0 G EH K
sávval|SH AE V AO L
sávvá|SH AE V AE
sé|SH EH0
séf|SH EH0 F
séffel|SH EH0 F EH L
séffé|SH EH0 F EH0
sékel|SH EH0 K EH L
sérelem|SH EH0 RRR EH L EH M
sérelme|SH EH0 RRR EH L M EH
sérelmek|SH EH0 RRR EH L M EH K
sért|SH EH0 RRR T
sérteget|SH EH0 RRR T EH G EH T
sértegető|SH EH0 RRR T EH G EH T OE
sértegetőbb|SH EH0 RRR T EH G EH T OE B
sértetlen|SH EH0 RRR T EH T L EH N
sértett|SH EH0 RRR T EH T
sértettebb|SH EH0 RRR T EH T EH B
sérthetetlen|SH EH0 RRR T HH EH T EH T L EH N
sérti|SH EH0 RRR T IY
sértés|SH EH0 RRR T EH0 SH
sértések|SH EH0 RRR T EH0 SH EH K
sértő|SH EH0 RRR T OE
sértőbb|SH EH0 RRR T OE B
sértődik|SH EH0 RRR T OE D IY K
sértődékeny|SH EH0 RRR T OE D EH0 K EH N IY0
sérv|SH EH0 RRR V
sérvek|SH EH0 RRR V EH K
séró|SH EH0 RRR OW0
sérül|SH EH0 RRR Y UW1 L
sérült|SH EH0 RRR Y UW1 L T
sérültebb|SH EH0 RRR Y UW1 L T EH B
sérülékeny|SH EH0 RRR Y UW1 L EH0 K EH N IY0
sérülés|SH EH0 RRR Y UW1 L EH0 SH
sérülések|SH EH0 RRR Y UW1 L EH0 SH EH K
sérüléseket|SH EH0 RRR Y UW1 L EH0 SH EH K EH T
sérülést|SH EH0 RRR Y UW1 L EH0 SH T
séta|SH EH0 T AO
sétabot|SH EH0 T AO B OW0 T
sétabotok|SH EH0 T AO B OW0 T OW0 K
sétapálca|SH EH0 T AO P AE L T AO
sétapálcák|SH EH0 T AO P AE L T AE K
séták|SH EH0 T AE K
sétákat|SH EH0 T AE K AO T
sétál|SH EH0 T AE L
sétáljak|SH EH0 T AE Y AO K
sétálnak|SH EH0 T AE L N AO K
sétálok|SH EH0 T AE L OW0 K
sétálsz|SH EH0 T AE L S
sétáltok|SH EH0 T AE L T OW0 K
sétálunk|SH EH0 T AE L UW NG K
sétáló|SH EH0 T AE L OW0
sétálók|SH EH0 T AE L OW0 K
sétálóutca|SH EH0 T AE L OW0 UW T AO
sétálóutcák|SH EH0 T AE L OW0 UW T AE K
sétának|SH EH0 T AE N AO K
sétány|SH EH0 T AE N IY0
sétányok|SH EH0 T AE N IY0 OW0 K
sétát|SH EH0 T AE T
sí|SH IY
síbajnok|SH IY B AO Y N OW0 K
síbajnokok|SH IY B AO Y N OW0 K OW0 K
síbakancs|SH IY B AO K AO N T
sícipő|SH IY T IY P OE
síd|SH IY D
síel|SH IY Y EH L
síelés|SH IY Y EH L EH0 SH
síelések|SH IY Y EH L EH0 SH EH K
síelő|SH IY Y EH L OE
síelők|SH IY Y EH L OE K
sífelszerelés|SH IY F EH L S EH RRR EH L EH0 SH
síita|SH IY T AO
sík|SH IY K
síkfilm|SH IY K F IY L M
síkok|SH IY K OW0 K
síkra|SH IY K RRR AO
síkraszáll|SH IY K RRR AO S AE L
síkság|SH IY K SH AE G
síkságok|SH IY K SH AE G OW0 K
sílift|SH IY L IY F T
síléc|SH IY L EH0 T
sím|SH IY M
sín|SH IY N
síoktató|SH IY Y OW0 K T AO T OW0
síp|SH IY P
sípcsont|SH IY P T OW0 N T
sípcsontok|SH IY P T OW0 N T OW0 K
sípok|SH IY P OW0 K
sípol|SH IY P OW0 L
sípálya|SH IY P AE Y AO
sír|SH IY RRR
sírba|SH IY RRR B AO
sírdogál|SH IY RRR D OW0 G AE L
síremlék|SH IY RRR EH M L EH0 K
síremlékek|SH IY RRR EH M L EH0 K EH K
sírig|SH IY RRR IY G
sírj|SH IY RRR IY
sírkövek|SH IY RRR K OE V EH K
sírkő|SH IY RRR K OE
sírnak|SH IY RRR N AO K
sírni|SH IY RRR N IY
sírok|SH IY RRR OW0 K
síron|SH IY RRR OW0 N
sírsz|SH IY RRR S
sírt|SH IY RRR T
sírva|SH IY RRR V AO
sírásó|SH IY RRR AE SH OW0
sírépítmény|SH IY RRR EH0 P IY T M EH0 N IY0
sít|SH IY T
só|SH OW0
sóbánya|SH OW0 B AE N IY0 AO
sóbányák|SH OW0 B AE N IY0 AE K
sóder|SH OW0 D EH RRR
sóderes|SH OW0 D EH RRR EH SH
sóderez|SH OW0 D EH RRR EH Z
sógor|SH OW0 G OW0 RRR
sógornő|SH OW0 G OW0 RRR N OE
sógornők|SH OW0 G OW0 RRR N OE K
sógorok|SH OW0 G OW0 RRR OW0 K
sógun|SH OW0 G UW N
sógunátus|SH OW0 G UW N AE T UW SH
sóhaj|SH OW0 AO Y
sóhajok|SH OW0 AO Y OW0 K
sóhajt|SH OW0 AO Y T
sóhajtasz|SH OW0 AO Y T AO S
sóhajtson|SH OW0 AO Y T OW0 N
sóher|SH OW0 EH RRR
sója|SH OW0 Y AO
sók|SH OW0 K
sólet|SH OW0 L EH T
sóly|SH OW0 Y
sólya|SH OW0 Y AO
sólyma|SH OW0 Y M AO
sólymok|SH OW0 Y M OW0 K
sólyom|SH OW0 Y OW0 M
sólyomféle|SH OW0 Y OW0 F EH0 L EH
sólyomfélék|SH OW0 Y OW0 F EH0 L EH0 K
sólyt|SH OW0 Y T
sólyák|SH OW0 Y AE K
sós|SH OW0 SH
sósabb|SH OW0 SH AO B
sósav|SH OW0 SH AO V
sósavak|SH OW0 SH AO V AO K
sóska|SH OW0 SH K AO
sóskák|SH OW0 SH K AE K
sót|SH OW0 T
sótlan|SH OW0 T L AO N
sóvár|SH OW0 V AE RRR
sóvárgó|SH OW0 V AE RRR G OW0
sóvárgóbb|SH OW0 V AE RRR G OW0 B
sóvárog|SH OW0 V AE RRR OW0 G
sóz|SH OW0 Z
sózd|SH OW0 Z D
sózhat|SH OW0 S HH AO T
sózok|SH OW0 Z OW0 K
sózz|SH OW0 Z
söpredék|SH OE P RRR EH D EH0 K
söpredékek|SH OE P RRR EH D EH0 K EH K
söprű|SH OE P RRR Y UW1
söpör|SH OE P OE RRR
sör|SH OE RRR
söralátét|SH OE RRR AO L AE T EH0 T
söralátétek|SH OE RRR AO L AE T EH0 T EH K
sörbet|SH OE RRR B EH T
söre|SH OE RRR EH
sörei|SH OE RRR EH Y IY
söreid|SH OE RRR EH Y IY D
söreik|SH OE RRR EH Y IY K
söreim|SH OE RRR EH Y IY M
söreink|SH OE RRR EH Y IY NG K
söreitek|SH OE RRR EH Y IY T EH K
sörfőzde|SH OE RRR F OE Z D EH
sörhas|SH OE RRR AO SH
sört|SH OE RRR T
sörény|SH OE RRR EH0 N IY0
sörények|SH OE RRR EH0 N IY0 EH K
sörét|SH OE RRR EH0 T
söröd|SH OE RRR OE D
sörök|SH OE RRR OE K
söröm|SH OE RRR OE M
sörömet|SH OE RRR OE M EH T
sörön|SH OE RRR OE N
sörös|SH OE RRR OE SH
sörötök|SH OE RRR OE T OE K
söröz|SH OE RRR OE Z
sörözöl|SH OE RRR OE Z OE L
söröző|SH OE RRR OE Z OE
sörözők|SH OE RRR OE Z OE K
sörük|SH OE RRR Y UW1 K
sörünk|SH OE RRR Y UW1 NG K
sötét|SH OE T EH0 T
sötétbarna|SH OE T EH0 D B AO RRR N AO
sötétben|SH OE T EH0 D B EH N
sötétebb|SH OE T EH0 T EH B
sötétedik|SH OE T EH0 T EH D IY K
sötétek|SH OE T EH0 T EH K
sötétkamra|SH OE T EH0 T K AO M RRR AO
sötétkamrák|SH OE T EH0 T K AO M RRR AE K
sötétkék|SH OE T EH0 T K EH0 K
sötétség|SH OE T EH0 T EH0 G
sötétségek|SH OE T EH0 T EH0 G EH K
sötétzöld|SH OE T EH0 D Z OE L D
sötétít|SH OE T EH0 T IY T
sövény|SH OE V EH0 N IY0
sövények|SH OE V EH0 N IY0 EH K
súg|SH UW G
súghat|SH UW K HH AO T
súgj|SH UW G IY
súgod|SH UW G OW0 D
súgok|SH UW G OW0 K
súgsz|SH UW K S
súgva|SH UW G V AO
súgó|SH UW G OW0
súgógép|SH UW G OW0 G EH0 P
súgógépek|SH UW G OW0 G EH0 P EH K
súgójuk|SH UW G OW0 Y UW K
súgók|SH UW G OW0 K
súgólyuk|SH UW G OW0 Y UW K
súgólyukak|SH UW G OW0 Y UW K AO K
sújt|SH UW Y T
sújthat|SH UW Y T HH AO T
sújts|SH UW Y T
sújtsd|SH UW Y D D
sújtólég|SH UW Y T OW0 L EH0 G
sújtólégrobbanás|SH UW Y T OW0 L EH0 G RRR OW0 B AO N AE SH
súllyal|SH UW Y AO L
súly|SH UW Y
súlya|SH UW Y AO
súlyemelés|SH UW Y EH M EH L EH0 SH
súlyemelések|SH UW Y EH M EH L EH0 SH EH K
súlyemelő|SH UW Y EH M EH L OE
súlyemelők|SH UW Y EH M EH L OE K
súlygolyó|SH UW Y G OW0 Y OW0
súlygyarapodás|SH UW Y G AO RRR AO P OW0 D AE SH
súlylökés|SH UW Y L OE K EH0 SH
súlylökések|SH UW Y L OE K EH0 SH EH K
súlylökő|SH UW Y L OE K OE
súlyok|SH UW Y OW0 K
súlyos|SH UW Y OW0 SH
súlyosabb|SH UW Y OW0 SH AO B
súlyosbodik|SH UW Y OW0 ZH B OW0 D IY K
súlyosság|SH UW Y OW0 SH AE G
súlyozott|SH UW Y OW0 Z OW0 T
súlypont|SH UW Y P OW0 N T
súlypontok|SH UW Y P OW0 N T OW0 K
súlyra|SH UW Y RRR AO
súlyt|SH UW Y T
súlyvonal|SH UW Y V OW0 N AO L
súlyvonalak|SH UW Y V OW0 N AO L AO K
súlyzó|SH UW Y Z OW0
súlyát|SH UW Y AE T
súlyú|SH UW Y UW
súrlódás|SH UW RRR L OW0 D AE SH
súrlódások|SH UW RRR L OW0 D AE SH OW0 K
sügér|SH Y UW1 G EH0 RRR
sügérek|SH Y UW1 G EH0 RRR EH K
süket|SH Y UW1 K EH T
süketebb|SH Y UW1 K EH T EH B
süketség|SH Y UW1 K EH T EH0 G
sül|SH Y UW1 L
sülhet|SH Y UW1 L EH T
sülj|SH Y UW1 Y
süllyed|SH Y UW1 Y EH D
süllyedsz|SH Y UW1 Y EH T
süllyedékeny|SH Y UW1 Y EH D EH0 K EH N IY0
süllyeszt|SH Y UW1 Y EH S T
süllyesztett|SH Y UW1 Y EH S T EH T
süllő|SH Y UW1 L OE
süllők|SH Y UW1 L OE K
sülsz|SH Y UW1 L S
sült|SH Y UW1 L T
sültek|SH Y UW1 L T EH K
sün|SH Y UW1 N
sündisznó|SH Y UW1 N D IY S N OW0
sündisznók|SH Y UW1 N D IY S N OW0 K
sünné|SH Y UW1 N EH0
sünt|SH Y UW1 N T
sünök|SH Y UW1 N OE K
sünön|SH Y UW1 N OE N
süpped|SH Y UW1 P EH D
sürgős|SH Y UW1 RRR G OE SH
sürgősebb|SH Y UW1 RRR G OE SH EH B
sürgősen|SH Y UW1 RRR G OE SH EH N
süss|SH Y UW1 SH
süt|SH Y UW1 T
sütemény|SH Y UW1 T EH M EH0 N IY0
sütemények|SH Y UW1 T EH M EH0 N IY0 EH K
süteményekre|SH Y UW1 T EH M EH0 N IY0 EH K RRR EH
süthet|SH Y UW1 T HH EH T
süti|SH Y UW1 T IY
sütik|SH Y UW1 T IY K
sütitek|SH Y UW1 T IY T EH K
sütjük|SH Y UW1 K HH Y UW1 K
sütkérezik|SH Y UW1 T K EH0 RRR EH Z IY K
sütnek|SH Y UW1 T N EH K
sütni|SH Y UW1 T N IY
sütnivaló|SH Y UW1 T N IY V AO L OW0
sütsz|SH Y UW1 T
süttök|SH Y UW1 T OE K
sütés|SH Y UW1 T EH0 SH
sütések|SH Y UW1 T EH0 SH EH K
sütöd|SH Y UW1 T OE D
sütök|SH Y UW1 T OE K
sütöm|SH Y UW1 T OE M
sütötte|SH Y UW1 T OE T EH
sütöttük|SH Y UW1 T OE T Y UW1 K
sütünk|SH Y UW1 T Y UW1 NG K
sütő|SH Y UW1 T OE
sütőben|SH Y UW1 T OE B EH N
sütőd|SH Y UW1 T OE D
sütője|SH Y UW1 T OE Y EH
sütőjük|SH Y UW1 T OE Y Y UW1 K
sütők|SH Y UW1 T OE K
sütőm|SH Y UW1 T OE M
sütőnk|SH Y UW1 T OE NG K
sütőpapír|SH Y UW1 T OE P AO P IY RRR
sütőpapírok|SH Y UW1 T OE P AO P IY RRR OW0 K
sütőpor|SH Y UW1 T OE P OW0 RRR
sütőtök|SH Y UW1 T OE T OE K
sütőtökök|SH Y UW1 T OE T OE K OE K
süv|SH Y UW1 V
süveg|SH Y UW1 V EH G
süvegcukor|SH Y UW1 V EH K T UW K OW0 RRR
süvegcukrok|SH Y UW1 V EH K T UW K RRR OW0 K
süvegek|SH Y UW1 V EH G EH K
süvegel|SH Y UW1 V EH G EH L
sőt|SH OE T
sűrít|SH Y UW1 RRR IY T
sűrítmény|SH Y UW1 RRR IY T M EH0 N IY0
sűrítmények|SH Y UW1 RRR IY T M EH0 N IY0 EH K
sűrű|SH Y UW1 RRR Y UW1
sűrűdj|SH Y UW1 RRR Y UW1 G
sűrűn|SH Y UW1 RRR Y UW1 N
sűrűség|SH Y UW1 RRR Y UW1 SH EH0 G
sűrűségek|SH Y UW1 RRR Y UW1 SH EH0 G EH K
t|T EH0
tabletta|T AO B L EH T AO
tabu|T AO B UW
tabui|T AO B UW Y IY
tabuit|T AO B UW Y IY T
tabuk|T AO B UW K
tabulátor|T AO B UW L AE T OW0 RRR
tabum|T AO B UW M
tabun|T AO B UW N
tabut|T AO B UW T
tacepao|T AO T EH P AO OW0
tacskó|T AO T K OW0
tag|T EH G
tagad|T AO G AO D
tagadhat|T AO G AO T HH AO T
tagadhatatlan|T AO G AO T HH AO T AO T L AO N
tagadhatatlanabb|T AO G AO T HH AO T AO T L AO N AO B
tagadhatatlanul|T AO G AO T HH AO T AO T L AO N UW L
tagadja|T AO G AO G AO
tagadni|T AO G AO D N IY
tagadás|T AO G AO D AE SH
tagadások|T AO G AO D AE SH OW0 K
tagdíj|T AO G D IY Y
tagek|T EH G EH K
tageket|T EH G EH K EH T
taget|T EH G EH T
taggal|T AO G AO L
tagja|T AO G Y AO
tagjai|T AO G Y AO Y IY
tagjainak|T AO G Y AO Y IY N AO K
tagjaival|T AO G Y AO Y IY V AO L
tagjaként|T AO G Y AO K EH0 N T
tagjelölt|T AO G Y EH L OE L T
tagjának|T AO G Y AE N AO K
tagját|T AO G Y AE T
taglal|T AO G L AO L
tagok|T AO G OW0 K
tagokat|T AO G OW0 K AO T
tagol|T AO G OW0 L
tagolás|T AO G OW0 L AE SH
tagország|T AO G OW0 RRR S AE G
tagországok|T AO G OW0 RRR S AE G OW0 K
tagot|T AO G OW0 T
tagozatos|T AO G OW0 Z AO T OW0 SH
tagság|T AO K SH AE G
tagsági|T AO K SH AE G IY
tagságok|T AO K SH AE G OW0 K
tagunk|T AO G UW NG K
tagállam|T AO G AE L AO M
tagú|T AO G UW
tajga|T AO Y G AO
tajpej|T AO Y P EH Y
tajvan|T AO Y V AO N
tajvani|T AO Y V AO N IY
tajvaniak|T AO Y V AO N IY Y AO K
takar|T AO K AO RRR
takard|T AO K AO RRR D
takarj|T AO K AO RRR IY
takarmány|T AO K AO RRR M AE N IY0
takarmányok|T AO K AO RRR M AE N IY0 OW0 K
takarmányoz|T AO K AO RRR M AE N IY0 OW0 Z
takarodj|T AO K AO RRR OW0 G
takaros|T AO K AO RRR OW0 SH
takarékos|T AO K AO RRR EH0 K OW0 SH
takarékosabb|T AO K AO RRR EH0 K OW0 SH AO B
takarékoskodik|T AO K AO RRR EH0 K OW0 SH K OW0 D IY K
takarít|T AO K AO RRR IY T
takarítasz|T AO K AO RRR IY T AO S
takarítunk|T AO K AO RRR IY T UW NG K
takarító|T AO K AO RRR IY T OW0
takarítók|T AO K AO RRR IY T OW0 K
takaró|T AO K AO RRR OW0
takarók|T AO K AO RRR OW0 K
takarón|T AO K AO RRR OW0 N
takarózik|T AO K AO RRR OW0 Z IY K
taknya|T AO K N IY0 AO
takony|T AO K OW0 N IY0
taksa|T AO K SH AO
taksák|T AO K SH AE K
taksál|T AO K SH AE L
taktika|T AO K T IY K AO
taktikai|T AO K T IY K AO Y IY
takács|T AO K AE T
takácsok|T AO K AE T OW0 K
talaj|T AO L AO Y
talajba|T AO L AO Y B AO
talajban|T AO L AO Y B AO N
talajok|T AO L AO Y OW0 K
talajon|T AO L AO Y OW0 N
talajra|T AO L AO Y RRR AO
talajt|T AO L AO Y T
tali|T AO L IY
talicska|T AO L IY T K AO
talicskák|T AO L IY T K AE K
taliga|T AO L IY G AO
talizmán|T AO L IY Z M AE N
talián|T AO L IY Y AE N
tallinn|T AO L IY N
tallium|T AO L IY Y UW M
tallér|T AO L EH0 RRR
tallóz|T AO L OW0 Z
talp|T AO L P
talpa|T AO L P AO
talpak|T AO L P AO K
talpam|T AO L P AO M
talpas|T AO L P AO SH
talpatlan|T AO L P AO T L AO N
talpig|T AO L P IY G
talpnyaló|T AO L P N IY0 AO L OW0
talpnyalók|T AO L P N IY0 AO L OW0 K
talpon|T AO L P OW0 N
talponjáró|T AO L P OW0 N Y AE RRR OW0
talponjárók|T AO L P OW0 N Y AE RRR OW0 K
talpra|T AO L P RRR AO
talpraesett|T AO L P RRR AO EH SH EH T
talpraesettebb|T AO L P RRR AO EH SH EH T EH B
talpú|T AO L P UW
talál|T AO L AE L
találat|T AO L AE L AO T
találatok|T AO L AE L AO T OW0 K
találgat|T AO L AE L G AO T
találhat|T AO L AE L AO T
található|T AO L AE L AO T OW0
találhatóak|T AO L AE L AO T OW0 AO K
találhatók|T AO L AE L AO T OW0 K
találja|T AO L AE Y AO
találják|T AO L AE Y AE K
találka|T AO L AE L K AO
találkozhat|T AO L AE L K OW0 S HH AO T
találkozik|T AO L AE L K OW0 Z IY K
találkozni|T AO L AE L K OW0 Z N IY
találkozott|T AO L AE L K OW0 Z OW0 T
találkoztam|T AO L AE L K OW0 S T AO M
találkoztatok|T AO L AE L K OW0 S T AO T OW0 K
találkoztunk|T AO L AE L K OW0 S T UW NG K
találkozunk|T AO L AE L K OW0 Z UW NG K
találkozás|T AO L AE L K OW0 Z AE SH
találkozások|T AO L AE L K OW0 Z AE SH OW0 K
találkozó|T AO L AE L K OW0 Z OW0
találkozók|T AO L AE L K OW0 Z OW0 K
találkozókat|T AO L AE L K OW0 Z OW0 K AO T
találkozóknak|T AO L AE L K OW0 Z OW0 K N AO K
találkozókon|T AO L AE L K OW0 Z OW0 K OW0 N
találkozón|T AO L AE L K OW0 Z OW0 N
találkozónak|T AO L AE L K OW0 Z OW0 N AO K
találkozót|T AO L AE L K OW0 Z OW0 T
találkák|T AO L AE L K AE K
találmány|T AO L AE L M AE N IY0
találmánya|T AO L AE L M AE N IY0 AO
találmányai|T AO L AE L M AE N IY0 AO Y IY
találmányaid|T AO L AE L M AE N IY0 AO Y IY D
találmányaik|T AO L AE L M AE N IY0 AO Y IY K
találmányaim|T AO L AE L M AE N IY0 AO Y IY M
találmányaink|T AO L AE L M AE N IY0 AO Y IY NG K
találmányaitok|T AO L AE L M AE N IY0 AO Y IY T OW0 K
találmányod|T AO L AE L M AE N IY0 OW0 D
találmányok|T AO L AE L M AE N IY0 OW0 K
találmányokon|T AO L AE L M AE N IY0 OW0 K OW0 N
találmányokra|T AO L AE L M AE N IY0 OW0 K RRR AO
találmányom|T AO L AE L M AE N IY0 OW0 M
találmányon|T AO L AE L M AE N IY0 OW0 N
találmányotok|T AO L AE L M AE N IY0 OW0 T OW0 K
találmányra|T AO L AE L M AE N IY0 RRR AO
találmányuk|T AO L AE L M AE N IY0 UW K
találmányunk|T AO L AE L M AE N IY0 UW NG K
találnak|T AO L AE L N AO K
találni|T AO L AE L N IY
találod|T AO L AE L OW0 D
találok|T AO L AE L OW0 K
találom|T AO L AE L OW0 M
találsz|T AO L AE L S
talált|T AO L AE L T
találta|T AO L AE L T AO
találtad|T AO L AE L T AO D
találtak|T AO L AE L T AO K
találtam|T AO L AE L T AO M
találtatik|T AO L AE L T AO T IY K
találták|T AO L AE L T AE K
találunk|T AO L AE L UW NG K
találékony|T AO L AE L EH0 K OW0 N IY0
találékonyabb|T AO L AE L EH0 K OW0 N IY0 AO B
találékonyság|T AO L AE L EH0 K OW0 N IY0 SH AE G
találékonyságok|T AO L AE L EH0 K OW0 N IY0 SH AE G OW0 K
talán|T AO L AE N
talány|T AO L AE N IY0
