'tain|T EH
slang|S L AE NG G
slave|S L AE V
slavisa|S L AE V IY Z AE
slavisai|S L AE V IY Z EH0
slavisaient|S L AE V IY Z EH
slavisais|S L AE V IY Z EH
slavisait|S L AE V IY Z EH
slavisant|S L AE V IY Z AA
slavisante|S L AE V IY Z AA T
slavisantes|S L AE V IY Z AA T
slavisants|S L AE V IY Z AA
slavisas|S L AE V IY Z AA
slavisasse|S L AE V IY Z AE S
slavisassent|S L AE V IY Z AE S
slavisasses|S L AE V IY Z AE S
slavisassiez|S L AE V IY Z AE S Y EH0
slavisassions|S L AE V IY Z AE S Y AO
slavise|S L AE V IY Z
slavisent|S L AE V IY Z
slaviser|S L AE V IY Z EH0
slavisera|S L AE V IY Z RH AE
slaviserai|S L AE V IY Z RH EH0
slaviseraient|S L AE V IY Z RH EH
slaviserais|S L AE V IY Z RH EH
slaviserait|S L AE V IY Z RH EH
slaviseras|S L AE V IY Z RH AA
slaviserez|S L AE V IY Z RH EH0
slaviseriez|S L AE V IY Z AH0 RH Y EH0
slaviserions|S L AE V IY Z AH0 RH Y AO
slaviserons|S L AE V IY Z RH AO
slaviseront|S L AE V IY Z RH AO
slavises|S L AE V IY Z
slavisez|S L AE V IY Z EH0
slavisiez|S L AE V IY Z Y EH0
slavisions|S L AE V IY Z Y AO
slavisme|S L AE V IY S M
slavisons|S L AE V IY Z AO
slaviste|S L AE V IY S T
slavisâmes|S L AE V IY Z AA M
slavisât|S L AE V IY Z AA
slavisâtes|S L AE V IY Z AA T
slavisèrent|S L AE V IY Z EH RH
slavisé|S L AE V IY Z EH0
slavon|S L AE V AO
slavophile|S L AE V AO F IY L
slavophiles|S L AE V AO F IY L
slice|S L AE Y S
slicer|S L AE Y S EH0
slip|S L IY P
sloughi|S L UW G IY
slovaque|S L AO V AE K
slovaquie|S L AO V AE K IY
slovène|S L AO V EH N
slovénie|S L AO V EH0 N IY
slow|S L OW0
sma'te|S M AE T
smala|S M AE L AE
smartphone|S M AE RH T F AO N
smash|S M AE SH
smasha|S M AE SH AE
smashai|S M AE SH EH0
smashaient|S M AE SH EH
smashais|S M AE SH EH
smashait|S M AE SH EH
smashant|S M AE SH AA
smashas|S M AE SH AA
smashasse|S M AE SH AE S
smashassent|S M AE SH AE S
smashasses|S M AE SH AE S
smashassiez|S M AE SH AE S Y EH0
smashassions|S M AE SH AE S Y AO
smashe|S M AE SH
smashent|S M AE SH
smasher|S M AE SH EH0
smashera|S M AE SH RH AE
smasherai|S M AE SH RH EH0
smasheraient|S M AE SH RH EH
smasherais|S M AE SH RH EH
smasherait|S M AE SH RH EH
smasheras|S M AE SH RH AA
smasherez|S M AE SH RH EH0
smasheriez|S M AE SH AH0 RH Y EH0
smasherions|S M AE SH AH0 RH Y AO
smasherons|S M AE SH RH AO
smasheront|S M AE SH RH AO
smashes|S M AE SH
smashez|S M AE SH EH0
smashiez|S M AE SH Y EH0
smashions|S M AE SH Y AO
smashons|S M AE SH AO
smashâmes|S M AE SH AA M
smashât|S M AE SH AA
smashâtes|S M AE SH AA T
smashèrent|S M AE SH EH RH
smashé|S M AE SH EH0
smegma|S M EH G M AE
smic|S M IY K
smicard|S M IY K AE RH
smiley|S M AE Y L EH
smith|S M IY T
smoking|S M AO K IY NG
sms|EH S EH M EH S
smurf|S M ER RH F
smurfa|S M ER RH F AE
smurfai|S M ER RH F EH0
smurfaient|S M ER RH F EH
smurfais|S M ER RH F EH
smurfait|S M ER RH F EH
smurfant|S M ER RH F AA
smurfas|S M ER RH F AA
smurfasse|S M ER RH F AE S
smurfassent|S M ER RH F AE S
smurfasses|S M ER RH F AE S
smurfassiez|S M ER RH F AE S Y EH0
smurfassions|S M ER RH F AE S Y AO
smurfe|S M ER RH F
smurfent|S M ER RH F
smurfer|S M ER RH F EH0
smurfera|S M ER RH F AH0 RH AE
smurferai|S M ER RH F AH0 RH EH0
smurferaient|S M ER RH F AH0 RH EH
smurferais|S M ER RH F AH0 RH EH
smurferait|S M ER RH F AH0 RH EH
smurferas|S M ER RH F AH0 RH AA
smurferez|S M ER RH F AH0 RH EH0
smurferiez|S M ER RH F AH0 RH Y EH0
smurferions|S M ER RH F AH0 RH Y AO
smurferons|S M ER RH F AH0 RH AO
smurferont|S M ER RH F AH0 RH AO
smurfes|S M ER RH F
smurfez|S M ER RH F EH0
smurfiez|S M ER RH F Y EH0
smurfions|S M ER RH F Y AO
smurfons|S M ER RH F AO
smurfâmes|S M ER RH F AA M
smurfât|S M ER RH F AA
smurfâtes|S M ER RH F AA T
smurfèrent|S M ER RH F EH RH
smurfé|S M ER RH F EH0
snack|S N AE K
sncf|EH S EH N S EH0 EH F
sniffer|S N IY F EH0
sniper|S N AE Y P ER RH
snob|S N AO B
snoba|S N AO B AE
snobai|S N AO B EH0
snobaient|S N AO B EH
snobais|S N AO B EH
snobait|S N AO B EH
snobant|S N AO B AA
snobas|S N AO B AA
snobasse|S N AO B AE S
snobassent|S N AO B AE S
snobasses|S N AO B AE S
snobassiez|S N AO B AE S Y EH0
snobassions|S N AO B AE S Y AO
snobe|S N AO B
snobent|S N AO B
snober|S N AO B EH0
snobera|S N AO B RH AE
snoberai|S N AO B RH EH0
snoberaient|S N AO B RH EH
snoberais|S N AO B RH EH
snoberait|S N AO B RH EH
snoberas|S N AO B RH AA
snoberez|S N AO B RH EH0
snoberiez|S N AO B AH0 RH Y EH0
snoberions|S N AO B AH0 RH Y AO
snoberons|S N AO B RH AO
snoberont|S N AO B RH AO
snobes|S N AO B
snobez|S N AO B EH0
snobiez|S N AO B Y EH0
snobinard|S N AO B IY N AE RH
snobinarde|S N AO B IY N AE RH D
snobions|S N AO B Y AO
snobisme|S N AO B IY S M
snobissime|S N AO B IY S IY M
snobissimes|S N AO B IY S IY M
snobons|S N AO B AO
snobâmes|S N AO B AA M
snobât|S N AO B AA
snobâtes|S N AO B AA T
snobèrent|S N AO B EH RH
snobé|S N AO B EH0
snobée|S N AO B EH0
snobées|S N AO B EH0
snobés|S N AO B EH0
snooker|S N UW K ER RH
snowboard|S N OW0 B AO RH D
snowboardeur|S N OW0 B AO RH D ER RH
snowboardeuse|S N OW0 B AO RH D OE Z
soap|S OW0 P
sobre|S AO B RH
sobriquet|S AO B RH IY K EH
soc|S AO K
socca|S OW0 K AE
soccer|S AO K ER RH
sociabilité|S AO S Y AE B IY L IY T EH0
social|S AO S Y AE L
sociale|S AO S Y AE L
sociales|S AO S Y AE L
socialisa|S AO S Y AE L IY Z AE
socialisai|S AO S Y AE L IY Z EH0
socialisaient|S AO S Y AE L IY Z EH
socialisais|S AO S Y AE L IY Z EH
socialisait|S AO S Y AE L IY Z EH
socialisas|S AO S Y AE L IY Z AA
socialisasse|S AO S Y AE L IY Z AE S
socialisassent|S AO S Y AE L IY Z AE S
socialisasses|S AO S Y AE L IY Z AE S
socialisassiez|S AO S Y AE L IY Z AE S Y EH0
socialisassions|S AO S Y AE L IY Z AE S Y AO
socialise|S AO S Y AE L IY Z
socialisent|S AO S Y AE L IY Z
socialiser|S AO S Y AE L IY Z EH0
socialisera|S AO S Y AE L IY Z RH AE
socialiserai|S AO S Y AE L IY Z RH EH0
socialiseraient|S AO S Y AE L IY Z RH EH
socialiserais|S AO S Y AE L IY Z RH EH
socialiserait|S AO S Y AE L IY Z RH EH
socialiseras|S AO S Y AE L IY Z RH AA
socialiserez|S AO S Y AE L IY Z RH EH0
socialiseriez|S AO S Y AE L IY Z AH0 RH Y EH0
socialiserions|S AO S Y AE L IY Z AH0 RH Y AO
socialiserons|S AO S Y AE L IY Z RH AO
socialiseront|S AO S Y AE L IY Z RH AO
socialises|S AO S Y AE L IY Z
socialisez|S AO S Y AE L IY Z EH0
socialisiez|S AO S Y AE L IY Z Y EH0
socialisions|S AO S Y AE L IY Z Y AO
socialisme|S AO S Y AE L IY Z M
socialisons|S AO S Y AE L IY Z AO
socialisâmes|S AO S Y AE L IY Z AA M
socialisât|S AO S Y AE L IY Z AA
socialisâtes|S AO S Y AE L IY Z AA T
socialisèrent|S AO S Y AE L IY Z EH RH
socialisé|S AO S Y AE L IY Z EH0
socialo|S AO S Y AE L OW0
sociaux|S AO S Y OW0
socinien|S AO S IY N Y EH
sociolecte|S AO S Y AO L EH K T
sociologie|S AO S Y AO L AO ZH IY
sociométrique|S AO S Y AO M EH0 T RH IY K
sociopathe|S AO S Y AO P AE T
sociopathie|S AO S Y AO P AE T IY
socioéconomiquement|S AO S Y AO EH0 K AO N AO M IY K M AA
sociétaire|S AO S Y EH0 T EH RH
sociétairement|S AO S Y EH0 T EH RH M AA
sociétal|S AO S Y EH0 T AE L
sociétale|S AO S Y EH0 T AE L
sociétales|S AO S Y EH0 T AE L
sociétaux|S AO S Y EH0 T OW0
société|S AO S Y EH0 T EH0
sociétés|S AO S Y EH0 T EH0
socle|S AO K L
socque|S AO K
socquette|S AO K EH T
socrate|S AO K RH AE T
soda|S OW0 D AE
sodalité|S AO D AE L IY T EH0
sodique|S AO D IY K
sodium|S AO D Y AO M
sodome|S AO D AO M
sodomie|S AO D AO M IY
sodomisant|S AO D AO M IY Z AA
sodomise|S AO D AO M IY Z
sodomiser|S AO D AO M IY Z EH0
sodomises|S AO D AO M IY Z
sodomisé|S AO D AO M IY Z EH0
sodomite|S AO D AO M IY T
sodé|S AO D EH0
sodée|S AO D EH0
sodées|S AO D EH0
sodés|S AO D EH0
soeur|S ER RH
sofa|S AO F AE
sofas|S AO F AA
soffite|S AO F IY T
sofi|S AO F IY
sofia|S AO F Y AE
soft|S AO F T
soi|S W AE
soie|S W AE
soient|S W AE
soierie|S W AE RH IY
soies|S W AE
soif|S W AE F
soifs|S W AE F
soigner|S W AE N IY0 EH0
soigneur|S W AE N IY0 ER RH
soigneusement|S W AE N IY0 OE Z M AA
soigneux|S W AE N IY0 OE
soigné|S W AE N IY0 EH0
soin|S W EH
soins|S W EH
soir|S W EH RH
soirs|S W AE RH
soirée|S W AE RH EH0
sois|S W AE
soit|S W AE T
soixantaine|S W AE S AA T EH N
soixante|S W AE S AA T
soixantième|S W AE S AA T Y EH M
soixantièmes|S W AE S AA T Y EH M
soizic|S W AE Z IY K
soja|S AO ZH AE
sol|S AO L
solange|S AO L AA ZH
soldanelle|S AO L D AE N EH L
soldat|S AO L D AE
soldate|S AO L D AE T
soldatesque|S AO L D AE T EH S K
solde|S AO L D
solder|S AO L D EH0
soldeuse|S AO L D OE Z
sole|S AO L
soleil|S AO L EH Y
solenn|S AO L EH N
solenne|S AO L EH N
solennel|S AO L AE N EH L
solennellement|S AO L AE N EH L M AA
solenniser|S AO L AE N IY Z EH0
solennité|S AO L AE N IY T EH0
soles|S AO L
soleure|S AO L ER RH
solfatare|S AO L F AE T AE RH
solfier|S AO L F Y EH0
solfège|S AO L F EH ZH
solidaire|S AO L IY D EH RH
solidarité|S AO L IY D AE RH IY T EH0
solide|S AO L IY D
solidien|S AO L IY D Y EH
solidienne|S AO L IY D Y EH N
solidisme|S AO L IY D IY S M
soliloque|S AO L IY L AO K
solipsisme|S AO L IY P S IY S M
solipède|S AO L IY P EH D
solitaire|S AO L IY T EH RH
solitude|S AO L IY T Y UW1 D
solive|S AO L IY V
sollicitation|S AO L IY S IY T AE S Y AO
solliciter|S AO L IY S IY T EH0
sollicitude|S AO L IY S IY T Y UW1 D
solmisation|S AO L M IY Z AE S Y AO
solo|S AO L OW0
sologne|S AO L AO N IY0
solstice|S AO L S T IY S
solsticial|S AO L S T IY S Y AE L
solubiliser|S AO L Y UW1 B IY L IY Z EH0
solution|S AO L Y UW1 S Y AO
solutionner|S AO L Y UW1 S Y AO N EH0
solutréenne|S AO L Y UW1 T RH EH0 EH N
solvabilité|S AO L V AE B IY L IY T EH0
solvent|S AO L V
solène|S AO L EH N
solécisme|S AO L EH0 S IY S M
solénoïde|S AO L EH0 N AO IY D
solœcisme|S AO L EH0 S IY S M
somalie|S AO M AE L IY
somatiser|S AO M AE T IY Z EH0
sombra|S AO B RH AE
sombrai|S AO B RH EH0
sombraient|S AO B RH EH
sombrais|S AO B RH EH
sombrait|S AO B RH EH
sombrant|S AO B RH AA
sombras|S AO B RH AA
sombrasse|S AO B RH AE S
sombrassent|S AO B RH AE S
sombrasses|S AO B RH AE S
sombrassiez|S AO B RH AE S Y EH0
sombrassions|S AO B RH AE S Y AO
sombre|S AO B RH
sombrent|S AO B RH
sombrer|S AO B RH EH0
sombrera|S AO B RH AH0 RH AE
sombrerai|S AO B RH AH0 RH EH0
sombreraient|S AO B RH AH0 RH EH
sombrerais|S AO B RH AH0 RH EH
sombrerait|S AO B RH AH0 RH EH
sombreras|S AO B RH AH0 RH AA
sombrerez|S AO B RH AH0 RH EH0
sombreriez|S AO B RH AH0 RH Y EH0
sombrerions|S AO B RH AH0 RH Y AO
sombrerons|S AO B RH AH0 RH AO
sombreront|S AO B RH AH0 RH AO
sombrez|S AO B RH EH0
sombriez|S AO B RH IY Y EH0
sombrions|S AO B RH IY Y AO
sombrons|S AO B RH AO
sombrâmes|S AO B RH AA M
sombrât|S AO B RH AA
sombrâtes|S AO B RH AA T
sombrèrent|S AO B RH EH RH
sommaire|S AO M EH RH
sommairement|S AO M EH RH M AA
sommaires|S AO M EH RH
sommation|S AO M AE S Y AO
somme|S AO M
sommeil|S AO M EH Y
sommeiller|S AO M EH Y EH0
sommelier|S AO M AH0 L Y EH0
sommelière|S AO M AH0 L Y EH RH
sommer|S AO M EH0
sommes|S AO M
sommet|S AO M EH
sommier|S AO M Y EH0
somnambule|S AO M N AA B Y UW1 L
somnifère|S AO M N IY F EH RH
somnifères|S AO M N IY F EH RH
somnolence|S AO M N AO L AA S
somnolent|S AO M N AO L AA
somptuaire|S AO P T EH RH
somptueuse|S AO P T OE Z
somptueusement|S AO P T OE Z M AA
somptueuses|S AO P T OE Z
somptueux|S AO P T OE
somptuosité|S AO P T OW0 Z IY T EH0
son|S AO N
sonagramme|S AO N AE G RH AE M
sonal|S AO N AE L
sonate|S AO N AE T
sonatine|S AO N AE T IY N
sondage|S AO D AE ZH
sondagier|S AO D AE ZH Y EH0
sondagière|S AO D AE ZH Y EH RH
sonde|S AO D
sonder|S AO D EH0
sondeuse|S AO D OE Z
sondit|S AO D IY
songe|S AO ZH
songer|S AO ZH EH0
songé|S AO ZH EH0
sonia|S AO N Y AE
soninké|S AO N EH K EH0
sonner|S AO N EH0
sonnerie|S AO N RH IY
sonnet|S AO N EH
sonnets|S AO N EH
sonnette|S AO N EH T
sonore|S AO N AO RH
sonoriser|S AO N AO RH IY Z EH0
sonorité|S AO N AO RH IY T EH0
sonorités|S AO N AO RH IY T EH0
sonos|S AO N OW0
sons|S AO
sont|S AO T
sopalin|S AO P AE L EH
sopha|S AO F AE
sophie|S AO F IY
sophiste|S AO F IY S T
sophistication|S AO F IY S T IY K AE S Y AO
sophistique|S AO F IY S T IY K
sophistiquer|S AO F IY S T IY K EH0
sophistiqué|S AO F IY S T IY K EH0
sophocle|S AO F AO K L
sophène|S AO F EH N
sophénien|S AO F EH0 N Y EH
soporifique|S AO P AO RH IY F IY K
soprano|S AO P RH AE N OW0
sopranos|S AO P RH AE N OW0
sorbet|S AO RH B EH
sorbetière|S AO RH B AH0 T Y EH RH
sorbier|S AO RH B Y EH0
sorbon|S AO RH B AO
sorcellerie|S AO RH S EH L RH IY
sorcier|S AO RH S Y EH0
sorcière|S AO RH S Y EH RH
sorgho|S AO RH G OW0
sorgo|S AO RH G OW0
sorlingues|S AO RH L EH G
sororalement|S AO RH AO RH AE L M AA
sors|S AO RH
sort|S AO RH
sortable|S AO RH T AE B L
sorte|S AO RH T
sortie|S AO RH T IY
sortilège|S AO RH T IY L EH ZH
sortilèges|S AO RH T IY L EH ZH
sortir|S AO RH T IY RH
sortition|S AO RH T IY S Y AO
sorts|S AO RH
sorélienne|S AO RH EH0 L Y EH N
sosie|S AO Z IY
sospellois|S AO S P EH L W AE
sospelloise|S AO S P EH L W AE Z
sot|S OW0
sotte|S AO T
sottement|S AO T M AA
sottise|S AO T IY Z
sottises|S AO T IY Z
sottisier|S AO T IY Z Y EH0
sou|S UW
souabe|S W AE B
souahéli|S W AE EH0 L IY
soubassement|S UW B AE S M AA
soubassophone|S UW B AE S AO F AO N
soubresaut|S UW B RH AH0 S OW0
soubrette|S UW B RH EH T
souche|S UW SH
souci|S UW S IY
souciant|S UW S Y AA
soucier|S UW S Y EH0
soucieusement|S UW S Y OE Z M AA
soucoupe|S UW K UW P
souda|S UW D AE
soudai|S UW D EH0
soudaient|S UW D EH
soudain|S UW D EH
soudainement|S UW D EH N M AA
soudais|S UW D EH
soudait|S UW D EH
soudan|S UW D AA
soudant|S UW D AA
soudard|S UW D AE RH
soudas|S UW D AA
soudasse|S UW D AE S
soudassent|S UW D AE S
soudasses|S UW D AE S
soudassiez|S UW D AE S Y EH0
soudassions|S UW D AE S Y AO
soude|S UW D
soudent|S UW D
souder|S UW D EH0
soudera|S UW D RH AE
souderai|S UW D RH EH0
souderaient|S UW D RH EH
souderais|S UW D RH EH
souderait|S UW D RH EH
souderas|S UW D RH AA
souderez|S UW D RH EH0
souderiez|S UW D AH0 RH Y EH0
souderions|S UW D AH0 RH Y AO
souderons|S UW D RH AO
souderont|S UW D RH AO
soudes|S UW D
soudeur|S UW D ER RH
soudeuse|S UW D OE Z
soudez|S UW D EH0
soudiez|S UW D Y EH0
soudions|S UW D Y AO
soudons|S UW D AO
soudoyer|S UW D W AE Y EH0
soudre|S UW D RH
soudure|S UW D Y UW1 RH
soudâmes|S UW D AA M
soudât|S UW D AA
soudâtes|S UW D AA T
soudèrent|S UW D EH RH
soudé|S UW D EH0
soufflage|S UW F L AE ZH
souffle|S UW F L
souffler|S UW F L EH0
soufflet|S UW F L EH
souffleter|S UW F L AH0 T EH0
souffleur|S UW F L ER RH
souffleuse|S UW F L OE Z
soufflé|S UW F L EH0
souffrance|S UW F RH AA S
souffrances|S UW F RH AA S
souffreteuse|S UW F RH AH0 T OE Z
souffreteux|S UW F RH AH0 T OE
souffrir|S UW F RH IY RH
soufie|S UW F IY
soufre|S UW F RH
soufré|S UW F RH EH0
souhait|S W EH
souhaiter|S W EH T EH0
souille|S UW Y
souiller|S UW Y EH0
souillon|S UW Y AO
souillure|S UW Y Y UW1 RH
souillé|S UW Y EH0
souk|S UW K
soukoun|S UW K UW N
soul|S UW L
soulagement|S UW L AE ZH M AA
soulagements|S UW L AE ZH M AA
soulager|S UW L AE ZH EH0
soulagien|S UW L AE ZH Y EH
soulard|S UW L AE RH
soularde|S UW L AE RH D
soulardes|S UW L AE RH D
soulards|S UW L AE RH
souler|S UW L EH0
souleur|S UW L ER RH
soulevante|S UW L AH0 V AA T
soulever|S UW L V EH0
soulevé|S UW L V EH0
soulier|S UW L Y EH0
souligner|S UW L IY N IY0 EH0
souloir|S UW L W AE RH
soulte|S UW L T
soumbala|S UW M B AE L AE
soumettre|S UW M EH T RH
soumgaït|S UW M G AE IY T
soumis|S UW M IY
soumission|S UW M IY S Y AO
soumissionner|S UW M IY S Y AO N EH0
soundanais|S UW N D AE N EH
soupa|S UW P AE
soupai|S UW P EH0
soupaient|S UW P EH
soupais|S UW P EH
soupait|S UW P EH
soupant|S UW P AA
soupape|S UW P AE P
soupapes|S UW P AE P
soupas|S UW P AA
soupasse|S UW P AE S
soupassent|S UW P AE S
soupasses|S UW P AE S
soupassiez|S UW P AE S Y EH0
soupassions|S UW P AE S Y AO
soupe|S UW P
soupent|S UW P
souper|S UW P EH0
soupera|S UW P RH AE
souperai|S UW P RH EH0
souperaient|S UW P RH EH
souperais|S UW P RH EH
souperait|S UW P RH EH
souperas|S UW P RH AA
souperez|S UW P RH EH0
souperiez|S UW P AH0 RH Y EH0
souperions|S UW P AH0 RH Y AO
souperons|S UW P RH AO
souperont|S UW P RH AO
soupeser|S UW P AH0 Z EH0
soupez|S UW P EH0
soupiez|S UW P Y EH0
soupions|S UW P Y AO
soupir|S UW P IY RH
soupirail|S UW P IY RH AE Y
soupiraux|S UW P IY RH OW0
soupirer|S UW P IY RH EH0
soupirs|S UW P IY RH
souple|S UW P L
souplesse|S UW P L EH S
soupons|S UW P AO
soupoudrer|S UW P UW D RH EH0
soupâmes|S UW P AA M
soupât|S UW P AA
soupâtes|S UW P AA T
soupçon|S UW P S AO
soupçonner|S UW P S AO N EH0
soupçons|S UW P S AO
soupèrent|S UW P EH RH
soupé|S UW P EH0
souquer|S UW K EH0
sourate|S UW RH AE T
source|S UW RH S
sourcil|S UW RH S IY L
sourciller|S UW RH S IY Y EH0
sourcilleuse|S UW RH S IY Y OE Z
sourcilleusement|S UW RH S IY Y OE Z M AA
sourcilleux|S UW RH S IY Y OE
sourcée|S UW RH S EH0
sourd|S UW RH
sourde|S UW RH D
sourdement|S UW RH D AH0 M AA
sourdiner|S UW RH D IY N EH0
sourdingue|S UW RH D EH G
sourdre|S UW RH D RH
soure|S UW RH
souri|S UW RH IY
souriamment|S UW RH Y AE M AA
souriant|S UW RH Y AA
souriceau|S UW RH IY S OW0
souricelle|S UW RH IY S EH L
souricière|S UW RH IY S Y EH RH
sourire|S UW RH IY RH
souris|S UW RH IY
sournois|S UW RH N W AE
sournoisement|S UW RH N W AE Z M AA
sournoiserie|S UW RH N W AE Z RH IY
sous|S UW
souscription|S UW S K RH IY P S Y AO
souscrire|S UW S K RH IY RH
soussigné|S UW S IY N IY0 EH0
soustraction|S UW S T RH AE K S Y AO
soustractive|S UW S T RH AE K T IY V
soustraire|S UW S T RH EH RH
sousveillance|S UW V EH Y AA S
soutadaire|S UW T AE D EH RH
soutadère|S UW T AE D EH RH
soutane|S UW T AE N
soute|S UW T
soutenablement|S UW T N AE B L AH0 M AA
souteneur|S UW T N ER RH
soutenir|S UW T N IY RH
souterrain|S UW T EH RH EH
souterrainement|S UW T EH RH EH N M AA
soutien|S UW T Y EH
soutif|S UW T IY F
soutirage|S UW T IY RH AE ZH
soutirer|S UW T IY RH EH0
souvenir|S UW V N IY RH
souvent|S UW V AA
souverain|S UW V RH EH
souveraine|S UW V RH EH N
souverainement|S UW V RH EH N M AA
souveraineté|S UW V RH EH N T EH0
souverainetés|S UW V RH EH N T EH0
souverainiste|S UW V RH EH N IY S T
souveraintiste|S UW V RH EH T IY S T
souvins|S UW V EH
souvlaki|S UW V L AE K IY
soviet|S AO V Y EH T
soviétisation|S AO V Y EH0 T IY Z AE S Y AO
soviétiser|S AO V Y EH0 T IY Z EH0
sovkhoze|S AO V K OW0 Z
soyeuse|S W AE Y OE Z
soyeusement|S W AE Y OE Z M AA
soyeux|S W AE Y OE
soyez|S W AE Y EH0
soyons|S W AE Y AO
soûl|S UW
soûlard|S UW L AE RH
soûlarde|S UW L AE RH D
soûlardes|S UW L AE RH D
soûlards|S UW L AE RH
soûler|S UW L EH0
spacieuse|S P AE S Y OE Z
spacieusement|S P AE S Y OE Z M AA
spacieux|S P AE S Y OE
spadassin|S P AE D AE S EH
spaghetti|S P AE G EH0 T IY
spaghettifier|S P AE G EH0 T IY F Y EH0
spaghettifié|S P AE G EH0 T IY F Y EH0
spaghettis|S P AE G EH0 T IY
spahi|S P AE IY
spallation|S P AE L AE S Y AO
spam|S P AE M
spammer|S P AE M ER RH
spammeur|S P AE M ER RH
spammeurs|S P AE M ER RH
spammeuse|S P AE M OE Z
spammeuses|S P AE M OE Z
sparadrap|S P AE RH AE D RH AE
spare|S P EH RH
sparnacien|S P AE RH N AE S Y EH
spartakisme|S P AE RH T AE K IY S M
spartakiste|S P AE RH T AE K IY S T
sparte|S P AE RH T
spartiate|S P AE RH S Y AE T
spasme|S P AE S M
spasticité|S P AE S T IY S IY T EH0
spath|S P AE T
spathacée|S P AE T AE S EH0
spathe|S P AE T
spathifier|S P AE T IY F Y EH0
spathique|S P AE T IY K
spatial|S P AE S Y AE L
spationaute|S P AE S Y AO N OW0 T
spatiotemporelle|S P AE S Y AO T AA P AO RH EH L
spatule|S P AE T Y UW1 L
speaker|S P IY K ER RH
speakerine|S P IY K AH0 RH IY N
spectacle|S P EH K T AE K L
spectaculaire|S P EH K T AE K Y UW1 L EH RH
spectateur|S P EH K T AE T ER RH
spectral|S P EH K T RH AE L
spectrophotométrie|S P EH K T RH AO F AO T AO M EH0 T RH IY
spectroscopie|S P EH K T RH AO S K AO P IY
speech|S P IY T SH
spencer|S P EH N S EH RH
spermatique|S P EH RH M AE T IY K
spermatiques|S P EH RH M AE T IY K
sperme|S P EH RH M
spermes|S P EH RH M
spermophile|S P EH RH M AO F IY L
sphaigne|S F EH N IY0
sphincter|S F EH K T EH RH
sphinx|S F EH K S
sphène|S F EH N
sphère|S F EH RH
sphénoïdale|S F EH0 N AO IY D AE L
sphériquement|S F EH0 RH IY K M AA
sphéroïde|S F EH0 RH AO IY D
spi|S P IY
spic|S P IY K
spin|S P IY N
spinale|S P IY N AE L
spiral|S P IY RH AE L
spirale|S P IY RH AE L
spiralisation|S P IY RH AE L IY Z AE S Y AO
spire|S P IY RH
spirituel|S P IY RH IY T EH L
spirituelle|S P IY RH IY T EH L
spirituelles|S P IY RH IY T EH L
spirituels|S P IY RH IY T EH L
spiritueux|S P IY RH IY T OE
spiruline|S P IY RH Y UW1 L IY N
spirée|S P IY RH EH0
splanchnique|S P L AA K N IY K
spleen|S P L IY N
splendeur|S P L AA D ER RH
splendide|S P L AA D IY D
splendides|S P L AA D IY D
splénectomie|S P L EH0 N EH K T AO M IY
splénomégalie|S P L EH0 N AO M EH0 G AE L IY
spodumène|S P AO D Y UW1 M EH N
spoiler|S P AO Y L ER RH
sponsor|S P AO S AO RH
sponsoring|S P AO S AO RH IY NG
sponsorisa|S P AO S AO RH IY Z AE
sponsorisai|S P AO S AO RH IY Z EH0
sponsorisaient|S P AO S AO RH IY Z EH
sponsorisais|S P AO S AO RH IY Z EH
sponsorisait|S P AO S AO RH IY Z EH
sponsorisant|S P AO S AO RH IY Z AA
sponsorisas|S P AO S AO RH IY Z AA
sponsorisasse|S P AO S AO RH IY Z AE S
sponsorisassent|S P AO S AO RH IY Z AE S
sponsorisasses|S P AO S AO RH IY Z AE S
sponsorisassiez|S P AO S AO RH IY Z AE S Y EH0
sponsorisassions|S P AO S AO RH IY Z AE S Y AO
sponsorise|S P AO S AO RH IY Z
sponsorisent|S P AO S AO RH IY Z
sponsorisera|S P AO S AO RH IY Z RH AE
sponsoriserai|S P AO S AO RH IY Z RH EH0
sponsoriseraient|S P AO S AO RH IY Z RH EH
sponsoriserais|S P AO S AO RH IY Z RH EH
sponsoriserait|S P AO S AO RH IY Z RH EH
sponsoriseras|S P AO S AO RH IY Z RH AA
sponsoriserez|S P AO S AO RH IY Z RH EH0
sponsoriseriez|S P AO S AO RH IY Z AH0 RH Y EH0
sponsoriserions|S P AO S AO RH IY Z AH0 RH Y AO
sponsoriserons|S P AO S AO RH IY Z RH AO
sponsoriseront|S P AO S AO RH IY Z RH AO
sponsorises|S P AO S AO RH IY Z
sponsorisez|S P AO S AO RH IY Z EH0
sponsorisiez|S P AO S AO RH IY Z Y EH0
sponsorisions|S P AO S AO RH IY Z Y AO
sponsorisons|S P AO S AO RH IY Z AO
sponsorisâmes|S P AO S AO RH IY Z AA M
sponsorisât|S P AO S AO RH IY Z AA
sponsorisâtes|S P AO S AO RH IY Z AA T
sponsorisèrent|S P AO S AO RH IY Z EH RH
spontané|S P AO T AE N EH0
sporange|S P AO RH AA ZH
spork|S P AO RH K
sport|S P AO RH
sportif|S P AO RH T IY F
sportive|S P AO RH T IY V
sportivement|S P AO RH T IY V M AA
sportivité|S P AO RH T IY V IY T EH0
sportswoman|S P AO RH T S W OW0 M AE N
sporulée|S P AO RH Y UW1 L EH0
spot|S P AO T
sprint|S P RH IY N T
sprinter|S P RH IY N T ER RH
sprinteur|S P RH IY N T ER RH
