ᆜ|Y UW0
토성|T OW0 S AH NG
토스터|T OW0 S UW0 T AH
토스트|T OW0 S UW0 T UW0
토시|T OW0 SH IY
토양|T OW0 Y AE NG
토요일|T OW0 Y OW0 IY L
토욕혼|T OW0 Y OW0 K OW0 N
토우|T OW0 UW
토의하다|T OW0 IY AE D AE
토이기|T OW0 IY G IY
토이기어|T OW0 IY G IY AH
토지|T OW0 D IY
토착|T OW0 T AE K
토치|T OW0 T IY
토치카|T OW0 T IY K AE
토픽|T OW0 P IY K
토하다|T OW0 AE D AE
토혈|T OW0 IY AH L
토후국|T OW0 V UW G UW K
톤|T OW0 N
톨|T OW0 L
톱|T OW0 P
톱날꽃게|T OW0 M N AE L K OW0 T K EH0
톱니바퀴|T OW0 M N IY B AE K IY
톳|T OW0 T
통|T OW0 NG
통가|T OW0 NG G AE
통가리|T OW0 NG G AE R IY
통계|T OW0 NG G Y EH0
통계학|T OW0 NG G Y EH0 AE K
통과|T OW0 NG G W AE
통과암호|T OW0 NG G W AE AE M V OW0
통과하다|T OW0 NG G W AE AE D AE
통근|T OW0 NG G UW0 N
통근하다|T OW0 NG G UW0 N AE D AE
통금|T OW0 NG G UW0 M
통나무|T OW0 NG N AE M UW
통념|T OW0 NG N IY0 AH M
통닭|T OW0 NG D AE K
통로|T OW0 NG N OW0
통미봉남|T OW0 NG M IY B OW0 NG N AE M
통발|T OW0 NG B AE L
통사리|T OW0 NG S AE R IY
통산|T OW0 NG S AE N
통상|T OW0 NG S AE NG
통솔자|T OW0 NG S OW0 L IY T AE
통시적|T OW0 NG SH IY D AH K
통신|T OW0 NG SH IY N
통신원|T OW0 NG SH IY N W AH N
통역|T OW0 NG Y AH K
통역사|T OW0 NG Y AH K S AE
통역자|T OW0 NG Y AH K T AE
통일|T OW0 NG IY L
통장|T OW0 NG D AE NG
통제|T OW0 NG D EH0
통조림|T OW0 NG D OW0 R IY M
통증|T OW0 NG T UW0 NG
통지|T OW0 NG D IY
통지하다|T OW0 NG D IY AE D AE
통찰력|T OW0 NG T AE L IY L IY AH K
통치|T OW0 NG T IY
통치자|T OW0 NG T IY D AE
통치하다|T OW0 NG T IY AE D AE
통칭|T OW0 NG T IY NG
통풍|T OW0 NG P UW NG
통하다|T OW0 NG AE D AE
통합|T OW0 NG AE P
통화|T OW0 NG V W AE
퇴각|T W EH0 G AE K
퇴각하다|T W EH0 G AE K AE D AE
퇴근|T W EH0 G UW0 N
퇴근하다|T W EH0 G UW0 N AE D AE
퇴끼|T W EH0 K IY
퇴비|T W EH0 B IY
퇴위|T W EH0 IY
퇴직금|T W EH0 D IY K K UW0 M
퇴진|T W EH0 D IY N
퇴폐|T W EH0 P Y EH0
퇴학|T W EH0 AE K
툐상|T Y OW0 S AE NG
투|T UW
투구|T UW G UW
투구게|T UW G UW G EH0
투구꽃|T UW G UW K OW0 T
투기|T UW G IY
투기꾼|T UW G IY K UW N
투끼|T UW K IY
투르|T UW R UW0
투르크메니스탄|T UW R UW0 K HH UW0 M EH0 N IY S UW0 T AE N
투르크멘어|T UW R UW0 K HH UW0 M EH0 N AH
투명|T UW M Y AH NG
투명하다|T UW M Y AH NG AE D AE
투발루|T UW B AE L L UW
투병|T UW B Y AH NG
투사지|T UW S AE D IY
투서|T UW S AH
투수|T UW S UW
투숙|T UW S UW K
투숙하다|T UW S UW K AE D AE
투아례|T UW AE R Y EH0
투어|T UW AH
투영기|T UW Y AH NG G IY
투옥|T UW OW0 K
투자|T UW D AE
투자되다|T UW D AE D W EH0 D AE
투자자|T UW D AE D AE
투자하다|T UW D AE AE D AE
투척|T UW T AH K
투탕카멘|T UW T AE NG K AE M EH0 N
투포환|T UW P OW0 V W AE N
투표|T UW P Y OW0
투표용지|T UW P Y OW0 Y OW0 NG D IY
투표율|T UW P Y OW0 Y UW L
투표자|T UW P Y OW0 D AE
투표하다|T UW P Y OW0 AE D AE
투표함|T UW P Y OW0 AE M
투항|T UW AE NG
투항하다|T UW AE NG AE D AE
툭툭이|T UW K T UW G IY
툰드라|T UW N D UW0 R AE
툴|T UW L
툴륨|T UW L IY L IY UW M
퉁|T UW NG
퉁명스럽다|T UW NG M Y AH NG S UW0 R AH P T AE
튀각|T IY G AE K
튀기다|T IY G IY D AE
튀김|T IY G IY M
튀니스|T IY N IY S UW0
튀니지|T IY N IY D IY
튀다|T IY D AE
튀르크|T IY R UW0 K HH UW0
튕기다|T IY NG G IY D AE
튤립|T Y UW L IY L IY IY P
트다|T UW0 D AE
트란스니스트리아|T UW0 R AE N S UW0 N IY S UW0 T UW0 R IY AE
트러스트|T UW0 R AH S UW0 T UW0
트럭|T UW0 R AH K
트럼펫|T UW0 R AH M P EH0 T
트럼프|T UW0 R AH M P UW0
트렁크|T UW0 R AH NG K HH UW0
트레이너|T UW0 R EH0 IY N AH
트레이닝|T UW0 R EH0 IY N IY NG
트력제|T UW0 R Y AH K T EH0
트로이카|T UW0 R OW0 IY K AE
트로트|T UW0 R OW0 T UW0
트로피|T UW0 R OW0 P IY
트로필륨|T UW0 R OW0 P IY L IY L IY UW M
트롤|T UW0 R OW0 L
트롤리|T UW0 R OW0 L IY L IY IY
트롤리버스|T UW0 R OW0 L IY L IY IY B AH S UW0
트롱프뢰유|T UW0 R OW0 NG P UW0 R W EH0 Y UW
트리니다드|T UW0 R IY N IY D AE D UW0
트리케라톱스|T UW0 R IY K EH0 R AE T OW0 P S UW0
트리폴리|T UW0 R IY P OW0 L IY L IY IY
트림|T UW0 R IY M
트림하다|T UW0 R IY M AE D AE
트빌리시|T UW0 B IY L IY L IY IY SH IY
트위터|T UW0 IY T AH
트이다|T UW0 IY D AE
트젠|T UW0 D EH0 N
트페미|T UW0 P EH0 M IY
특|T UW0 K
특권|T UW0 K K W AH N
특급시|T UW0 K K UW0 P SH IY
특기|T UW0 K K IY
특례|T UW0 NG N IY0 EH0
특별|T UW0 K P Y AH L
특별시|T UW0 K P Y AH L SH IY
특별하다|T UW0 K P Y AH R AE D AE
특별히|T UW0 K P Y AH R IY IY
특보|T UW0 K P OW0
특사|T UW0 K S AE
특산물|T UW0 K S AE N M UW L
특성|T UW0 K S AH NG
특수|T UW0 K S UW
특수하다|T UW0 K S UW AE D AE
특유|T UW0 G Y UW
특이하다|T UW0 G IY AE D AE
특정|T UW0 K T AH NG
특정하다|T UW0 K T AH NG AE D AE
특질|T UW0 K T IY L
특징|T UW0 K T IY NG
특파원|T UW0 K P AE W AH N
튼튼하다|T UW0 N T UW0 N AE D AE
튼튼히|T UW0 N T UW0 N IY IY
튽|T UW0 N
틀|T UW0 L
틀다|T UW0 L D AE
틀딱충|T UW0 L T AE K T UW NG
틀리다|T UW0 L IY L IY IY D AE
틀림없다|T UW0 L IY L IY IY M AH P T AE
틀림없이|T UW0 L IY L IY IY M AH P SH IY
틈|T UW0 M
티끌|T IY K UW0 L
티라나|T IY R AE N AE
티라노사우루스|T IY R AE N OW0 S AE UW R UW S UW0
티베리우스|T IY B EH0 R IY UW S UW0
티베트|T IY B EH0 T UW0
티베트어|T IY B EH0 T UW0 AH
티브이|T IY B UW0 IY
티비|T IY B IY
티셔츠|T IY SH AH T UW0
티슈|T IY SH UW
티아졸|T IY AE D OW0 L
티아진|T IY AE D IY N
티오펜|T IY OW0 P EH0 N
티읕|T IY UW0 T
티켓|T IY K EH0 T
티탄|T IY T AE N
틴에이저|T IY N EH0 IY D AH
팀|T IY M
팀부|T IY M B UW
팀원|T IY M W AH N
팁|T IY P
팅팅|T IY NG T IY NG
파|P AE
파견|P AE G Y AH N
파고다|P AE G OW0 D AE
파괴|P AE G W EH0
파괴되다|P AE G W EH0 D W EH0 D AE
파괴하다|P AE G W EH0 AE D AE
파기|P AE G IY
파나마|P AE N AE M AE
파다|P AE D AE
파단|P AE D AE N
파도|P AE D OW0
파동|P AE D OW0 NG
파동함수|P AE D OW0 NG AE M S UW
파두츠|P AE D UW T UW0
파드닥|P AE D UW0 D AE K
파라과이|P AE R AE G W AE IY
파라다이스|P AE R AE D AE IY S UW0
파라마리보|P AE R AE M AE R IY B OW0
파라솔|P AE R AE S OW0 L
파라오|P AE R AE OW0
파랑|P AE R AE NG
파랑어치|P AE R AE NG AH T IY
파랗다|P AE R AE T AE
파렴치|P AE R Y AH M T IY
파렴치하다|P AE R Y AH M T IY AE D AE
파리|P AE R IY
파리하다|P AE R IY AE D AE
파마|P AE M AE
파문|P AE M UW N
파벌|P AE B AH L
파본|P AE B OW0 N
파사삭|P AE S AE S AE K
파삭|P AE S AE K
파삭파삭|P AE S AE K P AE S AE K
파산|P AE S AE N
파산하다|P AE S AE N AE D AE
파슈토어|P AE SH UW T OW0 AH
파스닙|P AE S UW0 N IY P
파스타|P AE S UW0 T AE
파스텔|P AE S UW0 T EH0 L
파슬리|P AE S UW0 L IY L IY IY
파슬파슬|P AE S UW0 L P AE S UW0 L
파시스트|P AE SH IY S UW0 T UW0
파시즘|P AE SH IY D UW0 M
파쑈적|P AE SH OW0 D AH K
파악하다|P AE AE K AE D AE
파업|P AE AH P
파운데이션|P AE UW N D EH0 IY SH AH N
파운드|P AE UW N D UW0
파이|P AE IY
파이다|P AE IY D AE
파이즈리|P AE IY D UW0 R IY
파이팅|P AE IY T IY NG
파이프|P AE IY P UW0
파이프라인|P AE IY P UW0 R AE IY N
파이프오르간|P AE IY P UW0 OW0 R UW0 G AE N
파인더|P AE IY N D AH
파일|P AE IY L
파일럿|P AE IY L L AH T
파자마|P AE D AE M AE
파장|P AE D AE NG
파전|P AE D AH N
파출소|P AE T UW L S OW0
파충|P AE T UW NG
파충류|P AE T UW NG N IY0 UW
파친코|P AE T IY N K OW0
파탄|P AE T AE N
파토|P AE T OW0
파트너|P AE T UW0 N AH
파트타임|P AE T UW0 T AE IY M
파티|P AE T IY
파파라치|P AE P AE R AE T IY
파파야|P AE P AE Y AE
파피루스|P AE P IY R UW S UW0
파하다|P AE AE D AE
판|P AE N
판결|P AE N G Y AH L
판공실|P AE N G OW0 NG SH IY L
판관기|P AE N G W AE N G IY
판권|P AE N K W AH N
판다|P AE N D AE
판단|P AE N D AE N
판단하다|P AE N D AE N AE D AE
판도|P AE N D OW0
판도라|P AE N D OW0 R AE
판문점|P AE N M UW N IY0 D AH M
판소리|P AE N S OW0 R IY
판자|P AE N IY0 D AE
판정|P AE N IY0 D AH NG
판지|P AE N IY0 D IY
판타지|P AE N T AE D IY
판판하다|P AE N P AE N AE D AE
팔|P AE L
팔각|P AE L G AE K
팔걸이|P AE L G AH R IY
팔극권|P AE L G UW0 K K W AH N
팔꿈치|P AE L K UW M T IY
팔다|P AE L D AE
팔다리|P AE L D AE R IY
팔도|P AE L T OW0
팔딱|P AE L T AE K
팔뚝|P AE L T UW K
팔라듐|P AE L L AE D Y UW M
팔라우|P AE L L AE UW
팔랑귀|P AE L L AE NG G IY
팔레스타인|P AE L L EH0 S UW0 T AE IY N
팔리다|P AE L IY L IY IY D AE
팔목|P AE L M OW0 K
팔미트산|P AE L M IY T UW0 S AE N
팔방미인|P AE L B AE NG M IY IY N
팔십|P AE L SH IY P
팔월|P AE R W AH L
팔자|P AE L IY T AE
팔촌|P AE L IY T OW0 N
팔팔하다|P AE L P AE R AE D AE
팜유|P AE M Y UW
팜쥐|P AE M D IY
팝송|P AE P S OW0 NG
팝콘|P AE P K OW0 N
팟타이|P AE T T AE IY
팡구|P AE NG G UW
팡이|P AE NG IY
팡이무리|P AE NG IY M UW R IY
팡주|P AE NG D UW
팥|P AE T
팥꽃나무|P AE T K OW0 N N AE M UW
팥밥|P AE T P AE P
팥빙수|P AE T P IY NG S UW
패|P EH
패권|P EH K W AH N
패습|P EH S UW0 P
패자|P EH D AE
패전|P EH D AH N
패전하다|P EH D AH N AE D AE
퍅|P Y AE K
퍼드덕|P AH D UW0 D AH K
퍼브|P AH B UW0
퍼서석|P AH S AH S AH K
퍼석|P AH S AH K
퍼석퍼석|P AH S AH K P AH S AH K
퍼센트|P AH S EH0 N T UW0
퍼슬퍼슬|P AH S UW0 L P AH S UW0 L
퍼즐|P AH D UW0 L
펄떡|P AH L T AH K
펄럭펄럭|P AH L L AH K P AH L L AH K
펄서|P AH L S AH
펌프|P AH M P UW0
펑|P AH NG
펑크|P AH NG K HH UW0
페나진|P EH0 N AE D IY N
페난트렌|P EH0 N AE N T UW0 R EH0 N
페난트리딘|P EH0 N AE N T UW0 R IY D IY N
페놀|P EH0 N OW0 L
페니|P EH0 N IY
페닐기|P EH0 N IY L G IY
페달|P EH0 D AE L
페더럴웨이|P EH0 D AH R AH R W EH0 IY
페럿|P EH0 R AH T
페레스트로이카|P EH0 R EH0 S UW0 T UW0 R OW0 IY K AE
페루|P EH0 R UW
페르뮴|P EH0 R UW0 M Y UW M
페르샤어|P EH0 R UW0 SH AE AH
페르세포네|P EH0 R UW0 S EH0 P OW0 N EH0
페르시아|P EH0 R UW0 SH IY AE
페르시아어|P EH0 R UW0 SH IY AE AH
페미니스트|P EH0 M IY N IY S UW0 T UW0
페미니즘|P EH0 M IY N IY D UW0 M
페샤와르|P EH0 SH AE W AE R UW0
페스트|P EH0 S UW0 T UW0
페이지|P EH0 IY D IY
페인트|P EH0 IY N T UW0
페지|P EH0 D IY
페치카|P EH0 T IY K AE
페투치네|P EH0 T UW T IY N EH0
페티시즘|P EH0 T IY SH IY D UW0 M
펜|P EH0 N
펜션|P EH0 N SH AH N
펜실베니아|P EH0 N SH IY L B EH0 N IY AE
펜실베이니아|P EH0 N SH IY L B EH0 IY N IY AE
펜싱|P EH0 N SH IY NG
펜치|P EH0 N IY0 T IY
펜테인|P EH0 N T EH0 IY N
펜팔|P EH0 N P AE L
펠라티오|P EH0 L L AE T IY OW0
펠리컨|P EH0 L IY L IY IY K AH N
펠메니|P EH0 L M EH0 N IY
펩타이드|P EH0 P T AE IY D UW0
펩티드|P EH0 P T IY D UW0
펭귄|P EH0 NG G IY N
펴다|P Y AH D AE
편|P Y AH N
편가르기|P Y AH N G AE R UW0 G IY
편견|P Y AH N G Y AH N
편경|P Y AH N G Y AH NG
편도|P Y AH N D OW0
편도선|P Y AH N D OW0 S AH N
편람|P Y AH L L AE M
편리|P Y AH L IY L IY IY
편리하다|P Y AH L IY L IY IY AE D AE
편린|P Y AH L IY L IY IY N
편모|P Y AH N M OW0
편복|P Y AH N B OW0 K
편성|P Y AH N S AH NG
편안하다|P Y AH N AE N AE D AE
편암|P Y AH N AE M
편육|P Y AH N IY0 UW K
편의|P Y AH N IY
편의점|P Y AH N IY D AH M
편자|P Y AH N IY0 D AE
편작|P Y AH N IY0 D AE K
편종|P Y AH N IY0 D OW0 NG
편중|P Y AH N IY0 D UW NG
편집|P Y AH N IY0 D IY P
편집기|P Y AH N IY0 D IY P K IY
편집인|P Y AH N IY0 D IY B IY N
편집자|P Y AH N IY0 D IY P T AE
편집장|P Y AH N IY0 D IY P T AE NG
편집하다|P Y AH N IY0 D IY P AE D AE
편찮다|P Y AH N IY0 T AE N T AE
편찮으시다|P Y AH N IY0 T AE N UW0 SH IY D AE
편취|P Y AH N IY0 T IY
편하다|P Y AH N AE D AE
편히|P Y AH N IY IY
펼쳐지다|P Y AH L IY T AH D IY D AE
펼치다|P Y AH L IY T IY D AE
폄|P Y AH M
평결|P Y AH NG G Y AH L
평균|P Y AH NG G Y UW N
평등|P Y AH NG D UW0 NG
평면|P Y AH NG M Y AH N
평민|P Y AH NG M IY N
평범|P Y AH NG B AH M
평범하다|P Y AH NG B AH M AE D AE
평상|P Y AH NG S AE NG
평성|P Y AH NG S AH NG
평소|P Y AH NG S OW0
평수|P Y AH NG S UW
평안남도|P Y AH NG AE N N AE M D OW0
평안도|P Y AH NG AE N D OW0
평안북도|P Y AH NG AE N B UW K T OW0
평야|P Y AH NG Y AE
평양|P Y AH NG Y AE NG
평온|P Y AH NG OW0 N
평원|P Y AH NG W AH N
평일|P Y AH NG IY L
평정|P Y AH NG D AH NG
평정하다|P Y AH NG D AH NG AE D AE
평지|P Y AH NG D IY
평창|P Y AH NG T AE NG
평형|P Y AH NG IY AH NG
평화|P Y AH NG V W AE
평화롭다|P Y AH NG V W AE R OW0 P T AE
폐|P Y EH0
폐경|P Y EH0 G Y AH NG
폐급|P Y EH0 K UW0 P
폐기종|P Y EH0 G IY D OW0 NG
폐단|P Y EH0 D AE N
폐렴|P Y EH0 R Y AH M
폐막식|P Y EH0 M AE K SH IY K
폐어|P Y EH0 AH
폐지|P Y EH0 D IY
폐지되다|P Y EH0 D IY D W EH0 D AE
폐포|P Y EH0 P OW0
폐품|P Y EH0 P UW M
폐하|P Y EH0 AE
폐허|P Y EH0 AH
폐회식|P Y EH0 V W EH0 SH IY K
포|P OW0
포가|P OW0 G AE
포경|P OW0 G Y AH NG
포경수술|P OW0 G Y AH NG S UW S UW L
포고|P OW0 G OW0
포그롬|P OW0 G UW0 R OW0 M
포근하다|P OW0 G UW0 N AE D AE
포기|P OW0 G IY
포기하다|P OW0 G IY AE D AE
포도|P OW0 D OW0
포도당|P OW0 D OW0 D AE NG
포도아|P OW0 D OW0 AE
포도주|P OW0 D OW0 D UW
포도탄|P OW0 D OW0 T AE N
포드고리차|P OW0 D UW0 G OW0 R IY T AE
포럼|P OW0 R AH M
포로|P OW0 R OW0
포르토노보|P OW0 R UW0 T OW0 N OW0 B OW0
포르투갈|P OW0 R UW0 T UW G AE L
포르투갈어|P OW0 R UW0 T UW G AE R AH
포르피린|P OW0 R UW0 P IY R IY N
포르핀|P OW0 R UW0 P IY N
포름알데히드|P OW0 R UW0 M AE L D EH0 IY IY D UW0
포리|P OW0 R IY
포리지|P OW0 R IY D IY
포물선|P OW0 M UW L S AH N
포부|P OW0 B UW
포사삭|P OW0 S AE S AE K
포사삭포사삭|P OW0 S AE S AE K P OW0 S AE S AE K
포삭|P OW0 S AE K
포삭포삭|P OW0 S AE K P OW0 S AE K
포상|P OW0 S AE NG
포상금|P OW0 S AE NG G UW0 M
포세이돈|P OW0 S EH0 IY D OW0 N
포수|P OW0 S UW
포스터|P OW0 S UW0 T AH
포슬포슬|P OW0 S UW0 L P OW0 S UW0 L
포악|P OW0 AE K
포옹|P OW0 OW0 NG
포옹하다|P OW0 OW0 NG AE D AE
포위|P OW0 IY
포유류|P OW0 Y UW R Y UW
포인트|P OW0 IY N T UW0
포자|P OW0 D AE
포장|P OW0 D AE NG
포장마차|P OW0 D AE NG M AE T AE
포장지|P OW0 D AE NG D IY
포즈|P OW0 D UW0
포차|P OW0 T AE
포치|P OW0 T IY
포커|P OW0 K AH
포켓|P OW0 K EH0 T
포켓몬|P OW0 K EH0 N M OW0 N
포켓몬스터|P OW0 K EH0 N M OW0 N S UW0 T AH
포크|P OW0 K HH UW0
포탈|P OW0 T AE L
포털|P OW0 T AH L
포트|P OW0 T UW0
포트루이스|P OW0 T UW0 R UW IY S UW0
포트모르즈비|P OW0 T UW0 M OW0 R UW0 D UW0 B IY
포트오브스페인|P OW0 T UW0 OW0 B UW0 S UW0 P EH0 IY N
포플러|P OW0 P UW0 L L AH
포피|P OW0 P IY
포함|P OW0 AE M
포함되다|P OW0 AE M D W EH0 D AE
포함하다|P OW0 AE M AE D AE
포화|P OW0 V W AE
포화지방|P OW0 V W AE D IY B AE NG
포환던지기|P OW0 V W AE N D AH N IY0 D IY G IY
포획하다|P OW0 V W EH0 K AE D AE
포희미아|P OW0 IY IY M IY AE
폭|P OW0 K
폭격기|P OW0 K K Y AH K K IY
폭군|P OW0 K K UW N
폭넓다|P OW0 NG N AH L T AE
폭도|P OW0 K T OW0
폭동|P OW0 K T OW0 NG
폭력|P OW0 NG N IY0 AH K
폭력단|P OW0 NG N IY0 AH K T AE N
폭발|P OW0 K P AE L
폭발물|P OW0 K P AE L M UW L
폭발하다|P OW0 K P AE R AE D AE
폭소|P OW0 K S OW0
폭염|P OW0 G Y AH M
폭우|P OW0 G UW
폭정|P OW0 K T AH NG
폭주|P OW0 K T UW
폭탄|P OW0 K T AE N
폭탄주|P OW0 K T AE N IY0 D UW
폭파|P OW0 K P AE
폭포|P OW0 K P OW0
폭풍|P OW0 K P UW NG
폭풍우|P OW0 K P UW NG UW
폰|P OW0 N
폴더|P OW0 L D AH
폴란드|P OW0 L L AE N D UW0
폴란드어|P OW0 L L AE N D UW0 AH
폴란드인|P OW0 L L AE N D UW0 IY N
폴로|P OW0 L L OW0
폴로늄|P OW0 L L OW0 N IY0 UW M
폴리네시아|P OW0 L IY L IY IY N EH0 SH IY AE
폴리머|P OW0 L IY L IY IY M AH
폴리프로필렌|P OW0 L IY L IY IY P UW0 R OW0 P IY L L EH0 N
퐁당퐁당|P OW0 NG D AE NG P OW0 NG D AE NG
퐁뒤|P OW0 NG D IY
표|P Y OW0
표고|P Y OW0 G OW0
표고버섯|P Y OW0 G OW0 B AH S AH T
표기하다|P Y OW0 G IY AE D AE
표면|P Y OW0 M Y AH N
표면장력|P Y OW0 M Y AH N IY0 D AE NG N IY0 AH K
표믕롬|P Y OW0 M UW0 NG N OW0 M
표본|P Y OW0 B OW0 N
표식|P Y OW0 SH IY K
표어|P Y OW0 AH
표어문자|P Y OW0 AH M UW N IY0 D AE
표적|P Y OW0 D AH K
표절|P Y OW0 D AH L
표정|P Y OW0 D AH NG
표제|P Y OW0 D EH0
표제어|P Y OW0 D EH0 AH
표준|P Y OW0 D UW N
표준어|P Y OW0 D UW N AH
표준화|P Y OW0 D UW N V W AE
표지|P Y OW0 D IY
표지판|P Y OW0 D IY P AE N
표하다|P Y OW0 AE D AE
표현|P Y OW0 IY AH N
표현되다|P Y OW0 IY AH N D W EH0 D AE
표현하다|P Y OW0 IY AH N AE D AE
표현형|P Y OW0 IY AH N IY AH NG
푸껫|P UW K EH0 T
푸나무|P UW N AE M UW
푸나푸티|P UW N AE P UW T IY
푸다|P UW D AE
푸들|P UW D UW0 L
푸라면|P UW R AE M Y AH N
푸르다|P UW R UW0 D AE
푸르디푸르다|P UW R UW0 D IY P UW R UW0 D AE
푸르스름하다|P UW R UW0 S UW0 R UW0 M AE D AE
푸서석|P UW S AH S AH K
푸서석푸서석|P UW S AH S AH K P UW S AH S AH K
푸석|P UW S AH K
푸석푸석|P UW S AH K P UW S AH K
푸성귀|P UW S AH NG G IY
푸슬푸슬|P UW S UW0 L P UW S UW0 L
푸실리|P UW SH IY L IY L IY IY
푸젠|P UW D EH0 N
푸주한|P UW D UW AE N
푸짐하다|P UW D IY M AE D AE
푸코|P UW K OW0
푸틴|P UW T IY N
푹|P UW K
푼|P UW N
풀|P UW L
풀그림|P UW L G UW0 R IY M
풀네임|P UW L L EH0 IY M
풀다|P UW L D AE
풀리다|P UW L IY L IY IY D AE
풀망둑|P UW L M AE NG D UW K
풀명자|P UW L M Y AH NG D AE
풀무|P UW L M UW
풀발|P UW L B AE L
풀밭|P UW L B AE T
풀버전|P UW L B AH D AH N
풀어지다|P UW R AH D IY D AE
풀오버|P UW R OW0 B AH
풀이|P UW R IY
풀이하다|P UW R IY AE D AE
풀잎|P UW L IY L IY IY P
풀파워|P UW L P AE W AH
품|P UW M
품갚음하다|P UW M G AE P UW0 M AE D AE
품격|P UW M K Y AH K
품다|P UW M T AE
품목|P UW M M OW0 K
품사|P UW M S AE
품삯|P UW M S AE K
품절|P UW M D AH L
품질|P UW M D IY L
풋볼|P UW T P OW0 L
풋옵션|P UW D OW0 P SH AH N
풋풋하다|P UW T P UW T AE D AE
풍|P UW NG
풍경|P UW NG G Y AH NG
풍금|P UW NG G UW0 M
풍금조|P UW NG G UW0 M D OW0
풍기다|P UW NG G IY D AE
풍덩풍덩|P UW NG D AH NG P UW NG D AH NG
풍뎅이|P UW NG D EH0 NG IY
풍력단지|P UW NG N IY0 AH K T AE N IY0 D IY
풍령|P UW NG N IY0 AH NG
풍문|P UW NG M UW N
풍물놀이|P UW NG M UW L L OW0 R IY
풍미|P UW NG M IY
풍부|P UW NG B UW
풍부하다|P UW NG B UW AE D AE
풍비박산|P UW NG B IY B AE K S AE N
풍선|P UW NG S AH N
풍설|P UW NG S AH L
풍속|P UW NG S OW0 K
풍수|P UW NG S UW
풍습|P UW NG S UW0 P
풍요|P UW NG Y OW0
풍자|P UW NG D AE
풍자문|P UW NG D AE M UW N
풍화|P UW NG V W AE
퓨라잔|P Y UW R AE D AE N
퓨란|P Y UW R AE N
퓨린|P Y UW R IY N
퓨마|P Y UW M AE
프놈펜|P UW0 N OW0 M P EH0 N
프디|P UW0 D IY
프라세오디뮴|P UW0 R AE S EH0 OW0 D IY M Y UW M
프라이아|P UW0 R AE IY AE
프라하|P UW0 R AE AE
프락치|P UW0 R AE K T IY
프란치스코|P UW0 R AE N IY0 T IY S UW0 K OW0
프랑|P UW0 R AE NG
프랑슘|P UW0 R AE NG SH UW M
프랑스|P UW0 R AE NG S UW0
프랑스빵|P UW0 R AE NG S UW0 P AE NG
프랑스어|P UW0 R AE NG S UW0 AH
프랑스인|P UW0 R AE NG S UW0 IY N
프러포즈|P UW0 R AH P OW0 D UW0
프런트|P UW0 R AH N T UW0
프레더릭턴|P UW0 R EH0 D AH R IY K T AH N
프레젠테이션|P UW0 R EH0 D EH0 N T EH0 IY SH AH N
프로|P UW0 R OW0
프로그람|P UW0 R OW0 G UW0 R AE M
프로듀서|P UW0 R OW0 D Y UW S AH
프로메튬|P UW0 R OW0 M EH0 T Y UW M
프로모션|P UW0 R OW0 M OW0 SH AH N
프로세서|P UW0 R OW0 S EH0 S AH
프로세스|P UW0 R OW0 S EH0 S UW0
프로이센|P UW0 R OW0 IY S EH0 N
프로젝터|P UW0 R OW0 D EH0 K T AH
프로젝트|P UW0 R OW0 D EH0 K T UW0
프로토콜|P UW0 R OW0 T OW0 K OW0 L
프로트악티늄|P UW0 R OW0 T UW0 AE K T IY N IY0 UW M
프로파길|P UW0 R OW0 P AE G IY L
프로판|P UW0 R OW0 P AE N
프로페인|P UW0 R OW0 P EH0 IY N
프로펠러|P UW0 R OW0 P EH0 L L AH
프로필렌|P UW0 R OW0 P IY L L EH0 N
프롤레타리아|P UW0 R OW0 L L EH0 T AE R IY AE
프롯|P UW0 R OW0 T
프리드리히|P UW0 R IY D UW0 R IY IY IY
프리슈티나|P UW0 R IY SH UW T IY N AE
프리즘|P UW0 R IY D UW0 M
프리지어|P UW0 R IY D IY AH
프리타운|P UW0 R IY T AE UW N
프리토리아|P UW0 R IY T OW0 R IY AE
프린스턴|P UW0 R IY N S UW0 T AH N
프린터|P UW0 R IY N T AH
프사|P UW0 S AE
프탈라진|P UW0 T AE L L AE D IY N
프탈레인|P UW0 T AE L L EH0 IY N
프테리딘|P UW0 T EH0 R IY D IY N
프테린|P UW0 T EH0 R IY N
플라스마|P UW0 L L AE S UW0 M AE
플라스크|P UW0 L L AE S UW0 K HH UW0
플라스틱|P UW0 L L AE S UW0 T IY K
플라이어|P UW0 L L AE IY AH
플러그|P UW0 L L AH G UW0
플러그인|P UW0 L L AH G UW0 IY N
플러스|P UW0 L L AH S UW0
플레로븀|P UW0 L L EH0 R OW0 B Y UW M
플레이어|P UW0 L L EH0 IY AH
플로리다|P UW0 L L OW0 R IY D AE
플루오렌|P UW0 L L UW OW0 R EH0 N
플루오르|P UW0 L L UW OW0 R UW0
플루오린|P UW0 L L UW OW0 R IY N
플루토늄|P UW0 L L UW T OW0 N IY0 UW M
플루트|P UW0 L L UW T UW0
플립플롭|P UW0 L IY L IY IY P P UW0 L L OW0 P
피|P IY
피고|P IY G OW0
피고석|P IY G OW0 S AH K
피곤|P IY G OW0 N
피곤하다|P IY G OW0 N AE D AE
피구|P IY G UW
피난|P IY N AE N
피난처|P IY N AE N IY0 T AH
피넨|P IY N EH0 N
피눈물|P IY N UW N M UW L
피다|P IY D AE
피동사|P IY D OW0 NG S AE
피라냐|P IY R AE N IY0 AE
