'ayé|'ajé
ládúru|ládúru
láfihàn|láfihàn
láfún|láfún
láfẹ́nwá|láfɛ́nwá
lágara|láɡara
lágara’|láɡara’
lágbedeméjì|láɡ͡bedeméd͡ʒì
lágbo|láɡ͡bo
lágbájá|láɡ͡bád͡ʒá
lágbára|láɡ͡bára
lájídé|lád͡ʒídé
lákoko|lákoko
lákokò|lákokò
lákòókò|lákòókò
lákòótan|lákòótan
lákọ̀ọ́kọ́|lákɔ̀ɔ́kɔ́
lálejò|láled͡ʒò
lálàá|lálàá
lálàáfíà|lálàáfíà
láláìyẹsẹ̀|láláìjɛsɛ̀
lálẹ́|lálɛ́
lána|lána
lánàá|lánàá
lápapọ̀|lák͡pak͡pɔ̀
lápákan|lák͡pákan
lára|lára
láradà|láradà
láradá|láradá
láre|láre
lárinrin|lárĩrĩ
lárugẹ|láruɡɛ
lárà|lárà
lásán|lásán
lásìkò|lásìkò
látara|látara
láti|láti
látijọ́|látid͡ʒɔ́
látàrí|látàrí
látàárọ̀|látàárɔ̀
látọwọ́|látɔwɔ́
lát’ẹ̀yìn|lát’ɛ̀jìn
láwùjọ|láwùd͡ʒɔ
láya|lája
láyà|lájà
láyè|lájè
láyé|lájé
láyò|lájò
láyọ̀|lájɔ̀
láàmú|láàmú
láàrín|láàrín
láàsí|láàsí
láàyè|láàjè
láàyò|láàjò
láààyè|láààjè
láààyè’|láààjè’
láàárín|láàárín
láàárọ̀|láàárɔ̀
láé|láé
láéláé|láéláé
láéláé’|láéláé’
láé’|láé’
láì|láì
láìbo|láìbo
láìbéèrè|láìbéèrè
láìbìkítà|láìbìkítà
láìbí|láìbí
láìbímọ|láìbímɔ
láìbẹ̀rù|láìbɛ̀rù
láìdúró|láìdúró
láìfi|láìfi
láìfèsì|láìfèsì
láìgba|láìɡ͡ba
láìjìyà|láìd͡ʒìjà
láìjẹ|láìd͡ʒɛ
láìjẹ̀bi|láìd͡ʒɛ̀bi
láìjẹ́|láìd͡ʒɛ́
láìka|láìka
láìká|láìká
láìkù|láìkù
láìlo|láìlo
láìlábàwọ́n|láìlábàwɔ́n
láìlábùkù|láìlábùkù
láìléwu|láìléwu
láìlófin|láìlófĩ
láìlẹ́gàn|láìlɛ́ɡàn
láìlọ́mọ|láìlɔ́mɔ
láìmọ̀|láìmɔ̀
láìmọ́|láìmɔ́
láìní|láìní
láìnídìí|láìnídìí
láìníye|láìníje
láìpẹ́|láìk͡pɛ́
láìpẹ́’|láìk͡pɛ́’
láìri|láìri
láìrí|láìrí
láìròtẹ́lẹ̀|láìròtɛ́lɛ̀
láìrọ|láìrɔ
láìsan|láìsan
láìsí|láìsí
láìsọ|láìsɔ
láìtún|láìtún
láìwádìí|láìwádìí
láìyí|láìjí
láìyẹ|láìjɛ
láìyẹsẹ̀|láìjɛsɛ̀
láìṣe|láìʃe
láìṣiyèméjì|láìʃijèméd͡ʒì
láìṣègbè|láìʃèɡ͡bè
láìṣẹ́ku|láìʃɛ́ku
láídé|láídé
láíláí|láíláí
láńtata|láńtata
láṣepé|láʃek͡pé
láṣẹ|láʃɛ
láṣọ|láʃɔ
lè|lè
lèkélèké|lèkélèké
lèmi|lèmi
lèyàn|lèjàn
lèyí|lèjí
lé|lé
lébi|lébi
léjìká|léd͡ʒìká
lékeléke|lékeléke
lékè|lékè
lélẹ̀|lélɛ̀
léni|léni
lénu|lénu
lénìí|lénìí
lépa|lék͡pa
léraléra|léraléra
lérán|lérán
lérè|lérè
lérí|lérí
lérò|lérò
léso|léso
lésì|lésì
létéńté|létéńté
létí|létí
létòlé|létòlé
létòlétò|létòlétò
léwe|léwe
léwu|léwu
léèrè|léèrè
léṣe|léʃe
lé‘lẹ̀|lé‘lɛ̀
lìgúísììkì|lìɡúísììkì
líle|líle
lílo|lílo
lílu|lílu
lílé|lílé
lílì|lílì
lílò|lílò
lílù|lílù
lílọ|lílɔ
lítíréṣọ|lítíréʃɔ
lítíréṣọ̀|lítíréʃɔ̀
lò|lò
lòdì|lòdì
lòpọ̀|lòk͡pɔ̀
lòun|lòũ
lòòṣà|lòòʃà
ló|ló
lóde|lóde
lódidi|lódidi
lódodo|lódodo
lódò|lódò
lófo|lófo
lógo|lóɡo
lógèdèǹgbé|lóɡèdèǹɡ͡bé
lógún|lóɡún
lóhunkóhun|lóhũkóhũ
lóhùn|lóhùn
lójijì|lód͡ʒid͡ʒì
lójoojúmọ́|lód͡ʒood͡ʒúmɔ́
lóju|lód͡ʒu
lójò|lód͡ʒò
lójú|lód͡ʒú
lójúkan|lód͡ʒúkan
lójúkojú|lód͡ʒúkod͡ʒú
lójúmọ́|lód͡ʒúmɔ́
lójúran|lód͡ʒúran
lójúu|lód͡ʒúu
lóko|lóko
lókè|lókè
lókèèrè|lókèèrè
lókùúta|lókùúta
lólè|lólè
lónìí|lónìí
lónìí’|lónìí’
lópin|lók͡pĩ
lópó|lók͡pó
lóri|lóri
lóru|lóru
lórí|lórí
lóríi|lóríi
lórílẹ̀|lórílɛ̀
lóríta|lóríta
lóríṣìíríṣìí|lóríʃìíríʃìí
lóró|lóró
lórúkọ|lórúkɔ
lósì|lósì
lótun|lótũ
lówelówe|lówelówe
lówurọ̀|lówurɔ̀
lówó|lówó
lówùúrọ̀|lówùúrɔ̀
lówúrọ̀|lówúrɔ̀
lóye|lóje
lóyún|lójún
lóòrèkóòrè|lóòrèkóòrè
lóòrùn|lóòrùn
lóòtítọ́|lóòtítɔ́
lóòótọ́|lóòótɔ́
lóókan|lóókan
lóǹkà|lóǹkà
lóṣù|lóʃù
lù|lù
lùú|lùú
lúgọ|lúɡɔ
lúwẹ̀ẹ́|lúwɛ̀ɛ́
lúúlúú|lúúlúú
lẹ|lɛ
lẹbẹ|lɛbɛ
lẹgbẹ̀rún|lɛɡ͡bɛ̀rún
lẹsẹ̀|lɛsɛ̀
lẹwá|lɛwá
lẹ̀|lɛ̀
lẹ́|lɛ́
lẹ́bi|lɛ́bi
lẹ́bàá|lɛ́bàá
lẹ́báa|lɛ́báa
lẹ́bùn|lɛ́bùn
lẹ́búlẹ́bú|lɛ́búlɛ́bú
lẹ́fun|lɛ́fũ
lẹ́gbe|lɛ́ɡ͡be
lẹ́gbẹ|lɛ́ɡ͡bɛ
lẹ́gbẹ̀|lɛ́ɡ͡bɛ̀
lẹ́gbẹ̀ẹ̀gbẹ́|lɛ́ɡ͡bɛ̀ɛ̀ɡ͡bɛ́
lẹ́gbẹ̀ẹ́|lɛ́ɡ͡bɛ̀ɛ́
lẹ́gbẹ́|lɛ́ɡ͡bɛ́
lẹ́hìn|lɛ́hìn
lẹ́jọ́|lɛ́d͡ʒɔ́
lẹ́kun|lɛ́kũ
lẹ́kùnrẹ́rẹ́|lɛ́kùnrɛ́rɛ́
lẹ́kún|lɛ́kún
lẹ́kọ̀ọ́|lɛ́kɔ̀ɔ́
lẹ́nu|lɛ́nu
lẹ́rìí|lɛ́rìí
lẹ́rù|lɛ́rù
lẹ́rú|lɛ́rú
lẹ́rẹ̀kẹ́|lɛ́rɛ̀kɛ́
lẹ́rọ̀|lɛ́rɔ̀
lẹ́san|lɛ́san
lẹ́sẹ|lɛ́sɛ
lẹ́sẹ̀|lɛ́sɛ̀
lẹ́sẹ̀kan|lɛ́sɛ̀kan
lẹ́sẹ̀kẹsẹ̀|lɛ́sɛ̀kɛsɛ̀
lẹ́sẹẹsẹ|lɛ́sɛɛsɛ
lẹ́sọ̀lẹ́sọ̀|lɛ́sɔ̀lɛ́sɔ̀
lẹ́tà|lɛ́tà
lẹ́tàn|lɛ́tàn
lẹ́tọ̀ọ́|lɛ́tɔ̀ɔ́
lẹ́wà|lɛ́wà
lẹ́yìn|lɛ́jìn
lẹ́yìnmatiu|lɛ́jìnmatiu
lẹ́yọ|lɛ́jɔ
lẹ́ṣẹ̀ẹ́|lɛ́ʃɛ̀ɛ́
lẹ́ẹ̀|lɛ́ɛ̀
lẹ́ẹ̀kan|lɛ́ɛ̀kan
lẹ́ẹ̀kansíi|lɛ́ɛ̀kansíi
lẹ́ẹ̀kejì|lɛ́ɛ̀ked͡ʒì
lẹ́ẹ̀kínní|lɛ́ɛ̀kínní
lẹ́ẹ̀méje|lɛ́ɛ̀méd͡ʒe
lẹ́ẹ̀méjì|lɛ́ɛ̀méd͡ʒì
lẹ́ẹ̀mẹta|lɛ́ɛ̀mɛta
lẹ́ẹ̀mẹ́ta|lɛ́ɛ̀mɛ́ta
lọ|lɔ
lọ'|lɔ'
lọkọ̀|lɔkɔ̀
lọlá|lɔlá
lọmọ|lɔmɔ
lọnítorí|lɔ̃ítorí
lọsí|lɔsí
lọti|lɔti
lọ̀|lɔ̀
lọ̀gá|lɔ̀ɡá
lọ̀nàa|lɔ̀nàa
lọ̀run|lɔ̀rũ
lọ̀rọ̀|lɔ̀rɔ̀
lọ̀sán|lɔ̀sán
lọ́|lɔ́
lọ́di|lɔ́di
lọ́dún|lɔ́dún
lọ́dọ̀|lɔ́dɔ̀
lọ́dọ́|lɔ́dɔ́
lọ́dọọdún|lɔ́dɔɔdún
lọ́fẹ̀ẹ́|lɔ́fɛ̀ɛ́
lọ́gbà|lɔ́ɡ͡bà
lọ́gbẹ́|lɔ́ɡ͡bɛ́
lọ́gbọọgba|lɔ́ɡ͡bɔɔɡ͡ba
lọ́gá|lɔ́ɡá
lọ́gán|lɔ́ɡán
lọ́hùn|lɔ́hùn
lọ́hùnnún|lɔ́hùnnún
lọ́jà|lɔ́d͡ʒà
lọ́jọjọ́|lɔ́d͡ʒɔd͡ʒɔ́
lọ́jọ̀|lɔ́d͡ʒɔ̀
lọ́jọ́|lɔ́d͡ʒɔ́
lọ́jọ́kọ́|lɔ́d͡ʒɔ́kɔ́
lọ́jọ́kọ́jọ́|lɔ́d͡ʒɔ́kɔ́d͡ʒɔ́
lọ́kàn|lɔ́kàn
lọ́kùnrin|lɔ́kùnrĩ
lọ́kọ|lɔ́kɔ
lọ́kọ̀|lɔ́kɔ̀
lọ́kọ̀ọ̀kan|lɔ́kɔ̀ɔ̀kan
lọ́la|lɔ́la
lọ́lá|lɔ́lá
lọ́mú|lɔ́mú
lọ́mọ|lɔ́mɔ
lọ́mọdé|lɔ́mɔdé
lọ́nà|lɔ́nà
lọ́nàkọnà|lɔ́nàkɔ̃à
lọ́pọlọ|lɔ́k͡pɔlɔ
lọ́pọ̀|lɔ́k͡pɔ̀
lọ́pọ̀lọpọ̀|lɔ́k͡pɔ̀lɔk͡pɔ̀
lọ́pọ̀lọ́pọ̀|lɔ́k͡pɔ̀lɔ́k͡pɔ̀
lọ́ra|lɔ́ra
lọ́run|lɔ́rũ
lọ́rùn|lɔ́rùn
lọ́rẹ|lɔ́rɛ
lọ́rọ̀|lɔ́rɔ̀
lọ́sàn|lɔ́sàn
lọ́sè|lɔ́sè
lọ́tun|lɔ́tũ
lọ́tí|lɔ́tí
lọ́tùn|lɔ́tùn
lọ́wọ|lɔ́wɔ
lọ́wọ́|lɔ́wɔ́
lọ́wọ́kí|lɔ́wɔ́kí
lọ́wọ́lọ́wọ́|lɔ́wɔ́lɔ́wɔ́
lọ́wọ́ọ́rọ́|lɔ́wɔ́ɔ́rɔ́
lọ́wọ́’|lɔ́wɔ́’
lọ́ṣẹ̀|lɔ́ʃɛ̀
lọ́ṣọ̀|lɔ́ʃɔ̀
lọ́ṣọ̀ọ́|lɔ́ʃɔ̀ɔ́
lọ́ọ́lọ́ọ́|lɔ́ɔ́lɔ́ɔ́
lọ’|lɔ’
l’|l’
l’orúkọ|l’orúkɔ
l’àgbà|l’àɡ͡bà
l’àrẹ̀mú|l’àrɛ̀mú
l’àwọn|l’àwɔ̃
l’àwọ́n|l’àwɔ́n
l’ágbo|l’áɡ͡bo
l’álejò|l’áled͡ʒò
l’ásìkò|l’ásìkò
l’átòkè|l’átòkè
l’átẹ|l’átɛ
l’áwùjọ|l’áwùd͡ʒɔ
l’áya|l’ája
l’áyé|l’ájé
l’ékò|l’ékò
l’ékòó|l’ékòó
l’éni|l’éni
l’énìí|l’énìí
l’ódèdè|l’ódèdè
l’óhùn|l’óhùn
l’ójú|l’ód͡ʒú
l’óru|l’óru
l’órí|l’órí
l’órílẹ̀|l’órílɛ̀
l’órúkọ|l’órúkɔ
l’ósì|l’ósì
l’óun|l’óũ
l’ówurọ̀|l’ówurɔ̀
l’ówó|l’ówó
l’óye|l’óje
l’ẹranko|l’ɛranko
l’ẹ́nu|l’ɛ́nu
l’ẹ́san|l’ɛ́san
l’ẹ́sẹ̀|l’ɛ́sɛ̀
l’ẹ́yin|l’ɛ́jĩ
l’ẹ́yìn|l’ɛ́jìn
l’ọlọ́run|l’ɔlɔ́rũ
l’ọmọ|l’ɔmɔ
l’ọ́dẹ̀dẹ̀|l’ɔ́dɛ̀dɛ̀
l’ọ́jà|l’ɔ́d͡ʒà
l’ọ́mú|l’ɔ́mú
l’ọ́san|l’ɔ́san
l’ọ́tùún|l’ɔ́tùún
l’ọ́wọ́|l’ɔ́wɔ́
m|m
ma|ma
maai|maai
maaka|maaka
maakati|maakati
maarati|maarati
maaseiah|maaseiah
maati|maati
magadani|maɡadani
magdalene|maɡdalene
magogu|maɡoɡu
magí|maɡí
maha|maha
mahalaleli|mahalaleli
mahalati|mahalati
mahane|mahane
mahila|mahila
mahili|mahili
makedonia|makedonia
makhelotu|makhelotu
makiri|makiri
makkeda|makkeda
makpela|makk͡pela
makọọsi|makɔɔsi
malikiṣua|malikiʃua
malkiah|malkiah
malkieli|malkieli
malluki|malluki
maloni|maloni
mamre|mamre
manaeni|manaeni
manaheti|manaheti
manase|manase
manchester|manchester
manna|manna
manoa|manoa
maoni|maoni
mara|mara
marala|marala
markaboti|markaboti
marku|marku
marta|marta
mary|marj
maskili|maskili
masreka|masreka
massa|massa
mattana|mattana
mattani|mattani
mattaniah|mattaniah
mattata|mattata
mattati|mattati
mattatia|mattatia
mattia|mattia
mattitiah|mattitiah
mecca|mecca
medadi|medadi
medeba|medeba
media|media
mefiboṣeti|mefiboʃeti
megido|meɡido
mehetabeeli|mehetabeeli
mehola|mehola
mehuni|mehũi
mejilelogoji|med͡ʒileloɡod͡ʒi
mela|mela
melatiah|melatiah
melea|melea
meliki|meliki
melkisedeki|melkisedeki
memfisi|memfisi
menahemu|menahemu
menna|menna
meonotai|meonotai
merabu|merabu
meraioti|meraioti
merari|merari
merataimu|merataimu
meraṣa|meraʃa
meremoti|meremoti
meriba|meriba
merodaki|merodaki
meronoti|meronoti
mesopotamia|mesok͡potamia
messia|messia
metusela|metusela
meèrírí|meèrírí
meṣa|meʃa
meṣaki|meʃaki
meṣeki|meʃeki
meṣesabeli|meʃesabeli
meṣullamu|meʃullamu
mi|mi
mibari|mibari
midiani|midiani
migdoli|miɡdoli
migida|miɡida
mika|mika
mikaeli|mikaeli
mikaiah|mikaiah
mikali|mikali
mikmasi|mikmasi
mikmeta|mikmeta
mikàn|mikàn
milalai|milalai
milefi|milefi
miletu|miletu
milka|milka
millo|millo
mina|mĩa
minini|mĩĩi
minti|mĩti
minítorí|mĩítorí
mioni|mioni
mira|mira
miriamu|miriamu
misia|misia
mispa|misk͡pa
misraimu|misraimu
miò|miò
miṣaeli|miʃaeli
miṣali|miʃali
miṣimana|miʃimana
miṣraiti|miʃraiti
mi’|mi’
mi’tí|mi’tí
mo|mo
moabu|moabu
modákẹ́kẹ́|modákɛ́kɛ́
mohammadu|mohammadu
mojí|mod͡ʒí
moleki|moleki
molidi|molidi
monisọ́lá|monisɔ́lá
monífádé|monífádé
mordekai|mordekai
more|more
moróunfólú|moróũfólú
moróunkẹ́|moróũkɛ́
mosa|mosa
mose|mose
mosenítorí|mosenítorí
moserotu|moserotu
motúnráyọ̀|motúnrájɔ̀
moyọ̀|mojɔ̀
mu|mu
muliberi|muliberi
mulẹ̀|mulɛ̀
munasoni|mũasoni
murá|murá
musitadi|musitadi
mutí|mutí
muṣi|muʃi
mu’|mu’
myrri|mjrri
mà|mà
màlú|màlú
màlúù|màlúù
màma|màma
màmá|màmá
màrìwò|màrìwò
màá|màá
màálù|màálù
má|má
máa|máa
májèlé|mád͡ʒèlé
májìyàgbé|mád͡ʒìjàɡ͡bé
májẹ̀mú|mád͡ʒɛ̀mú
márun|márũ
máràrùn|máràrùn
márààrún|márààrún
márùn|márùn
márùndínláàádọ́ta|márùndínláàádɔ́ta
márùndínlógójì|márùndínlóɡód͡ʒì
márùn’|márùn’
márùún|márùún
másítàsì|másítàsì
mátìíkú|mátìíkú
máíkẹ̀lì|máíkɛ̀lì
mèjì|mèd͡ʒì
mèremère|mèremère
mé|mé
méje|méd͡ʒe
méji|méd͡ʒi
méjèèje|méd͡ʒèèd͡ʒe
méjèèjì|méd͡ʒèèd͡ʒì
méjèèjìlá|méd͡ʒèèd͡ʒìlá
méjì|méd͡ʒì
méjìdínláàádọ́ta|méd͡ʒìdínláàádɔ́ta
méjìdínlógún|méd͡ʒìdínlóɡún
méjìdínlọ́gbọ̀n|méd͡ʒìdínlɔ́ɡ͡bɔ̀n
méjìlá|méd͡ʒìlá
méjìléláàádọ́rin|méd͡ʒìléláàádɔ́rĩ
méjìlélógójì|méd͡ʒìlélóɡód͡ʒì
méjìlélógún|méd͡ʒìlélóɡún
méjìlélọ́gọ́ta|méd͡ʒìlélɔ́ɡɔ́ta
méjì̀|méd͡ʒì̀
méjọ|méd͡ʒɔ
mélo|mélo
mélòó|mélòó
mélòómélòó|mélòómélòó
méèrírí|méèrírí
mẹ́rìnlélógóje|mɛ́rìnlélóɡód͡ʒe
mì|mì
mìíràn|mìíràn
mìíràn’|mìíràn’
mí|mí
mímu|mímu
mímì|mímì
mímí|mímí
mímú|mímú
mímúṣẹ|mímúʃɛ
mímọ|mímɔ
mímọ́|mímɔ́
mínísítà|mínísítà
míràn|míràn
mí’|mí’
mí”|mí”
mò|mò
mòjú|mòd͡ʒú
mòlẹ́bí|mòlɛ́bí
mòye|mòje
mó|mó
mójútó|mód͡ʒútó
mókun|mókũ
mórí|mórí
mótò|mótò
mùsùlùmí|mùsùlùmí
mú|mú
múlẹ̀|múlɛ̀
múmi|múmi
múná|múná
múnádóko|múnádóko
múra|múra
músá|músá
músẹ́|músɛ́
múu|múu
m̀bá|m̀bá
mẹlita|mɛlita
mẹ̀kúnnù|mɛ̀kúnnù
mẹ̀sàán|mɛ̀sàán
mẹ́|mɛ́
mẹ́fa|mɛ́fa
mẹ́fà|mɛ́fà
mẹ́fẹ̀ẹ̀fà|mɛ́fɛ̀ɛ̀fà
mẹ́jo|mɛ́d͡ʒo
mẹ́jọ|mɛ́d͡ʒɔ
mẹ́jọmẹ́jọ|mɛ́d͡ʒɔmɛ́d͡ʒɔ
mẹ́kà|mɛ́kà
mẹ́nu|mɛ́nu
mẹ́rin|mɛ́rĩ
mẹ́rìndínláàádọ́ta|mɛ́rìndínláàádɔ́ta
mẹ́rìndínlógún|mɛ́rìndínlóɡún
mẹ́rìnlá|mɛ́rìnlá
mẹ́rìnlélógún|mɛ́rìnlélóɡún
mẹ́rìnlélọ́gọ́rin|mɛ́rìnlélɔ́ɡɔ́rĩ
mẹ́rẹ̀ẹ̀rin|mɛ́rɛ̀ɛ̀rĩ
mẹ́rẹ̀ẹ̀rìnlá|mɛ́rɛ̀ɛ̀rìnlá
mẹ́san|mɛ́san
mẹ́sàn|mɛ́sàn
mẹ́ta|mɛ́ta
mẹ́ta’|mɛ́ta’
mẹ́tàdínlogun|mɛ́tàdínloɡũ
mẹ́tàdínlógún|mɛ́tàdínlóɡún
mẹ́tàlá|mɛ́tàlá
mẹ́tàlélógún|mɛ́tàlélóɡún
mẹ́tàlélọ́gbọ̀n|mɛ́tàlélɔ́ɡ͡bɔ̀n
mẹ́tẹ̀ẹ̀|mɛ́tɛ̀ɛ̀
mẹ́tẹ̀ẹ̀ta|mɛ́tɛ̀ɛ̀ta
mẹ́tẹ̀ẹ̀tàlá|mɛ́tɛ̀ɛ̀tàlá
mẹ́wa|mɛ́wa
mẹ́wàá|mɛ́wàá
mẹ́wàá’|mɛ́wàá’
mẹ́wẹ̀ẹ̀wá|mɛ́wɛ̀ɛ̀wá
mẹ́yìn|mɛ́jìn
mẹ́ẹ̀ẹ́dógún|mɛ́ɛ̀ɛ́dóɡún
mẹ́ẹ̀ẹ́dọ́gbọ̀n|mɛ́ɛ̀ɛ́dɔ́ɡ͡bɔ̀n
mọ|mɔ
mọdi|mɔdi
mọ̀|mɔ̀
mọ̀la|mɔ̀la
mọ̀lẹ́bí|mɔ̀lɛ́bí
mọ̀nà|mɔ̀nà
mọ̀nàmọ́ná|mɔ̀nàmɔ́ná
mọ̀rúfù|mɔ̀rúfù
mọ̀wé|mɔ̀wé
mọ̀ọ́|mɔ̀ɔ́
mọ́|mɔ́
mọ́in|mɔ́ĩ
mọ́jú|mɔ́d͡ʒú
mọ́kàndínlọ́gbọ̀n|mɔ́kàndínlɔ́ɡ͡bɔ̀n
mọ́kàndínlọ́gọ́rùn|mɔ́kàndínlɔ́ɡɔ́rùn
mọ́kànlá|mɔ́kànlá
mọ́lẹ̀|mɔ́lɛ̀
mọ́ni|mɔ́ni
mọ́nú|mɔ́nú
mọ́ra|mɔ́ra
mọ́rí|mɔ́rí
mọ́ríá|mɔ́ríá
mọ́sà|mɔ́sà
mọ́sálásí|mɔ́sálásí
mọ́tò|mɔ́tò
mọ́wọ́|mɔ́wɔ́
mọ́ṣáláṣí|mɔ́ʃáláʃí
mọ́ọ|mɔ́ɔ
mọ́’jú|mɔ́’d͡ʒú
mọ́’kọ̀|mɔ́’kɔ̀
m’ará|m’ará
m’ọ́jú|m’ɔ́d͡ʒú
n|n
n'ikú|n'ikú
na|na
naama|naama
naamani|naamani
naara|naara
naboti|naboti
nadabu|nadabu
nadi|nadi
nafiṣi|nafiʃi
naftali|naftali
nagai|naɡai
nahalali|nahalali
nahalieli|nahalieli
nahamu|nahamu
nahiṣoni|nahiʃoni
nahori|nahori
nahùn|nahùn
naili|naili
naini|naĩi
naomi|naomi
nara|nara
narani|narani
narkissu|narkissu
nasarene|nasarene
nasareti|nasareti
nasiri|nasiri
natanaeli|natanaeli
natani|natani
naumu|naumu
nawọ́|nawɔ́
naà|naà
nea|nea
neapoli|neak͡poli
nebaioti|nebaioti
nebati|nebati
nebo|nebo
nebukadnessari|nebukadnessari
nebusaradani|nebusaradani
nehalami|nehalami
nehemiah|nehemiah
neieli|neieli
nekebu|nekebu
neko|neko
nemueli|nemueli
nereu|nereu
neri|neri
neriah|neriah
nesia|nesia
netaneli|netaneli
netaniah|netaniah
netofa|netofa
ni|ni
nigeri|niɡeri
nigínnigín|niɡínniɡín
nikanoru|nikanoru
nikodemu|nikodemu
nikolasi|nikolasi
nikolatani|nikolatani
nikopoli|nikok͡poli
nikẹhìn|nikɛhìn
nimpa|nimk͡pa
nimra|nimra
nimṣi|nimʃi
ninefe|nĩefe
ninu|nĩu
nira|nira
niàti|niàti
ni’|ni’
njù|nd͡ʒù
nnkan|nnkan
noa|noa
nobu|nobu
nofa|nofa
noha|noha
nu|nu
nuni|nũi
nà|nà
nàgà|nàɡà
nàá|nàá
nàìjíríà|nàìd͡ʒíríà
ná|ná
náwó|náwó
náà|náà
náàpé|náàk͡pé
náà’|náà’
náání|náání
náírà|náírà
nì|nì
nìgbà|nìɡ͡bà
nìgéríà|nìɡéríà
nìgíríà|nìɡíríà
nìjíríà|nìd͡ʒíríà
nìkan|nìkan
nìwọ̀nyí|nìwɔ̀njí
nìyìí|nìjìí
nìyí|nìjí
nìyíwọ́n|nìjíwɔ́n
nìyẹn|nìjɛ̃
nì’|nì’
ní|ní
níbi|níbi
níbikíbi|níbikíbi
níbo|níbo
níbìkan|níbìkan
níbí|níbí
níbẹ̀|níbɛ̀
nídiìi|nídiìi
nídè|nídè
nídìí|nídìí
nífẹ|nífɛ
nífẹ̀ẹ́|nífɛ̀ɛ́
nífẹ́|nífɛ́
nífẹ́ẹ̀|nífɛ́ɛ̀
nígbà|níɡ͡bà
nígbàkígbà|níɡ͡bàkíɡ͡bà
nígbèkùn|níɡ͡bèkùn
nígb̀a|níɡ͡b̀a
nígbẹ̀yìn|níɡ͡bɛ̀jìn
níhà|níhà
níhìn|níhìn
níhòhò|níhòhò
níjanu|níd͡ʒanu
níjánu|níd͡ʒánu
níjọ́|níd͡ʒɔ́
níjọ́sí|níd͡ʒɔ́sí
níkẹ|níkɛ
níkẹyìn|níkɛjìn
níkọ̀kọ̀|níkɔ̀kɔ̀
nílà|nílà
níláárí|níláárí
nílé|nílé
nílò|nílò
nílùú|nílùú
nílú|nílú
nílẹ̀|nílɛ̀
nímù|nímù
nímọ̀ràn|nímɔ̀ràn
nína|nína
nínu|nínu
nínà|nínà
níná|níná
nínípọn|níník͡pɔ̃
nínú|nínú
nínú̀|nínú̀
nípa|ník͡pa
nípasẹ̀|ník͡pasɛ̀
nípá|ník͡pá
nípẹ̀kun|ník͡pɛ̀kũ
nípọn|ník͡pɔ̃
níran|níran
níràn|níràn
nírètí|nírètí
nírín|nírín
nírọ̀lẹ́|nírɔ̀lɛ́
nírọ́|nírɔ́
nísinsin|nísĩsĩ
nísàlẹ̀|nísàlɛ̀
nísìnsinyìí|nísìnsĩjìí
nísìyí|nísìjí
níta|níta
nítori|nítori
nítorí|nítorí
nítòsí|nítòsí
nítòótọ́|nítòótɔ́
níwájú|níwád͡ʒú
níwọ̀|níwɔ̀
níwọ̀n|níwɔ̀n
níwọ́|níwɔ́
níwọ́n|níwɔ́n
níwọ́ntúnwọ́nsì|níwɔ́ntúnwɔ́nsì
níye|níje
níyà|níjà
níyànjú|níjànd͡ʒú
níyàwó|níjàwó
níyì|níjì
níyẹ̀wù|níjɛ̀wù
níṣe|níʃe
níṣàlẹ̀|níʃàlɛ̀
níṣàájú|níʃàád͡ʒú
níṣẹ́|níʃɛ́
ní’|ní’
ní’bi|ní’bi
ní’bẹ̀|ní’bɛ̀
ní’fẹ|ní’fɛ
ní’fẹ̀ẹ́|ní’fɛ̀ɛ́
ní’fẹ̀ẹ́ẹ|ní’fɛ̀ɛ́ɛ
ní’fẹ́|ní’fɛ́
ní’jọ̀ọ́sí|ní’d͡ʒɔ̀ɔ́sí
ní’ka|ní’ka
ní’lu|ní’lu
ní’lé|ní’lé
ní’mú|ní’mú
ní’ta|ní’ta
ní’ṣẹ́|ní’ʃɛ́
ní”|ní”
nù|nù
nù’|nù’
nú|nú
nǹkan|nǹkan
nǹkankan|nǹkankan
nǹkan”|nǹkan”
nọ́mbà|nɔ́mbà
n’íbàdàn|n’íbàdàn
n’íbẹ̀|n’íbɛ̀
n’ífẹ|n’ífɛ
n’ílé|n’ílé
n’ílée|n’ílée
n’íwà|n’íwà
n’íyàwó|n’íjàwó
n’íṣẹ|n’íʃɛ
o|o
oba|oba
obadiah|obadiah
obedi|obedi
obotu|obotu
obì|obì
obìnrin|obìnrĩ
obìrin|obìrĩ
ode|ode
odi|odi
odidi|odidi
odindi|odĩdi
odì|odì
odò|odò
odó|odó
odùújókòó|odùúd͡ʒókòó
odún|odún
ofeli|ofeli
ofira|ofira
ofiri|ofiri
ogbó|oɡ͡bó
oge|oɡe
ogu|oɡu
ogun|oɡũ
ogunkógun|oɡũkóɡũ
ogunlọ́gọ̀|oɡũlɔ́ɡɔ̀
ogóje|oɡód͡ʒe
ogójì|oɡód͡ʒì
ogún|oɡún
ogúnlọ́gọ̀|oɡúnlɔ́ɡɔ̀
oholiabu|oholiabu
oholiba|oholiba
oholibama|oholibama
ohun|ohũ
ohunkóhun|ohũkóhũ
ohùn|ohùn
ojoojúmọ́|od͡ʒood͡ʒúmɔ́
ojì|od͡ʒì
ojíkutú|od͡ʒíkutú
ojú|od͡ʒú
ojúbọ|od͡ʒúbɔ
