ሀ|hə
ያበዱ|jabədu
ያባረ|jabarə
ያባረረ|jabarərə
ያባረሩ|jabarəru
ያባረር|jabarər
ያባርሩ|jabarɨru
ያባርር|jabarɨr
ያባቴ|jabate
ያባክ|jabak
ያብራሩ|jabɨraru
ያብራራ|jabɨrara
ያብቃ|jabɨkʼa
ያብቡ|jabɨbu
ያብጠለጥ|jabɨtʼələtʼ
ያቦኩት|jabokut
ያተመ|jatəmə
ያተረፉ|jatərəfu
ያተኩራል|jatəkural
ያተኩር|jatəkur
ያተኮረ|jatəkorə
ያተኮሩ|jatəkoru
ያተኮር|jatəkor
ያት|jat
ያቸው|jat͡ʃəw
ያቸውን|jat͡ʃəwɨn
ያቺ|jat͡ʃi
ያችሁ|jat͡ʃɨhu
ያችን|jat͡ʃɨn
ያችንን|jat͡ʃɨnɨn
ያነሰ|janəsə
ያነሱት|janəsut
ያነሳ|janəsa
ያነሳሳ|janəsasa
ያነሳቸው|janəsat͡ʃəw
ያነሷቸው|janəsʷat͡ʃəw
ያነበበ|janəbəbə
ያነቡ|janəbu
ያነጋገ|janəɡaɡə
ያነጋገር|janəɡaɡər
ያነጋግሩ|janəɡaɡɨru
ያነጋግራቸው|janəɡaɡɨrat͡ʃəw
ያነጣጠረ|janətʼatʼərə
ያኑ|janu
ያኑን|janun
ያናደዳቸው|janadədat͡ʃəw
ያናጋ|janaɡa
ያኔ|jane
ያን|jan
ያንሱ|janɨsu
ያንስ|janɨs
ያንቀሳቅ|janɨkʼəsakʼ
ያንቀሳቅሱ|janɨkʼəsakʼɨsu
ያንቀሳቅስ|janɨkʼəsakʼɨs
ያንቋሸ|janɨkʼʷaʃə
ያንብቡ|janɨbɨbu
ያንተ|janɨtə
ያንከራተታሉ|janɨkəratətalu
ያንዣበበ|janɨʒabəbə
ያንደኛ|janɨdəɲa
ያንዳንዱ|janɨdanɨdu
ያንዳንዳችን|janɨdanɨdat͡ʃɨn
ያንዳንዷ|janɨdanɨdʷa
ያንድ|janɨd
ያንገ|janɨɡə
ያንገላቱ|janɨɡəlatu
ያንጋ|janɨɡa
ያንጋደደ|janɨɡadədə
ያንጐራጉራል|janɨɡʷeraɡural
ያንጸባ|janɨt͡sʼəba
ያንጸባረቀ|janɨt͡sʼəbarəkʼə
ያንጸባርቁ|janɨt͡sʼəbarɨkʼu
ያኖሩ|janoru
ያኖቹ|janot͡ʃu
ያኖች|janot͡ʃ
ያኛው|jaɲaw
ያእቆብ|jaɨkʼob
ያከማ|jakəma
ያከማቹ|jakəmat͡ʃu
ያከራ|jakəra
ያከብሩ|jakəbɨru
ያከብር|jakəbɨr
ያከናወነ|jakənawənə
ያከናወኑ|jakənawənu
ያከናውኑ|jakənawɨnu
ያከናውኑት|jakənawɨnut
ያከናውን|jakənawɨn
ያካሂ|jakahi
ያካሂዱ|jakahidu
ያካሂድ|jakahid
ያካሄደው|jakahedəw
ያካሄዱ|jakahedu
ያካሄዱት|jakahedut
ያካተተ|jakatətə
ያካት|jakat
ያካትት|jakatɨt
ያኮ|jako
ያኮራ|jakora
ያወ|jawə
ያወሩ|jawəru
ያወራ|jawəra
ያወሳ|jawəsa
ያወሳስበው|jawəsasɨbəw
ያወቀ|jawəkʼə
ያወቅ|jawəkʼ
ያወገዙ|jawəɡəzu
ያወጋ|jawəɡa
ያወግዙ|jawəɡɨzu
ያወጡ|jawətʼu
ያወጡአቸው|jawətʼuət͡ʃəw
ያወጣ|jawətʼa
ያዊ|jawi
ያዊው|jawiw
ያዋ|jawa
ያዋለ|jawalə
ያዋርድ|jawarɨd
ያዋስኑ|jawasɨnu
ያዋስናት|jawasɨnat
ያዋጡ|jawatʼu
ያዋጡት|jawatʼut
ያዋጣ|jawatʼa
ያው|jaw
ያውቀው|jawɨkʼəw
ያውቁ|jawɨkʼu
ያውቁት|jawɨkʼut
ያውቃሉ|jawɨkʼalu
ያውቃቸዋል|jawɨkʼat͡ʃəwal
ያውቃቸው|jawɨkʼat͡ʃəw
ያውቅ|jawɨkʼ
ያውቋቸው|jawɨkʼʷat͡ʃəw
ያውን|jawɨn
ያውያን|jawɨjan
ያዘ|jazə
ያዘች|jazət͡ʃ
ያዘችው|jazət͡ʃɨw
ያዘኑ|jazənu
ያዘኝ|jazəɲ
ያዘወትሩ|jazəwətɨru
ያዘወትራሉ|jazəwətɨralu
ያዘወትራል|jazəwətɨral
ያዘው|jazəw
ያዘዝ|jazəz
ያዘጋጀው|jazəɡad͡ʒəw
ያዘጋጁ|jazəɡad͡ʒu
ያዘጋጁት|jazəɡad͡ʒut
ያዙ|jazu
ያዙበት|jazubət
ያዙት|jazut
ያዛሉ|jazalu
ያዛል|jazal
ያዛት|jazat
ያዛቸው|jazat͡ʃəw
ያዛውሩ|jazawɨru
ያዝ|jaz
ያዝነው|jazɨnəw
ያዝን|jazɨn
ያዝከው|jazɨkəw
ያዞሩ|jazoru
ያዟቸው|jazʷat͡ʃəw
ያዡ|jaʒu
ያዥ|jaʒ
ያየሁት|jajəhut
ያየህ|jajəh
ያየን|jajən
ያዩ|jaju
ያዩበት|jajubət
ያዩት|jajut
ያያ|jaja
ያይዘው|jajɨzəw
ያደ|jadə
ያደላ|jadəla
ያደምጡ|jadəmɨtʼu
ያደረ|jadərə
ያደረሰ|jadərəsə
ያደረሱ|jadərəsu
ያደረስ|jadərəs
ያደረኩ|jadərəku
ያደረገ|jadərəɡə
ያደረገች|jadərəɡət͡ʃ
ያደረገው|jadərəɡəw
ያደረጉ|jadərəɡu
ያደረጉት|jadərəɡut
ያደረጋት|jadərəɡat
ያደረጋቸው|jadərəɡat͡ʃəw
ያደረግ|jadərəɡ
ያደራጀ|jadərad͡ʒə
ያደራጃ|jadərad͡ʒa
ያደራጇ|jadərad͡ʒʷa
ያደር|jadər
ያደርሱ|jadərɨsu
ያደርስ|jadərɨs
ያደርገ|jadərɨɡə
ያደርገን|jadərɨɡən
ያደርገዋል|jadərɨɡəwal
ያደርገው|jadərɨɡəw
ያደርጉ|jadərɨɡu
ያደርጉት|jadərɨɡut
ያደርጋሉ|jadərɨɡalu
ያደርጋል|jadərɨɡal
ያደርጋቸው|jadərɨɡat͡ʃəw
ያደርግ|jadərɨɡ
ያደርጓቸው|jadərɨɡʷat͡ʃəw
ያደናቀፉ|jadənakʼəfu
ያደናቅ|jadənakʼ
ያደንቃ|jadənɨkʼa
ያደገች|jadəɡət͡ʃ
ያደገው|jadəɡəw
ያደጉ|jadəɡu
ያደጉት|jadəɡut
ያደፈ|jadəfə
ያዳ|jada
ያዳምጡ|jadamɨtʼu
ያዳረሰ|jadarəsə
ያዳክሙ|jadakɨmu
ያዳግ|jadaɡ
ያዳግታ|jadaɡɨta
ያድ|jad
ያድማጬን|jadɨmat͡ʃʼen
ያድርገው|jadɨrɨɡəw
ያድርጉ|jadɨrɨɡu
ያድርግ|jadɨrɨɡ
ያድነው|jadɨnəw
ያድኑ|jadɨnu
ያድግ|jadɨɡ
ያጀቡ|jad͡ʒəbu
ያገ|jaɡə
ያገለገለ|jaɡələɡələ
ያገለገሉ|jaɡələɡəlu
ያገለግሉ|jaɡələɡɨlu
ያገል|jaɡəl
ያገረሸ|jaɡərəʃə
ያገረሽ|jaɡərəʃ
ያገሩ|jaɡəru
ያገሪቱ|jaɡəritu
ያገሬ|jaɡəre
ያገር|jaɡər
ያገቡ|jaɡəbu
ያገባ|jaɡəba
ያገነ|jaɡənə
ያገናኘ|jaɡənaɲə
ያገናኙት|jaɡənaɲut
ያገናኛ|jaɡənaɲa
ያገናኛቸው|jaɡənaɲat͡ʃəw
ያገኘ|jaɡəɲə
ያገኘሁ|jaɡəɲəhu
ያገኘች|jaɡəɲət͡ʃ
ያገኘው|jaɡəɲəw
ያገኙ|jaɡəɲu
ያገኛ|jaɡəɲa
ያገኛቸው|jaɡəɲat͡ʃəw
ያገኝ|jaɡəɲ
ያገኟቸው|jaɡəɲʷat͡ʃəw
ያገገሙ|jaɡəɡəmu
ያጋለጡ|jaɡalətʼu
ያጋጠማ|jaɡatʼəma
ያጋጥሙ|jaɡatʼɨmu
ያጋጥማቸው|jaɡatʼɨmat͡ʃəw
ያጋጥም|jaɡatʼɨm
ያግ|jaɡ
ያግዛ|jaɡɨza
ያግዛቸው|jaɡɨzat͡ʃəw
ያግዝ|jaɡɨz
ያግዳቸው|jaɡɨdat͡ʃəw
ያጐ|jaɡʷe
ያጐረ|jaɡʷerə
ያጐር|jaɡʷer
ያጐና|jaɡʷena
ያጓጓ|jaɡʷaɡʷa
ያጠለቀ|jatʼələkʼə
ያጠምዱ|jatʼəmɨdu
ያጠራቀመ|jatʼərakʼəmə
ያጠራጥር|jatʼəratʼɨr
ያጠቃል|jatʼəkʼal
ያጠቃቸው|jatʼəkʼat͡ʃəw
ያጠና|jatʼəna
ያጠናከረ|jatʼənakərə
ያጠናክር|jatʼənakɨr
ያጠፉ|jatʼəfu
ያጠፋ|jatʼəfa
ያጠፋው|jatʼəfaw
ያጡ|jatʼu
ያጣ|jatʼa
ያጣሁ|jatʼahu
ያጣራ|jatʼara
ያጣጥ|jatʼatʼ
ያጣጥሙ|jatʼatʼɨmu
ያጤ|jatʼe
ያጤኑት|jatʼenut
ያጥለቀ|jatʼɨləkʼə
ያጥቡ|jatʼɨbu
ያጫውቱን|jat͡ʃʼawɨtun
ያጸደቀ|jat͡sʼədəkʼə
ያጸደቁ|jat͡sʼədəkʼu
ያጸድ|jat͡sʼəd
ያጸድቅ|jat͡sʼədɨkʼ
ያጽናኑ|jat͡sʼɨnanu
ያጽናና|jat͡sʼɨnana
ያፈረሰ|jafərəsə
ያፈሩ|jafəru
ያፈራ|jafəra
ያፈሰሰ|jafəsəsə
ያፈሰሱ|jafəsəsu
ያፈቅሩ|jafəkʼɨru
ያፈተለከ|jafətələkə
ያፈነዱ|jafənədu
ያፈናቅላል|jafənakʼɨlal
ያፈጠጡ|jafətʼətʼu
ያፋ|jafa
ያፋሰሰ|jafasəsə
ያፋጥናል|jafatʼɨnal
ያፋፋመ|jafafamə
ዬ|je
ዬን|jen
ይ|j
ይሁ|jɨhu
ይሁኑ|jɨhunu
ይሁን|jɨhun
ይሁዲ|jɨhudi
ይሁዳ|jɨhuda
ይሁዳውያን|jɨhudawɨjan
ይሄ|jɨhe
ይሄን|jɨhen
ይሄው|jɨhew
ይሄዳሉ|jɨhedalu
ይሄዳል|jɨhedal
ይህ|jɨh
ይህም|jɨhɨm
ይህቺ|jɨhɨt͡ʃi
ይህች|jɨhɨt͡ʃ
ይህን|jɨhɨn
ይህንኑ|jɨhɨnɨnu
ይህንን|jɨhɨnɨn
ይህኛው|jɨhɨɲaw
ይሆናሉ|jɨhonalu
ይሆናል|jɨhonal
ይሆን|jɨhon
ይለምኑ|jɨləmɨnu
ይለያ|jɨləja
ይሉ|jɨlu
ይላሉ|jɨlalu
ይላል|jɨlal
ይል|jɨl
ይልማ|jɨlɨma
ይልቁኑ|jɨlɨkʼunu
ይልቁን|jɨlɨkʼun
ይልቅ|jɨlɨkʼ
ይሏ|jɨlʷa
ይመ|jɨmə
ይመለከታቸው|jɨmələkətat͡ʃəw
ይመልስ|jɨməlɨs
ይመረ|jɨmərə
ይመሰ|jɨməsə
ይመስ|jɨməs
ይመስለኝ|jɨməsɨləɲ
ይመስሉ|jɨməsɨlu
ይመስል|jɨməsɨl
ይመጡ|jɨmətʼu
ይማ|jɨma
ይማሩ|jɨmaru
ይማጸ|jɨmat͡sʼə
ይምራ|jɨmɨra
ይምሰል|jɨmɨsəl
ይሞ|jɨmo
ይሞላ|jɨmola
ይሞታሉ|jɨmotalu
ይረ|jɨrə
ይረከ|jɨrəkə
ይረዳ|jɨrəda
ይራ|jɨra
ይር|jɨr
ይሰላቹን|jɨsəlat͡ʃun
ይሰማ|jɨsəma
ይሰማል|jɨsəmal
ይሰርዛል|jɨsərɨzal
ይሰበሰባሉ|jɨsəbəsəbalu
ይሰባሰ|jɨsəbasə
ይሰብ|jɨsəb
ይሰብኩ|jɨsəbɨku
ይሰው|jɨsəw
ይሰድቡ|jɨsədɨbu
ይሰጠ|jɨsətʼə
ይሰጣ|jɨsətʼa
ይሰጣል|jɨsətʼal
ይሰጥ|jɨsətʼ
ይሳ|jɨsa
ይሳተፋሉ|jɨsatəfalu
ይስ|jɨs
ይስሀቅ|jɨsɨhəkʼ
ይስማ|jɨsɨma
ይስማማሉ|jɨsɨmamalu
ይስተካከል|jɨsɨtəkakəl
ይስተዋላሉ|jɨsɨtəwalalu
ይስተዋላል|jɨsɨtəwalal
ይስጡ|jɨsɨtʼu
ይሸጡ|jɨʃətʼu
ይሻ|jɨʃa
ይሻለኛል|jɨʃaləɲal
ይሽ|jɨʃ
ይሽሩ|jɨʃɨru
ይሾማል|jɨʃomal
ይቀ|jɨkʼə
ይቀል|jɨkʼəl
ይቀሩ|jɨkʼəru
ይቀራ|jɨkʼəra
ይቀር|jɨkʼər
ይቀጥላል|jɨkʼətʼɨlal
ይቁ|jɨkʼu
ይቃወ|jɨkʼawə
ይቅር|jɨkʼɨr
ይቅርታ|jɨkʼɨrɨta
ይቆ|jɨkʼo
ይቋቋማ|jɨkʼʷakʼʷama
ይበለው|jɨbələw
ይበሉ|jɨbəlu
ይበል|jɨbəl
ይበልጡ|jɨbəlɨtʼu
ይበልጣ|jɨbəlɨtʼa
ይበልጥ|jɨbəlɨtʼ
ይበቃ|jɨbəkʼa
ይበዛ|jɨbəza
ይበጃ|jɨbəd͡ʒa
ይባላሉ|jɨbalalu
ይባላል|jɨbalal
ይባርክ|jɨbarɨk
ይባባ|jɨbaba
ይብቃ|jɨbɨkʼa
ይቧጥጠ|jɨbʷatʼɨtʼə
ይተ|jɨtə
ይተማመናሉ|jɨtəmamənalu
ይተኩ|jɨtəku
ይተካ|jɨtəka
ይተው|jɨtəw
ይተዳ|jɨtəda
ይታ|jɨta
ይታመናል|jɨtamənal
ይታመን|jɨtamən
ይታወ|jɨtawə
ይታወሳ|jɨtawəsa
ይታዩ|jɨtaju
ይታያ|jɨtaja
ይቸረችራሉ|jɨt͡ʃərət͡ʃɨralu
ይቻ|jɨt͡ʃa
ይቻላል|jɨt͡ʃalal
ይችሉ|jɨt͡ʃɨlu
ይችሉት|jɨt͡ʃɨlut
ይችላሉ|jɨt͡ʃɨlalu
ይችላል|jɨt͡ʃɨlal
ይነ|jɨnə
ይነሱ|jɨnəsu
ይነካ|jɨnəka
ይነገራ|jɨnəɡəra
ይነገር|jɨnəɡər
ይነግ|jɨnəɡ
ይኑ|jɨnu
ይኒቨርሲቲው|jɨnivərɨsitiw
ይናገሩ|jɨnaɡəru
ይናገራሉ|jɨnaɡəralu
ይናገራል|jɨnaɡəral
ይንቁ|jɨnɨkʼu
ይንከባከ|jɨnɨkəbakə
ይንገ|jɨnɨɡə
ይንገላታሉ|jɨnɨɡəlatalu
ይንገሩ|jɨnɨɡəru
ይኖሩ|jɨnoru
ይኖራ|jɨnora
ይኖራሉ|jɨnoralu
ይኖራል|jɨnoral
ይኖር|jɨnor
ይከብዳ|jɨkəbɨda
ይከተ|jɨkətə
ይከተሉ|jɨkətəlu
ይከተላሉ|jɨkətəlalu
ይከታተ|jɨkətatə
ይከፈ|jɨkəfə
ይከፍሉ|jɨkəfɨlu
ይካሄዳል|jɨkahedal
ይክ|jɨk
ይኮንና|jɨkonɨna
ይኸ|jɨxə
ይኸው|jɨxəw
ይወ|jɨwə
ይወራ|jɨwəra
ይወሰ|jɨwəsə
ይወሳ|jɨwəsa
ይወስ|jɨwəs
ይወስዱ|jɨwəsɨdu
ይወስዳ|jɨwəsɨda
ይወያያ|jɨwəjaja
ይወዳ|jɨwəda
ይወድ|jɨwəd
ይወጣ|jɨwətʼa
ይወጣል|jɨwətʼal
ይዋ|jɨwa
ይዋይን|jɨwajɨn
ይውረድ|jɨwɨrəd
ይውገረኝ|jɨwɨɡərəɲ
ይውጡ|jɨwɨtʼu
ይዘ|jɨzə
ይዘምራሉ|jɨzəmɨralu
ይዘቱ|jɨzətu
ይዘት|jɨzət
ይዘን|jɨzən
ይዘዋል|jɨzəwal
ይዘው|jɨzəw
ይዘጋ|jɨzəɡa
ይዙ|jɨzu
ይዛ|jɨza
ይዛለች|jɨzalət͡ʃ
ይዛቸው|jɨzat͡ʃəw
ይዛችሁ|jɨzat͡ʃɨhu
ይዝ|jɨz
ይዞ|jɨzo
ይዞታ|jɨzota
ይዟቸው|jɨzʷat͡ʃəw
ይዤ|jɨʒe
ይያዝ|jɨjaz
ይይዙ|jɨjɨzu
ይይዛ|jɨjɨza
ይደ|jɨdə
ይደረጋል|jɨdərəɡal
ይደረግ|jɨdərəɡ
ይደር|jɨdər
ይደርስ|jɨdərɨs
ይደነግ|jɨdənəɡ
ይደክማል|jɨdəkɨmal
ይደግ|jɨdəɡ
ይዳ|jɨda
ይዳርጋ|jɨdarɨɡa
ይዳዳ|jɨdada
ይድ|jɨd
ይድረስ|jɨdɨrəs
ይድነቃቸው|jɨdɨnəkʼat͡ʃəw
ይጀ|jɨd͡ʒə
ይጀምራሉ|jɨd͡ʒəmɨralu
ይጂሪያ|jɨd͡ʒirija
ይገለገሉበት|jɨɡələɡəlubət
ይገለጻል|jɨɡələt͡sʼal
ይገል|jɨɡəl
ይገልጹ|jɨɡəlɨt͡sʼu
ይገልጻሉ|jɨɡəlɨt͡sʼalu
ይገመ|jɨɡəmə
ይገመግ|jɨɡəməɡ
ይገም|jɨɡəm
ይገርማ|jɨɡərɨma
ይገሰግ|jɨɡəsəɡ
ይገባ|jɨɡəba
ይገባል|jɨɡəbal
ይገባናል|jɨɡəbanal
ይገባኛል|jɨɡəbaɲal
ይገናኛ|jɨɡənaɲa
ይገኙ|jɨɡəɲu
ይገኛሉ|jɨɡəɲalu
ይገኛል|jɨɡəɲal
ይገዛ|jɨɡəza
ይገደ|jɨɡədə
ይገደዳል|jɨɡədədal
ይገድ|jɨɡəd
ይገጥማ|jɨɡətʼɨma
ይገፋ|jɨɡəfa
ይጋጠማሉ|jɨɡatʼəmalu
ይግለጹ|jɨɡɨlət͡sʼu
ይጐዳ|jɨɡʷeda
ይጐድ|jɨɡʷed
ይጓዙ|jɨɡʷazu
ይጓዛሉ|jɨɡʷazalu
ይጓዛል|jɨɡʷazal
ይጠ|jɨtʼə
ይጠቀሙ|jɨtʼəkʼəmu
ይጠቀማሉ|jɨtʼəkʼəmalu
ይጠቁማሉ|jɨtʼəkʼumalu
ይጠቅ|jɨtʼəkʼ
ይጠቅማ|jɨtʼəkʼɨma
ይጠበቃል|jɨtʼəbəkʼal
ይጠበቅ|jɨtʼəbəkʼ
ይጠብቃ|jɨtʼəbɨkʼa
ይጠብቅ|jɨtʼəbɨkʼ
ይጠይቁ|jɨtʼəjɨkʼu
ይጠይቃ|jɨtʼəjɨkʼa
ይጠፋ|jɨtʼəfa
ይጠፋል|jɨtʼəfal
ይጥፋ|jɨtʼɨfa
ይጨ|jɨt͡ʃʼə
ይጫናሉ|jɨt͡ʃʼanalu
ይጫወታሉ|jɨt͡ʃʼawətalu
ይጽፍ|jɨt͡sʼɨf
ይፈ|jɨfə
ይፈልጋሉ|jɨfəlɨɡalu
ይፈልጋል|jɨfəlɨɡal
ይፈቀድል|jɨfəkʼədɨl
ይፈታ|jɨfəta
ይፈት|jɨfət
ይፈጸማሉ|jɨfət͡sʼəmalu
ይፈጸም|jɨfət͡sʼəm
ይፈጽ|jɨfət͡sʼ
ይፋ|jɨfa
ይፍጠር|jɨfɨtʼər
ዮ|jo
ዮሀንስ|johənɨs
ዮርክ|jorɨk
ዮርዳኖስ|jorɨdanos
ዮሱፍ|josuf
ዮሴፍ|josef
ዮሽ|joʃ
ዮቹ|jot͡ʃu
ዮች|jot͡ʃ
ዮናስ|jonas
ዮን|jon
ዮዌሪ|joweri
ዮጵያ|jopʼɨja
ደ|də
ደሀ|dəhə
ደሀው|dəhəw
ደህ|dəh
ደህንነታቸው|dəhɨnɨnətat͡ʃəw
ደህንነት|dəhɨnɨnət
ደህንነቶች|dəhɨnɨnətot͡ʃ
ደለ|dələ
ደለል|dələl
ደላላ|dəlala
ደል|dəl
ደሏ|dəlʷa
ደመ|dəmə
ደመሰሰ|dəməsəsə
ደመቀ|dəməkʼə
ደመቅሳ|dəməkʼɨsa
ደመና|dəməna
ደመወዙ|dəməwəzu
ደመወዛቸው|dəməwəzat͡ʃəw
ደመወዝ|dəməwəz
ደመጡ|dəmətʼu
ደሙ|dəmu
ደሙት|dəmut
ደሙን|dəmun
ደሚ|dəmi
ደማ|dəma
ደማቅ|dəmakʼ
ደማቸው|dəmat͡ʃəw
ደሜ|dəme
ደም|dəm
ደምስ|dəmɨs
ደምቁ|dəmɨkʼu
ደምቅ|dəmɨkʼ
ደምበኛ|dəmɨbəɲa
ደሞ|dəmo
ደሞዙ|dəmozu
ደሞዛቸው|dəmozat͡ʃəw
ደሞዝ|dəmoz
ደሟ|dəmʷa
ደረ|dərə
ደረሰ|dərəsə
ደረሰበት|dərəsəbət
ደረሰባት|dərəsəbat
ደረሰባቸው|dərəsəbat͡ʃəw
ደረሰኝ|dərəsəɲ
ደረሰው|dərəsəw
ደረሱ|dərəsu
ደረሱበት|dərəsubət
ደረሱት|dərəsut
ደረሳቸው|dərəsat͡ʃəw
ደረስ|dərəs
ደረስኩ|dərəsɨku
ደረሷቸው|dərəsʷat͡ʃəw
ደረቁ|dərəkʼu
ደረቅ|dərəkʼ
ደረባ|dərəba
ደረት|dərət
ደረደረ|dərədərə
ደረደሩ|dərədəru
ደረደር|dərədər
ደረጀ|dərəd͡ʒə
ደረጃ|dərəd͡ʒa
ደረጃቸው|dərəd͡ʒat͡ʃəw
ደረጃው|dərəd͡ʒaw
ደረጃዎች|dərəd͡ʒawot͡ʃ
ደረገው|dərəɡəw
ደረጉ|dərəɡu
ደረግ|dərəɡ
ደሩ|dəru
ደሪ|dəri
ደሪያ|dərija
ደራ|dəra
ደራሉ|dəralu
ደራል|dəral
ደራሲ|dərasi
ደራሲያን|dərasijan
ደራሽ|dəraʃ
ደራዊ|dərawi
ደራደሩ|dəradəru
ደራደር|dəradər
ደራጀ|dərad͡ʒə
ደራጁ|dərad͡ʒu
ደራጅ|dərad͡ʒ
ደር|dər
ደርሰን|dərɨsən
ደርሰዋል|dərɨsəwal
ደርሰው|dərɨsəw
ደርሱ|dərɨsu
ደርሳ|dərɨsa
ደርሳል|dərɨsal
ደርሳቸው|dərɨsat͡ʃəw
ደርስ|dərɨs
ደርሶ|dərɨso
ደርሷ|dərɨsʷa
ደርሼ|dərɨʃe
ደርቁ|dərɨkʼu
ደርቅ|dərɨkʼ
ደርበው|dərɨbəw
ደርቢ|dərɨbi
ደርባን|dərɨban
ደርጃ|dərɨd͡ʒa
ደርገኝ|dərɨɡəɲ
ደርገው|dərɨɡəw
ደርጉ|dərɨɡu
ደርጋት|dərɨɡat
ደርግ|dərɨɡ
ደርግም|dərɨɡɨm
ደርጓት|dərɨɡʷat
ደሮች|dərot͡ʃ
ደሰታቸው|dəsətat͡ʃəw
ደሰት|dəsət
ደሳች|dəsat͡ʃ
ደሴ|dəse
ደሴት|dəset
ደሴቶች|dəsetot͡ʃ
ደስ|dəs
ደስተኛ|dəsɨtəɲa
ደስተኞች|dəsɨtəɲot͡ʃ
ደስተው|dəsɨtəw
ደስታ|dəsɨta
ደስታቸው|dəsɨtat͡ʃəw
ደስታው|dəsɨtaw
ደስታዬ|dəsɨtaje
ደቀ|dəkʼə
ደቀቁ|dəkʼəkʼu
ደቁ|dəkʼu
ደቂቃ|dəkʼikʼa
ደቂቃዎች|dəkʼikʼawot͡ʃ
ደቂቅ|dəkʼikʼ
ደቅ|dəkʼ
ደቅነው|dəkʼɨnəw
ደቋቆ|dəkʼʷakʼo
ደበላ|dəbəla
ደበላለቅ|dəbəlaləkʼ
ደበሌ|dəbəle
ደበቁ|dəbəkʼu
ደበቅ|dəbəkʼ
ደበበ|dəbəbə
ደበዝዙት|dəbəzɨzut
ደበዝዝ|dəbəzɨz
ደበደበ|dəbədəbə
ደበደቡ|dəbədəbu
ደበድ|dəbəd
ደበድብ|dəbədɨb
ደቡባዊ|dəbubawi
ደቡብ|dəbub
ደባ|dəba
ደባል|dəbal
ደብ|dəb
ደብሊን|dəbɨlin
ደብረ|dəbɨrə
ደብረዘይት|dəbɨrəzəjɨt
ደብሩ|dəbɨru
ደብር|dəbɨr
ደብቅ|dəbɨkʼ
ደብተራቸው|dəbɨtərat͡ʃəw
ደብተር|dəbɨtər
ደብተሮ|dəbɨtəro
ደብዛ|dəbɨza
ደብደባ|dəbɨdəba
ደብዱቤ|dəbɨdube
ደብዳቢው|dəbɨdabiw
ደብዳቤ|dəbɨdabe
ደብዳቤው|dəbɨdabew
ደብድበ|dəbɨdɨbə
ደብድበው|dəbɨdɨbəw
ደብድባ|dəbɨdɨba
ደች|dət͡ʃ
ደነቁ|dənəkʼu
ደነቅ|dənəkʼ
ደነዘዘ|dənəzəzə
ደነደነ|dənədənə
ደነገጉ|dənəɡəɡu
ደነገጡ|dənəɡətʼu
ደነገጥ|dənəɡətʼ
ደነግጠ|dənəɡɨtʼə
ደነግጡ|dənəɡɨtʼu
ደኑ|dənu
ደናል|dənal
ደናቀፉ|dənakʼəfu
ደናቅፈ|dənakʼɨfə
ደናቅፍ|dənakʼɨf
ደናገጡ|dənaɡətʼu
ደን|dən
ደንቀው|dənɨkʼəw
ደንቁት|dənɨkʼut
ደንቃቸው|dənɨkʼat͡ʃəw
ደንቅ|dənɨkʼ
ደንበኛ|dənɨbəɲa
ደንበኞቹ|dənɨbəɲot͡ʃu
ደንበኞቻቸው|dənɨbəɲot͡ʃat͡ʃəw
ደንበኞቻችን|dənɨbəɲot͡ʃat͡ʃɨn
ደንበኞች|dənɨbəɲot͡ʃ
ደንቡ|dənɨbu
ደንባችን|dənɨbat͡ʃɨn
ደንብ|dənɨb
ደንቦች|dənɨbot͡ʃ
ደንታ|dənɨta
ደንግጓል|dənɨɡɨɡʷal
ደንግጬ|dənɨɡɨt͡ʃʼe
ደኖች|dənot͡ʃ
ደኛል|dəɲal
ደከመ|dəkəmə
ደከሙ|dəkəmu
ደከም|dəkəm
ደካማ|dəkama
ደካማው|dəkamaw
ደካሞች|dəkamot͡ʃ
ደክመ|dəkɨmə
ደኸይ|dəxəj
ደወሎቻቸው|dəwəlot͡ʃat͡ʃəw
ደዋል|dəwal
ደዌ|dəwe
ደው|dəw
ደውለው|dəwɨləw
ደውሎ|dəwɨlo
ደደ|dədə
ደደቢት|dədəbit
ደደቢቶች|dədəbitot͡ʃ
ደደው|dədəw
ደዱ|dədu
ደዱት|dədut
ደጀ|dəd͡ʒə
ደጀን|dəd͡ʒən
ደጃች|dəd͡ʒat͡ʃ
ደጃዝማች|dəd͡ʒazɨmat͡ʃ
ደጃፍ|dəd͡ʒaf
ደጅ|dəd͡ʒ
ደጆች|dəd͡ʒot͡ʃ
ደገ|dəɡə
ደገሀቡር|dəɡəhəbur
ደገሙ|dəɡəmu
ደገም|dəɡəm
ደገች|dəɡət͡ʃ
ደገኑ|dəɡənu
ደገፈው|dəɡəfəw
ደገፉ|dəɡəfu
ደገፉት|dəɡəfut
ደገፍ|dəɡəf
ደጉ|dəɡu
ደጋማ|dəɡama
ደጋው|dəɡaw
ደጋገሙ|dəɡaɡəmu
ደጋገም|dəɡaɡəm
ደጋግ|dəɡaɡ
ደጋግመን|dəɡaɡɨmən
ደጋግመው|dəɡaɡɨməw
ደጋግሞ|dəɡaɡɨmo
ደጋፊ|dəɡafi
ደጋፊው|dəɡafiw
ደጋፊዎቹ|dəɡafiwot͡ʃu
ደጋፊዎቻቸው|dəɡafiwot͡ʃat͡ʃəw
ደጋፊዎች|dəɡafiwot͡ʃ
