'ики'|'ikʰi'
чадав|t͡ʃʰataw
чадавхаараа|t͡ʃʰatawxaːraː
чадал|t͡ʃʰataɮ
чадалгүй|t͡ʃʰataɮɡuj
чадалтай|t͡ʃʰataɮtʰaj
чадамгүй|t͡ʃʰatamɡuj
чаданги|t͡ʃʰatanɡi
чадах|t͡ʃʰatax
чадахаа|t͡ʃʰataxaː
чадахаараа|t͡ʃʰataxaːraː
чадахгүй|t͡ʃʰataxɡuj
чадахгүйд|t͡ʃʰataxɡujt
чадахуйц|t͡ʃʰataxʊit͡sʰ
чадвал|t͡ʃʰatwaɮ
чадвараа|t͡ʃʰatwaraː
чадвараар|t͡ʃʰatwaraːr
чадваргүй|t͡ʃʰatwarɡuj
чадварлаг|t͡ʃʰatwarɮaɡ
чадварыг|t͡ʃʰatwariːɡ
чадварын|t͡ʃʰatwariːn
чаддаг|t͡ʃʰattaɡ
чаддаггүй|t͡ʃʰattaɡɡuj
чаддго|t͡ʃʰattɡɔ
чаджээ|t͡ʃʰatt͡ʃɛː
чадл|t͡ʃʰatɮ
чадлго|t͡ʃʰatɮɡɔ
чадлыг|t͡ʃʰatɮiːɡ
чадна|t͡ʃʰatna
чадсан|t͡ʃʰatsan
чадсанаа|t͡ʃʰatsanaː
чадсангүй|t͡ʃʰatsanɡuj
чадсаныг|t͡ʃʰatsaniːɡ
чадсмн|t͡ʃʰatsmn
чадсн|t͡ʃʰatsn
чадснь|t͡ʃʰatsnʲ
чадх|t͡ʃʰatx
чадхвидн|t͡ʃʰatxwitn
чадхиг|t͡ʃʰatxiɡ
чадхий|t͡ʃʰatxiː
чадхлачн|t͡ʃʰatxɮat͡ʃʰn
чадхмб|t͡ʃʰatxmp
чадшго|t͡ʃʰatʃɡɔ
чадшгов|t͡ʃʰatʃɡɔw
чадшгот|t͡ʃʰatʃɡɔtʰ
чадшгоч|t͡ʃʰatʃɡɔt͡ʃʰ
чам|t͡ʃʰam
чамаас|t͡ʃʰamaːs
чамаасаа|t͡ʃʰamaːsaː
чамаг|t͡ʃʰamaɡ
чамайг|t͡ʃʰamajɡ
чамайгаа|t͡ʃʰamajɡaː
чамар|t͡ʃʰamar
чамас|t͡ʃʰamas
чамгүй|t͡ʃʰamɡuj
чамд|t͡ʃʰamt
чамдаа|t͡ʃʰamtaː
чамин|t͡ʃʰamin
чамла|t͡ʃʰamɮa
чамта|t͡ʃʰamtʰa
чамтай|t͡ʃʰamtʰaj
чамтайгаа|t͡ʃʰamtʰajɡaː
чамур|t͡ʃʰamʊr
чанадаас|t͡ʃʰanataːs
чанартай|t͡ʃʰanartʰaj
чанарыг|t͡ʃʰanariːɡ
чанарын|t͡ʃʰanariːn
чанга|t͡ʃʰanɡa
чангарна|t͡ʃʰanɡarna
чандар|t͡ʃʰantar
чандлан|t͡ʃʰantɮan
чарлаад|t͡ʃʰarɮaːt
чарльз|t͡ʃʰarɮʲt͡s
часас|t͡ʃʰasas
часин|t͡ʃʰasin
част|t͡ʃʰastʰ
чацарганатай|t͡ʃʰat͡sʰarɡanatʰaj
чаңһ|t͡ʃʰaңһ
чаңһар|t͡ʃʰaңһar
чаңһаҗ|t͡ʃʰaңһaҗ
чаңһур|t͡ʃʰaңһʊr
чаһр|t͡ʃʰaһr
чаһрар|t͡ʃʰaһrar
челси|t͡ʃʰJiɮsi
чен|t͡ʃʰJin
ченжид|t͡ʃʰJint͡ʃit
чи|t͡ʃʰi
чив|t͡ʃʰiw
чивч|t͡ʃʰiwt͡ʃʰ
чивәд|t͡ʃʰiwәt
чиг|t͡ʃʰiɡ
чиглэл|t͡ʃʰiɡɮɛɮ
чиглэлийн|t͡ʃʰiɡɮɛɮiːn
чиглэлтэй|t͡ʃʰiɡɮɛɮtʰɛj
чиглэлээр|t͡ʃʰiɡɮɛɮɛːr
чиглэсэн|t͡ʃʰiɡɮɛsɛn
чиглүүлж|t͡ʃʰiɡɮuːɮt͡ʃ
чиглүүлэн|t͡ʃʰiɡɮuːɮɛn
чиглүүлээд|t͡ʃʰiɡɮuːɮɛːt
чигн|t͡ʃʰiɡn
чигт|t͡ʃʰiɡtʰ
чигээ|t͡ʃʰiɡɛː
чигээрээ|t͡ʃʰiɡɛːrɛː
чидл|t͡ʃʰitɮ
чидлтә|t͡ʃʰitɮtʰә
чидләр|t͡ʃʰitɮәr
чиирг|t͡ʃʰiirɡ
чийдэнгийн|t͡ʃʰiːtɛnɡiːn
чик|t͡ʃʰikʰ
чикәр|t͡ʃʰikʰәr
чилв|t͡ʃʰiɮw
чилгч|t͡ʃʰiɮɡt͡ʃʰ
чилгчнь|t͡ʃʰiɮɡt͡ʃʰnʲ
чилсн|t͡ʃʰiɮsn
чилх|t͡ʃʰiɮx
чилээ|t͡ʃʰiɮɛː
чимгээ|t͡ʃʰimɡɛː
чимж|t͡ʃʰimt͡ʃ
чимэггүй|t͡ʃʰimɛɡɡuj
чимэглэлийн|t͡ʃʰimɛɡɮɛɮiːn
чимээ|t͡ʃʰimɛː
чимээгээр|t͡ʃʰimɛːɡɛːr
чимээгүй|t͡ʃʰimɛːɡuj
чин|t͡ʃʰin
чинбаттай|t͡ʃʰinpatʰtʰaj
чингис|t͡ʃʰinɡis
чингисийн|t͡ʃʰinɡisiːn
чингэж|t͡ʃʰinɡɛt͡ʃ
чингүнжав|t͡ʃʰinɡunt͡ʃaw
чини|t͡ʃʰini
чиний|t͡ʃʰiniː
чинр|t͡ʃʰinr
чинртә|t͡ʃʰinrtʰә
чинь|t͡ʃʰinʲ
чинэрч|t͡ʃʰinɛrt͡ʃʰ
чинээ|t͡ʃʰinɛː
чинээлэг|t͡ʃʰinɛːɮɛɡ
чинүүхэй|t͡ʃʰinuːxɛj
чинән|t͡ʃʰinәn
чипс|t͡ʃʰipʰs
чиргүүл|t͡ʃʰirɡuːɮ
чирсэн|t͡ʃʰirsɛn
чирч|t͡ʃʰirt͡ʃʰ
чирэгдэл|t͡ʃʰirɛɡtɛɮ
чирәд|t͡ʃʰirәt
чирәнь|t͡ʃʰirәnʲ
чирәтә|t͡ʃʰirәtʰә
чирәһән|t͡ʃʰirәһәn
чирәһәрнь|t͡ʃʰirәһәrnʲ
чихрийн|t͡ʃʰixriːn
чихрээ|t͡ʃʰixrɛː
чихрээр|t͡ʃʰixrɛːr
чихэнд|t͡ʃʰixɛnt
чихэр|t͡ʃʰixɛr
чичирч|t͡ʃʰit͡ʃʰirt͡ʃʰ
чичрлһиг|t͡ʃʰit͡ʃʰrɮһiɡ
чичрлһн|t͡ʃʰit͡ʃʰrɮһn
чичрэв|t͡ʃʰit͡ʃʰrɛw
чичрэх|t͡ʃʰit͡ʃʰrɛx
чойбалсанд|t͡ʃʰɔjpaɮsant
чолуд|t͡ʃʰɔɮʊt
чолун|t͡ʃʰɔɮʊn
чолунднь|t͡ʃʰɔɮʊntnʲ
чолунь|t͡ʃʰɔɮʊnʲ
чолуһар|t͡ʃʰɔɮʊһar
чолуһинь|t͡ʃʰɔɮʊһinʲ
чоно|t͡ʃʰɔnɔ
чонын|t͡ʃʰɔniːn
чоңкх|t͡ʃʰɔңkʰx
чоңкҗасн|t͡ʃʰɔңkʰҗasn
чулуу|t͡ʃʰʊɮʊː
чулууг|t͡ʃʰʊɮʊːɡ
чулуугаар|t͡ʃʰʊɮʊːɡaːr
чулуудаж|t͡ʃʰʊɮʊːtat͡ʃ
чулуун|t͡ʃʰʊɮʊːn
чулуунаас|t͡ʃʰʊɮʊːnaːs
чулуунуудын|t͡ʃʰʊɮʊːnʊːtiːn
чулууны|t͡ʃʰʊɮʊːniː
чухалчилдаг|t͡ʃʰʊxaɮt͡ʃʰiɮtaɡ
чухалчилж|t͡ʃʰʊxaɮt͡ʃʰiɮt͡ʃ
чухам|t͡ʃʰʊxam
чухамхүү|t͡ʃʰʊxamxuː
чухлаар|t͡ʃʰʊxɮaːr
чухлыг|t͡ʃʰʊxɮiːɡ
чөдөрлөж|t͡ʃʰotorɮot͡ʃ
чөлөө|t͡ʃʰoɮoː
чөлөөлөгдөх|t͡ʃʰoɮoːɮoɡtox
чөлөөлөх|t͡ʃʰoɮoːɮox
чөлөөтэй|t͡ʃʰoɮoːtʰɛj
чөтгөр|t͡ʃʰotʰɡor
чөтгөрийг|t͡ʃʰotʰɡoriːɡ
шаав|ʃaːw
шаагдсн|ʃaːɡtsn
шаагин|ʃaːɡin
шаагих|ʃaːɡix
шаардагдана|ʃaːrtaɡtana
шаардагдахгүй|ʃaːrtaɡtaxɡuj
шаардаж|ʃaːrtat͡ʃ
шаарддаг|ʃaːrttaɡ
шаардлагагүй|ʃaːrtɮaɡaɡuj
шаардлагад|ʃaːrtɮaɡat
шаардлагатай|ʃaːrtɮaɡatʰaj
шаардлагатайг|ʃaːrtɮaɡatʰajɡ
шаваснь|ʃawasnʲ
шавах|ʃawax
шавдл|ʃawtɮ
шавж|ʃawt͡ʃ
шавинь|ʃawinʲ
шавтсн|ʃawtʰsn
шавхийсэн|ʃawxiːsɛn
шавь|ʃawʲ
шавьдаа|ʃawʲtaː
шавьж|ʃawʲt͡ʃ
шагайх|ʃaɡajx
шагнал|ʃaɡnaɮ
шагналыг|ʃaɡnaɮiːɡ
шагнуулж|ʃaɡnʊːɮt͡ʃ
шадар|ʃatar
шалаанд|ʃaɮaːnt
шаламгай|ʃaɮamɡaj
шалбааг|ʃaɮpaːɡ
шалгадаг|ʃaɮɡataɡ
шалгалтаа|ʃaɮɡaɮtʰaː
шалгалтаас|ʃaɮɡaɮtʰaːs
шалгалтын|ʃaɮɡaɮtʰiːn
шалгараад|ʃaɮɡaraːt
шалгаруулах|ʃaɮɡarʊːɮax
шалгууруудыг|ʃaɮɡʊːrʊːtiːɡ
шалтгаалан|ʃaɮtʰɡaːɮan
шалтгаалжээ|ʃaɮtʰɡaːɮt͡ʃɛː
шалтгаанаар|ʃaɮtʰɡaːnaːr
шалтгааны|ʃaɮtʰɡaːniː
шам|ʃam
шамарья|ʃamarʲJa
шамарьяд|ʃamarʲJat
шамарьян|ʃamarʲJan
шамарьяна|ʃamarʲJana
шамбалын|ʃampaɮiːn
шамин|ʃamin
шамтаһан|ʃamtʰaһan
шан|ʃan
шаналаад|ʃanaɮaːt
шаналан|ʃanaɮan
шаналж|ʃanaɮt͡ʃ
шаналснаасаа|ʃanaɮsnaːsaː
шандас|ʃantas
шарах|ʃarax
шарваад|ʃarwaːt
шарваганаж|ʃarwaɡanat͡ʃ
шарга|ʃarɡa
шаргал|ʃarɡaɮ
шаргач|ʃarɡat͡ʃʰ
шаргуу|ʃarɡʊː
шарилд|ʃariɮt
шарсн|ʃarsn
шарх|ʃarx
шархираад|ʃarxiraːt
шархлаа|ʃarxɮaː
шарыг|ʃariːɡ
шат|ʃatʰ
шатаа|ʃatʰaː
шатаар|ʃatʰaːr
шатавч|ʃatʰawt͡ʃʰ
шатад|ʃatʰat
шатанд|ʃatʰant
шатасн|ʃatʰasn
шатахуун|ʃatʰaxʊːn
шатны|ʃatʰniː
шатыг|ʃatʰiːɡ
шахам|ʃaxam
шахсаныг|ʃaxsaniːɡ
шаху|ʃaxʊ
шахуу|ʃaxʊː
шачасн|ʃat͡ʃʰasn
шашин|ʃaʃin
шашингүй|ʃaʃinɡuj
шашинд|ʃaʃint
шашны|ʃaʃniː
шашныг|ʃaʃniːɡ
швейцарын|ʃwJijt͡sʰariːn
швейцарьт|ʃwJijt͡sʰarʲtʰ
шеннонжиа|ʃJinnɔnt͡ʃia
шив|ʃiw
шивгэнэсэн|ʃiwɡɛnɛsɛn
шивгэнээд|ʃiwɡɛnɛːt
шивнэв|ʃiwnɛw
шивнэж|ʃiwnɛt͡ʃ
шивнэлээ|ʃiwnɛɮɛː
шивнэчхээд|ʃiwnɛt͡ʃʰxɛːt
шивнә|ʃiwnә
шивэр|ʃiwɛr
шивэрсэн|ʃiwɛrsɛn
шивәһәр|ʃiwәһәr
шиг|ʃiɡ
шигдээс|ʃiɡtɛːs
шигдүләд|ʃiɡtuɮәt
шигэхээс|ʃiɡɛxɛːs
шигээ|ʃiɡɛː
шигүдэри|ʃiɡutɛri
шигүү|ʃiɡuː
шидж|ʃitt͡ʃ
шидлэн|ʃitɮɛn
шидлээ|ʃitɮɛː
шидтэй|ʃittʰɛj
шидэлж|ʃitɛɮt͡ʃ
шидэлцэж|ʃitɛɮt͡sʰɛt͡ʃ
шидээр|ʃitɛːr
шижин|ʃit͡ʃin
шизуока|ʃit͡sʊɔkʰa
шиидв|ʃiitw
шиидвр|ʃiitwr
шиидсмн|ʃiitsmn
шиидцхәнә|ʃiitt͡sʰxәnә
шийд|ʃiːt
шийдвэрийг|ʃiːtwɛriːɡ
шийдвэрийн|ʃiːtwɛriːn
шийдвэрлэгдэнэ|ʃiːtwɛrɮɛɡtɛnɛ
шийдвэрлэсэн|ʃiːtwɛrɮɛsɛn
шийдвэрлэх|ʃiːtwɛrɮɛx
шийдвэрлүүлнэ|ʃiːtwɛrɮuːɮnɛ
шийдвэрт|ʃiːtwɛrtʰ
шийдвэртэй|ʃiːtwɛrtʰɛj
шийдлээ|ʃiːtɮɛː
шийдсэн|ʃiːtsɛn
шийдэв|ʃiːtɛw
шийдэгдэнэ|ʃiːtɛɡtɛnɛ
шийдэж|ʃiːtɛt͡ʃ
шийдэл|ʃiːtɛɮ
шийдэмгийхэн|ʃiːtɛmɡiːxɛn
шийдэх|ʃiːtɛx
шийдэхгүй|ʃiːtɛxɡuj
шийр|ʃiːr
шийтгэдэг|ʃiːtʰɡɛtɛɡ
шийтгэл|ʃiːtʰɡɛɮ
шийтгэх|ʃiːtʰɡɛx
шилдэг|ʃiɮtɛɡ
шилж|ʃiɮt͡ʃ
шилжив|ʃiɮt͡ʃiw
шилжиж|ʃiɮt͡ʃit͡ʃ
шилжилт|ʃiɮt͡ʃiɮtʰ
шилжилтийн|ʃiɮt͡ʃiɮtʰiːn
шилжихийг|ʃiɮt͡ʃixiːɡ
шилжлээ|ʃiɮt͡ʃɮɛː
шилжсэнээс|ʃiɮt͡ʃsɛnɛːs
шилжээд|ʃiɮt͡ʃɛːt
шилжүүлчих|ʃiɮt͡ʃuːɮt͡ʃʰix
шилжүүлэх|ʃiɮt͡ʃuːɮɛx
шилийг|ʃiɮiːɡ
шилэн|ʃiɮɛn
шимгүй|ʃimɡuj
шимдээ|ʃimtɛː
шимдээлнэ|ʃimtɛːɮnɛ
шимийг|ʃimiːɡ
шимийн|ʃimiːn
шимон|ʃimɔn
шимона|ʃimɔna
шимоныг|ʃimɔniːɡ
шимтдэг|ʃimtʰtɛɡ
шимширсэн|ʃimʃirsɛn
шин|ʃin
шингэрч|ʃinɡɛrt͡ʃʰ
шингээдэг|ʃinɡɛːtɛɡ
шинж|ʃint͡ʃ
шинжаангийн|ʃint͡ʃaːnɡiːn
шинжийнхээ|ʃint͡ʃiːnxɛː
шинжилгээ|ʃint͡ʃiɮɡɛː
шинжилгээнд|ʃint͡ʃiɮɡɛːnt
шинжилгээний|ʃint͡ʃiɮɡɛːniː
шинжин|ʃint͡ʃin
шинжлэх|ʃint͡ʃɮɛx
шинжлээ|ʃint͡ʃɮɛː
шинжээчдээр|ʃint͡ʃɛːt͡ʃʰtɛːr
шинжүүд|ʃint͡ʃuːt
шинийн|ʃiniːn
шинэхэн|ʃinɛxɛn
шинэчлэгддэггүй|ʃinɛt͡ʃʰɮɛɡttɛɡɡuj
шинэчлэгдэх|ʃinɛt͡ʃʰɮɛɡtɛx
шинэчлэл|ʃinɛt͡ʃʰɮɛɮ
шинэчлэлд|ʃinɛt͡ʃʰɮɛɮt
шинэчлэлийг|ʃinɛt͡ʃʰɮɛɮiːɡ
шинэчлэлийн|ʃinɛt͡ʃʰɮɛɮiːn
шинэчлэлт|ʃinɛt͡ʃʰɮɛɮtʰ
шинэчлэлтийн|ʃinɛt͡ʃʰɮɛɮtʰiːn
шинээр|ʃinɛːr
шинҗлҗ|ʃinҗɮҗ
шинәс|ʃinәs
ширтсээр|ʃirtʰsɛːr
ширтэн|ʃirtʰɛn
ширтэхгүй|ʃirtʰɛxɡuj
ширхгийг|ʃirxɡiːɡ
ширхэгт|ʃirxɛɡtʰ
ширээгээ|ʃirɛːɡɛː
ширээн|ʃirɛːn
ширээний|ʃirɛːniː
ширүүн|ʃiruːn
ширүүхэн|ʃiruːxɛn
ширә|ʃirә
ширәг|ʃirәɡ
ширәд|ʃirәt
ширәһинь|ʃirәһinʲ
ширәһән|ʃirәһәn
шишлң|ʃiʃɮң
шиңкән|ʃiңkʰәn
шовсхийсэн|ʃɔwsxiːsɛn
шовуг|ʃɔwʊɡ
шовуд|ʃɔwʊt
шовудас|ʃɔwʊtas
шовудт|ʃɔwʊttʰ
шовудыг|ʃɔwʊtiːɡ
шовудын|ʃɔwʊtiːn
шог|ʃɔɡ
шогийн|ʃɔɡiːn
шогшдог|ʃɔɡʃtɔɡ
шогшиж|ʃɔɡʃit͡ʃ
шоовдорловол|ʃɔːwtɔrɮɔwɔɮ
шоодад|ʃɔːtat
шоргоолжнууд|ʃɔrɡɔːɮt͡ʃnʊːt
шоргоолжтой|ʃɔrɡɔːɮt͡ʃtʰɔj
шоронд|ʃɔrɔnt
шороон|ʃɔrɔːn
шороонд|ʃɔrɔːnt
шошго|ʃɔʃɡɔ
шувууны|ʃʊwʊːniː
шугамаар|ʃʊɡamaːr
шугамыг|ʃʊɡamiːɡ
шугуйн|ʃʊɡʊin
шуд|ʃʊt
шударга|ʃʊtarɡa
шударгаар|ʃʊtarɡaːr
шулуудлаа|ʃʊɮʊːtɮaː
шулуһар|ʃʊɮʊһar
шумбагч|ʃʊmpaɡt͡ʃʰ
шумуул|ʃʊmʊːɮ
шунал|ʃʊnaɮ
шунан|ʃʊnan
шунсмн|ʃʊnsmn
шунхаа|ʃʊnxaː
шургалж|ʃʊrɡaɮt͡ʃ
шургах|ʃʊrɡax
шургуулан|ʃʊrɡʊːɮan
шургуулгаруу|ʃʊrɡʊːɮɡarʊː
шуу|ʃʊː
шуугдаагүй|ʃʊːɡtaːɡuj
шуугиангүй|ʃʊːɡianɡuj
шуугилдаж|ʃʊːɡiɮtat͡ʃ
шуугилдана|ʃʊːɡiɮtana
шуугсн|ʃʊːɡsn
шууд|ʃʊːt
шуудуугаа|ʃʊːtʊːɡaː
шуудхан|ʃʊːtxan
шуулад|ʃʊːɮat
шуулҗ|ʃʊːɮҗ
шуурад|ʃʊːrat
шуурв|ʃʊːrw
шуурга|ʃʊːrɡa
шуурдаг|ʃʊːrtaɡ
шуурсаар|ʃʊːrsaːr
шуурхай|ʃʊːrxaj
шуурч|ʃʊːrt͡ʃʰ
шуучад|ʃʊːt͡ʃʰat
шуһу|ʃʊһʊ
шёнбрунны|ʃJɔnprʊnniː
шүдийг|ʃutiːɡ
шүдинь|ʃutinʲ
шүдитн|ʃutitʰn
шүдний|ʃutniː
шүлгээр|ʃuɮɡɛːr
шүлгээс|ʃuɮɡɛːs
шүлэглэл|ʃuɮɛɡɮɛɮ
шүлэглэх|ʃuɮɛɡɮɛx
шүргэж|ʃurɡɛt͡ʃ
шүрэн|ʃurɛn
шүрүн|ʃurun
шүтдг|ʃutʰtɡ
шүтлэг|ʃutʰɮɛɡ
шүтэгч|ʃutʰɛɡt͡ʃʰ
шүтэж|ʃutʰɛt͡ʃ
шүтэлцээний|ʃutʰɛɮt͡sʰɛːniː
шүтээн|ʃutʰɛːn
шүтә|ʃutʰә
шүү|ʃuː
шүүгдсэн|ʃuːɡtsɛn
шүүгдэгчийн|ʃuːɡtɛɡt͡ʃʰiːn
шүүгдэгчтэй|ʃuːɡtɛɡt͡ʃʰtʰɛj
шүүгч|ʃuːɡt͡ʃʰ
шүүгчид|ʃuːɡt͡ʃʰit
шүүгээ|ʃuːɡɛː
шүүмжийг|ʃuːmt͡ʃiːɡ
шүүмжилдэг|ʃuːmt͡ʃiɮtɛɡ
шүүмжилсэн|ʃuːmt͡ʃiɮsɛn
шүүмжлэгч|ʃuːmt͡ʃɮɛɡt͡ʃʰ
шүүмжлэх|ʃuːmt͡ʃɮɛx
шүүн|ʃuːn
шүүрдэнэ|ʃuːrtɛnɛ
шүүртэй|ʃuːrtʰɛj
шүүрэх|ʃuːrɛx
шүүсинь|ʃuːsinʲ
шүүтэй|ʃuːtʰɛj
шүүх|ʃuːx
шүүхтэй|ʃuːxtʰɛj
шүүҗ|ʃuːҗ
шөл|ʃoɮ
шөнийн|ʃoniːn
шөнөгүй|ʃonoɡuj
шөнөдөө|ʃonotoː
шөнөжин|ʃonot͡ʃin
шөнөөр|ʃonoːr
шөрмөстэй|ʃormostʰɛj
ын|iːn
эвгүй|ɛwɡuj
эвгүйцэн|ɛwɡujt͡sʰɛn
эвд|ɛwt
эвдв|ɛwtw
эвдсн|ɛwtsn
эвдх|ɛwtx
эвдхәр|ɛwtxәr
эвдшго|ɛwtʃɡɔ
эвдэрч|ɛwtɛrt͡ʃʰ
эвдэх|ɛwtɛx
эвдэхэд|ɛwtɛxɛt
эвдҗ|ɛwtҗ
эве|ɛwJi
эвийг|ɛwiːɡ
эвин|ɛwin
эвинь|ɛwinʲ
эвлэг|ɛwɮɛɡ
эвлэн|ɛwɮɛn
эвлэрч|ɛwɮɛrt͡ʃʰ
эвлэрэхгүй|ɛwɮɛrɛxɡuj
эвлүүлэг|ɛwɮuːɮɛɡ
эврә|ɛwrә
эврән|ɛwrәn
эврәннь|ɛwrәnnʲ
эврәһәрн|ɛwrәһәrn
эвсээрхэн|ɛwsɛːrxɛn
эвтэйхэн|ɛwtʰɛjxɛn
эвтәкн|ɛwtʰәkʰn
эвцлд|ɛwt͡sʰɮt
эггер|ɛɡɡJir
эгдүүцэх|ɛɡtuːt͡sʰɛx
эгзэгтэй|ɛɡt͡sɛɡtʰɛj
эгл|ɛɡɮ
эгц|ɛɡt͡sʰ
эгч|ɛɡt͡ʃʰ
эгчид|ɛɡt͡ʃʰit
эгчийг|ɛɡt͡ʃʰiːɡ
эгчийгээ|ɛɡt͡ʃʰiːɡɛː
эгчийн|ɛɡt͡ʃʰiːn
эгэл|ɛɡɛɮ
эд|ɛt
эдвардын|ɛtwartiːn
эдгэрч|ɛtɡɛrt͡ʃʰ
эдгээр|ɛtɡɛːr
эдгээрийг|ɛtɡɛːriːɡ
эдгээрээс|ɛtɡɛːrɛːs
эдгээх|ɛtɡɛːx
эдгәв|ɛtɡәw
эдгәх|ɛtɡәx
эдгәҗ|ɛtɡәҗ
эдийг|ɛtiːɡ
эдийн|ɛtiːn
эдинь|ɛtinʲ
эдл|ɛtɮ
эдлдг|ɛtɮtɡ
эдлх|ɛtɮx
эдлхмн|ɛtɮxmn
эдлҗ|ɛtɮҗ
эдлҗәнәвидн|ɛtɮҗәnәwitn
эдлҗәхинь|ɛtɮҗәxinʲ
эдн|ɛtn
эдниг|ɛtniɡ
эднийхээр|ɛtniːxɛːr
эднә|ɛtnә
эдүгээ|ɛtuɡɛː
эдән|ɛtәn
эдәр|ɛtәr
эдәрнь|ɛtәrnʲ
эелдэгхэн|ɛjɮtɛɡxɛn
эергүү|ɛjrɡuː
эерэг|ɛjrɛɡ
эзгүй|ɛt͡sɡuj
эзлсинь|ɛt͡sɮsinʲ
эзлтн|ɛt͡sɮtʰn
эзлх|ɛt͡sɮx
эзлхәр|ɛt͡sɮxәr
эзлэв|ɛt͡sɮɛw
эзлҗ|ɛt͡sɮҗ
эзн|ɛt͡sn
эзнд|ɛt͡snt
эзний|ɛt͡sniː
эзнийхээ|ɛt͡sniːxɛː
эзнлә|ɛt͡snɮә
эзнь|ɛt͡snʲ
эзнээр|ɛt͡snɛːr
эзнә|ɛt͡snә
эзнәс|ɛt͡snәs
эзэгтэй|ɛt͡sɛɡtʰɛj
эзэд|ɛt͡sɛt
эзэлдэг|ɛt͡sɛɮtɛɡ
эзэлж|ɛt͡sɛɮt͡ʃ
эзэмдэн|ɛt͡sɛmtɛn
эзэмдэх|ɛt͡sɛmtɛx
эзэмшигчдийг|ɛt͡sɛmʃiɡt͡ʃʰtiːɡ
эзэмшиж|ɛt͡sɛmʃit͡ʃ
эзэмшилд|ɛt͡sɛmʃiɮt
эзэмших|ɛt͡sɛmʃix
эзэмшсэн|ɛt͡sɛmʃsɛn
эзэний|ɛt͡sɛniː
эзэнтэй|ɛt͡sɛntʰɛj
эйр|ɛjr
эйрлайнсын|ɛjrɮajnsiːn
эк|ɛkʰ
эклв|ɛkʰɮw
эклнә|ɛkʰɮnә
эклх|ɛkʰɮx
эклц|ɛkʰɮt͡sʰ
эклцд|ɛkʰɮt͡sʰt
эклцәс|ɛkʰɮt͡sʰәs
эклҗ|ɛkʰɮҗ
экләд|ɛkʰɮәt
экнь|ɛkʰnʲ
экспертүүдийн|ɛkʰspʰJirtʰuːtiːn
экспортлогчид|ɛkʰspʰɔrtʰɮɔɡt͡ʃʰit
экспортыг|ɛkʰspʰɔrtʰiːɡ
экстремизм|ɛkʰstʰrJimit͡sm
эктә|ɛkʰtʰә
экчн|ɛkʰt͡ʃʰn
эл|ɛɮ
элан|ɛɮan
элбэг|ɛɮpɛɡ
элбэгдсэн|ɛɮpɛɡtsɛn
элгн|ɛɮɡn
элдвийн|ɛɮtwiːn
элдвээр|ɛɮtwɛːr
элдэв|ɛɮtɛw
элдэж|ɛɮtɛt͡ʃ
элдэнэ|ɛɮtɛnɛ
эли|ɛɮi
элкдҗ|ɛɮkʰtҗ
элкдәд|ɛɮkʰtәt
элс|ɛɮs
элсн|ɛɮsn
элснд|ɛɮsnt
элснлә|ɛɮsnɮә
элсчихвэл|ɛɮst͡ʃʰixwɛɮ
элсэн|ɛɮsɛn
элсүүлсэн|ɛɮsuːɮsɛn
элч|ɛɮt͡ʃʰ
элчиг|ɛɮt͡ʃʰiɡ
элчин|ɛɮt͡ʃʰin
элчнр|ɛɮt͡ʃʰnr
элчнриг|ɛɮt͡ʃʰnriɡ
элчәс|ɛɮt͡ʃʰәs
элья|ɛɮʲJa
эльяд|ɛɮʲJat
элэгсэг|ɛɮɛɡsɛɡ
эмайн|ɛmajn
эмгэг|ɛmɡɛɡ
эмгэн|ɛmɡɛn
эмгэнд|ɛmɡɛnt
эмгэнэл|ɛmɡɛnɛɮ
эмгэнээ|ɛmɡɛnɛː
эмзэг|ɛmt͡sɛɡ
эмзэглэнэ|ɛmt͡sɛɡɮɛnɛ
эмзэгхэн|ɛmt͡sɛɡxɛn
эмийн|ɛmiːn
эминь|ɛminʲ
эмнэг|ɛmnɛɡ
эмнэлгийн|ɛmnɛɮɡiːn
эмнэлгийнхээ|ɛmnɛɮɡiːnxɛː
эмнэлэгт|ɛmnɛɮɛɡtʰ
эмнэлэгтэй|ɛmnɛɮɛɡtʰɛj
эмх|ɛmx
эмхэтгэл|ɛmxɛtʰɡɛɮ
эмчийн|ɛmt͡ʃʰiːn
эмчилгээний|ɛmt͡ʃʰiɮɡɛːniː
эмчилье|ɛmt͡ʃʰiɮʲJi
эмчлэх|ɛmt͡ʃʰɮɛx
эмчлэхээс|ɛmt͡ʃʰɮɛxɛːs
эмчлүүлэхээр|ɛmt͡ʃʰɮuːɮɛxɛːr
эмэг|ɛmɛɡ
эмэгтэйчүүд|ɛmɛɡtʰɛjt͡ʃʰuːt
эмэгтэйчүүдийн|ɛmɛɡtʰɛjt͡ʃʰuːtiːn
эмээгээ|ɛmɛːɡɛː
эмээлийн|ɛmɛːɮiːn
эмээтэй|ɛmɛːtʰɛj
эмәс|ɛmәs
эн|ɛn
энгийн|ɛnɡiːn
энгэр|ɛnɡɛr
энгэрт|ɛnɡɛrtʰ
энгэсэг|ɛnɡɛsɛɡ
эндр|ɛntr
эндрәс|ɛntrәs
эндхийн|ɛntxiːn
эндээ|ɛntɛː
эндээс|ɛntɛːs
эндәс|ɛntәs
